[1621543035.9126112, 1621543043.1247163]
[1621543035.8697836, 1621543043.0260577]
[1621543036.1625667, 1621543043.518257]
[1621543035.8014188, 1621543043.0300164]
[1621543036.3336673, 1621543043.4737375]
[1621543036.283791, 1621543043.5334206]
[1621543036.786612, 1621543044.1761363]
[1621543036.954121, 1621543044.1871102]
[1621543036.300816, 1621543043.8171976]
[1621543035.7370584, 1621543042.9623637]
[1621543036.6732128, 1621543044.0230682]
[1621543036.129294, 1621543043.2282462]
[1621543036.008064, 1621543043.4976087]
[1621543036.6817389, 1621543043.9451914]
[1621543036.4842224, 1621543043.5403907]
[1621543036.7375479, 1621543043.7582521]
[1621543037.0590446, 1621543044.3994384]
[1621543036.631855, 1621543043.960609]
[1621543036.5044472, 1621543043.7624705]
[1621543035.743592, 1621543043.1271968]
[1621543036.592743, 1621543044.2255006]
[1621543036.580676, 1621543045.0874617]
[1621543037.2917316, 1621543044.4575796]
[1621543037.5002956, 1621543044.4691584]
[1621543036.8937182, 1621543043.7652497]
[1621543038.3506703, 1621543045.6160166]
[1621543037.2855525, 1621543044.6486998]
[1621543037.5263703, 1621543044.5759463]
[1621543036.7741525, 1621543044.01752]
[1621543037.270532, 1621543044.3410597]
[1621543037.732072, 1621543044.731701]
[1621543036.8102534, 1621543044.0444236]
[1621543037.9109755, 1621543045.3542054]
[1621543038.0798638, 1621543045.2978523]
[1621543038.138051, 1621543045.5529315]
[1621543038.131749, 1621543045.4072914]
[1621543038.08041, 1621543044.9519947]
[1621543038.0643187, 1621543045.2779975]
[1621543038.00539, 1621543045.2038178]
[1621543038.1200392, 1621543045.363867]
[1621543037.5816545, 1621543044.8119917]
[1621543037.7039225, 1621543045.0314898]
[1621543037.6820896, 1621543044.9360142]
[1621543038.0312605, 1621543045.2897058]
[1621543037.230456, 1621543044.5013502]
[1621543038.7157302, 1621543046.8148484]
[1621543038.7691572, 1621543046.1917508]
[1621543038.2868168, 1621543045.564305]
[1621543038.1352108, 1621543046.0565054]
[1621543038.2333424, 1621543045.6022902]
[1621543038.2227678, 1621543045.4640067]
[1621543038.4528217, 1621543045.762634]
[1621543039.1313994, 1621543046.6147945]
[1621543038.4727373, 1621543046.1345084]
[1621543037.9898157, 1621543044.9102142]
[1621543039.1247096, 1621543046.5257254]
[1621543039.1927483, 1621543047.009946]
[1621543038.5076466, 1621543045.4665506]
[1621543038.4188838, 1621543045.6412172]
[1621543039.1294916, 1621543046.41436]
[1621543038.9905925, 1621543046.4738634]
[1621543038.3944263, 1621543045.5682397]
[1621543038.9019926, 1621543046.24344]
[1621543038.9992115, 1621543046.4146285]
[1621543038.6264756, 1621543045.894142]
[1621543038.8599303, 1621543046.3813655]
[1621543038.975096, 1621543046.2636657]
[1621543039.1369843, 1621543046.425525]
[1621543039.051977, 1621543046.087835]
[1621543038.9691854, 1621543046.238802]
[1621543039.0479913, 1621543046.2433946]
[1621543038.9187682, 1621543046.2563388]
[1621543039.745096, 1621543046.9930832]
[1621543039.1339793, 1621543046.1335297]
[1621543039.0162458, 1621543046.1248918]
[1621543039.880161, 1621543047.203785]
[1621543039.81516, 1621543046.7697902]
[1621543039.0646896, 1621543046.3306494]
[1621543039.3516247, 1621543046.683554]
[1621543039.9454257, 1621543047.1988971]
[1621543039.7256722, 1621543047.4013515]
[1621543039.5503423, 1621543046.9973023]
[1621543039.5856144, 1621543046.9353023]
[1621543040.0567122, 1621543047.2333322]
[1621543040.0657578, 1621543047.5084019]
[1621543040.048298, 1621543047.2024877]
[1621543040.282185, 1621543047.9664714]
[1621543040.1710625, 1621543047.5736291]
[1621543039.5883002, 1621543046.580988]
[1621543039.765104, 1621543046.7499456]
[1621543040.235873, 1621543047.651958]
[1621543040.3818262, 1621543047.556254]
[1621543040.1722088, 1621543047.3128586]
[1621543040.3820808, 1621543048.643083]
[1621543040.5694156, 1621543047.975886]
[1621543040.7274594, 1621543050.1725688]
[1621543040.2793849, 1621543047.5713663]
[1621543040.5844948, 1621543047.6525466]
[1621543039.5290406, 1621543046.664781]
[1621543040.350619, 1621543047.5830455]
[1621543040.2855117, 1621543048.50543]
[1621543040.4796839, 1621543047.8958423]
[1621543040.3831322, 1621543047.632368]
[1621543040.6321595, 1621543047.809989]
[1621543040.4582324, 1621543047.705532]
[1621543040.7407827, 1621543047.9357626]
[1621543040.6899838, 1621543047.8253891]
[1621543040.425372, 1621543047.6602073]
[1621543040.0601578, 1621543047.1830428]
[1621543040.41806, 1621543047.569935]
[1621543040.7589953, 1621543048.451137]
[1621543041.201619, 1621543048.631674]
[1621543040.450777, 1621543047.4062803]
[1621543041.7818003, 1621543049.1363974]
[1621543040.8495293, 1621543048.0608828]
[1621543041.3294141, 1621543049.2640595]
[1621543041.4795604, 1621543048.927412]
[1621543041.3954566, 1621543048.5290158]
[1621543041.5884714, 1621543048.7515965]
[1621543041.3999324, 1621543048.5766978]
[1621543040.9935944, 1621543048.047325]
[1621543042.557111, 1621543049.4072819]
[1621543041.6178954, 1621543049.0163918]
[1621543041.4424992, 1621543048.7654645]
[1621543040.7613087, 1621543048.163161]
[1621543042.2566078, 1621543049.5437171]
[1621543041.8795505, 1621543049.1601644]
[1621543041.6950557, 1621543049.213217]
[1621543041.4953911, 1621543048.884825]
[1621543041.893252, 1621543049.274469]
[1621543041.4961195, 1621543048.6180868]
[1621543041.568672, 1621543048.7804427]
[1621543041.4956021, 1621543048.765269]
[1621543041.6315837, 1621543049.0800636]
[1621543042.572523, 1621543049.7606168]
[1621543042.4955184, 1621543049.8331704]
[1621543042.929071, 1621543050.0853345]
[1621543042.38386, 1621543049.6873872]
[1621543042.4671934, 1621543049.6140263]
[1621543042.5392504, 1621543049.875383]
[1621543043.247054, 1621543050.336337]
[1621543042.3303156, 1621543049.6111705]
