[1621543633.883977, 1621543635.0238812]
[1621543633.5148506, 1621543634.6259592]
[1621543633.5033844, 1621543634.6451547]
[1621543633.1095235, 1621543634.3127642]
[1621543633.5689478, 1621543634.6846879]
[1621543633.9411402, 1621543635.0109332]
[1621543633.3853834, 1621543634.5283082]
[1621543633.4248455, 1621543634.5681899]
[1621543633.4694934, 1621543634.589505]
[1621543633.8993115, 1621543635.0669465]
[1621543633.9441862, 1621543635.062695]
[1621543633.1724117, 1621543634.308311]
[1621543633.4218967, 1621543634.6103408]
[1621543633.213569, 1621543634.3540802]
[1621543633.3640826, 1621543634.5037632]
[1621543633.5353434, 1621543634.685978]
[1621543633.5054283, 1621543634.6417763]
[1621543633.9599843, 1621543635.1103828]
[1621543633.8078482, 1621543634.984563]
[1621543633.5670512, 1621543634.7046697]
[1621543634.182384, 1621543635.3356304]
[1621543634.2265034, 1621543635.3704145]
[1621543634.0444424, 1621543635.1815994]
[1621543634.3396544, 1621543635.5032358]
[1621543634.272753, 1621543635.4063694]
[1621543634.1572871, 1621543635.289785]
[1621543633.9561043, 1621543635.0430357]
[1621543634.760075, 1621543635.9120653]
[1621543633.8906548, 1621543635.0545568]
[1621543634.2707443, 1621543635.403232]
[1621543634.7590108, 1621543635.9051764]
[1621543634.5036597, 1621543635.638427]
[1621543634.433372, 1621543635.5954132]
[1621543634.5543365, 1621543635.6852539]
[1621543634.524637, 1621543635.6597097]
[1621543634.9129984, 1621543636.0737247]
[1621543634.4431136, 1621543635.5956616]
[1621543633.9002125, 1621543635.1016846]
[1621543634.6383493, 1621543635.7782264]
[1621543634.6343787, 1621543635.745979]
[1621543634.6383388, 1621543635.7787766]
[1621543634.6243527, 1621543635.7717123]
[1621543634.6126797, 1621543635.750059]
[1621543634.9245372, 1621543636.0785625]
[1621543634.6890194, 1621543635.8105118]
[1621543635.2628765, 1621543636.4099271]
[1621543635.2430937, 1621543636.376029]
[1621543635.5548267, 1621543636.677668]
[1621543635.530498, 1621543636.670427]
[1621543635.5257227, 1621543636.7073421]
[1621543635.7330167, 1621543636.8659189]
[1621543636.1468933, 1621543637.2636018]
[1621543636.0895236, 1621543637.208916]
[1621543636.2377772, 1621543637.3700228]
[1621543635.7842674, 1621543636.9178553]
[1621543636.31163, 1621543637.4681845]
[1621543635.9397922, 1621543637.0965834]
[1621543636.5276668, 1621543637.6640902]
[1621543637.0687776, 1621543638.183892]
[1621543636.567564, 1621543637.7013965]
[1621543636.8787425, 1621543638.0213609]
[1621543636.242553, 1621543637.393467]
[1621543635.8185835, 1621543636.933679]
[1621543636.008952, 1621543637.1357143]
[1621543635.8289418, 1621543636.9577653]
[1621543636.1441617, 1621543637.3047903]
[1621543636.1438618, 1621543637.3493712]
[1621543636.1838229, 1621543637.3245592]
[1621543636.3266969, 1621543637.453414]
[1621543635.713847, 1621543636.856583]
[1621543636.1538174, 1621543637.287901]
[1621543636.8973556, 1621543638.0328717]
[1621543636.8352764, 1621543638.0111785]
[1621543636.8362699, 1621543637.965344]
[1621543637.7768815, 1621543638.915527]
[1621543636.6187232, 1621543637.7713552]
[1621543637.7407098, 1621543638.885838]
[1621543636.1864798, 1621543637.321645]
[1621543637.4120786, 1621543638.5614135]
[1621543637.9172978, 1621543639.0461338]
[1621543636.4603498, 1621543637.6357565]
[1621543636.687808, 1621543637.8138468]
[1621543638.0306647, 1621543639.1893163]
[1621543637.980734, 1621543639.113593]
[1621543637.1346068, 1621543638.2867548]
[1621543638.1834087, 1621543639.3218622]
[1621543638.456747, 1621543639.5914364]
[1621543637.0290818, 1621543638.164982]
[1621543637.804239, 1621543638.935358]
[1621543637.6693099, 1621543638.794625]
[1621543637.3050807, 1621543638.4207435]
[1621543637.136907, 1621543638.2892616]
[1621543637.397242, 1621543638.5637908]
[1621543637.765043, 1621543638.9145832]
[1621543637.702892, 1621543638.8517451]
