[1621544858.1862252, 1621544869.1609879]
[1621544858.0327861, 1621544869.0872955]
[1621544857.4972637, 1621544868.647168]
[1621544858.1165485, 1621544871.3227632]
[1621544858.497215, 1621544868.9873533]
[1621544858.1888874, 1621544868.3594363]
[1621544858.1842966, 1621544869.2759562]
[1621544858.0231318, 1621544868.9335675]
[1621544857.6977785, 1621544868.6974602]
[1621544858.5061164, 1621544869.2266026]
[1621544858.1979887, 1621544869.278982]
[1621544858.1115382, 1621544869.048457]
[1621544858.1318302, 1621544868.9260075]
[1621544858.1135414, 1621544869.3465562]
[1621544858.1207163, 1621544869.4246793]
[1621544858.5787923, 1621544869.937443]
[1621544857.8297484, 1621544868.8769088]
[1621544857.9241424, 1621544868.7244022]
[1621544858.8658586, 1621544869.843366]
[1621544858.2998452, 1621544869.312222]
[1621544859.069996, 1621544869.7240348]
[1621544859.0553036, 1621544869.8860111]
[1621544858.8326135, 1621544869.8147502]
[1621544859.029492, 1621544869.092315]
[1621544858.4923427, 1621544869.4447618]
[1621544859.1141036, 1621544869.9486628]
[1621544858.643042, 1621544869.4541311]
[1621544859.096904, 1621544869.7705054]
[1621544859.5030174, 1621544870.2611375]
[1621544859.3374298, 1621544869.8463547]
[1621544858.5068836, 1621544869.4540899]
[1621544858.2466056, 1621544870.03737]
[1621544859.0524788, 1621544869.672153]
[1621544859.5197394, 1621544870.4104462]
[1621544859.2585037, 1621544870.1134424]
[1621544858.8368464, 1621544870.2168562]
[1621544859.4883986, 1621544869.9637296]
[1621544859.5830646, 1621544870.5824504]
[1621544858.9590418, 1621544869.7950435]
[1621544859.4412665, 1621544870.4144573]
[1621544859.4603314, 1621544870.3255434]
[1621544859.4525402, 1621544870.41001]
[1621544860.4970963, 1621544871.672125]
[1621544860.019669, 1621544870.9495816]
[1621544859.9878123, 1621544871.1025836]
[1621544860.2065055, 1621544871.6940467]
[1621544859.5923972, 1621544870.6121428]
[1621544860.0292735, 1621544870.815936]
[1621544859.385091, 1621544870.537574]
[1621544859.4938936, 1621544870.1269133]
[1621544860.243444, 1621544870.845431]
[1621544860.4736204, 1621544870.755927]
[1621544859.3861728, 1621544869.8287013]
[1621544860.0445051, 1621544870.7310474]
[1621544860.507461, 1621544871.3195782]
[1621544860.8436093, 1621544872.6956484]
[1621544861.183392, 1621544872.047398]
[1621544861.0271485, 1621544871.6372182]
[1621544861.0282376, 1621544871.6987586]
[1621544861.1806324, 1621544871.9687831]
[1621544859.9755507, 1621544870.8482928]
[1621544860.7152042, 1621544871.5703468]
[1621544861.1404123, 1621544872.1622536]
[1621544861.2026482, 1621544871.675748]
[1621544860.3223963, 1621544871.486493]
[1621544860.5231125, 1621544871.315388]
[1621544861.2281635, 1621544874.2695527]
[1621544860.2838469, 1621544871.2275274]
[1621544861.1654923, 1621544872.5332453]
[1621544861.2004783, 1621544872.145132]
[1621544861.1507347, 1621544872.2226176]
[1621544860.2387822, 1621544871.112871]
[1621544861.2372983, 1621544871.9043434]
[1621544861.4488602, 1621544872.4338741]
[1621544860.9571123, 1621544871.9741082]
[1621544861.0130293, 1621544871.7195828]
[1621544861.1670985, 1621544871.983619]
[1621544861.5042043, 1621544872.6059723]
[1621544861.4237094, 1621544872.52123]
[1621544861.3947134, 1621544872.2650094]
[1621544861.6522665, 1621544872.615423]
[1621544861.6862543, 1621544872.0565445]
[1621544861.2716064, 1621544872.1608799]
[1621544861.534275, 1621544872.6256678]
[1621544861.7584069, 1621544872.6535327]
[1621544861.3914216, 1621544872.1403506]
[1621544861.8051763, 1621544872.8219788]
[1621544862.147518, 1621544872.9265134]
[1621544861.9219074, 1621544872.8205462]
[1621544862.0099292, 1621544873.4748516]
[1621544862.1178539, 1621544873.0390096]
[1621544862.475046, 1621544873.3144376]
[1621544862.1220737, 1621544872.8186293]
[1621544862.1218798, 1621544873.0694861]
[1621544862.29384, 1621544872.8974447]
[1621544862.2033794, 1621544873.0724928]
[1621544861.8153436, 1621544872.3987768]
[1621544862.6882842, 1621544873.3677094]
[1621544862.3213995, 1621544872.6857564]
[1621544862.2015424, 1621544872.8510892]
[1621544861.8642204, 1621544872.6317022]
[1621544862.9576974, 1621544873.553094]
[1621544862.1469302, 1621544872.9625936]
[1621544862.286237, 1621544873.358191]
[1621544862.2840095, 1621544873.0851216]
