[1621545232.2145908, 1621545233.3522885]
[1621545232.7808468, 1621545233.9074771]
[1621545232.10672, 1621545233.2510698]
[1621545232.2989192, 1621545233.4442139]
[1621545232.3142705, 1621545233.456208]
[1621545232.4781563, 1621545233.6714332]
[1621545232.382563, 1621545233.553795]
[1621545232.0909235, 1621545233.2704391]
[1621545232.7526774, 1621545233.8848221]
[1621545232.7109232, 1621545233.8609874]
[1621545232.5115366, 1621545233.6590955]
[1621545232.843909, 1621545233.969016]
[1621545232.464579, 1621545233.6025534]
[1621545232.5564814, 1621545233.694976]
[1621545232.2676606, 1621545233.410915]
[1621545232.3308604, 1621545233.4768057]
[1621545232.7051258, 1621545233.8597958]
[1621545232.8108, 1621545233.947823]
[1621545233.1705194, 1621545234.3283565]
[1621545232.9176362, 1621545234.0565681]
[1621545233.3040833, 1621545234.443299]
[1621545233.3494678, 1621545234.5100703]
[1621545232.578391, 1621545233.7426963]
[1621545232.9412029, 1621545234.0709043]
[1621545233.2929037, 1621545234.5432222]
[1621545232.7720876, 1621545234.004632]
[1621545234.249463, 1621545235.383574]
[1621545234.438063, 1621545235.5712833]
[1621545233.3620331, 1621545234.494867]
[1621545233.04145, 1621545234.2022321]
[1621545233.1389437, 1621545234.2722335]
[1621545232.6005998, 1621545233.7180877]
[1621545233.88129, 1621545235.028777]
[1621545234.884726, 1621545236.0339847]
[1621545234.3192542, 1621545235.4698102]
[1621545234.7307403, 1621545235.8700473]
[1621545234.2698064, 1621545235.3982968]
[1621545234.6063864, 1621545235.7437074]
[1621545233.4915874, 1621545234.6718714]
[1621545234.5259712, 1621545235.7061205]
[1621545234.2498276, 1621545235.3940277]
[1621545233.580913, 1621545234.7230577]
[1621545234.4151807, 1621545235.5780032]
[1621545235.0007389, 1621545236.1329694]
[1621545234.6316338, 1621545235.7545626]
[1621545232.778957, 1621545233.9154778]
[1621545234.7870362, 1621545235.944669]
[1621545235.4134383, 1621545236.5432303]
[1621545234.609119, 1621545235.740512]
[1621545235.338619, 1621545236.503364]
[1621545235.4716854, 1621545236.6380823]
[1621545235.163702, 1621545236.308053]
[1621545234.8339705, 1621545235.9640777]
[1621545234.321055, 1621545235.4705303]
[1621545235.2882144, 1621545236.4438]
[1621545234.540001, 1621545235.679523]
[1621545235.0667, 1621545236.212499]
[1621545234.4478247, 1621545235.592355]
[1621545234.5894058, 1621545235.7883554]
[1621545235.2136781, 1621545236.3653214]
[1621545235.324085, 1621545236.4644718]
[1621545235.2630754, 1621545236.415742]
[1621545235.7563176, 1621545236.8976638]
[1621545235.0947616, 1621545236.219422]
[1621545235.77047, 1621545236.9261832]
[1621545236.0762815, 1621545237.215995]
[1621545236.1824627, 1621545237.3156247]
[1621545235.9319296, 1621545237.0752945]
[1621545235.6796165, 1621545236.7986765]
[1621545235.5773382, 1621545236.7170506]
[1621545235.7827837, 1621545236.9264886]
[1621545235.4085264, 1621545236.5428505]
[1621545235.49314, 1621545236.652934]
[1621545235.2681649, 1621545236.4029722]
[1621545235.1705976, 1621545236.334161]
[1621545235.7213755, 1621545236.8578918]
[1621545235.87028, 1621545237.0258934]
[1621545235.7574885, 1621545236.9179869]
[1621545236.1305578, 1621545237.2574852]
[1621545236.4120998, 1621545237.5386758]
[1621545236.372794, 1621545237.5182574]
[1621545236.4795618, 1621545237.6216905]
[1621545236.070338, 1621545237.2406726]
