[1621546335.094107, 1621546337.511981]
[1621546335.358074, 1621546337.7550395]
[1621546335.026546, 1621546337.519836]
[1621546335.4777875, 1621546337.8405921]
[1621546335.008735, 1621546337.7615447]
[1621546335.1756568, 1621546337.6648905]
[1621546335.221912, 1621546337.6086261]
[1621546335.2590847, 1621546337.6604059]
[1621546335.1155238, 1621546337.5095801]
[1621546335.0526652, 1621546337.4311302]
[1621546335.128959, 1621546337.5872777]
[1621546335.23222, 1621546337.5627773]
[1621546335.2084706, 1621546337.6580086]
[1621546335.0114665, 1621546337.590655]
[1621546335.5319357, 1621546338.0695624]
[1621546335.1750863, 1621546337.6477046]
[1621546335.2109942, 1621546337.6960833]
[1621546335.2936888, 1621546337.5640233]
[1621546335.3489518, 1621546337.8085406]
[1621546335.1884015, 1621546337.6262894]
[1621546335.362647, 1621546337.8471634]
[1621546335.4885988, 1621546337.9075916]
[1621546335.5219674, 1621546337.995409]
[1621546335.3764126, 1621546337.786505]
[1621546335.3017511, 1621546337.7024539]
[1621546335.54364, 1621546337.9968066]
[1621546335.5802133, 1621546337.9866881]
[1621546335.557408, 1621546338.008936]
[1621546335.5444045, 1621546337.9618905]
[1621546335.5841038, 1621546338.2403402]
[1621546335.435968, 1621546337.7489636]
[1621546335.602984, 1621546338.0354073]
[1621546335.5559623, 1621546337.9733639]
[1621546335.7848155, 1621546338.155146]
[1621546335.6789944, 1621546338.0524976]
[1621546335.7041738, 1621546338.64261]
[1621546335.793731, 1621546338.2911606]
[1621546335.7903929, 1621546338.2913756]
[1621546335.7194984, 1621546338.2513838]
[1621546335.8275175, 1621546338.3314576]
[1621546335.750253, 1621546338.1806097]
[1621546335.6512742, 1621546338.0257916]
[1621546335.8580809, 1621546338.9093285]
[1621546335.757922, 1621546338.1711729]
[1621546335.8183877, 1621546338.207252]
[1621546335.7232468, 1621546338.0063655]
[1621546335.7824826, 1621546338.153625]
[1621546335.658621, 1621546338.0417767]
[1621546335.7467966, 1621546338.211692]
[1621546335.783766, 1621546338.172965]
