[1621546846.656911, 1621546847.904184]
[1621546846.5219119, 1621546847.62369]
[1621546846.3949099, 1621546847.5642393]
[1621546847.1371703, 1621546848.2654877]
[1621546846.7790253, 1621546847.9488444]
[1621546846.7477486, 1621546847.8513286]
[1621546846.9464443, 1621546848.067817]
[1621546846.373563, 1621546847.5990226]
[1621546846.6072493, 1621546847.856451]
[1621546847.3468194, 1621546848.540674]
[1621546847.109954, 1621546848.2536736]
[1621546846.8301365, 1621546847.9708009]
[1621546846.7178953, 1621546847.8571458]
[1621546846.6847823, 1621546847.846362]
[1621546847.3354557, 1621546848.468431]
[1621546846.8506813, 1621546848.0197117]
[1621546847.3221147, 1621546848.4802399]
[1621546847.103683, 1621546848.2370622]
[1621546847.561124, 1621546848.6864376]
[1621546846.5998945, 1621546847.7354043]
[1621546847.5858455, 1621546848.753781]
[1621546847.3473747, 1621546848.4444869]
[1621546847.3534884, 1621546848.5210419]
[1621546847.484295, 1621546848.6008296]
[1621546847.851984, 1621546848.9845536]
[1621546847.4192178, 1621546848.5684876]
[1621546848.52694, 1621546849.6574662]
[1621546847.093607, 1621546848.2226272]
[1621546847.4935513, 1621546848.6330585]
[1621546847.6217191, 1621546848.8386588]
[1621546847.6305966, 1621546848.7223227]
[1621546847.8584726, 1621546848.9626253]
[1621546847.761306, 1621546848.8967385]
[1621546847.7619057, 1621546848.9333794]
[1621546847.9468305, 1621546849.1347418]
[1621546848.08721, 1621546849.202669]
[1621546848.212435, 1621546849.4079478]
[1621546847.4350898, 1621546848.5616252]
[1621546847.7135887, 1621546848.8003623]
[1621546848.563634, 1621546849.735445]
[1621546848.5191655, 1621546849.647946]
[1621546848.7929199, 1621546849.9576697]
[1621546847.8620875, 1621546849.059339]
[1621546848.893403, 1621546849.977188]
[1621546849.1695971, 1621546850.317015]
[1621546847.9453537, 1621546849.081327]
[1621546848.7510214, 1621546849.8397336]
[1621546847.8869286, 1621546849.0421574]
[1621546848.8852623, 1621546850.1131966]
[1621546848.9658494, 1621546850.1307046]
[1621546848.921003, 1621546850.0629728]
[1621546849.6337106, 1621546850.7794316]
[1621546849.39174, 1621546850.515843]
[1621546849.4562306, 1621546850.6205509]
[1621546849.0476215, 1621546850.22318]
[1621546849.4806228, 1621546850.5827177]
[1621546848.4980156, 1621546849.6838048]
[1621546850.1714199, 1621546851.2989092]
[1621546849.9005089, 1621546850.9916759]
[1621546849.5671473, 1621546850.7108717]
[1621546850.321005, 1621546851.4616115]
[1621546850.277518, 1621546851.4025483]
[1621546850.331983, 1621546851.462156]
[1621546850.0794227, 1621546851.214325]
[1621546849.4708495, 1621546850.6149118]
[1621546849.5022268, 1621546850.6287217]
[1621546849.1913898, 1621546850.3351007]
[1621546850.1241047, 1621546851.276159]
[1621546849.1669147, 1621546850.3345926]
[1621546850.5211904, 1621546851.6473973]
[1621546850.675244, 1621546851.8020184]
[1621546849.6337652, 1621546850.763398]
[1621546850.509908, 1621546851.6550229]
[1621546850.4596531, 1621546851.623078]
[1621546850.2546444, 1621546851.4371676]
[1621546850.4522233, 1621546851.7030513]
[1621546849.9348505, 1621546851.0684137]
[1621546850.8737838, 1621546852.0199525]
[1621546850.1024914, 1621546851.2663705]
[1621546850.8538356, 1621546852.0072162]
[1621546850.9688551, 1621546852.0671623]
[1621546850.149747, 1621546851.298118]
[1621546849.7725477, 1621546850.928026]
[1621546850.2595024, 1621546851.388271]
[1621546850.3653455, 1621546851.5567818]
[1621546849.9081485, 1621546851.0690033]
[1621546850.3628292, 1621546851.5228212]
[1621546851.1326015, 1621546852.2438214]
[1621546850.0951347, 1621546851.1752493]
[1621546851.0287693, 1621546852.1847823]
[1621546850.8805928, 1621546852.0754995]
[1621546850.8981822, 1621546852.0250115]
[1621546851.3714983, 1621546852.5049822]
[1621546850.770487, 1621546851.9134166]
[1621546851.0758824, 1621546852.2393675]
[1621546851.129372, 1621546852.2643104]
[1621546851.069838, 1621546852.2369444]
[1621546850.9438748, 1621546852.1003587]
[1621546850.9961603, 1621546852.097497]
[1621546851.222119, 1621546852.3603625]
[1621546851.48718, 1621546852.6371546]
[1621546851.6530328, 1621546852.781327]
[1621546851.4971755, 1621546852.658695]
[1621546852.2334685, 1621546853.3778362]
[1621546851.7475483, 1621546852.8874216]
[1621546851.7265143, 1621546852.8581412]
[1621546851.4732475, 1621546852.6207294]
[1621546851.812753, 1621546852.9352288]
[1621546851.9709494, 1621546853.0950177]
[1621546852.0814712, 1621546853.2624729]
[1621546851.5880802, 1621546852.7587423]
[1621546852.0676153, 1621546853.2015023]
[1621546852.0130222, 1621546853.1580417]
[1621546852.158802, 1621546853.3159382]
[1621546852.1572626, 1621546853.2746727]
[1621546852.2509067, 1621546853.3684564]
[1621546852.656758, 1621546853.83852]
[1621546852.1041203, 1621546853.198281]
[1621546852.5434916, 1621546853.6768348]
[1621546852.327828, 1621546853.462746]
[1621546852.4082403, 1621546853.5374343]
[1621546852.7111838, 1621546853.8645623]
[1621546852.5917673, 1621546853.7190027]
[1621546853.1614425, 1621546854.31019]
[1621546852.5566444, 1621546853.7115204]
[1621546853.5015976, 1621546854.6574488]
[1621546852.597449, 1621546853.736244]
[1621546853.5469604, 1621546854.6823547]
[1621546853.3295326, 1621546854.4883964]
[1621546853.8655348, 1621546855.0150259]
[1621546853.7061155, 1621546854.8412573]
[1621546853.5237856, 1621546854.6561306]
[1621546853.8433287, 1621546855.1223135]
[1621546853.0868032, 1621546854.303682]
[1621546853.058556, 1621546854.1808789]
[1621546853.472903, 1621546854.609746]
[1621546853.4603791, 1621546854.583095]
[1621546853.474119, 1621546854.6379426]
[1621546853.432491, 1621546854.5774956]
[1621546853.3563993, 1621546854.4477384]
[1621546853.5322702, 1621546854.7223725]
[1621546853.504626, 1621546854.6004043]
[1621546853.7932336, 1621546854.9318614]
[1621546853.7397013, 1621546854.867879]
[1621546853.7174191, 1621546854.8954077]
[1621546854.1745868, 1621546855.3112006]
[1621546853.821229, 1621546854.94601]
[1621546854.3079188, 1621546855.4521186]
[1621546854.7452765, 1621546855.9041324]
[1621546854.0524886, 1621546855.212628]
[1621546854.5683484, 1621546855.6669128]
[1621546854.6759684, 1621546855.8068187]
[1621546854.6493855, 1621546855.7496488]
[1621546854.3887148, 1621546855.6277628]
[1621546854.5321407, 1621546855.6884863]
[1621546855.3804007, 1621546856.5110903]
[1621546854.2379735, 1621546855.355492]
[1621546854.645222, 1621546855.81528]
[1621546854.584558, 1621546855.7118015]
[1621546855.4329631, 1621546856.5783787]
[1621546854.36685, 1621546855.5179834]
[1621546855.5825806, 1621546856.753363]
[1621546854.6832266, 1621546855.8294208]
[1621546854.4173114, 1621546855.6135483]
[1621546854.7470694, 1621546855.8800113]
[1621546855.249444, 1621546856.3717973]
[1621546854.6467905, 1621546855.783219]
[1621546854.9169633, 1621546856.0716228]
[1621546855.7194417, 1621546856.819933]
[1621546855.7205608, 1621546856.9207447]
[1621546855.2696536, 1621546856.412568]
[1621546854.8549316, 1621546856.0070777]
[1621546854.7524488, 1621546855.8598838]
[1621546855.1641197, 1621546856.3276439]
[1621546855.2369194, 1621546856.3781314]
[1621546855.1979406, 1621546856.3366241]
[1621546855.3633146, 1621546856.47939]
[1621546855.3497722, 1621546856.4754875]
[1621546855.5113637, 1621546856.6489332]
[1621546854.9498458, 1621546856.111311]
[1621546854.8756895, 1621546856.003007]
[1621546855.6529725, 1621546856.8126392]
[1621546855.4493928, 1621546856.5762122]
[1621546855.8389785, 1621546856.9788897]
[1621546855.8820581, 1621546857.0003986]
[1621546855.5710354, 1621546856.719031]
[1621546855.7140021, 1621546856.8317394]
[1621546855.7290301, 1621546856.8142793]
[1621546856.2209954, 1621546857.3630104]
[1621546855.698779, 1621546856.8584926]
[1621546856.39556, 1621546857.5418062]
[1621546855.8148792, 1621546856.9535944]
[1621546856.0513947, 1621546857.206274]
[1621546855.989459, 1621546857.123008]
[1621546855.9670198, 1621546857.109393]
[1621546855.974655, 1621546857.1116357]
[1621546856.1476974, 1621546857.2887127]
[1621546856.1138766, 1621546857.204913]
[1621546856.0483136, 1621546857.1903327]
[1621546855.9824605, 1621546857.1567283]
[1621546856.396111, 1621546857.5179372]
[1621546856.1083996, 1621546857.2567925]
[1621546856.755703, 1621546857.8980844]
[1621546856.5766132, 1621546857.700121]
[1621546856.6177866, 1621546857.7368245]
[1621546856.7799966, 1621546857.914183]
[1621546856.6028304, 1621546857.7924137]
[1621546856.7883599, 1621546857.9261367]
[1621546857.0562153, 1621546858.1940074]
[1621546857.2012186, 1621546858.3492334]
[1621546857.0140545, 1621546858.1396205]
[1621546856.3033493, 1621546857.4611263]
[1621546857.1098256, 1621546858.2448936]
[1621546856.7543879, 1621546857.908488]
[1621546856.8495915, 1621546857.926134]
[1621546857.3187835, 1621546858.4188795]
[1621546857.2633455, 1621546858.4826777]
[1621546856.6535766, 1621546857.7979915]
[1621546856.8124459, 1621546858.020778]
[1621546857.6234932, 1621546858.755853]
[1621546857.614399, 1621546858.7341008]
[1621546856.7773447, 1621546857.9490824]
[1621546857.3040922, 1621546858.4464784]
[1621546856.8028855, 1621546857.963308]
[1621546857.2760105, 1621546858.4115365]
[1621546857.4692771, 1621546858.616886]
[1621546856.9642005, 1621546858.0998366]
[1621546857.5618055, 1621546858.713655]
[1621546858.2958946, 1621546859.3951972]
[1621546858.0284293, 1621546859.2628133]
[1621546857.905573, 1621546859.0667605]
[1621546857.869557, 1621546859.016497]
[1621546858.212003, 1621546859.3483086]
[1621546858.723246, 1621546859.8822963]
[1621546857.8685336, 1621546858.989265]
[1621546857.669867, 1621546858.8024163]
[1621546857.5008993, 1621546858.6771939]
[1621546858.2711298, 1621546859.4062161]
[1621546857.4397972, 1621546858.5863628]
[1621546858.034387, 1621546859.2049675]
[1621546857.9069195, 1621546859.032937]
[1621546857.8971608, 1621546859.0116239]
[1621546858.6656995, 1621546859.8066454]
[1621546858.3312058, 1621546859.4338977]
[1621546858.1729639, 1621546859.2703223]
[1621546858.094603, 1621546859.2607257]
[1621546858.1539826, 1621546859.2641325]
[1621546858.2410352, 1621546859.3698297]
[1621546858.1052685, 1621546859.2352643]
[1621546858.2434032, 1621546859.3823273]
[1621546858.2395895, 1621546859.386175]
[1621546858.0994678, 1621546859.2508357]
[1621546858.4348884, 1621546859.52419]
[1621546858.2937992, 1621546859.4665227]
[1621546859.3530161, 1621546860.4739714]
[1621546858.984239, 1621546860.1875155]
[1621546859.0314817, 1621546860.2002225]
[1621546859.0078511, 1621546860.1597745]
[1621546858.9463553, 1621546860.09007]
[1621546859.1697097, 1621546860.303795]
[1621546858.6511555, 1621546859.795535]
[1621546858.6814425, 1621546859.833509]
[1621546858.9870758, 1621546860.1301258]
[1621546858.952428, 1621546860.0952003]
[1621546859.0681853, 1621546860.1839094]
[1621546859.0039375, 1621546860.1177492]
[1621546859.3040502, 1621546860.392721]
[1621546859.3054953, 1621546860.419145]
[1621546858.7388437, 1621546859.868006]
[1621546859.4514377, 1621546860.6030607]
[1621546859.5256388, 1621546860.6936674]
[1621546859.6463587, 1621546860.7935765]
[1621546859.869027, 1621546861.0054874]
[1621546859.0565898, 1621546860.182502]
[1621546859.4251761, 1621546860.5947318]
[1621546859.7211921, 1621546860.8887658]
[1621546859.611791, 1621546860.7455833]
[1621546859.8592515, 1621546861.0204446]
[1621546859.5316508, 1621546860.6214252]
[1621546859.7175925, 1621546860.9429204]
[1621546859.6229725, 1621546860.7693384]
[1621546859.8232334, 1621546860.9632232]
[1621546859.830591, 1621546860.9731026]
[1621546859.754525, 1621546860.916583]
[1621546860.5145943, 1621546861.6436994]
[1621546860.4749854, 1621546861.558369]
[1621546860.1010907, 1621546861.2510626]
[1621546859.6543093, 1621546860.7803903]
[1621546860.2237358, 1621546861.3840244]
[1621546860.230165, 1621546861.4389994]
[1621546859.894015, 1621546861.0293992]
[1621546860.1138253, 1621546861.2484632]
[1621546860.3536754, 1621546861.4843636]
[1621546860.2828188, 1621546861.4045553]
[1621546859.907146, 1621546861.062848]
[1621546860.598946, 1621546861.7178397]
[1621546860.0853207, 1621546861.2147923]
[1621546860.4745536, 1621546861.5854297]
[1621546859.889456, 1621546861.0337937]
[1621546861.337641, 1621546862.4609783]
[1621546860.5073078, 1621546861.6455312]
[1621546860.7107742, 1621546861.8723507]
[1621546860.525103, 1621546861.6550198]
[1621546860.9355643, 1621546862.0790083]
[1621546860.5884397, 1621546861.7306747]
[1621546860.680274, 1621546861.7855213]
[1621546861.4570165, 1621546862.6251493]
[1621546860.985411, 1621546862.1290896]
[1621546861.4737751, 1621546862.646508]
[1621546861.2120287, 1621546862.365805]
[1621546860.9036946, 1621546862.079333]
[1621546861.416922, 1621546862.5803752]
[1621546861.1911345, 1621546862.3783987]
[1621546860.684669, 1621546861.822426]
[1621546861.4380963, 1621546862.5588772]
[1621546861.8619113, 1621546862.9610164]
[1621546861.4195037, 1621546862.563508]
[1621546861.0245614, 1621546862.151243]
[1621546861.6523318, 1621546862.8112752]
[1621546860.8193452, 1621546861.9471834]
[1621546861.330621, 1621546862.465391]
[1621546861.5673199, 1621546862.6636267]
[1621546861.3255436, 1621546862.4634354]
[1621546861.37713, 1621546862.5521083]
[1621546861.7771122, 1621546862.9169347]
[1621546860.7508216, 1621546861.848585]
[1621546861.2226982, 1621546862.3539245]
[1621546861.5593007, 1621546862.7330496]
[1621546861.6542757, 1621546862.777633]
[1621546862.0004745, 1621546863.1032355]
[1621546862.2376468, 1621546863.3909461]
[1621546861.6743422, 1621546862.812194]
[1621546862.0040157, 1621546863.1642883]
[1621546861.90934, 1621546863.0095973]
[1621546862.2612016, 1621546863.4119294]
[1621546861.991958, 1621546863.1557002]
[1621546861.9308958, 1621546863.0865676]
[1621546862.060886, 1621546863.2207153]
[1621546861.946367, 1621546863.0655186]
[1621546861.913442, 1621546863.0086122]
[1621546862.0968165, 1621546863.2929873]
[1621546862.1135774, 1621546863.2531676]
[1621546862.2379212, 1621546863.3845048]
[1621546862.1609268, 1621546863.2908745]
[1621546862.1122558, 1621546863.251702]
[1621546862.1237643, 1621546863.5540943]
[1621546862.3114386, 1621546863.4728389]
[1621546862.659373, 1621546863.8975456]
[1621546862.881961, 1621546864.0105305]
[1621546862.6212623, 1621546863.7896237]
[1621546862.9430866, 1621546864.120969]
[1621546862.996435, 1621546864.1355083]
[1621546863.099952, 1621546864.257504]
[1621546862.4556415, 1621546863.6035907]
[1621546862.9685202, 1621546864.1368883]
[1621546862.9655304, 1621546864.1107082]
[1621546863.2678027, 1621546864.399775]
[1621546863.3320198, 1621546864.5051246]
[1621546863.361984, 1621546864.502306]
[1621546862.7276003, 1621546863.818422]
[1621546863.4752698, 1621546864.6197264]
[1621546862.7891252, 1621546863.9104545]
[1621546863.400558, 1621546864.5518377]
[1621546862.9454572, 1621546864.0796192]
[1621546863.2297485, 1621546864.3772342]
[1621546862.7638872, 1621546863.8931417]
[1621546863.497403, 1621546864.6422706]
[1621546863.8137891, 1621546864.9598746]
[1621546863.7673895, 1621546864.8811164]
[1621546864.0968993, 1621546865.2653909]
[1621546864.227323, 1621546865.3688955]
[1621546863.4355538, 1621546864.6539838]
[1621546863.6177015, 1621546864.7765512]
[1621546863.6201532, 1621546865.310006]
[1621546863.7304695, 1621546864.8674436]
[1621546864.4260948, 1621546865.6552024]
[1621546864.2047572, 1621546865.35421]
[1621546863.63626, 1621546864.7698147]
[1621546864.3764408, 1621546865.512509]
[1621546864.1907768, 1621546865.3296006]
[1621546863.966634, 1621546865.1020718]
[1621546864.1333456, 1621546865.2284248]
[1621546863.5424392, 1621546864.7029088]
[1621546864.2828412, 1621546865.4849598]
[1621546863.8255427, 1621546864.9439495]
[1621546864.459338, 1621546865.5675414]
[1621546863.9268856, 1621546865.0746124]
[1621546863.9410784, 1621546865.101711]
[1621546863.9326136, 1621546865.046318]
[1621546864.6202254, 1621546865.8089359]
[1621546863.927324, 1621546865.069938]
[1621546863.8380995, 1621546864.9643254]
[1621546863.8693755, 1621546864.9669423]
[1621546863.9023423, 1621546865.1045287]
[1621546863.899144, 1621546865.007186]
[1621546864.1552649, 1621546865.3285344]
[1621546864.1664252, 1621546865.3055592]
[1621546864.1287544, 1621546865.2631655]
[1621546864.6668944, 1621546865.8170192]
[1621546864.6791615, 1621546865.8160815]
[1621546864.2581656, 1621546865.383886]
[1621546864.2153058, 1621546865.3409364]
[1621546864.3066754, 1621546865.4450455]
[1621546864.772155, 1621546865.9111216]
[1621546864.4482439, 1621546865.5975418]
[1621546864.7174013, 1621546865.8570814]
[1621546865.3895972, 1621546866.5155654]
[1621546864.8449085, 1621546866.0110252]
[1621546864.6141796, 1621546865.7587488]
[1621546865.235734, 1621546866.3606672]
[1621546864.9043093, 1621546866.0258482]
[1621546864.7441998, 1621546865.8867507]
[1621546865.1444826, 1621546866.2909899]
[1621546865.5079796, 1621546866.6431656]
[1621546865.5461617, 1621546866.6799011]
[1621546864.6676152, 1621546865.8158152]
[1621546865.2060726, 1621546866.3519273]
[1621546865.0243087, 1621546866.1179893]
[1621546865.5012236, 1621546866.6537387]
[1621546865.5826623, 1621546866.684372]
[1621546865.7111812, 1621546866.8974488]
[1621546865.9092433, 1621546867.047767]
[1621546866.0586433, 1621546867.215764]
[1621546865.6056492, 1621546866.7521305]
[1621546865.278646, 1621546866.4155114]
[1621546865.7245803, 1621546866.8532717]
[1621546865.4266548, 1621546866.571885]
[1621546865.1218355, 1621546866.3350773]
[1621546865.252931, 1621546866.3795025]
[1621546865.3130052, 1621546866.4537423]
[1621546865.6362364, 1621546866.7702088]
[1621546865.9950192, 1621546867.307441]
[1621546866.1190333, 1621546867.2630157]
[1621546865.5366526, 1621546866.6723921]
[1621546866.1278727, 1621546867.2224615]
[1621546866.0664282, 1621546867.2188642]
[1621546865.938337, 1621546867.0969286]
[1621546866.0480745, 1621546867.1592891]
[1621546865.8407834, 1621546866.9866204]
[1621546865.924381, 1621546867.0649054]
[1621546866.1058035, 1621546867.2718773]
[1621546866.6285372, 1621546867.7690983]
[1621546866.1402397, 1621546867.309366]
[1621546866.3498006, 1621546867.5266747]
[1621546866.259175, 1621546867.5324361]
[1621546866.4801364, 1621546867.6168106]
[1621546866.6235363, 1621546867.787916]
[1621546866.3804939, 1621546867.4738166]
[1621546866.67201, 1621546867.8281236]
[1621546867.0518036, 1621546868.1815877]
[1621546866.6749198, 1621546867.8253047]
[1621546866.6486263, 1621546867.7847297]
[1621546866.4905975, 1621546867.6123362]
[1621546867.332851, 1621546868.5046523]
[1621546866.933728, 1621546868.1027164]
[1621546866.4622576, 1621546867.607606]
[1621546866.6670349, 1621546867.8211522]
[1621546867.2670493, 1621546868.4458818]
