[1616699875.560905, 1616699876.2820613]
[1616699875.2316759, 1616699877.0983877]
[1616699875.1196718, 1616699875.7814622]
[1616699875.1376421, 1616699876.0337958]
[1616699875.5319967, 1616699876.250023]
[1616699875.0376408, 1616699875.7656646]
[1616699875.3400424, 1616699876.9768677]
[1616699875.3123198, 1616699882.0227814]
[1616699875.1954017, 1616699875.8885617]
[1616699875.5153472, 1616699876.2530382]
[1616699875.5536268, 1616699876.2534637]
[1616699875.5581522, 1616699876.3143694]
[1616699875.3507178, 1616699876.006941]
[1616699875.4063993, 1616699878.2295225]
[1616699874.990761, 1616699877.0717711]
[1616699875.3082995, 1616699878.307749]
[1616699875.6032262, 1616699876.2937768]
[1616699875.377501, 1616699876.0604582]
[1616699875.4288862, 1616699876.1898866]
[1616699875.4263718, 1616699876.0762122]
[1616699875.6045868, 1616699876.7621944]
[1616699875.9618964, 1616699877.2402134]
[1616699875.8209627, 1616699876.513483]
[1616699876.2399142, 1616699876.8923233]
[1616699876.4386861, 1616699877.1021972]
[1616699876.2477796, 1616699876.8931036]
[1616699876.029012, 1616699876.6759229]
[1616699876.296763, 1616699877.0464013]
[1616699876.7241423, 1616699877.4699838]
[1616699877.0029297, 1616699880.6369836]
[1616699876.6341083, 1616699877.3671472]
[1616699876.757904, 1616699877.7414389]
[1616699876.6493459, 1616699883.0073502]
[1616699876.6834512, 1616699877.6386898]
[1616699877.189949, 1616699877.900538]
[1616699877.1775606, 1616699877.8790183]
[1616699877.2986667, 1616699878.0561771]
[1616699877.0800705, 1616699877.8355317]
[1616699877.4078736, 1616699878.0496888]
[1616699876.8573008, 1616699877.5529318]
[1616699877.044672, 1616699877.773861]
[1616699877.4526298, 1616699878.1874807]
[1616699877.2152593, 1616699878.9091551]
[1616699877.2013443, 1616699877.9398313]
[1616699878.0352213, 1616699878.7309904]
[1616699877.976781, 1616699878.7151897]
[1616699877.7572944, 1616699879.6961424]
[1616699877.9605584, 1616699883.4019766]
[1616699878.2042735, 1616699878.9731102]
[1616699878.3475919, 1616699879.0497713]
[1616699878.3150373, 1616699879.0930505]
[1616699878.1043322, 1616699878.7940838]
[1616699878.5624921, 1616699879.198716]
[1616699878.6913323, 1616699879.4969616]
[1616699878.4438114, 1616699879.146016]
[1616699878.5063133, 1616699879.8107705]
[1616699878.8171916, 1616699879.5390158]
[1616699878.8972476, 1616699879.5550876]
[1616699878.9756043, 1616699879.6416395]
[1616699879.0971262, 1616699879.849042]
[1616699879.211415, 1616699879.850286]
[1616699879.542965, 1616699880.2229505]
[1616699879.4954789, 1616699880.9311194]
[1616699879.4787652, 1616699880.1520221]
[1616699879.4211328, 1616699880.0697773]
[1616699879.6411927, 1616699880.4361217]
[1616699879.6412597, 1616699880.3324814]
[1616699879.78783, 1616699880.4618242]
[1616699879.6358736, 1616699880.3480418]
[1616699879.8250456, 1616699880.5094159]
[1616699880.1379435, 1616699881.0806415]
[1616699880.0275252, 1616699881.0465782]
[1616699879.9474952, 1616699880.6321032]
[1616699880.093235, 1616699880.7475932]
[1616699880.2199905, 1616699880.8523939]
[1616699880.4351587, 1616699881.1157103]
[1616699880.3384671, 1616699881.0338788]
[1616699880.6627393, 1616699882.212239]
[1616699880.404271, 1616699881.6516426]
[1616699880.7234144, 1616699881.3893344]
[1616699880.7693467, 1616699882.3964763]
[1616699880.9904668, 1616699881.75743]
[1616699880.7481816, 1616699881.442813]
[1616699880.8660736, 1616699881.589264]
[1616699880.8290448, 1616699881.532963]
[1616699881.0508702, 1616699881.7859218]
[1616699881.2021446, 1616699882.1208708]
[1616699881.3157737, 1616699883.294797]
[1616699881.5733933, 1616699882.2561479]
[1616699881.2021322, 1616699881.8752186]
[1616699881.3233144, 1616699882.3444686]
[1616699881.5373118, 1616699883.9299147]
[1616699881.4743965, 1616699882.2188437]
[1616699881.570092, 1616699882.214733]
[1616699881.6827054, 1616699882.3800633]
[1616699881.6938913, 1616699882.4358625]
[1616699881.956605, 1616699883.2255526]
[1616699881.9301405, 1616699882.6636229]
[1616699881.8424962, 1616699882.517997]
[1616699882.0949543, 1616699882.758314]
[1616699882.1905766, 1616699882.8849056]
[1616699882.2036827, 1616699882.9137826]
[1616699882.1848116, 1616699882.9471762]
[1616699882.220192, 1616699882.8854053]
[1616699882.1328323, 1616699882.8010795]
[1616699882.4854233, 1616699885.5326688]
[1616699882.5653892, 1616699883.6229115]
[1616699882.630094, 1616699883.3959486]
[1616699882.610705, 1616699883.258147]
[1616699882.5406282, 1616699885.1218736]
[1616699882.938045, 1616699883.5830145]
[1616699882.7941823, 1616699883.477987]
[1616699882.738084, 1616699883.5007455]
[1616699882.8873863, 1616699883.8496492]
[1616699883.015262, 1616699883.6903968]
[1616699882.8617659, 1616699883.5197299]
[1616699883.2127821, 1616699883.853679]
[1616699883.102996, 1616699885.9416053]
[1616699882.9232812, 1616699883.6265666]
[1616699883.2725992, 1616699883.9340694]
[1616699883.4834173, 1616699884.1584136]
[1616699883.3485224, 1616699884.0398755]
[1616699883.4562588, 1616699884.364613]
[1616699883.333714, 1616699884.0897095]
[1616699883.4968505, 1616699884.1525037]
[1616699883.3664286, 1616699884.13867]
[1616699883.6016617, 1616699884.4019043]
[1616699883.5061595, 1616699884.2146597]
[1616699883.7420113, 1616699884.5645232]
[1616699883.9775453, 1616699885.0675519]
[1616699883.988997, 1616699884.778805]
[1616699884.0367336, 1616699884.6814327]
[1616699883.903483, 1616699884.565102]
[1616699884.103315, 1616699884.8862436]
[1616699884.1740499, 1616699884.8698366]
[1616699884.474769, 1616699885.1541998]
[1616699884.211054, 1616699886.5660472]
[1616699884.270847, 1616699885.0345101]
[1616699884.479499, 1616699885.9540958]
[1616699884.080474, 1616699884.7802567]
[1616699884.414622, 1616699886.2585275]
[1616699884.3441453, 1616699890.6358194]
[1616699884.1782355, 1616699884.9930706]
[1616699884.5761309, 1616699885.2685952]
[1616699884.7174954, 1616699885.4124446]
[1616699884.672318, 1616699885.419652]
[1616699884.6844857, 1616699885.4096282]
[1616699884.812154, 1616699885.4921582]
[1616699884.9766836, 1616699886.7052677]
[1616699884.6585793, 1616699885.3372045]
[1616699884.8008296, 1616699885.5368183]
[1616699885.0095024, 1616699885.67728]
[1616699884.7957156, 1616699885.483705]
[1616699885.0537398, 1616699885.9009695]
[1616699884.9375303, 1616699885.6753752]
[1616699885.2622504, 1616699886.0570617]
[1616699884.9649796, 1616699885.7216473]
[1616699885.037619, 1616699885.8715184]
[1616699885.1506836, 1616699885.8922007]
[1616699885.2661335, 1616699885.9434934]
[1616699885.4216926, 1616699886.1266901]
[1616699885.4858415, 1616699886.200885]
[1616699885.6339638, 1616699886.3669548]
[1616699885.4031696, 1616699887.139574]
[1616699885.490361, 1616699886.1670344]
[1616699885.6538537, 1616699887.7340367]
[1616699885.5942655, 1616699886.3466976]
[1616699885.750925, 1616699886.4345326]
[1616699885.846096, 1616699886.5144095]
[1616699885.92563, 1616699886.6450422]
[1616699885.923967, 1616699886.6269474]
[1616699886.0252934, 1616699886.7535143]
[1616699885.9062452, 1616699886.5862837]
[1616699885.924605, 1616699886.6048331]
[1616699886.1650314, 1616699886.8478355]
[1616699886.1875553, 1616699886.849141]
[1616699886.2017047, 1616699886.9342475]
[1616699886.1226583, 1616699886.790724]
[1616699886.0776124, 1616699886.7886517]
[1616699886.2132156, 1616699886.9811401]
[1616699886.3110352, 1616699887.0297618]
[1616699886.6261659, 1616699887.2882557]
[1616699886.6038384, 1616699887.3486774]
[1616699886.397664, 1616699891.7210145]
[1616699886.558924, 1616699888.0262458]
[1616699886.6214042, 1616699887.3753142]
[1616699886.5173335, 1616699887.2487454]
[1616699886.8390715, 1616699887.4925556]
[1616699886.7512045, 1616699887.6831176]
[1616699886.4998503, 1616699887.1957073]
[1616699886.903022, 1616699887.8908017]
[1616699886.7519321, 1616699887.4414907]
[1616699886.9131484, 1616699887.5729651]
[1616699886.9151146, 1616699887.7043395]
[1616699887.0043073, 1616699888.7618093]
[1616699887.1300023, 1616699887.8019848]
[1616699887.0650296, 1616699887.9166453]
[1616699887.294951, 1616699887.9662833]
[1616699887.1748164, 1616699887.822374]
[1616699887.4624965, 1616699890.1651647]
[1616699887.46313, 1616699888.1769023]
[1616699887.4625359, 1616699888.121672]
[1616699887.3770478, 1616699888.0589583]
[1616699887.5443978, 1616699888.189315]
[1616699887.608409, 1616699888.2786026]
[1616699887.597956, 1616699888.2532656]
[1616699887.8721497, 1616699888.582811]
[1616699887.8018417, 1616699889.1709962]
[1616699887.7405245, 1616699888.3895218]
[1616699887.832019, 1616699888.467142]
[1616699887.7753496, 1616699888.5081775]
[1616699887.9436798, 1616699888.5995216]
[1616699887.8563902, 1616699888.5521336]
[1616699887.8751938, 1616699888.5550358]
[1616699887.9439611, 1616699888.9580984]
[1616699887.7103465, 1616699888.4530916]
[1616699888.118552, 1616699888.7920692]
[1616699888.206285, 1616699888.8611476]
[1616699888.2136781, 1616699888.884125]
[1616699888.2137272, 1616699888.9138334]
[1616699888.2171712, 1616699889.1926956]
[1616699888.190934, 1616699891.0616937]
[1616699888.2039378, 1616699888.8500497]
