[1616700138.7957723, 1616700147.7616544]
[1616700138.7706017, 1616700154.3871229]
[1616700139.2938888, 1616700151.9510202]
[1616700139.1461115, 1616700159.0678833]
[1616700138.8812168, 1616700148.3419762]
[1616700139.0112767, 1616700148.5658932]
[1616700139.0143874, 1616700150.3873281]
[1616700138.8963814, 1616700159.471874]
[1616700138.752063, 1616700154.3429334]
[1616700139.2613919, 1616700156.6492262]
[1616700139.0502322, 1616700155.0750546]
[1616700139.2493813, 1616700157.9317794]
[1616700139.2530465, 1616700167.9765224]
[1616700139.294927, 1616700155.3272462]
[1616700139.050757, 1616700156.2483041]
[1616700139.1599233, 1616700156.384873]
[1616700138.9781294, 1616700149.7861536]
[1616700138.8692944, 1616700149.2485614]
[1616700138.9329634, 1616700158.6813138]
[1616700139.286469, 1616700153.47405]
[1616700139.122572, 1616700158.4120138]
[1616700139.253604, 1616700150.8956661]
[1616700139.454757, 1616700159.0290792]
[1616700139.6921256, 1616700160.2725515]
[1616700139.7684069, 1616700152.4574335]
[1616700139.663601, 1616700158.341845]
[1616700139.5340877, 1616700153.480859]
[1616700140.03895, 1616700156.786562]
[1616700140.295903, 1616700150.7464325]
[1616700139.821976, 1616700156.77083]
[1616700140.0178883, 1616700158.567987]
[1616700140.1696754, 1616700158.7681081]
[1616700140.2396994, 1616700156.3983843]
[1616700140.3335545, 1616700161.2170942]
[1616700140.456174, 1616700158.8715875]
[1616700140.7397482, 1616700156.5486207]
[1616700140.6143196, 1616700162.7773979]
[1616700140.6551127, 1616700156.5158193]
[1616700140.905562, 1616700157.3849487]
[1616700141.024919, 1616700158.014258]
[1616700140.883814, 1616700156.7765076]
[1616700141.0753965, 1616700150.5445914]
[1616700141.097485, 1616700160.351731]
[1616700141.5033295, 1616700153.258449]
[1616700141.2675815, 1616700161.1236572]
[1616700141.2040312, 1616700160.3148625]
[1616700141.699995, 1616700159.7226384]
[1616700141.4997566, 1616700162.2721052]
[1616700141.2239559, 1616700157.838766]
[1616700141.6586814, 1616700159.9933105]
[1616700141.684203, 1616700160.7208853]
[1616700141.9382236, 1616700159.8657496]
[1616700141.9261694, 1616700160.1244578]
[1616700142.1426153, 1616700157.6851134]
[1616700142.1096814, 1616700157.3343346]
[1616700142.2693412, 1616700161.1662803]
[1616700142.5922637, 1616700151.8540113]
[1616700142.2759075, 1616700160.7028286]
[1616700142.4944165, 1616700163.2179315]
[1616700142.550078, 1616700162.8161156]
[1616700142.8390026, 1616700158.7871165]
[1616700142.8731573, 1616700159.916752]
[1616700142.878488, 1616700161.7312865]
[1616700143.0024395, 1616700161.8799465]
[1616700143.0825582, 1616700161.515067]
[1616700143.2291174, 1616700191.6486819]
[1616700143.0444715, 1616700162.9449387]
[1616700143.1949036, 1616700162.8277178]
[1616700143.4581175, 1616700158.2193153]
[1616700143.6877532, 1616700161.289959]
[1616700143.258619, 1616700163.5858648]
[1616700143.6046135, 1616700162.5162613]
[1616700143.3959785, 1616700159.6013978]
[1616700143.5339625, 1616700152.7324731]
[1616700143.52746, 1616700155.2807574]
[1616700143.3921874, 1616700161.3481224]
[1616700143.931545, 1616700162.6783278]
[1616700143.6588264, 1616700156.9574172]
[1616700143.8006423, 1616700161.9037776]
[1616700144.0374055, 1616700160.0184245]
[1616700143.9819198, 1616700160.578241]
[1616700144.0597599, 1616700161.4230855]
[1616700144.3083797, 1616700161.608081]
[1616700144.3700895, 1616700161.054065]
[1616700144.4034348, 1616700163.667804]
[1616700144.4303787, 1616700166.645504]
[1616700144.4227052, 1616700161.9836435]
[1616700144.5524542, 1616700167.634581]
[1616700144.5190144, 1616700184.9114573]
[1616700144.4428887, 1616700164.5768294]
[1616700144.6919546, 1616700163.440235]
[1616700144.8470638, 1616700164.935926]
[1616700144.8205347, 1616700161.774296]
[1616700144.737966, 1616700164.0386822]
[1616700144.6533928, 1616700160.7193165]
[1616700144.9919057, 1616700159.1733804]
[1616700145.2475743, 1616700166.7262034]
[1616700145.077356, 1616700162.8893092]
[1616700145.1359842, 1616700158.3807456]
[1616700145.3008678, 1616700166.606688]
[1616700145.4473867, 1616700165.2668242]
[1616700145.4438825, 1616700165.8895743]
[1616700145.3891714, 1616700163.3188553]
[1616700145.484266, 1616700161.3425443]
[1616700145.3982205, 1616700158.8544743]
[1616700145.6693144, 1616700165.6424983]
[1616700145.7535532, 1616700166.0923483]
[1616700145.6443145, 1616700163.8718235]
[1616700145.5455146, 1616700164.036362]
[1616700145.7347393, 1616700164.270653]
[1616700145.8936443, 1616700161.3220463]
[1616700146.1263177, 1616700162.623627]
[1616700145.8796093, 1616700161.7820415]
[1616700146.168115, 1616700165.3511355]
[1616700146.22356, 1616700165.8143468]
[1616700146.264302, 1616700163.0589447]
[1616700146.2857792, 1616700166.5909717]
[1616700146.2391958, 1616700164.5128303]
[1616700146.531802, 1616700164.5277479]
[1616700146.4705954, 1616700164.7383482]
[1616700146.5240762, 1616700166.1271636]
[1616700146.585987, 1616700164.706776]
[1616700146.7401426, 1616700165.749494]
[1616700146.6361296, 1616700173.9307206]
[1616700146.936266, 1616700164.761575]
[1616700146.7163455, 1616700165.7172682]
[1616700146.9126716, 1616700164.77585]
[1616700146.9755728, 1616700165.2106192]
[1616700147.0361357, 1616700161.6701417]
[1616700147.2196908, 1616700166.6721852]
[1616700147.2475648, 1616700166.66833]
[1616700147.2475278, 1616700163.7764628]
[1616700147.296027, 1616700164.3548424]
[1616700147.4518766, 1616700163.5299957]
[1616700147.4406538, 1616700168.037806]
[1616700147.530677, 1616700165.4643788]
[1616700147.4714158, 1616700166.1303413]
[1616700147.5499947, 1616700165.461776]
[1616700147.7326987, 1616700164.2023094]
[1616700147.527818, 1616700167.3051186]
[1616700147.7900314, 1616700165.4425285]
[1616700147.5891783, 1616700182.081922]
[1616700147.722115, 1616700166.101793]
[1616700147.7933414, 1616700162.4483063]
[1616700147.8611987, 1616700165.7950559]
[1616700147.9939628, 1616700168.0276678]
[1616700147.9820638, 1616700167.814944]
[1616700148.2401166, 1616700160.3672075]
[1616700148.092194, 1616700167.9885626]
[1616700148.1166046, 1616700166.8516695]
[1616700148.1454062, 1616700164.9420245]
[1616700148.2212834, 1616700167.5314128]
[1616700148.220803, 1616700168.0532515]
[1616700148.3171809, 1616700167.0971205]
[1616700148.3457048, 1616700164.3024652]
[1616700148.391325, 1616700167.793217]
[1616700148.4066954, 1616700162.2550993]
[1616700148.4714925, 1616700163.8214798]
[1616700148.535439, 1616700167.6753774]
[1616700148.6885362, 1616700168.307553]
[1616700148.6872118, 1616700168.073208]
[1616700148.7526634, 1616700175.442421]
[1616700148.8281379, 1616700168.6061065]
[1616700148.780424, 1616700167.7618787]
[1616700148.688187, 1616700165.5558014]
[1616700148.8683982, 1616700158.7466276]
[1616700149.0290325, 1616700166.2985158]
[1616700149.031926, 1616700168.746461]
[1616700148.960485, 1616700165.7943723]
[1616700149.139801, 1616700166.2179651]
[1616700149.0256226, 1616700161.2950768]
[1616700149.041379, 1616700165.748541]
[1616700149.2399905, 1616700165.8287203]
[1616700149.1009567, 1616700162.481192]
[1616700149.0808659, 1616700166.3409429]
[1616700149.174964, 1616700162.651503]
[1616700149.2446282, 1616700170.2771673]
[1616700149.2575934, 1616700168.1466312]
[1616700149.2847536, 1616700162.9321113]
[1616700149.4063087, 1616700166.4903426]
[1616700149.4526649, 1616700169.50604]
[1616700149.4894953, 1616700169.0426438]
[1616700149.6070259, 1616700170.7770452]
[1616700149.511512, 1616700169.377689]
[1616700149.6214328, 1616700172.9726787]
[1616700149.5532029, 1616700165.0460622]
[1616700149.5830402, 1616700168.7248569]
[1616700149.7290573, 1616700168.518983]
[1616700149.7227554, 1616700166.9876409]
[1616700149.8293562, 1616700166.397529]
[1616700149.8965058, 1616700166.920629]
[1616700149.8000946, 1616700164.7286835]
[1616700149.925558, 1616700167.6308157]
[1616700149.9493484, 1616700166.1799955]
[1616700149.9378157, 1616700165.6914861]
[1616700150.0519056, 1616700168.1635878]
[1616700150.1632676, 1616700163.5019727]
[1616700150.062541, 1616700169.010964]
[1616700150.190294, 1616700165.2094462]
[1616700150.165389, 1616700168.4291804]
[1616700150.207436, 1616700171.5501547]
[1616700150.3401453, 1616700169.9736388]
[1616700150.1409702, 1616700159.0908117]
[1616700150.323921, 1616700166.3118901]
[1616700150.2621899, 1616700169.3853748]
[1616700150.2632933, 1616700169.964789]
[1616700150.4282022, 1616700170.224564]
[1616700150.4777067, 1616700165.2772717]
[1616700150.3893306, 1616700167.2417893]
[1616700150.4706569, 1616700169.7655294]
[1616700150.4474843, 1616700166.583796]
[1616700150.5404954, 1616700170.4747198]
[1616700150.5729656, 1616700162.456396]
[1616700150.4977136, 1616700168.6910377]
[1616700150.5491421, 1616700168.5344417]
[1616700150.6089864, 1616700170.9215972]
[1616700150.6777852, 1616700168.6904624]
[1616700150.652062, 1616700167.474561]
[1616700150.7251554, 1616700170.6767883]
[1616700150.818908, 1616700167.5537288]
[1616700150.8070092, 1616700167.6104217]
[1616700150.7769804, 1616700166.8382978]
[1616700150.7611513, 1616700171.7818024]
[1616700150.994149, 1616700171.8712258]
[1616700150.9189987, 1616700165.0854626]
[1616700150.932387, 1616700197.6321473]
[1616700150.9966178, 1616700170.4209404]
[1616700150.9379911, 1616700168.448027]
[1616700151.001233, 1616700170.0625799]
[1616700151.1155355, 1616700169.9542356]
[1616700151.0436716, 1616700169.22826]
[1616700151.1390247, 1616700168.8738184]
[1616700151.0615878, 1616700164.2505062]
[1616700151.166164, 1616700169.5434434]
[1616700151.0479345, 1616700170.089645]
[1616700151.2033398, 1616700171.0071702]
[1616700151.2435079, 1616700170.0855427]
[1616700151.2823257, 1616700168.0084755]
[1616700151.2634892, 1616700169.3741863]
[1616700151.4348798, 1616700170.284421]
[1616700151.3063526, 1616700172.5586152]
[1616700151.263088, 1616700171.0192063]
[1616700151.4511485, 1616700170.0829308]
[1616700151.378787, 1616700172.2388365]
[1616700151.5136163, 1616700167.7466369]
[1616700151.4044788, 1616700170.6124141]
[1616700151.4274745, 1616700172.9548056]
[1616700151.5103858, 1616700170.6950977]
[1616700151.4926183, 1616700170.367975]
[1616700151.438885, 1616700164.685169]
[1616700151.5984795, 1616700169.5299659]
[1616700151.6328566, 1616700171.001763]
[1616700151.5443273, 1616700169.1814344]
[1616700151.624274, 1616700168.4260492]
[1616700151.6282258, 1616700171.1898355]
[1616700151.7049012, 1616700170.7614877]
[1616700151.7373533, 1616700172.2064528]
[1616700151.7392223, 1616700171.954567]
[1616700151.6693313, 1616700167.6100311]
[1616700151.8463373, 1616700169.7382624]
[1616700151.793533, 1616700169.9630892]
[1616700151.8473496, 1616700171.7154844]
[1616700151.8546789, 1616700170.9158466]
[1616700151.8042798, 1616700167.0592604]
[1616700151.8305037, 1616700171.1382165]
[1616700151.832286, 1616700172.3750386]
[1616700151.938627, 1616700171.1034877]
[1616700151.90221, 1616700169.7524087]
[1616700151.8608997, 1616700165.193714]
[1616700151.8779857, 1616700165.8776157]
[1616700151.9536536, 1616700169.1329987]
[1616700151.9563758, 1616700170.8222785]
[1616700152.0234654, 1616700171.552946]
[1616700151.9504025, 1616700169.5898628]
[1616700152.009917, 1616700171.627894]
[1616700152.0623722, 1616700167.511859]
[1616700152.083008, 1616700167.5439093]
[1616700152.0809577, 1616700165.767308]
[1616700152.1475933, 1616700169.4615986]
[1616700152.0453482, 1616700169.903344]
[1616700152.0751693, 1616700170.2575371]
[1616700152.2052076, 1616700166.442864]
[1616700152.3024135, 1616700173.1098812]
[1616700152.1834416, 1616700172.043464]
[1616700152.2085962, 1616700170.6417065]
[1616700152.1698978, 1616700170.0636537]
[1616700152.2503705, 1616700170.7085204]
[1616700152.2076998, 1616700168.5332687]
[1616700152.2023273, 1616700170.7967536]
[1616700152.422459, 1616700191.4152334]
[1616700152.483785, 1616700172.560465]
[1616700152.2848682, 1616700169.8406148]
[1616700152.5287411, 1616700169.4520228]
[1616700152.320373, 1616700168.710244]
[1616700152.3646078, 1616700169.9437106]
[1616700152.3112957, 1616700170.397931]
[1616700152.5008986, 1616700167.1885743]
[1616700152.4494255, 1616700169.7096848]
[1616700152.4294548, 1616700172.9727807]
[1616700152.3696916, 1616700171.119731]
[1616700152.512008, 1616700167.990226]
[1616700152.411432, 1616700171.6469693]
[1616700152.34879, 1616700171.8017879]
[1616700152.7293913, 1616700172.5806649]
[1616700152.7133758, 1616700171.7626946]
[1616700152.598823, 1616700170.959932]
[1616700152.7397325, 1616700165.1881475]
[1616700152.5062826, 1616700171.9265804]
[1616700152.7252622, 1616700168.3462524]
[1616700152.4886112, 1616700173.1431494]
[1616700152.671144, 1616700169.036273]
[1616700152.5727067, 1616700170.7215743]
[1616700152.5096905, 1616700165.4772828]
[1616700152.5625575, 1616700170.7073183]
[1616700152.4592538, 1616700168.8948424]
[1616700152.5426886, 1616700169.8150668]
[1616700152.7169154, 1616700170.5308118]
[1616700152.80741, 1616700170.5133193]
[1616700152.6101892, 1616700171.9877307]
[1616700152.8620024, 1616700170.8192868]
[1616700152.8531158, 1616700169.5157576]
[1616700152.7516985, 1616700169.4082692]
[1616700152.6141322, 1616700171.7112958]
[1616700152.741371, 1616700172.1285172]
[1616700152.8997853, 1616700168.3567224]
[1616700152.5989878, 1616700166.4045413]
[1616700152.6312363, 1616700171.0695295]
[1616700152.8467495, 1616700172.5562682]
[1616700152.7619588, 1616700171.0625417]
[1616700152.6600356, 1616700170.4271443]
[1616700152.8088503, 1616700171.9179018]
[1616700152.70938, 1616700171.5363553]
[1616700153.8329718, 1616700163.9380789]
[1616700152.93648, 1616700169.5555763]
[1616700152.6913717, 1616700171.9707384]
