[1616701950.9369779, 1616701951.6199088]
[1616701951.332458, 1616701952.005721]
[1616701951.342886, 1616701952.0078235]
[1616701950.903543, 1616701952.7011993]
[1616701951.2232814, 1616701952.0515554]
[1616701951.3975596, 1616701952.099754]
[1616701950.9560401, 1616701951.685929]
[1616701951.297305, 1616701953.7838056]
[1616701951.5006003, 1616701952.2733796]
[1616701951.2447886, 1616701951.9075933]
[1616701950.9973612, 1616701951.7256596]
[1616701951.1796448, 1616701952.179564]
[1616701951.632545, 1616701952.326693]
[1616701951.0645885, 1616701951.7398057]
[1616701951.1466637, 1616701951.8661876]
[1616701951.4163158, 1616701952.104555]
[1616701951.4509528, 1616701952.1383379]
[1616701951.4004915, 1616701952.1895819]
[1616701951.3426452, 1616701952.0093641]
[1616701951.2980907, 1616701954.6138206]
[1616701951.9190493, 1616701952.580779]
[1616701951.7385702, 1616701952.4391468]
[1616701951.8739429, 1616701952.544068]
[1616701951.88198, 1616701952.5424273]
[1616701951.7384844, 1616701953.021588]
[1616701951.5284765, 1616701952.2013943]
[1616701952.0388665, 1616701952.7775369]
[1616701951.9205265, 1616701952.6162689]
[1616701952.1943805, 1616701952.9019866]
[1616701952.179154, 1616701952.9065027]
[1616701952.405394, 1616701953.0961177]
[1616701952.7224128, 1616701953.3656287]
[1616701952.4879057, 1616701953.123212]
[1616701952.5114467, 1616701953.218504]
[1616701952.8122659, 1616701953.4712288]
[1616701952.824408, 1616701953.553895]
[1616701952.9275787, 1616701953.6260903]
[1616701952.8993316, 1616701953.558365]
[1616701953.132256, 1616701953.827106]
[1616701953.443143, 1616701954.0687551]
[1616701953.500127, 1616701954.174297]
[1616701953.140883, 1616701953.868728]
[1616701953.4507635, 1616701954.135005]
[1616701953.270122, 1616701953.9807258]
[1616701953.6065297, 1616701954.237263]
[1616701953.440918, 1616701954.119543]
[1616701953.8497574, 1616701954.5145795]
[1616701954.0625255, 1616701955.3802848]
[1616701954.2872758, 1616701954.9336169]
[1616701954.3080244, 1616701955.0013406]
[1616701954.4639556, 1616701955.1710744]
[1616701954.3291984, 1616701955.0372283]
[1616701954.8644972, 1616701955.553184]
[1616701954.4804757, 1616701955.2033675]
[1616701954.748735, 1616701955.4470406]
[1616701955.0799725, 1616701955.718022]
[1616701955.055171, 1616701955.7551038]
[1616701955.3467584, 1616701956.045284]
[1616701955.1101835, 1616701955.8178413]
[1616701955.0666661, 1616701959.1935186]
[1616701955.1900957, 1616701955.923034]
[1616701955.2013888, 1616701956.0119429]
[1616701955.2671897, 1616701955.9192846]
[1616701955.496167, 1616701956.1569698]
[1616701955.3198333, 1616701956.1556752]
[1616701955.7658908, 1616701956.6064491]
[1616701955.5526667, 1616701956.1965876]
[1616701955.7010267, 1616701957.097567]
[1616701955.7460132, 1616701956.3813314]
[1616701956.0645473, 1616701957.0081255]
[1616701955.9239283, 1616701956.621091]
[1616701956.000992, 1616701956.7084742]
[1616701956.1311953, 1616701956.7993891]
[1616701956.0982947, 1616701956.8436294]
[1616701956.257409, 1616701956.956534]
[1616701956.1446762, 1616701956.9065804]
[1616701956.4510818, 1616701957.103995]
[1616701956.1787074, 1616701956.8412144]
[1616701956.4561052, 1616701957.1874936]
[1616701956.5747576, 1616701957.2695818]
[1616701956.3287506, 1616701957.075974]
[1616701956.482403, 1616701957.1473744]
[1616701956.7124531, 1616701957.496902]
[1616701956.7410333, 1616701957.4387496]
[1616701956.851531, 1616701957.6229527]
[1616701956.6866236, 1616701957.3694398]
[1616701956.9791539, 1616701957.6255121]
[1616701957.0817735, 1616701957.798249]
[1616701957.12956, 1616701957.805119]
[1616701957.1369038, 1616701957.8079739]
[1616701957.2646449, 1616701958.988123]
[1616701957.0650003, 1616701958.3771644]
[1616701957.1622372, 1616701963.9852567]
[1616701957.427422, 1616701958.079397]
[1616701957.3657472, 1616701958.023345]
[1616701957.3101492, 1616701960.3703356]
[1616701957.4342372, 1616701958.0917513]
[1616701957.215091, 1616701957.921821]
[1616701957.5526137, 1616701959.425417]
[1616701957.388589, 1616701967.134511]
[1616701957.8296194, 1616701958.4659262]
[1616701957.8107307, 1616701958.7313883]
[1616701957.6377335, 1616701958.2808192]
[1616701957.9024398, 1616701959.411695]
[1616701957.8846717, 1616701958.539299]
[1616701958.0929852, 1616701959.2530327]
[1616701957.9665363, 1616701958.6429036]
[1616701958.2354343, 1616701958.901254]
[1616701958.0698674, 1616701959.2137635]
[1616701958.3130884, 1616701958.948947]
[1616701958.337513, 1616701959.0616353]
[1616701958.4145834, 1616701959.1406372]
[1616701958.2555554, 1616701959.532183]
[1616701958.631302, 1616701959.3512669]
[1616701958.3706598, 1616701959.1472158]
[1616701958.5362625, 1616701959.1885371]
[1616701958.694295, 1616701959.3689177]
[1616701958.7806337, 1616701959.6099188]
[1616701958.7256494, 1616701959.424593]
[1616701958.904154, 1616701961.0501614]
[1616701958.7805238, 1616701959.7133934]
[1616701959.0609171, 1616701961.8539226]
[1616701959.0859637, 1616701959.7781942]
[1616701959.0633142, 1616701959.7058997]
[1616701959.0879898, 1616701959.760771]
[1616701959.2008677, 1616701960.9027202]
[1616701959.346963, 1616701960.0214446]
[1616701959.2916737, 1616701959.910877]
