[1616701912.7387438, 1616701933.9914916]
[1616701912.408451, 1616701931.8020415]
[1616701912.5291388, 1616701927.2187066]
[1616701912.293312, 1616701934.5681114]
[1616701912.4360747, 1616701929.7494357]
[1616701912.567077, 1616701929.8182724]
[1616701912.2852974, 1616701931.887007]
[1616701912.3154745, 1616701930.8712144]
[1616701912.9783158, 1616701932.008722]
[1616701912.8141186, 1616701934.9391522]
[1616701912.6860754, 1616701930.4879158]
[1616701912.914187, 1616701932.6651769]
[1616701912.913699, 1616701934.2354822]
[1616701912.8526254, 1616701933.2556064]
[1616701912.6705477, 1616701932.6247084]
[1616701912.4893346, 1616701928.9179168]
[1616701912.6453345, 1616701933.1864755]
[1616701912.3198414, 1616701922.8520067]
[1616701912.6754391, 1616701926.7366326]
[1616701912.8635287, 1616701932.3127987]
[1616701913.2817225, 1616701932.4116285]
[1616701912.8746133, 1616701923.9890807]
[1616701912.9974253, 1616701933.0200942]
[1616701913.2007263, 1616701934.126145]
[1616701913.3723745, 1616701924.720104]
[1616701913.6493595, 1616701933.0873423]
[1616701913.4844983, 1616701929.0307047]
[1616701913.7623959, 1616701933.7207603]
[1616701913.6659133, 1616701933.8793435]
[1616701913.9172912, 1616701931.42033]
[1616701913.8683364, 1616701930.6544864]
[1616701914.217272, 1616701934.1080244]
[1616701914.0181909, 1616701933.88481]
[1616701913.9100466, 1616701936.2273796]
[1616701914.1968749, 1616701935.334651]
[1616701914.2448146, 1616701936.9799004]
[1616701914.216695, 1616701933.779563]
[1616701914.0177557, 1616701931.3085175]
[1616701914.0673394, 1616701932.028114]
[1616701914.482714, 1616701933.7088346]
[1616701914.6555424, 1616701934.6334298]
[1616701914.5785706, 1616701931.9976864]
[1616701914.675393, 1616701936.0906405]
[1616701915.213622, 1616701934.5225294]
[1616701914.8623075, 1616701935.5757453]
[1616701914.958805, 1616701935.811029]
[1616701915.587871, 1616701926.512608]
[1616701915.5051339, 1616701932.1814795]
[1616701915.4978278, 1616701937.1858077]
[1616701915.5327618, 1616701937.1049316]
[1616701915.660191, 1616701933.6674902]
[1616701915.7570956, 1616701933.921884]
[1616701915.9489222, 1616701934.4903066]
[1616701915.660056, 1616701933.4131439]
[1616701915.880356, 1616701935.2368736]
[1616701916.0321205, 1616701930.1120937]
[1616701915.9659128, 1616701936.328853]
[1616701916.2992687, 1616701937.6048427]
[1616701916.4028745, 1616701936.9765947]
[1616701915.754469, 1616701937.5779674]
[1616701916.301798, 1616701936.7185378]
[1616701916.4247668, 1616701936.454211]
[1616701916.6666737, 1616701934.2836235]
[1616701916.6860423, 1616701935.0386055]
[1616701916.5083673, 1616701937.5296423]
[1616701916.511095, 1616701938.8175435]
[1616701916.7991292, 1616701937.4949467]
[1616701916.5750182, 1616701937.8726745]
[1616701916.7293577, 1616701934.2358649]
[1616701916.9721594, 1616701936.6235008]
[1616701916.8390472, 1616701937.5945842]
[1616701917.0826864, 1616701937.18826]
[1616701917.1002307, 1616701937.9281623]
[1616701917.2147214, 1616701936.7689939]
[1616701917.3122208, 1616701936.5567427]
[1616701917.3296385, 1616701932.2169092]
[1616701917.3899882, 1616701931.5428627]
[1616701917.3425977, 1616701937.6421213]
[1616701917.5913165, 1616701936.420679]
[1616701917.4119983, 1616701935.2292697]
[1616701917.2938874, 1616701937.8182087]
[1616701917.7056448, 1616701937.4543738]
[1616701917.8463645, 1616701938.165905]
[1616701917.7953384, 1616701936.8426163]
[1616701917.7945294, 1616701939.1624784]
[1616701917.4998784, 1616701939.119238]
[1616701917.539954, 1616701939.5287385]
[1616701917.9911394, 1616701939.3727465]
[1616701917.9783783, 1616701939.2125752]
[1616701917.916732, 1616701938.8833516]
[1616701918.1480947, 1616701937.2886908]
[1616701918.1565137, 1616701938.1331618]
[1616701918.1677473, 1616701940.2374444]
[1616701918.1187577, 1616701939.4753668]
[1616701918.0305178, 1616701940.482466]
[1616701918.1644235, 1616701938.4875267]
[1616701918.2774217, 1616701937.023251]
[1616701918.473556, 1616701937.7110884]
[1616701918.258718, 1616701936.6929111]
[1616701918.4000678, 1616701939.7446194]
[1616701918.5259602, 1616701938.0073318]
[1616701918.5912626, 1616701939.7715602]
[1616701918.5553753, 1616701941.295138]
[1616701918.5854867, 1616701943.4213936]
[1616701918.6854918, 1616701933.5193594]
[1616701918.6363463, 1616701941.3327627]
[1616701918.6868165, 1616701939.4625566]
[1616701918.6988027, 1616701938.8062701]
[1616701918.832748, 1616701936.2735293]
[1616701918.7914116, 1616701940.4410944]
