[1616704945.4602914, 1616704946.140832]
[1616704945.3962247, 1616704946.1029913]
[1616704945.105297, 1616704946.3678439]
[1616704944.7566652, 1616704945.4139407]
[1616704944.9720013, 1616704945.6423755]
[1616704945.2053003, 1616704945.8595963]
[1616704945.4399495, 1616704946.6940162]
[1616704945.4726717, 1616704946.5280998]
[1616704945.1932497, 1616704945.922412]
[1616704945.1150842, 1616704945.8409998]
[1616704944.9974434, 1616704945.622183]
[1616704945.4708877, 1616704946.184094]
[1616704945.4385378, 1616704946.1349683]
[1616704945.0995188, 1616704945.7779026]
[1616704945.404886, 1616704946.5263143]
[1616704945.2217097, 1616704945.9444976]
[1616704945.2051377, 1616704945.9165957]
[1616704945.1981015, 1616704945.9156034]
[1616704945.554345, 1616704946.2297897]
[1616704945.4874294, 1616704946.1489782]
[1616704945.587623, 1616704946.263283]
[1616704945.6773522, 1616704946.3497386]
[1616704945.5334723, 1616704946.2229362]
[1616704946.0101993, 1616704946.7161024]
[1616704945.8902352, 1616704946.5355544]
[1616704945.9715352, 1616704946.6624138]
[1616704946.098281, 1616704946.8276806]
[1616704946.150803, 1616704946.8473485]
[1616704946.0529993, 1616704946.7784066]
[1616704946.2034142, 1616704950.0221467]
[1616704946.1512291, 1616704946.8045976]
[1616704946.3372366, 1616704947.0615773]
[1616704946.3050182, 1616704946.9698522]
[1616704946.2211375, 1616704946.8888927]
[1616704946.4568636, 1616704947.1356738]
[1616704946.3771076, 1616704947.0597425]
[1616704946.5114324, 1616704947.2708647]
[1616704946.4424343, 1616704947.6386082]
[1616704946.6063, 1616704949.115817]
[1616704946.6679893, 1616704947.3688898]
[1616704946.7058125, 1616704947.409896]
[1616704946.6009603, 1616704947.2873967]
[1616704946.5850985, 1616704947.229216]
[1616704946.6304388, 1616704947.3285916]
[1616704946.8296325, 1616704947.4581237]
[1616704946.9003491, 1616704947.5302625]
[1616704946.7139502, 1616704947.412455]
[1616704946.979498, 1616704947.7033658]
[1616704946.9763818, 1616704950.249538]
[1616704947.1229627, 1616704947.7584002]
[1616704946.8548627, 1616704947.504781]
[1616704946.9770434, 1616704947.7368379]
[1616704947.1203458, 1616704947.835699]
[1616704947.2039905, 1616704948.8328424]
[1616704947.2550986, 1616704947.9214556]
[1616704947.1731, 1616704947.8801713]
[1616704947.2697415, 1616704949.1849644]
[1616704947.1514463, 1616704947.8811777]
[1616704947.2769063, 1616704947.9867756]
[1616704947.382675, 1616704948.419182]
[1616704947.3539317, 1616704947.992584]
[1616704947.2398705, 1616704947.8824067]
[1616704947.4074008, 1616704948.054558]
[1616704947.4224114, 1616704949.1943755]
[1616704947.408, 1616704948.1310365]
[1616704947.398758, 1616704948.5515668]
[1616704947.403276, 1616704949.1122582]
[1616704947.362437, 1616704948.1083174]
[1616704947.4643793, 1616704948.1295109]
[1616704947.45696, 1616704948.7950432]
[1616704947.1428993, 1616704950.220603]
[1616704947.4387622, 1616704949.435895]
[1616704947.449491, 1616704948.1222072]
[1616704947.3956192, 1616704948.097754]
[1616704947.3501124, 1616704948.0239415]
[1616704947.4693682, 1616704948.140581]
[1616704947.3851514, 1616704948.0804925]
[1616704947.4204545, 1616704949.6817412]
[1616704947.2962472, 1616704947.9904284]
[1616704947.537483, 1616704948.2053115]
[1616704947.4959059, 1616704948.1541548]
[1616704947.5212307, 1616704948.5813642]
[1616704947.5193806, 1616704948.2838597]
[1616704947.5455213, 1616704948.2685921]
[1616704947.5446036, 1616704954.1806755]
[1616704947.566296, 1616704948.2643855]
[1616704947.538996, 1616704948.214914]
[1616704947.5897973, 1616704950.1806955]
[1616704947.5868046, 1616704948.2761912]
[1616704947.5172226, 1616704948.1611505]
[1616704947.5961502, 1616704948.2923207]
[1616704947.5834053, 1616704950.3215892]
[1616704947.554278, 1616704948.198688]
[1616704947.3131824, 1616704948.0267394]
[1616704947.6357145, 1616704948.2950878]
[1616704947.6360247, 1616704949.4352767]
[1616704947.5755556, 1616704948.4436672]
[1616704947.6532757, 1616704948.316624]
[1616704947.5674207, 1616704948.9552627]
[1616704947.6389492, 1616704948.3519733]
