[1616703626.1979413, 1616703646.2522576]
[1616703626.0687287, 1616703636.2764556]
[1616703625.7958798, 1616703646.3770123]
[1616703625.9112651, 1616703642.9939566]
[1616703626.1809561, 1616703646.131686]
[1616703626.1528525, 1616703644.0342734]
[1616703625.9321752, 1616703645.3536549]
[1616703626.4015024, 1616703647.4259388]
[1616703626.3291562, 1616703648.5018587]
[1616703626.1351576, 1616703644.952585]
[1616703626.4238687, 1616703648.5366402]
[1616703626.1666815, 1616703641.882193]
[1616703626.431495, 1616703648.2917778]
[1616703626.3998704, 1616703645.6268818]
[1616703626.5274734, 1616703648.8695376]
[1616703626.404816, 1616703638.479173]
[1616703626.3001332, 1616703642.9978204]
[1616703626.0408318, 1616703646.428708]
[1616703626.4072125, 1616703644.553643]
[1616703626.5565445, 1616703645.2087226]
[1616703626.635717, 1616703645.9337819]
[1616703626.8522394, 1616703644.0916333]
[1616703626.550745, 1616703648.712687]
[1616703626.8644516, 1616703646.7510087]
[1616703627.1616356, 1616703646.8225367]
[1616703626.901318, 1616703645.9443388]
[1616703626.8342025, 1616703646.266632]
[1616703627.212479, 1616703644.4057722]
[1616703627.1724675, 1616703650.489147]
[1616703626.8880198, 1616703646.1721373]
[1616703627.465361, 1616703647.1900957]
[1616703627.4452646, 1616703647.2029002]
[1616703627.2897177, 1616703640.5343742]
[1616703627.4815655, 1616703645.4455962]
[1616703627.747016, 1616703648.7297997]
[1616703627.5582135, 1616703648.5807393]
[1616703627.6008832, 1616703647.6766715]
[1616703627.8697646, 1616703647.8856075]
[1616703627.777412, 1616703650.9144351]
[1616703627.608789, 1616703647.180065]
[1616703627.9019294, 1616703645.5258799]
[1616703628.0672586, 1616703650.5927198]
[1616703628.2296162, 1616703645.1826644]
[1616703628.2290304, 1616703648.8251433]
[1616703628.1757843, 1616703646.5043664]
[1616703628.2812138, 1616703645.967145]
[1616703628.217584, 1616703641.8147972]
[1616703628.2840962, 1616703646.9141462]
[1616703628.703829, 1616703644.8040059]
[1616703628.7610874, 1616703650.5386786]
[1616703628.8955133, 1616703650.6091247]
[1616703628.9627, 1616703653.430083]
[1616703629.066614, 1616703649.9318912]
[1616703629.2324703, 1616703649.6851635]
[1616703629.207064, 1616703649.3391824]
[1616703629.307284, 1616703651.29739]
[1616703629.183917, 1616703647.1887102]
[1616703629.428426, 1616703648.5985415]
[1616703629.5696087, 1616703649.6734967]
[1616703629.6109667, 1616703647.0138967]
[1616703629.5882435, 1616703651.1309185]
[1616703629.8774812, 1616703647.0732098]
[1616703629.924596, 1616703651.2534235]
[1616703630.1227212, 1616703652.6133792]
[1616703630.2577991, 1616703644.3719027]
[1616703630.0485258, 1616703646.1728137]
[1616703630.1323614, 1616703646.2546248]
[1616703630.4944253, 1616703646.8936524]
[1616703630.2024512, 1616703651.2741194]
[1616703630.1865976, 1616703648.8439343]
[1616703630.619741, 1616703652.4928126]
[1616703630.7082853, 1616703652.4113004]
[1616703630.385822, 1616703652.096468]
[1616703630.5921912, 1616703652.096492]
[1616703630.6395812, 1616703652.0509584]
[1616703630.6609995, 1616703652.9476867]
[1616703630.9689586, 1616703652.2429507]
[1616703630.8225598, 1616703652.6914818]
[1616703631.0374482, 1616703649.5320866]
[1616703630.8969676, 1616703649.282712]
[1616703630.9000068, 1616703652.6022787]
[1616703630.9911265, 1616703651.3613462]
[1616703631.3796887, 1616703656.2334414]
[1616703631.3299115, 1616703649.265419]
[1616703631.163906, 1616703649.2229211]
[1616703631.4108562, 1616703652.4725459]
[1616703631.369509, 1616703651.5051315]
[1616703631.5236144, 1616703650.5510955]
[1616703631.3972178, 1616703646.989257]
[1616703631.4964979, 1616703650.0323455]
[1616703631.6808448, 1616703650.7374876]
[1616703631.730904, 1616703651.898152]
[1616703631.6523128, 1616703653.8768635]
[1616703631.8021007, 1616703651.9354277]
[1616703631.8531303, 1616703649.8697302]
[1616703631.9371512, 1616703652.8850229]
[1616703632.1049886, 1616703650.123481]
[1616703632.0359433, 1616703652.824816]
[1616703632.2902255, 1616703653.8434548]
[1616703632.261146, 1616703650.8044796]
[1616703632.2923865, 1616703650.1009676]
[1616703632.3752112, 1616703654.034469]
[1616703632.3323548, 1616703654.4428954]
[1616703632.5182834, 1616703651.9274745]
[1616703632.4236958, 1616703654.5838096]
[1616703632.68666, 1616703652.7754698]
[1616703632.6728678, 1616703653.1467252]
[1616703632.7338264, 1616703653.2814481]
[1616703632.8441148, 1616703655.4822047]
[1616703632.8231068, 1616703650.768027]
[1616703632.7405422, 1616703654.1112766]
[1616703632.974434, 1616703654.8655622]
[1616703632.993932, 1616703654.242767]
[1616703633.0829337, 1616703653.7517495]
[1616703633.1600285, 1616703653.5242717]
[1616703632.9994328, 1616703651.8591924]
[1616703633.279841, 1616703653.8432426]
[1616703633.2072477, 1616703655.3763516]
[1616703633.1858463, 1616703654.6778095]
[1616703633.3597045, 1616703654.1729126]
[1616703633.210401, 1616703653.9591742]
[1616703633.196727, 1616703654.4643333]
[1616703633.567718, 1616703651.9550722]
[1616703633.3998597, 1616703654.7744982]
[1616703633.5306218, 1616703651.3767803]
[1616703633.6643784, 1616703649.8824296]
[1616703633.6885877, 1616703647.8853173]
[1616703633.617055, 1616703652.664559]
[1616703633.8729463, 1616703654.5306988]
[1616703633.8894491, 1616703653.0651555]
[1616703633.817018, 1616703655.3502913]
[1616703633.9115727, 1616703651.944014]
[1616703633.949772, 1616703653.877376]
[1616703633.9872108, 1616703651.5041873]
[1616703634.1085024, 1616703652.8556666]
[1616703634.180432, 1616703654.584844]
[1616703634.1438546, 1616703654.2124398]
[1616703634.1813354, 1616703652.7017436]
[1616703634.3117225, 1616703653.3959026]
[1616703634.1830258, 1616703655.137516]
[1616703634.4268205, 1616703656.6637242]
[1616703634.4473813, 1616703653.42695]
[1616703634.525759, 1616703654.684698]
[1616703634.5367694, 1616703657.5303588]
[1616703634.4414868, 1616703656.336924]
[1616703634.5938666, 1616703653.46201]
[1616703634.5738382, 1616703655.4666083]
[1616703634.6033592, 1616703653.569339]
[1616703634.567898, 1616703654.9784772]
[1616703634.7019906, 1616703654.4859335]
[1616703634.781755, 1616703655.5863097]
[1616703634.829764, 1616703655.169269]
[1616703634.8582308, 1616703653.8313997]
[1616703634.717352, 1616703654.7747555]
[1616703634.812242, 1616703653.451803]
[1616703634.816519, 1616703655.8797154]
[1616703634.9828205, 1616703649.3824713]
[1616703634.8614702, 1616703651.3720903]
[1616703634.985023, 1616703656.7971218]
[1616703635.0365865, 1616703652.5605803]
[1616703634.9012504, 1616703655.246354]
[1616703635.0769894, 1616703656.8957586]
[1616703635.0512257, 1616703654.772091]
[1616703635.0295608, 1616703654.907353]
[1616703635.1981168, 1616703655.6922736]
[1616703635.0930293, 1616703650.538458]
[1616703635.190187, 1616703654.3436818]
[1616703635.2926862, 1616703653.3477633]
[1616703635.2896092, 1616703653.1310954]
[1616703635.3474038, 1616703655.7699275]
[1616703635.2324166, 1616703654.7624903]
[1616703635.573624, 1616703655.926255]
