[1616693154.4432185, 1616693157.9254692]
[1616693154.3560674, 1616693157.6494656]
[1616693154.3588595, 1616693157.8092391]
[1616693154.5848348, 1616693157.8357468]
[1616693154.470777, 1616693157.9732518]
[1616693154.4147315, 1616693157.6763568]
[1616693154.454076, 1616693157.9122353]
[1616693154.4004424, 1616693157.8941405]
[1616693154.6972916, 1616693158.2029462]
[1616693154.7023818, 1616693157.9919944]
[1616693154.412399, 1616693157.9290314]
[1616693154.8833594, 1616693158.352681]
[1616693154.6479213, 1616693157.935789]
[1616693154.3792877, 1616693157.77912]
[1616693154.9726195, 1616693158.4508672]
[1616693154.705399, 1616693157.9454906]
[1616693154.7068336, 1616693158.1705406]
[1616693154.7713757, 1616693158.0006254]
[1616693154.9628916, 1616693158.4685714]
[1616693154.7319932, 1616693158.1977298]
[1616693154.8008235, 1616693158.1715236]
[1616693155.023408, 1616693158.5651398]
[1616693155.4103894, 1616693158.666296]
[1616693155.256774, 1616693158.7290375]
[1616693155.220431, 1616693158.4982488]
[1616693155.0175724, 1616693158.2823894]
[1616693155.5068154, 1616693158.9698532]
[1616693155.7371812, 1616693159.2712557]
[1616693155.8644826, 1616693159.1058884]
[1616693155.5391283, 1616693159.108908]
[1616693155.8183174, 1616693159.330063]
[1616693155.5671532, 1616693158.9947863]
[1616693155.669448, 1616693158.9332304]
[1616693155.6355262, 1616693158.8688836]
[1616693155.7923899, 1616693159.3063285]
[1616693155.6284828, 1616693159.1380281]
[1616693155.7671301, 1616693159.2387838]
[1616693155.905764, 1616693159.1456785]
[1616693156.0244298, 1616693159.5203986]
[1616693155.9910865, 1616693159.4646428]
[1616693155.9404757, 1616693159.1781569]
[1616693155.9008875, 1616693159.1541386]
[1616693156.079566, 1616693159.346977]
[1616693156.1880531, 1616693159.680737]
[1616693156.135201, 1616693159.6099198]
[1616693155.9960687, 1616693159.460374]
[1616693156.2171326, 1616693159.695412]
[1616693156.207312, 1616693159.6901023]
[1616693156.4371328, 1616693159.7829366]
[1616693156.1752145, 1616693159.6182268]
[1616693156.3819373, 1616693159.9063165]
[1616693156.4162507, 1616693159.885344]
[1616693156.2940407, 1616693159.5587056]
[1616693156.1341717, 1616693159.5936213]
[1616693156.2771285, 1616693159.5015936]
[1616693156.9328125, 1616693160.2487633]
[1616693156.4490533, 1616693159.7374053]
[1616693156.4591074, 1616693159.716983]
[1616693156.4674206, 1616693159.8949318]
[1616693156.3367643, 1616693159.8303695]
[1616693156.3443491, 1616693159.5867438]
[1616693156.4609993, 1616693159.9650207]
[1616693156.4478526, 1616693159.7069373]
[1616693156.384547, 1616693159.619808]
[1616693156.5555823, 1616693159.8324528]
[1616693156.4285502, 1616693159.7138352]
[1616693156.663732, 1616693159.8924534]
[1616693156.384468, 1616693159.6438015]
[1616693156.568287, 1616693160.0882409]
[1616693156.4777312, 1616693159.750252]
[1616693156.5821733, 1616693159.7549312]
[1616693156.6698635, 1616693159.9658499]
[1616693156.7156186, 1616693160.1794968]
[1616693156.709484, 1616693160.1966956]
[1616693156.688417, 1616693160.1988556]
[1616693156.690894, 1616693159.9114654]
[1616693156.6397839, 1616693160.0751953]
[1616693156.9849935, 1616693160.2871487]
[1616693156.690099, 1616693160.2121348]
[1616693156.672482, 1616693160.1222036]
[1616693156.7122343, 1616693159.9476116]
[1616693156.7736237, 1616693160.247127]
[1616693156.6983547, 1616693160.2110083]
[1616693156.7300308, 1616693159.986093]
[1616693157.58788, 1616693160.8581164]
[1616693156.8396926, 1616693160.3067818]
[1616693156.7455363, 1616693160.0527253]
[1616693156.862543, 1616693160.3611383]
[1616693156.7848103, 1616693160.2333567]
[1616693156.949513, 1616693160.4178963]
[1616693156.8412302, 1616693160.1028724]
[1616693157.3807642, 1616693160.6098537]
[1616693156.7499275, 1616693160.0200872]
[1616693156.761908, 1616693160.2524772]
[1616693156.718169, 1616693160.2109346]
[1616693156.7913425, 1616693160.3108265]
[1616693156.7634687, 1616693160.0083425]
[1616693156.7792106, 1616693160.2562232]
[1616693156.8242981, 1616693160.303462]
[1616693156.8662145, 1616693160.358995]
