[1616693849.0448782, 1616693861.3964546]
[1616693849.379799, 1616693861.5097911]
[1616693848.62328, 1616693860.8031783]
[1616693848.8296778, 1616693861.0644088]
[1616693849.1851463, 1616693861.3613565]
[1616693849.1781325, 1616693861.070903]
[1616693848.9503608, 1616693861.0812051]
[1616693849.1077204, 1616693861.179866]
[1616693849.1622167, 1616693861.2897732]
[1616693849.1899414, 1616693861.20415]
[1616693848.9953644, 1616693860.96039]
[1616693849.3194783, 1616693861.3935163]
[1616693849.5335338, 1616693861.6119561]
[1616693849.043435, 1616693861.1150615]
[1616693849.133429, 1616693861.3291943]
[1616693849.187792, 1616693861.3116002]
[1616693849.3815868, 1616693861.4534223]
[1616693849.4776237, 1616693861.5354211]
[1616693849.015996, 1616693861.1325064]
[1616693849.3119042, 1616693861.3307462]
[1616693849.4105697, 1616693861.3881803]
[1616693849.6243849, 1616693861.7827692]
[1616693850.05158, 1616693862.167023]
[1616693849.4801865, 1616693861.5229955]
[1616693849.949038, 1616693861.9669685]
[1616693850.038424, 1616693862.0205553]
[1616693850.3247223, 1616693862.3800886]
[1616693850.3797824, 1616693862.5455306]
[1616693849.8663797, 1616693861.993951]
[1616693850.3074312, 1616693862.27515]
[1616693850.5783489, 1616693862.5071943]
[1616693850.5776856, 1616693862.918706]
[1616693850.4208164, 1616693862.4709976]
[1616693850.8116162, 1616693862.935373]
[1616693850.9198568, 1616693863.1770322]
[1616693851.0225096, 1616693863.0597775]
[1616693850.7912583, 1616693862.9838586]
[1616693851.0681357, 1616693863.0646877]
[1616693850.9313674, 1616693863.0945098]
[1616693851.069302, 1616693863.016061]
[1616693850.9998932, 1616693862.9489636]
[1616693851.1758714, 1616693863.6727822]
[1616693851.0397544, 1616693862.9858456]
[1616693851.4528592, 1616693863.3425457]
[1616693851.2717068, 1616693863.2409987]
[1616693851.3995006, 1616693863.3133962]
[1616693851.6682425, 1616693863.7501826]
[1616693851.7986674, 1616693863.7503204]
[1616693851.626885, 1616693863.686273]
[1616693851.817421, 1616693864.3385081]
[1616693851.9758627, 1616693864.0772111]
[1616693851.5791676, 1616693863.6575797]
[1616693852.1512978, 1616693864.1624136]
[1616693852.3873913, 1616693864.5165048]
[1616693852.0101783, 1616693864.1063924]
[1616693852.3393846, 1616693864.31957]
[1616693852.5205867, 1616693864.6648426]
[1616693852.4860966, 1616693864.4888334]
[1616693852.2173376, 1616693864.5199902]
[1616693852.5395107, 1616693864.5203934]
[1616693852.6202123, 1616693864.555718]
[1616693852.72281, 1616693864.7757466]
[1616693852.7784297, 1616693864.6740105]
[1616693852.7272878, 1616693864.6884792]
[1616693852.7561648, 1616693864.8747249]
[1616693852.8831456, 1616693864.9592044]
[1616693852.9603362, 1616693864.905606]
[1616693852.7861197, 1616693864.883859]
[1616693853.0117717, 1616693865.1311269]
[1616693853.057181, 1616693865.206094]
[1616693853.0878565, 1616693864.954569]
[1616693853.162063, 1616693865.294544]
[1616693853.1755266, 1616693865.2697353]
[1616693853.2525556, 1616693865.3933525]
[1616693853.3088698, 1616693865.51862]
[1616693853.359512, 1616693865.378606]
[1616693853.2588923, 1616693865.3139093]
[1616693853.4248195, 1616693865.4909644]
[1616693853.429728, 1616693865.4144738]
[1616693853.3912885, 1616693865.3563209]
[1616693853.5091047, 1616693865.452746]
[1616693853.6513953, 1616693865.8521616]
[1616693853.5763474, 1616693865.7091887]
[1616693853.5713913, 1616693865.7649956]
[1616693853.626104, 1616693865.6350362]
[1616693853.736854, 1616693865.8103724]
[1616693853.7063298, 1616693866.0045676]
[1616693853.9020886, 1616693865.8322606]
[1616693853.8218377, 1616693865.747402]
[1616693853.8382893, 1616693865.9840608]
[1616693853.814926, 1616693865.7877584]
[1616693853.9986248, 1616693866.0791988]
[1616693853.8881068, 1616693866.080171]
[1616693853.9042819, 1616693865.984098]
[1616693853.9750252, 1616693866.0617685]
[1616693854.023824, 1616693866.7965796]
[1616693854.0419629, 1616693865.9953847]
[1616693854.1201324, 1616693866.2055807]
[1616693854.1699176, 1616693866.1984031]
[1616693854.1147137, 1616693866.053824]
[1616693854.05642, 1616693866.2203722]
[1616693854.1663167, 1616693866.2700295]
[1616693854.2284374, 1616693866.1282933]
[1616693854.2474577, 1616693866.38593]
[1616693854.170805, 1616693866.390415]
[1616693854.4389644, 1616693866.454303]
[1616693854.3749347, 1616693866.4545388]
[1616693854.312789, 1616693866.3202639]
[1616693854.3196204, 1616693866.403161]
[1616693854.3281255, 1616693866.399327]
[1616693854.4252977, 1616693866.355278]
[1616693854.4490259, 1616693866.4487002]
[1616693854.5014048, 1616693866.5560927]
[1616693854.5544705, 1616693866.4538062]
[1616693854.5554535, 1616693866.796977]
[1616693854.529572, 1616693866.6503851]
[1616693854.7324786, 1616693866.793092]
[1616693854.4372082, 1616693866.5319746]
[1616693854.702805, 1616693866.8722012]
[1616693854.696407, 1616693866.8409443]
[1616693854.6677017, 1616693866.762607]
[1616693854.7155056, 1616693866.7379894]
[1616693854.7968972, 1616693866.9201825]
[1616693854.6485755, 1616693866.7472854]
[1616693854.8658085, 1616693866.7387824]
[1616693854.8908677, 1616693867.0866377]
[1616693854.7174797, 1616693866.6374674]
[1616693854.8664901, 1616693866.8026562]
[1616693854.832848, 1616693866.820023]
[1616693854.9051843, 1616693866.81434]
[1616693854.9384258, 1616693866.998501]
[1616693854.952052, 1616693867.0939796]
[1616693854.9376786, 1616693866.998898]
[1616693854.9884422, 1616693867.0139055]
[1616693854.9165134, 1616693866.9557533]
[1616693854.9910202, 1616693867.046891]
[1616693854.9318614, 1616693866.9872386]
[1616693855.0718465, 1616693866.9613838]
[1616693855.0400932, 1616693867.2598019]
[1616693855.139704, 1616693868.11871]
[1616693854.9826171, 1616693866.91498]
[1616693855.174484, 1616693867.2892091]
[1616693855.234895, 1616693867.2414658]
[1616693855.1471765, 1616693867.1318715]
[1616693855.1913543, 1616693867.8942807]
[1616693855.175811, 1616693867.8302622]
[1616693855.1740189, 1616693867.3397799]
[1616693855.1613874, 1616693867.2930245]
[1616693855.2230453, 1616693867.3062859]
[1616693855.247729, 1616693867.315875]
[1616693854.9884474, 1616693867.0453248]
[1616693855.320846, 1616693867.3067057]
[1616693855.0671244, 1616693867.1535394]
[1616693855.2030866, 1616693867.4761968]
[1616693855.3219132, 1616693867.3756278]
[1616693855.2312832, 1616693867.2801514]
[1616693855.254101, 1616693867.5690913]
