[1616695069.9084883, 1616695072.6478627]
[1616695069.5812392, 1616695072.302958]
[1616695069.3988516, 1616695072.1062744]
[1616695069.691862, 1616695072.4013946]
[1616695069.4308317, 1616695072.128333]
[1616695069.431666, 1616695072.1784143]
[1616695069.634005, 1616695072.357501]
[1616695069.8909798, 1616695072.6233313]
[1616695069.6307333, 1616695072.3420212]
[1616695069.1024127, 1616695071.8641832]
[1616695069.5260098, 1616695072.2595248]
[1616695069.5385683, 1616695072.2621133]
[1616695069.6682441, 1616695072.4024305]
[1616695069.5950124, 1616695072.305037]
[1616695069.7108057, 1616695072.4346673]
[1616695069.632289, 1616695072.3430438]
[1616695069.757585, 1616695072.5067403]
[1616695069.6508167, 1616695072.331684]
[1616695069.5383966, 1616695072.2674153]
[1616695069.8895762, 1616695072.6338046]
[1616695069.6185596, 1616695072.390514]
[1616695070.0574954, 1616695072.7411103]
[1616695070.1552062, 1616695072.8496938]
[1616695070.4348, 1616695073.1655746]
[1616695070.4436262, 1616695073.178126]
[1616695070.4758906, 1616695073.1956868]
[1616695070.3589468, 1616695073.1147556]
[1616695070.9491093, 1616695073.6189263]
[1616695070.788195, 1616695073.5456316]
[1616695070.5938075, 1616695073.2620451]
[1616695070.9488797, 1616695073.6688294]
[1616695070.9748101, 1616695073.6618476]
[1616695070.834617, 1616695073.5789142]
[1616695071.2515528, 1616695073.9627771]
[1616695071.0375683, 1616695073.763127]
[1616695070.9582524, 1616695073.684921]
[1616695071.181161, 1616695073.8663597]
[1616695071.3082554, 1616695074.0728025]
[1616695071.3818927, 1616695074.1166875]
[1616695071.6185017, 1616695074.3334327]
[1616695071.1839828, 1616695073.8925238]
[1616695070.8940318, 1616695073.6380842]
[1616695071.7026815, 1616695074.4552753]
[1616695072.0843937, 1616695074.820796]
[1616695072.2358794, 1616695074.9431758]
[1616695071.8260512, 1616695074.5638905]
[1616695072.034767, 1616695074.7684972]
[1616695071.9162965, 1616695074.7045822]
[1616695072.1434946, 1616695074.8646946]
[1616695071.967755, 1616695074.6927884]
[1616695072.3174095, 1616695075.016767]
[1616695072.3551636, 1616695075.057067]
[1616695072.5495024, 1616695075.2894013]
[1616695072.7106152, 1616695075.455476]
[1616695072.5677066, 1616695075.3195734]
[1616695072.5144355, 1616695075.2460659]
[1616695072.888027, 1616695075.5841944]
[1616695073.0665588, 1616695075.7942507]
[1616695072.922032, 1616695075.60324]
[1616695073.0630064, 1616695075.8105679]
[1616695073.131638, 1616695075.8752034]
[1616695073.1877348, 1616695075.8794866]
[1616695073.4365299, 1616695076.1812778]
[1616695073.3778045, 1616695076.0450892]
[1616695073.5750785, 1616695076.3408844]
[1616695073.5913932, 1616695076.3410382]
[1616695073.764981, 1616695076.506033]
[1616695073.7906475, 1616695076.4889624]
[1616695073.9622917, 1616695076.643955]
[1616695074.2330792, 1616695076.9404936]
[1616695074.151435, 1616695076.9336698]
[1616695074.133921, 1616695076.868308]
[1616695073.953495, 1616695076.6424222]
[1616695074.2714298, 1616695077.0043235]
[1616695074.400969, 1616695077.1200447]
[1616695074.2667892, 1616695076.977628]
[1616695074.4141424, 1616695077.073345]
[1616695074.2617493, 1616695076.9867935]
[1616695074.8876474, 1616695077.6494515]
[1616695074.4834762, 1616695077.230437]
[1616695074.8744383, 1616695077.5772884]
[1616695074.7612667, 1616695077.4830832]
[1616695074.715209, 1616695077.5122015]
[1616695074.891222, 1616695077.6307104]
[1616695074.8073459, 1616695077.6210165]
[1616695074.728321, 1616695077.4438837]
[1616695075.0626662, 1616695077.8452208]
[1616695075.2682402, 1616695078.0316474]
[1616695075.2124684, 1616695077.912526]
[1616695075.1587224, 1616695077.8715425]
[1616695075.3347502, 1616695078.0812492]
[1616695075.0539885, 1616695077.757433]
[1616695075.3844793, 1616695078.1550105]
[1616695075.3380666, 1616695078.0859814]
[1616695075.4976, 1616695078.2735455]
[1616695075.445777, 1616695078.1803043]
[1616695075.6026745, 1616695078.3153887]
[1616695075.792754, 1616695078.4693093]
[1616695075.6016574, 1616695078.301968]
[1616695075.6180558, 1616695078.301749]
[1616695075.9008741, 1616695078.6591518]
[1616695075.8903584, 1616695078.5741668]
[1616695076.0317624, 1616695078.764965]
[1616695076.0795426, 1616695078.7543738]
[1616695075.9135566, 1616695078.665293]
[1616695076.1891727, 1616695078.9014926]
[1616695076.2744904, 1616695078.979318]
[1616695076.4004838, 1616695079.1291993]
[1616695076.366832, 1616695079.1495113]
[1616695076.6479318, 1616695079.3445256]
[1616695076.5233843, 1616695079.2275083]
[1616695076.6258407, 1616695079.3516934]
[1616695076.5190628, 1616695079.2567601]
[1616695076.9468002, 1616695079.7116997]
[1616695076.5648098, 1616695079.2934997]
[1616695076.8812182, 1616695079.6212738]
[1616695076.956843, 1616695079.6720026]
[1616695077.0387406, 1616695079.7630785]
[1616695077.332755, 1616695080.0478222]
[1616695077.295723, 1616695080.0205834]
[1616695077.0938494, 1616695079.7565658]
[1616695077.294409, 1616695080.0105073]
[1616695077.4558687, 1616695080.1704485]
[1616695077.4836662, 1616695080.1827607]
[1616695077.4836628, 1616695080.20228]
[1616695077.2634542, 1616695080.023041]
[1616695077.5525622, 1616695080.296503]
[1616695077.5292938, 1616695080.2611132]
[1616695077.7610588, 1616695080.493549]
[1616695077.6591187, 1616695080.3852067]
[1616695078.0361047, 1616695080.814354]
[1616695078.0215168, 1616695080.7555003]
[1616695077.9359436, 1616695080.6355925]
[1616695078.041667, 1616695080.7777355]
[1616695078.378989, 1616695081.1274645]
[1616695078.2791715, 1616695081.062014]
[1616695078.1068654, 1616695080.8497462]
[1616695078.4456704, 1616695081.1449037]
[1616695078.2346034, 1616695080.9667306]
[1616695078.6745067, 1616695081.4179125]
[1616695078.640936, 1616695081.3251379]
[1616695078.579608, 1616695081.2579877]
[1616695078.6730094, 1616695081.4293778]
[1616695078.6233547, 1616695081.303427]
[1616695078.7680652, 1616695081.4380834]
[1616695078.726334, 1616695081.4856262]
[1616695078.8870218, 1616695081.6258404]
[1616695078.9421873, 1616695081.7115734]
[1616695078.8270037, 1616695081.5585036]
[1616695079.135198, 1616695081.85977]
[1616695079.1268861, 1616695081.8462648]
[1616695079.1373281, 1616695081.8338408]
[1616695079.4846132, 1616695082.181632]
[1616695079.193773, 1616695081.913428]
[1616695079.1903336, 1616695081.933185]
[1616695079.1919188, 1616695081.944248]
[1616695079.5721953, 1616695082.3070638]
[1616695079.1533263, 1616695081.9066277]
[1616695079.3369842, 1616695082.0946789]
[1616695079.4685183, 1616695082.2399578]
[1616695079.583533, 1616695082.2804878]
[1616695079.6686692, 1616695082.4114354]
[1616695079.7172134, 1616695082.4882433]
[1616695079.875837, 1616695082.61144]
[1616695080.0455818, 1616695082.7926314]
[1616695079.8332884, 1616695082.5053926]
[1616695079.8244178, 1616695082.5840743]
[1616695079.983744, 1616695082.7214522]
[1616695080.3321254, 1616695083.100379]
[1616695079.9905787, 1616695082.6989813]
[1616695079.9657104, 1616695082.7103891]
[1616695080.1457171, 1616695082.8845155]
[1616695080.335406, 1616695083.0832071]
[1616695080.520062, 1616695083.2500236]
[1616695080.3693397, 1616695083.0955908]
[1616695080.5059993, 1616695083.2680955]
[1616695080.4185123, 1616695083.1542716]
[1616695080.2070413, 1616695082.9316432]
[1616695080.6374366, 1616695083.358125]
[1616695080.6135035, 1616695083.3413413]
[1616695080.6200497, 1616695083.3447335]
[1616695080.7492626, 1616695083.4758859]
[1616695080.6664512, 1616695083.3716946]
[1616695080.4914181, 1616695083.2039106]
[1616695080.9177153, 1616695083.6355665]
[1616695081.066441, 1616695083.7454545]
[1616695081.0971482, 1616695083.904865]
[1616695080.9168782, 1616695083.647693]
[1616695080.9897532, 1616695083.728073]
[1616695080.949026, 1616695083.7092574]
[1616695081.0125494, 1616695083.7295623]
[1616695081.2669613, 1616695083.9478853]
[1616695081.3373246, 1616695084.0217502]
[1616695081.4115758, 1616695084.1142867]
[1616695081.158596, 1616695083.8825617]
[1616695081.3349957, 1616695084.0350564]
[1616695081.5022268, 1616695084.2453568]
[1616695081.5044138, 1616695084.2904592]
[1616695081.778008, 1616695084.5366502]
[1616695081.4893289, 1616695084.2248337]
[1616695081.6941264, 1616695084.5309317]
[1616695081.4447942, 1616695084.1202915]
[1616695081.7728863, 1616695084.5712895]
[1616695081.6647124, 1616695084.4212437]
[1616695081.809169, 1616695084.5327106]
[1616695081.741967, 1616695084.4922953]
[1616695081.8190012, 1616695084.5863843]
[1616695081.9663017, 1616695084.6631112]
[1616695082.022746, 1616695084.7354925]
[1616695082.136141, 1616695084.8721578]
[1616695081.9961526, 1616695084.72906]
[1616695082.1143196, 1616695084.8497167]
[1616695082.1874142, 1616695084.8847883]
[1616695082.0815425, 1616695084.857575]
[1616695082.3637447, 1616695085.065907]
[1616695082.3939078, 1616695085.1266744]
[1616695082.449543, 1616695085.1905956]
[1616695082.3191998, 1616695085.0489]
[1616695082.5574665, 1616695085.31335]
[1616695082.7192743, 1616695085.471992]
[1616695082.554948, 1616695085.2226756]
[1616695082.778588, 1616695085.5129426]
[1616695082.8473449, 1616695085.5921915]
[1616695082.668561, 1616695085.4199119]
[1616695082.6521354, 1616695085.3614898]
[1616695082.9021788, 1616695085.6119835]
[1616695082.9552276, 1616695085.6781545]
[1616695083.0420184, 1616695085.7943392]
[1616695082.9439094, 1616695085.6414287]
[1616695082.8627892, 1616695085.5776935]
[1616695083.022059, 1616695085.7833316]
[1616695082.980651, 1616695085.6788075]
[1616695083.0923338, 1616695085.891166]
[1616695083.1968195, 1616695085.9647725]
[1616695083.2505002, 1616695085.9857135]
[1616695083.328216, 1616695086.047272]
[1616695083.3157666, 1616695086.064111]
[1616695083.4333465, 1616695086.1367347]
[1616695083.6637678, 1616695086.4156082]
[1616695083.4616706, 1616695086.1788528]
[1616695083.474954, 1616695086.1973372]
[1616695083.6574347, 1616695086.380674]
[1616695083.7906528, 1616695086.5185335]
[1616695083.7398045, 1616695086.4794867]
[1616695083.797941, 1616695086.527711]
[1616695083.8372576, 1616695086.6064775]
[1616695083.8043437, 1616695086.5308256]
[1616695083.8212671, 1616695086.537891]
[1616695083.7734444, 1616695086.464124]
[1616695083.8326144, 1616695086.5743635]
[1616695083.9028442, 1616695086.6260257]
[1616695084.0703697, 1616695086.7759993]
[1616695084.027569, 1616695086.7024722]
[1616695084.2487807, 1616695087.029911]
[1616695084.111018, 1616695086.7946749]
[1616695084.319704, 1616695087.0943031]
[1616695084.1277921, 1616695086.8036468]
[1616695084.2170599, 1616695087.0115108]
[1616695084.1988769, 1616695086.9122689]
[1616695084.535473, 1616695087.2728374]
[1616695084.42212, 1616695087.1937416]
[1616695084.4294705, 1616695087.1666846]
[1616695084.433024, 1616695087.2881722]
[1616695084.5752313, 1616695087.2883568]
[1616695084.6878808, 1616695087.4043317]
[1616695084.544994, 1616695087.2649474]
[1616695084.7333965, 1616695087.4750712]
[1616695084.7517574, 1616695087.4782486]
[1616695084.769936, 1616695087.552734]
[1616695084.7551038, 1616695087.5019531]
[1616695084.7954538, 1616695087.5812566]
[1616695084.874703, 1616695087.6037169]
[1616695084.8251305, 1616695087.5709221]
[1616695084.995003, 1616695087.7542334]
[1616695085.026334, 1616695087.692892]
[1616695084.9897695, 1616695087.7250667]
[1616695085.1810212, 1616695087.917798]
[1616695085.4119434, 1616695088.1250954]
[1616695084.980605, 1616695087.707919]
[1616695085.0574083, 1616695087.7950609]
[1616695085.2806137, 1616695087.9442627]
[1616695085.2061598, 1616695087.964429]
[1616695085.4805834, 1616695088.2834036]
[1616695085.6515172, 1616695088.3428128]
[1616695085.5354424, 1616695088.2564692]
[1616695085.5019913, 1616695088.2845716]
[1616695085.7428348, 1616695088.4675996]
[1616695085.5135362, 1616695088.2777944]
[1616695085.7893775, 1616695088.5562801]
[1616695085.7168455, 1616695088.4194775]
[1616695085.810853, 1616695088.5838087]
[1616695085.8419678, 1616695088.5645082]
[1616695085.9340937, 1616695088.6743984]
[1616695085.9791036, 1616695088.7230515]
[1616695086.0603633, 1616695088.8108609]
[1616695086.1630456, 1616695088.873656]
[1616695086.0466645, 1616695088.774804]
[1616695086.0539794, 1616695088.8005521]
[1616695086.0846953, 1616695088.8539455]
[1616695086.3494482, 1616695089.0509622]
[1616695086.2408063, 1616695088.9741528]
[1616695086.359559, 1616695089.0535913]
[1616695086.3775945, 1616695089.0800335]
[1616695086.4601052, 1616695089.1713195]
[1616695086.4169648, 1616695089.179288]
[1616695086.646369, 1616695089.34901]
[1616695086.4940047, 1616695089.2065654]
[1616695086.605838, 1616695089.338556]
[1616695086.5240176, 1616695089.277006]
[1616695086.529947, 1616695089.213716]
[1616695086.6858828, 1616695089.4175806]
[1616695086.803306, 1616695089.4914436]
[1616695087.001737, 1616695089.6809661]
[1616695086.8974175, 1616695089.5737045]
[1616695086.9968975, 1616695089.676271]
[1616695087.1705284, 1616695089.9210787]
[1616695087.1281526, 1616695089.8555079]
[1616695086.9598975, 1616695089.6680322]
[1616695087.056489, 1616695089.8573468]
[1616695087.0958405, 1616695089.8245022]
[1616695087.1227467, 1616695089.8782005]
[1616695087.0668309, 1616695089.8210135]
[1616695087.285523, 1616695090.0149512]
[1616695087.5350308, 1616695090.2723522]
[1616695087.4633443, 1616695090.174623]
[1616695087.4310207, 1616695090.1570296]
[1616695087.5802243, 1616695090.342175]
[1616695087.5709035, 1616695090.3479254]
[1616695087.6353803, 1616695090.3699696]
[1616695087.6065574, 1616695090.352661]
[1616695087.766081, 1616695090.499644]
[1616695087.848349, 1616695090.5864387]
[1616695087.5461364, 1616695090.290941]
[1616695087.9063258, 1616695090.5817254]
[1616695087.741885, 1616695090.4636035]
[1616695087.914214, 1616695090.651013]
[1616695088.086478, 1616695090.8219385]
[1616695088.1134155, 1616695090.7721574]
[1616695088.174769, 1616695090.922534]
[1616695088.2533445, 1616695091.0577083]
[1616695087.902481, 1616695090.5891669]
[1616695088.1578221, 1616695090.8595204]
[1616695088.3172476, 1616695091.0459642]
[1616695088.2742848, 1616695090.9985204]
[1616695088.297215, 1616695091.055545]
[1616695088.3517857, 1616695091.0370128]
[1616695088.3793967, 1616695091.1439621]
[1616695088.4115086, 1616695091.1584237]
[1616695088.391691, 1616695091.1197982]
[1616695088.4319673, 1616695091.1497848]
[1616695088.4596548, 1616695091.1753426]
[1616695088.5895376, 1616695091.374794]
[1616695088.5877142, 1616695091.3012888]
[1616695088.5739286, 1616695091.2805562]
[1616695088.7711382, 1616695091.5574188]
[1616695088.7673469, 1616695091.5122087]
[1616695088.8357291, 1616695091.58455]
[1616695088.8196137, 1616695091.5734892]
[1616695088.925339, 1616695091.625276]
[1616695088.877977, 1616695091.6211643]
[1616695088.958257, 1616695091.711119]
[1616695088.956833, 1616695091.7041981]
[1616695088.9471476, 1616695091.648669]
[1616695089.0328975, 1616695091.741476]
[1616695089.2007077, 1616695091.918279]
[1616695089.1837256, 1616695091.8915703]
[1616695089.4433088, 1616695092.1776135]
[1616695089.397315, 1616695092.114202]
[1616695089.4321063, 1616695092.1687336]
[1616695089.2777445, 1616695091.9783926]
[1616695089.4306288, 1616695092.1501396]
[1616695089.4973803, 1616695092.2409306]
[1616695089.583341, 1616695092.2656262]
[1616695089.6060586, 1616695092.3017435]
[1616695089.728971, 1616695092.4165535]
[1616695089.702574, 1616695092.382476]
[1616695089.8354945, 1616695092.5565321]
[1616695089.8945336, 1616695092.6334794]
[1616695089.9174635, 1616695092.641559]
[1616695089.9312103, 1616695092.6649983]
[1616695089.8758817, 1616695092.6752722]
[1616695090.0876663, 1616695092.8007388]
[1616695090.2121906, 1616695092.925123]
[1616695090.142089, 1616695092.8804908]
[1616695090.1971567, 1616695092.9061532]
[1616695090.3188577, 1616695093.035026]
[1616695090.3661308, 1616695093.1092026]
[1616695090.2179139, 1616695092.9357924]
[1616695090.4419796, 1616695093.180473]
[1616695090.4394243, 1616695093.1955097]
[1616695090.4219046, 1616695093.1727002]
[1616695090.4771845, 1616695093.2204263]
[1616695090.6107135, 1616695093.2991068]
[1616695090.5611675, 1616695093.2552564]
[1616695090.5404046, 1616695093.2756267]
[1616695090.7001717, 1616695093.4089024]
[1616695090.4815316, 1616695093.223147]
[1616695090.851418, 1616695093.5952454]
[1616695090.864205, 1616695093.5967112]
[1616695090.961499, 1616695093.6810226]
[1616695090.826279, 1616695093.4909818]
[1616695091.038014, 1616695093.7583034]
[1616695090.964386, 1616695093.6597989]
[1616695091.2673001, 1616695094.036751]
[1616695091.3305185, 1616695094.0387254]
[1616695090.9530704, 1616695093.6835399]
[1616695091.1254892, 1616695093.9713526]
[1616695091.221209, 1616695093.9523697]
[1616695091.326344, 1616695094.036559]
[1616695091.2580905, 1616695093.961794]
[1616695091.234699, 1616695093.9703345]
[1616695091.8547497, 1616695094.5574126]
[1616695091.5881674, 1616695094.345498]
[1616695091.400898, 1616695094.1687994]
[1616695091.4558043, 1616695094.1819894]
[1616695091.403164, 1616695094.1265087]
[1616695091.682722, 1616695094.4028516]
[1616695091.5779886, 1616695094.3433487]
[1616695091.482521, 1616695094.2071106]
[1616695091.832875, 1616695094.5935543]
[1616695091.830141, 1616695094.5812285]
[1616695091.9258914, 1616695094.6449146]
[1616695091.89829, 1616695094.6086788]
[1616695092.008281, 1616695094.6973603]
[1616695091.8183827, 1616695094.527456]
[1616695092.135167, 1616695094.8422644]
[1616695092.3386807, 1616695095.0156069]
[1616695092.1086915, 1616695094.8543699]
[1616695092.2733238, 1616695094.9476326]
[1616695092.26589, 1616695095.0062478]
[1616695092.2624252, 1616695094.9691808]
[1616695092.3972638, 1616695095.0762064]
[1616695092.5192306, 1616695095.2517598]
[1616695092.5938334, 1616695095.316661]
[1616695092.440529, 1616695095.1253898]
[1616695092.7187324, 1616695095.4487617]
[1616695092.798538, 1616695095.5634234]
[1616695092.54514, 1616695095.288559]
[1616695092.7336166, 1616695095.4636736]
[1616695092.7468455, 1616695095.4883091]
[1616695092.6991076, 1616695095.4982893]
[1616695092.780708, 1616695095.4996214]
[1616695092.8094282, 1616695095.5436134]
