[1616695284.7085583, 1616695299.3723497]
[1616695284.606604, 1616695299.2650921]
[1616695284.4730504, 1616695299.2393696]
[1616695284.8323975, 1616695299.5209382]
[1616695284.3780463, 1616695299.0941002]
[1616695284.8069108, 1616695299.669742]
[1616695284.5885837, 1616695298.7143724]
[1616695285.3136873, 1616695300.145439]
[1616695284.587625, 1616695299.8557413]
[1616695285.0720277, 1616695299.2630305]
[1616695284.978506, 1616695299.777059]
[1616695285.1005368, 1616695299.9738324]
[1616695285.1866488, 1616695299.7543168]
[1616695285.158441, 1616695299.8438668]
[1616695284.692289, 1616695299.5733654]
[1616695284.8414872, 1616695300.287516]
[1616695284.8618698, 1616695299.4980998]
[1616695284.537555, 1616695299.4808946]
[1616695284.9362319, 1616695299.4073994]
[1616695284.9165385, 1616695299.7758374]
[1616695285.802616, 1616695300.1385195]
[1616695285.4532146, 1616695300.1185288]
[1616695285.7775989, 1616695300.2342827]
[1616695285.5761719, 1616695299.6236832]
[1616695285.654211, 1616695300.3742619]
[1616695285.5186477, 1616695300.5511837]
[1616695285.3513727, 1616695300.1107318]
[1616695285.8687227, 1616695300.7461858]
[1616695285.9689157, 1616695300.7778642]
[1616695286.0620062, 1616695300.2036836]
[1616695286.2098641, 1616695300.333377]
[1616695286.104832, 1616695300.2688348]
[1616695286.226093, 1616695300.372256]
[1616695286.3064926, 1616695298.8708317]
[1616695286.2985806, 1616695300.2559962]
[1616695286.2604547, 1616695300.3105085]
[1616695286.009103, 1616695300.1128864]
[1616695286.5215998, 1616695299.3543565]
[1616695286.24934, 1616695300.335032]
[1616695286.3987966, 1616695299.1374986]
[1616695286.4182613, 1616695299.1457734]
[1616695286.4243608, 1616695299.149289]
[1616695286.5911875, 1616695299.3654585]
[1616695286.52326, 1616695299.0877042]
[1616695286.6999488, 1616695299.3779721]
[1616695286.6171703, 1616695299.0871427]
[1616695286.8194566, 1616695299.33074]
[1616695286.7204132, 1616695299.398162]
[1616695287.0110984, 1616695299.9254284]
[1616695286.9120407, 1616695299.5999265]
[1616695286.8038652, 1616695299.679366]
[1616695286.897248, 1616695299.420807]
[1616695286.8957162, 1616695299.5554945]
[1616695287.02117, 1616695299.5106716]
[1616695287.1692088, 1616695299.815898]
[1616695287.2864048, 1616695299.9803202]
[1616695287.0548773, 1616695299.9539912]
[1616695287.2128656, 1616695299.797005]
[1616695287.3007712, 1616695300.1359]
[1616695287.214528, 1616695299.8081615]
[1616695287.192988, 1616695299.8637028]
[1616695287.4501336, 1616695299.9700708]
[1616695287.2034564, 1616695299.7085135]
[1616695287.1484675, 1616695299.6790671]
[1616695287.429999, 1616695301.6447678]
[1616695287.2972386, 1616695299.782187]
[1616695287.4935997, 1616695300.2102115]
[1616695287.3279614, 1616695299.9433796]
[1616695287.3848958, 1616695299.9334965]
[1616695287.6239605, 1616695300.5430672]
[1616695287.48006, 1616695300.068271]
[1616695287.4249003, 1616695300.0351017]
[1616695287.5995176, 1616695300.2424908]
[1616695287.4458387, 1616695300.048703]
[1616695287.5816202, 1616695300.1964447]
[1616695287.5402923, 1616695300.0538738]
[1616695287.6249945, 1616695300.4053874]
[1616695287.710913, 1616695300.2789655]
[1616695287.4881237, 1616695300.4412775]
[1616695287.6816463, 1616695300.2851088]
[1616695287.5859222, 1616695300.1578417]
[1616695287.8013647, 1616695300.2670324]
[1616695287.6724172, 1616695300.7581747]
[1616695287.7488964, 1616695300.3273144]
[1616695287.799505, 1616695300.4126668]
[1616695287.8471754, 1616695300.5527654]
[1616695287.8465366, 1616695301.2195392]
[1616695287.777099, 1616695300.2601593]
[1616695287.7527483, 1616695300.3790898]
[1616695287.8333256, 1616695300.4694738]
[1616695287.899128, 1616695300.5819485]
[1616695287.935217, 1616695300.471324]
[1616695287.6650803, 1616695300.346801]
[1616695287.7204988, 1616695300.237269]
[1616695287.918874, 1616695300.7313774]
[1616695287.6807685, 1616695300.231634]
[1616695287.8748677, 1616695300.8398345]
[1616695287.8967628, 1616695300.8518307]
[1616695287.9700856, 1616695300.8642373]
[1616695287.8183827, 1616695300.3815544]
[1616695287.8424475, 1616695300.760414]
[1616695287.9110885, 1616695300.8374486]
[1616695287.9304504, 1616695300.6938844]
[1616695287.85413, 1616695300.6270704]
[1616695288.006069, 1616695300.6235657]
[1616695287.9510808, 1616695300.6234453]
[1616695287.9687943, 1616695300.496975]
[1616695287.8988569, 1616695300.5405633]
[1616695287.9638855, 1616695300.5355756]
[1616695287.8610427, 1616695300.5019693]
[1616695287.8312566, 1616695300.5433977]
[1616695288.001266, 1616695300.6205013]
[1616695287.9573026, 1616695300.6656258]
[1616695287.9475908, 1616695300.6046991]
[1616695287.9606361, 1616695300.508487]
[1616695287.9450908, 1616695300.634477]
[1616695288.0707266, 1616695300.6190224]
[1616695287.960895, 1616695300.509803]
[1616695288.0008852, 1616695300.468517]
[1616695288.0080404, 1616695300.5154011]
[1616695288.0075517, 1616695300.6135154]
[1616695288.01187, 1616695300.7390234]
[1616695288.040666, 1616695300.5524206]
[1616695288.025475, 1616695300.5171552]
[1616695288.0082598, 1616695302.1524181]
