[1616696838.3673563, 1616696847.2280753]
[1616696838.3027284, 1616696847.4408517]
[1616696838.479968, 1616696847.352539]
[1616696837.881179, 1616696847.7973516]
[1616696838.6263664, 1616696847.275009]
[1616696838.5459352, 1616696847.154081]
[1616696838.674172, 1616696847.3525915]
[1616696838.323472, 1616696847.1224813]
[1616696838.2601745, 1616696847.8730943]
[1616696838.5963182, 1616696847.3242102]
[1616696838.647821, 1616696847.2550924]
[1616696838.807654, 1616696847.7434428]
[1616696838.7211068, 1616696847.3448305]
[1616696838.4555547, 1616696847.2532449]
[1616696838.6174326, 1616696847.210444]
[1616696838.6460795, 1616696847.3574421]
[1616696838.6538975, 1616696847.277024]
[1616696838.5997148, 1616696847.2165]
[1616696838.9923272, 1616696847.6019368]
[1616696838.5386736, 1616696847.1207225]
[1616696838.9017782, 1616696847.468257]
[1616696839.0699556, 1616696847.7216835]
[1616696838.8046405, 1616696847.5363228]
[1616696838.9587743, 1616696847.5979326]
[1616696839.1089873, 1616696847.7002811]
[1616696839.142983, 1616696847.7395585]
[1616696839.359774, 1616696847.9211879]
[1616696839.5785446, 1616696848.2965045]
[1616696839.476826, 1616696848.0845237]
[1616696839.6141362, 1616696848.2075896]
[1616696839.6276155, 1616696848.4760313]
[1616696839.5019147, 1616696848.1252043]
[1616696839.6228793, 1616696848.191696]
[1616696839.7613857, 1616696848.3531952]
[1616696839.922005, 1616696848.5154338]
[1616696839.6910818, 1616696848.4118536]
[1616696839.7398787, 1616696848.3225632]
[1616696839.7801933, 1616696848.4370143]
[1616696839.85972, 1616696848.5790143]
[1616696839.986058, 1616696848.659012]
[1616696839.9088955, 1616696848.495661]
[1616696840.1697361, 1616696848.7981277]
[1616696839.9063573, 1616696848.5875568]
[1616696840.0552254, 1616696848.6792874]
[1616696840.0542057, 1616696849.769315]
[1616696840.3557482, 1616696849.0227249]
[1616696840.203386, 1616696848.890195]
[1616696840.2595098, 1616696848.8697402]
[1616696840.2148557, 1616696848.972544]
[1616696840.3496652, 1616696849.0246372]
[1616696840.3701978, 1616696848.982752]
[1616696840.428464, 1616696849.2678103]
[1616696840.4400225, 1616696849.0706291]
[1616696840.3516066, 1616696849.4424872]
[1616696840.5247383, 1616696849.1685476]
[1616696840.4373338, 1616696849.0827167]
[1616696840.4143848, 1616696849.5300324]
[1616696840.4966047, 1616696849.4058123]
[1616696840.496127, 1616696849.2548587]
[1616696840.4844728, 1616696849.0919783]
[1616696840.6080387, 1616696849.3272824]
[1616696840.7270768, 1616696849.672973]
[1616696840.7468832, 1616696849.3788567]
[1616696840.578549, 1616696849.2168837]
[1616696840.6399925, 1616696849.324172]
[1616696840.5766547, 1616696849.1553092]
[1616696840.7310538, 1616696849.3130286]
[1616696840.6452498, 1616696849.4076326]
[1616696840.7117457, 1616696849.324047]
[1616696840.719502, 1616696849.306975]
[1616696840.5819252, 1616696849.5493095]
[1616696840.803432, 1616696849.4796169]
[1616696840.7345326, 1616696849.3342183]
[1616696840.8208792, 1616696849.4084582]
[1616696840.8525932, 1616696849.901109]
[1616696840.8033628, 1616696849.4089746]
[1616696840.747335, 1616696849.5100074]
[1616696840.8206005, 1616696849.4420393]
[1616696840.8620136, 1616696849.5327246]
[1616696840.8588731, 1616696849.4530256]
[1616696840.8918464, 1616696849.4877322]
[1616696840.8521156, 1616696849.5747387]
[1616696840.8937602, 1616696849.4943576]
[1616696840.901515, 1616696849.603698]
[1616696840.7433827, 1616696849.3078787]
[1616696840.8642192, 1616696849.7087183]
[1616696840.8841257, 1616696849.9038112]
[1616696840.8101945, 1616696849.3686714]
[1616696840.7963388, 1616696849.4310224]
[1616696840.9117846, 1616696849.5257769]
[1616696840.7934842, 1616696849.6099136]
[1616696840.8581054, 1616696849.3927479]
[1616696840.8330023, 1616696849.5008407]
[1616696840.881471, 1616696849.813539]
[1616696840.8082016, 1616696849.435984]
[1616696840.879889, 1616696849.6469383]
[1616696840.9513767, 1616696849.5270827]
[1616696840.856011, 1616696849.4579723]
[1616696840.8156247, 1616696849.4115894]
[1616696840.943752, 1616696849.7652295]
