[1616697908.530604, 1616697911.2828174]
[1616697908.5706773, 1616697911.3480272]
[1616697908.8575325, 1616697911.642982]
[1616697908.6274269, 1616697911.4780896]
[1616697908.5519507, 1616697911.4298258]
[1616697908.8152537, 1616697911.5317948]
[1616697908.623189, 1616697911.44146]
[1616697908.8536718, 1616697911.6545591]
[1616697908.9385693, 1616697911.7199664]
[1616697908.5007708, 1616697911.2542474]
[1616697908.828331, 1616697911.6146498]
[1616697909.0516303, 1616697911.8318264]
[1616697908.9779866, 1616697911.7449996]
[1616697908.5730846, 1616697911.3113735]
[1616697908.9078567, 1616697911.6457608]
[1616697908.5760887, 1616697911.40011]
[1616697909.07821, 1616697911.8412504]
[1616697909.0799265, 1616697911.8612332]
[1616697909.1711066, 1616697911.936845]
[1616697909.125084, 1616697911.9026911]
[1616697909.1138048, 1616697911.9125867]
[1616697909.431884, 1616697912.1522233]
[1616697909.1543288, 1616697911.8663156]
[1616697909.3951156, 1616697912.1591532]
[1616697909.5191884, 1616697912.2614052]
[1616697909.3971686, 1616697912.153553]
[1616697909.141679, 1616697911.914211]
[1616697909.6633272, 1616697912.4326868]
[1616697909.6575036, 1616697912.3611133]
[1616697910.1911166, 1616697912.9312887]
[1616697909.8855827, 1616697912.6101117]
[1616697910.0581374, 1616697912.7829247]
[1616697909.5216522, 1616697912.260451]
[1616697910.1734369, 1616697912.9554029]
[1616697910.0796654, 1616697912.846846]
[1616697910.2658684, 1616697913.0377774]
[1616697910.2769763, 1616697912.9940388]
[1616697910.329156, 1616697913.054917]
[1616697910.4241471, 1616697913.1627192]
[1616697910.3414328, 1616697913.0806653]
[1616697910.6468287, 1616697913.3695633]
[1616697910.6779752, 1616697913.4028986]
[1616697910.846546, 1616697913.6113877]
[1616697910.7394497, 1616697913.4636362]
[1616697910.6976287, 1616697913.404335]
[1616697910.946129, 1616697913.6734822]
[1616697911.2820408, 1616697914.005285]
[1616697911.286655, 1616697914.0027084]
[1616697911.3748734, 1616697914.1634374]
[1616697911.6081934, 1616697914.4017978]
[1616697911.5611138, 1616697914.2776875]
[1616697911.640966, 1616697914.3346171]
[1616697911.5871062, 1616697914.4285884]
[1616697912.0508182, 1616697914.841264]
[1616697912.191055, 1616697914.9612346]
[1616697912.2536824, 1616697914.963663]
[1616697912.0642984, 1616697914.8276162]
[1616697912.3112955, 1616697915.0722864]
[1616697912.3540556, 1616697915.117616]
[1616697912.4621203, 1616697915.235076]
[1616697912.4768405, 1616697915.1700926]
[1616697912.5916288, 1616697915.3935473]
[1616697912.691825, 1616697915.4349697]
[1616697912.7589688, 1616697915.5553994]
[1616697912.5414944, 1616697915.2868745]
[1616697912.8617666, 1616697915.618945]
[1616697912.9292397, 1616697915.7026007]
[1616697912.8790588, 1616697915.616042]
[1616697913.0325449, 1616697915.7381353]
[1616697912.905763, 1616697915.749459]
[1616697913.1707194, 1616697915.9273157]
[1616697913.425603, 1616697916.1551027]
[1616697912.9772997, 1616697915.7738585]
[1616697913.3471375, 1616697916.1004531]
[1616697913.4338894, 1616697916.152013]
[1616697913.3662343, 1616697916.1202512]
[1616697913.412734, 1616697916.1396081]
[1616697913.5647278, 1616697916.373278]
[1616697913.706825, 1616697916.4257405]
[1616697913.8236542, 1616697916.6074834]
[1616697913.5824413, 1616697916.3151417]
[1616697913.9483218, 1616697916.7056863]
[1616697913.9233015, 1616697916.7283146]
[1616697913.8848605, 1616697916.6877608]
[1616697914.0260534, 1616697916.7779088]
[1616697914.2909606, 1616697917.0042012]
[1616697914.42928, 1616697917.1884658]
[1616697913.8515842, 1616697916.5933924]
[1616697914.6021802, 1616697917.3735611]
[1616697914.3858998, 1616697917.104568]
[1616697914.428934, 1616697917.2828944]
[1616697914.4057667, 1616697917.3671658]
[1616697914.499406, 1616697917.2702382]
[1616697914.5229363, 1616697917.3646736]
[1616697914.771057, 1616697917.8164227]
[1616697914.6832945, 1616697917.5043602]
[1616697914.904695, 1616697917.6733406]
[1616697914.8981013, 1616697917.653173]
[1616697915.0042183, 1616697917.7176683]
[1616697914.9075263, 1616697917.7164097]
[1616697915.126198, 1616697917.8496397]
[1616697915.2087755, 1616697917.9251628]
[1616697915.2848582, 1616697918.0614164]
[1616697915.2717326, 1616697918.0220628]
[1616697915.3099594, 1616697918.0505173]
[1616697915.4439404, 1616697918.1857193]
[1616697915.3856122, 1616697918.1512272]
[1616697915.5912476, 1616697918.390699]
[1616697915.455522, 1616697918.2488387]
[1616697915.7896943, 1616697918.534781]
[1616697915.6644077, 1616697918.447548]
[1616697915.7338681, 1616697918.4948215]
[1616697916.0056665, 1616697918.754523]
[1616697916.0199497, 1616697918.760407]
[1616697915.766391, 1616697918.490574]
[1616697916.2439637, 1616697918.9735296]
[1616697916.0903647, 1616697918.8242977]
[1616697916.0930192, 1616697918.8875616]
[1616697916.2591677, 1616697919.0024111]
[1616697916.6364822, 1616697919.3809614]
[1616697916.6638353, 1616697919.4029264]
[1616697916.4471056, 1616697919.1689036]
[1616697916.511816, 1616697919.2494195]
[1616697916.5976436, 1616697919.326119]
[1616697916.7462304, 1616697919.582824]
[1616697916.7701695, 1616697919.5198402]
[1616697916.6732142, 1616697919.3891113]
[1616697917.2062917, 1616697919.9227357]
[1616697917.2829351, 1616697920.0737898]
[1616697917.0776043, 1616697919.7942615]
[1616697917.191312, 1616697919.8708477]
[1616697917.3007002, 1616697920.0740616]
[1616697917.408954, 1616697920.1665993]
[1616697917.3517559, 1616697920.1022387]
[1616697917.3250656, 1616697920.0898092]
[1616697917.557171, 1616697920.3491387]
[1616697917.633157, 1616697920.4095523]
[1616697917.8049736, 1616697920.5925689]
[1616697917.5943182, 1616697920.4153082]
[1616697917.7275057, 1616697920.4482427]
[1616697917.9059849, 1616697920.6925578]
[1616697917.8557107, 1616697920.6742005]
[1616697917.8787699, 1616697920.8619301]
[1616697918.287245, 1616697921.078084]
[1616697917.9554563, 1616697920.6509676]
[1616697918.2132227, 1616697920.9632416]
[1616697917.9609592, 1616697920.7063317]
[1616697918.1929216, 1616697920.9333942]
[1616697918.3517041, 1616697921.0763953]
[1616697918.2856116, 1616697921.0523713]
[1616697918.5438855, 1616697921.3188872]
[1616697918.3711073, 1616697921.1368117]
[1616697918.556138, 1616697921.3030205]
[1616697918.686679, 1616697921.497615]
[1616697918.671333, 1616697921.4268343]
[1616697918.736776, 1616697921.4810708]
