[1616687863.7902138, 1616687873.9081645]
[1616687864.462618, 1616687873.4363072]
[1616687864.308942, 1616687872.9674294]
[1616687864.3787909, 1616687873.3118289]
[1616687863.9285724, 1616687874.0406268]
[1616687863.6323333, 1616687873.7590373]
[1616687864.0803354, 1616687873.7172065]
[1616687864.1818626, 1616687873.4089444]
[1616687863.9794924, 1616687874.084661]
[1616687864.1719644, 1616687872.9793992]
[1616687864.389164, 1616687873.3726275]
[1616687864.6985044, 1616687873.9068935]
[1616687864.317091, 1616687873.500329]
[1616687864.54549, 1616687873.6862729]
[1616687864.3105423, 1616687873.506592]
[1616687863.9835932, 1616687874.057508]
[1616687864.4468699, 1616687873.4148743]
[1616687864.478956, 1616687873.5465772]
[1616687864.7164311, 1616687873.766628]
[1616687864.233735, 1616687873.4125025]
[1616687864.6050878, 1616687873.733845]
[1616687864.5593123, 1616687877.339332]
[1616687864.6597803, 1616687873.8133128]
[1616687865.1468556, 1616687874.232261]
[1616687864.9937968, 1616687874.1178699]
[1616687865.054379, 1616687873.96073]
[1616687865.1697295, 1616687876.9424615]
[1616687865.4615295, 1616687874.686417]
[1616687865.5745275, 1616687874.752869]
[1616687864.744091, 1616687873.9023662]
[1616687865.400775, 1616687874.197519]
[1616687865.3667228, 1616687874.0322163]
[1616687865.1811779, 1616687873.925031]
[1616687865.512197, 1616687874.3832645]
[1616687865.692641, 1616687874.8123991]
[1616687865.6578102, 1616687874.4859412]
[1616687865.3286502, 1616687874.3368788]
[1616687865.868445, 1616687875.3013854]
[1616687866.056961, 1616687875.2752323]
[1616687865.9716055, 1616687875.1491907]
[1616687865.887129, 1616687875.0438466]
[1616687866.233905, 1616687875.2126777]
[1616687866.3044672, 1616687875.2691393]
[1616687866.1809015, 1616687875.2381196]
[1616687866.4555337, 1616687875.591684]
[1616687866.4612572, 1616687875.59384]
[1616687866.3803737, 1616687875.5570788]
[1616687866.6101038, 1616687875.2127697]
[1616687866.432936, 1616687875.5766413]
[1616687866.684522, 1616687875.346479]
[1616687866.3513982, 1616687875.156594]
[1616687866.9322317, 1616687876.0330675]
[1616687866.861062, 1616687875.7676795]
[1616687866.857737, 1616687876.1837265]
[1616687866.9181807, 1616687876.119826]
[1616687866.9134657, 1616687876.0826]
[1616687866.8753629, 1616687875.8399153]
[1616687867.0915773, 1616687876.322758]
[1616687867.127745, 1616687875.880928]
[1616687867.3337083, 1616687876.1625836]
[1616687867.2353356, 1616687876.1913075]
[1616687867.1574163, 1616687875.911829]
[1616687867.1762807, 1616687876.45463]
[1616687867.2874205, 1616687875.944813]
