[1616688025.8836632, 1616688028.6401985]
[1616688025.4498096, 1616688028.3553956]
[1616688025.9647636, 1616688028.6445222]
[1616688025.7737875, 1616688028.5112474]
[1616688025.5304513, 1616688028.2306116]
[1616688026.0118206, 1616688028.7641618]
[1616688026.0999336, 1616688028.8133888]
[1616688026.1254423, 1616688028.911322]
[1616688025.5206106, 1616688028.2142625]
[1616688025.5203767, 1616688028.3063288]
[1616688025.8834121, 1616688028.6229842]
[1616688026.0963292, 1616688028.8675084]
[1616688025.9362605, 1616688028.6735485]
[1616688025.9155958, 1616688028.6028588]
[1616688025.8332937, 1616688028.6556096]
[1616688026.0298853, 1616688028.7720535]
[1616688026.2192814, 1616688028.9018054]
[1616688026.14145, 1616688028.835608]
[1616688025.8279724, 1616688028.6079721]
[1616688025.450339, 1616688028.47908]
[1616688026.3434656, 1616688029.1199026]
[1616688026.3315616, 1616688029.0344832]
[1616688026.1662734, 1616688028.8802295]
[1616688026.496253, 1616688029.2234204]
[1616688026.6049688, 1616688029.3253229]
[1616688026.5979254, 1616688029.3095367]
[1616688026.3273602, 1616688029.0766754]
[1616688026.4706593, 1616688029.2251337]
[1616688026.7943583, 1616688029.5035954]
[1616688026.7984524, 1616688029.4998896]
[1616688026.7640476, 1616688029.480539]
[1616688027.2920976, 1616688029.9906085]
[1616688027.0186524, 1616688029.7288523]
[1616688027.044451, 1616688029.7825985]
[1616688027.1775892, 1616688029.9022887]
[1616688027.1564665, 1616688029.88376]
[1616688027.3009741, 1616688030.0256157]
[1616688027.561342, 1616688030.2894897]
[1616688026.9543097, 1616688029.8424876]
[1616688027.7713244, 1616688030.5095496]
[1616688027.6836839, 1616688030.3750563]
[1616688027.7203555, 1616688030.4417737]
[1616688027.581586, 1616688030.2896848]
[1616688028.2100651, 1616688030.9259346]
[1616688027.9225047, 1616688030.8811102]
[1616688027.9746506, 1616688030.67798]
[1616688028.2089498, 1616688030.911231]
[1616688028.2847352, 1616688030.9896545]
[1616688028.2283447, 1616688030.922038]
[1616688028.642123, 1616688031.357534]
[1616688028.5697393, 1616688031.2844357]
[1616688029.00648, 1616688031.7124088]
[1616688028.867011, 1616688031.5607777]
[1616688028.9994595, 1616688031.6931329]
[1616688028.915423, 1616688031.6400824]
[1616688029.168541, 1616688031.9110103]
[1616688029.021609, 1616688031.734672]
[1616688029.2219849, 1616688032.0586913]
[1616688029.2863326, 1616688032.0582237]
[1616688029.6134813, 1616688032.3553388]
[1616688029.4570158, 1616688032.1890504]
[1616688029.721655, 1616688032.4302156]
[1616688029.697552, 1616688032.429722]
[1616688029.7999306, 1616688032.5066347]
[1616688029.9447122, 1616688032.691536]
[1616688029.7950537, 1616688032.51213]
[1616688029.893523, 1616688032.6409004]
[1616688030.2971873, 1616688033.091038]
[1616688030.2782803, 1616688033.0783362]
[1616688030.2541776, 1616688032.9900355]
[1616688030.2698395, 1616688032.9933171]
[1616688030.2306657, 1616688032.9608514]
[1616688030.4160838, 1616688033.120411]
[1616688030.31728, 1616688033.0461738]
[1616688030.4534185, 1616688033.199886]
[1616688030.507426, 1616688033.2125688]
[1616688030.6226962, 1616688033.3372543]
[1616688030.4395008, 1616688033.194584]
[1616688030.7062, 1616688033.4126267]
[1616688030.7834742, 1616688033.4734552]
[1616688030.9468393, 1616688033.6726189]
[1616688030.9159675, 1616688033.6982543]
[1616688031.0952103, 1616688033.795707]
[1616688031.133972, 1616688033.8296604]
[1616688030.8982472, 1616688033.623446]
[1616688031.2667348, 1616688033.9816084]
[1616688031.1781895, 1616688033.8830972]
[1616688031.4274154, 1616688034.1681483]
[1616688031.5074394, 1616688034.2228498]
[1616688031.1874084, 1616688033.8970668]
[1616688031.4591696, 1616688034.3398318]
[1616688031.3032298, 1616688034.0473418]
[1616688031.4636788, 1616688034.1583385]
[1616688031.8315508, 1616688034.5479097]
[1616688032.0118628, 1616688034.692935]
[1616688031.7241654, 1616688034.408311]
[1616688031.8222241, 1616688034.5377533]
[1616688031.8755763, 1616688034.560822]
[1616688031.8671231, 1616688034.616749]
[1616688031.8846474, 1616688034.6276662]
[1616688032.080927, 1616688034.8578706]
[1616688032.0655327, 1616688035.1960776]
[1616688031.9703588, 1616688034.7284687]
[1616688032.2173476, 1616688034.9184165]
[1616688032.462839, 1616688035.1730392]
[1616688032.114379, 1616688034.8687105]
[1616688032.412216, 1616688035.1228123]
[1616688032.3522658, 1616688035.3197587]
[1616688032.6117861, 1616688035.3170354]
[1616688032.4897187, 1616688035.1979623]
[1616688032.6983886, 1616688035.430264]
[1616688032.6646304, 1616688035.3930457]
[1616688032.595064, 1616688035.3526387]
[1616688033.0735292, 1616688035.8159235]
[1616688033.2763538, 1616688036.1124673]
[1616688033.233329, 1616688035.9760377]
[1616688033.170732, 1616688035.851838]
[1616688032.9413283, 1616688035.6780593]
[1616688033.2210965, 1616688035.930377]
[1616688033.2867968, 1616688036.0007558]
[1616688033.562124, 1616688036.259343]
[1616688033.257626, 1616688035.9912732]
[1616688033.555544, 1616688036.238091]
[1616688033.4112153, 1616688036.1294978]
[1616688033.6776116, 1616688036.4410179]
[1616688033.8089619, 1616688036.5240674]
[1616688033.7130778, 1616688036.4478478]
[1616688033.9469447, 1616688036.6564977]
[1616688034.101276, 1616688036.8219702]
[1616688033.8539133, 1616688036.5402632]
[1616688034.041568, 1616688036.797002]
[1616688034.101747, 1616688036.827122]
[1616688034.158522, 1616688036.9049118]
[1616688034.387818, 1616688037.1628063]
[1616688034.113224, 1616688036.8354132]
[1616688034.3997536, 1616688037.1123796]
[1616688034.4517884, 1616688037.1637757]
[1616688034.4165013, 1616688037.1014733]
[1616688034.715242, 1616688037.4050386]
[1616688034.487196, 1616688037.2074325]
[1616688034.4718273, 1616688037.1478155]
[1616688034.668635, 1616688037.4354904]
[1616688034.6237242, 1616688037.3998115]
[1616688034.7088761, 1616688037.3968234]
[1616688034.816475, 1616688037.57617]
[1616688034.9736288, 1616688037.7905068]
[1616688034.9325528, 1616688037.6712453]
[1616688034.8869612, 1616688037.6329486]
[1616688035.305656, 1616688038.781039]
[1616688035.139813, 1616688037.8657737]
[1616688035.0863585, 1616688037.8023841]
[1616688035.2693815, 1616688037.975281]
[1616688035.0870116, 1616688037.8079987]
[1616688035.0841715, 1616688037.8022954]
[1616688035.6200528, 1616688038.364661]
[1616688035.507421, 1616688038.3727415]
[1616688035.4105623, 1616688038.157343]
[1616688035.3237493, 1616688038.1505775]
[1616688035.527721, 1616688038.3281918]
[1616688035.6485481, 1616688038.4046278]
[1616688035.8094342, 1616688038.5170453]
[1616688035.7818685, 1616688038.4993]
[1616688035.924741, 1616688038.6210897]
[1616688035.9153101, 1616688038.6450412]
[1616688035.6977463, 1616688038.416088]
[1616688035.9869795, 1616688038.8366535]
[1616688035.5945175, 1616688038.3595512]
[1616688036.056088, 1616688038.7759476]
[1616688035.9532042, 1616688038.6643636]
[1616688036.0223308, 1616688038.7335126]
[1616688035.8780456, 1616688038.569861]
[1616688036.2577631, 1616688038.97376]
[1616688036.0511093, 1616688038.778698]
[1616688036.340061, 1616688039.0585384]
[1616688036.1779852, 1616688038.8922608]
[1616688036.3260503, 1616688039.1866002]
[1616688036.2717865, 1616688038.9923615]
[1616688036.3385015, 1616688039.0282302]
[1616688036.455443, 1616688039.1696806]
[1616688036.464295, 1616688039.2079375]
[1616688036.5195072, 1616688039.2195213]
[1616688036.6440673, 1616688039.3460293]
[1616688036.4952915, 1616688039.1999638]
[1616688036.5784898, 1616688039.2814894]
[1616688036.595145, 1616688039.300338]
[1616688036.8920045, 1616688039.6155014]
[1616688036.8177748, 1616688039.5435824]
[1616688036.8548846, 1616688039.5675309]
[1616688037.4553738, 1616688040.1966379]
[1616688036.8669472, 1616688039.561912]
[1616688036.9822574, 1616688039.743862]
[1616688037.2303536, 1616688039.9276433]
[1616688037.2480757, 1616688040.0236652]
[1616688037.018751, 1616688039.7377412]
[1616688037.0347562, 1616688039.8007317]
[1616688037.1800969, 1616688039.8940434]
[1616688037.0224986, 1616688039.763343]
[1616688037.2915905, 1616688039.9528756]
[1616688037.5137198, 1616688040.2136586]
[1616688037.3881352, 1616688040.1094587]
[1616688037.4974139, 1616688040.2849536]
[1616688037.430846, 1616688040.1168067]
[1616688037.6408072, 1616688040.3693302]
[1616688037.5952454, 1616688040.376122]
[1616688037.6964247, 1616688040.3915336]
[1616688037.7485957, 1616688040.4598677]
[1616688038.0681674, 1616688040.8212953]
[1616688038.0185552, 1616688040.804964]
[1616688038.1131644, 1616688040.8899791]
[1616688038.1107419, 1616688040.8069968]
[1616688037.933006, 1616688040.6567538]
[1616688038.0058622, 1616688040.7197828]
[1616688038.295977, 1616688041.0434756]
[1616688038.2300262, 1616688040.9355307]
[1616688038.2037368, 1616688040.9280627]
[1616688038.2962627, 1616688040.996207]
[1616688038.2673478, 1616688040.9940493]
[1616688038.3685527, 1616688041.0743659]
[1616688038.2554197, 1616688040.9543242]
[1616688038.4061635, 1616688041.183632]
[1616688038.5336368, 1616688041.2557757]
[1616688038.6715298, 1616688041.381574]
[1616688038.8351736, 1616688041.5579946]
[1616688038.6511328, 1616688041.412087]
[1616688038.6420674, 1616688041.368713]
[1616688038.6036773, 1616688041.3181863]
[1616688038.9003108, 1616688041.6140335]
[1616688038.8720148, 1616688041.5773861]
[1616688038.8538933, 1616688041.5584583]
[1616688039.007814, 1616688041.7053335]
[1616688038.9682424, 1616688041.661003]
[1616688038.8509374, 1616688041.6994615]
[1616688039.0116122, 1616688041.7235048]
[1616688038.831947, 1616688041.964943]
[1616688039.3016863, 1616688042.0035818]
[1616688039.04347, 1616688041.7369545]
[1616688039.3245454, 1616688042.0414786]
[1616688039.329, 1616688042.0325813]
[1616688039.4697769, 1616688042.1734593]
[1616688039.4273758, 1616688042.140008]
[1616688039.3402936, 1616688042.0490756]
[1616688039.8590899, 1616688042.5602996]
[1616688040.0887587, 1616688042.7856517]
[1616688039.6887007, 1616688042.4346294]
[1616688039.7927232, 1616688042.5150113]
[1616688039.5755148, 1616688042.286302]
[1616688039.7961671, 1616688042.5238233]
[1616688039.5208595, 1616688042.2794917]
[1616688039.9238322, 1616688042.630023]
[1616688039.9119403, 1616688042.6253932]
[1616688039.8503344, 1616688042.5780861]
[1616688040.0840771, 1616688042.8357823]
[1616688040.2106192, 1616688042.9634092]
[1616688040.1201925, 1616688042.8412774]
[1616688040.007416, 1616688042.6704335]
[1616688040.3958147, 1616688043.2265894]
[1616688040.1831887, 1616688042.8741305]
[1616688040.4637568, 1616688043.172969]
[1616688040.2701876, 1616688042.9640932]
[1616688040.4321957, 1616688043.126871]
[1616688040.437564, 1616688043.1988482]
[1616688040.5198596, 1616688043.265839]
[1616688040.5054393, 1616688043.1959276]
[1616688040.7075262, 1616688043.413231]
[1616688040.5899806, 1616688043.314328]
[1616688040.322516, 1616688043.078577]
[1616688040.7157657, 1616688043.4549851]
[1616688040.751837, 1616688043.4573722]
[1616688040.7539515, 1616688043.5205123]
[1616688040.935218, 1616688043.6572602]
[1616688040.943469, 1616688043.6506758]
[1616688040.960105, 1616688043.6626754]
[1616688041.0946882, 1616688043.8222637]
[1616688041.0276873, 1616688043.7354782]
[1616688040.9500065, 1616688043.7478783]
[1616688041.167118, 1616688043.8983057]
[1616688041.0638094, 1616688043.8384774]
[1616688041.1944883, 1616688043.9548528]
[1616688041.2426226, 1616688043.9443028]
[1616688041.149244, 1616688043.89505]
[1616688041.5621538, 1616688044.2795885]
[1616688041.443467, 1616688044.182359]
[1616688041.5321147, 1616688044.2364998]
[1616688041.502785, 1616688044.2066562]
[1616688041.6963472, 1616688044.3794863]
[1616688041.630097, 1616688044.36212]
[1616688041.7015557, 1616688044.4317503]
[1616688041.73137, 1616688044.419092]
[1616688041.8819315, 1616688044.5968874]
[1616688041.8388448, 1616688044.5758045]
[1616688041.7074947, 1616688044.4256713]
[1616688041.7256362, 1616688044.4519165]
[1616688041.8839774, 1616688044.6139677]
[1616688041.9198036, 1616688044.6314116]
[1616688041.630536, 1616688044.3483899]
[1616688042.2998352, 1616688045.0154889]
[1616688041.8542037, 1616688044.5815365]
[1616688042.2794516, 1616688045.0108361]
[1616688042.209913, 1616688044.9236047]
[1616688042.4146163, 1616688045.6586502]
[1616688042.336857, 1616688045.125613]
[1616688042.409431, 1616688045.0953922]
[1616688042.2665691, 1616688044.9726717]
[1616688042.2773654, 1616688045.0300395]
[1616688042.420082, 1616688045.1744015]
[1616688042.3960538, 1616688045.0996993]
[1616688042.5234494, 1616688045.238539]
[1616688042.8156595, 1616688045.5149481]
[1616688042.6042852, 1616688045.3128085]
[1616688042.601334, 1616688045.3648353]
[1616688043.010946, 1616688045.7597616]
[1616688043.0439255, 1616688045.7563415]
[1616688042.6793864, 1616688045.3479924]
[1616688042.8037179, 1616688045.504278]
[1616688042.9885962, 1616688045.6828947]
[1616688043.0850983, 1616688045.8607707]
[1616688043.0428936, 1616688045.7831476]
[1616688043.1175277, 1616688045.824024]
[1616688043.0245914, 1616688045.745504]
[1616688043.4112883, 1616688046.1280103]
[1616688043.2138286, 1616688045.9541247]
[1616688043.3586814, 1616688046.1074116]
[1616688043.1694877, 1616688045.9115639]
[1616688043.468911, 1616688046.174077]
[1616688043.5814426, 1616688046.319516]
[1616688043.5238545, 1616688046.2530234]
[1616688043.522412, 1616688046.2614262]
[1616688043.685449, 1616688046.3968086]
[1616688043.8330424, 1616688046.549277]
[1616688043.789262, 1616688046.5667098]
[1616688043.88516, 1616688046.682212]
[1616688043.7536573, 1616688046.4563577]
[1616688043.971293, 1616688046.8403108]
[1616688044.0695121, 1616688046.7973886]
