[1616689569.1866407, 1616689571.967592]
[1616689569.1866803, 1616689571.9593272]
[1616689569.3018427, 1616689572.074661]
[1616689569.5779657, 1616689572.2952569]
[1616689569.1779206, 1616689571.8674924]
[1616689569.2490144, 1616689571.9515398]
[1616689569.564006, 1616689572.2571964]
[1616689569.1852283, 1616689571.8995907]
[1616689569.5265667, 1616689572.2349217]
[1616689569.4017682, 1616689572.111561]
[1616689569.7765322, 1616689572.4615357]
[1616689569.730032, 1616689572.4599223]
[1616689569.5315979, 1616689572.2849357]
[1616689569.1638594, 1616689571.9005716]
[1616689569.3932004, 1616689572.1539326]
[1616689569.8294868, 1616689572.5372248]
[1616689569.4867356, 1616689572.1981413]
[1616689569.6054976, 1616689572.2936394]
[1616689569.6639545, 1616689572.3790276]
[1616689569.7868972, 1616689572.4805694]
[1616689569.569071, 1616689572.245464]
[1616689570.0121799, 1616689572.7300897]
[1616689569.4018734, 1616689572.1278052]
[1616689569.8540044, 1616689572.5777469]
[1616689570.2677855, 1616689573.0135748]
[1616689570.2505422, 1616689572.950019]
[1616689570.1430302, 1616689572.858738]
[1616689570.3334465, 1616689573.0258873]
[1616689570.8493748, 1616689573.5667245]
[1616689570.6478305, 1616689573.3327966]
[1616689570.374548, 1616689573.1301992]
[1616689570.671972, 1616689573.4027255]
[1616689570.6578214, 1616689573.3501074]
[1616689570.5011268, 1616689573.2341764]
[1616689570.5785053, 1616689573.3306367]
[1616689571.075899, 1616689573.799238]
[1616689570.9417815, 1616689573.6511993]
[1616689571.0992792, 1616689573.8085978]
[1616689570.5184276, 1616689573.2023237]
[1616689571.0920587, 1616689573.7888687]
[1616689571.164605, 1616689573.864261]
[1616689571.3765712, 1616689574.0734966]
[1616689571.2971942, 1616689574.019178]
[1616689571.5993848, 1616689574.3057594]
[1616689571.7200708, 1616689574.42182]
[1616689571.493522, 1616689574.1954744]
[1616689571.8875675, 1616689574.5945692]
[1616689571.9055173, 1616689574.6782155]
[1616689572.0421586, 1616689574.8351128]
[1616689572.0439725, 1616689574.7815423]
[1616689572.109366, 1616689574.82968]
[1616689572.333921, 1616689575.0498195]
[1616689572.3609524, 1616689575.0487509]
[1616689572.5569448, 1616689575.2601588]
[1616689572.6158936, 1616689575.3553028]
[1616689572.5162346, 1616689575.2078063]
[1616689572.929714, 1616689575.628329]
[1616689572.7984288, 1616689575.5217097]
[1616689572.533879, 1616689575.2311037]
[1616689573.064747, 1616689575.7760704]
[1616689573.204575, 1616689575.9532473]
[1616689573.0332613, 1616689575.74759]
[1616689572.7825706, 1616689575.5407367]
[1616689573.3883135, 1616689576.086941]
[1616689573.3815908, 1616689576.0968537]
[1616689573.1220675, 1616689575.8172655]
[1616689573.279892, 1616689576.0121663]
[1616689573.3270314, 1616689576.0407429]
[1616689573.314614, 1616689576.0562367]
[1616689573.3108604, 1616689575.9952073]
[1616689573.5655274, 1616689576.2790792]
[1616689573.741716, 1616689576.4219918]
[1616689573.5335438, 1616689576.2443144]
[1616689573.7866452, 1616689576.4986954]
[1616689573.6777394, 1616689576.3862684]
[1616689573.5635679, 1616689576.2879703]
[1616689573.6382, 1616689576.3755484]
[1616689573.9980764, 1616689576.7239614]
[1616689573.8067346, 1616689576.529482]
[1616689573.860713, 1616689576.5577135]
[1616689574.128591, 1616689576.8302755]
[1616689574.3739614, 1616689577.1119301]
[1616689574.2561321, 1616689576.9712617]
[1616689574.0550628, 1616689576.7700298]
[1616689574.2617195, 1616689576.9591687]
[1616689574.5570638, 1616689577.2902021]
[1616689574.4366627, 1616689577.134383]
[1616689574.3556938, 1616689577.0537322]
[1616689574.5509117, 1616689577.2832446]
[1616689574.4828098, 1616689577.2668831]
[1616689574.7051475, 1616689577.5279105]
[1616689574.8490412, 1616689577.899799]
[1616689575.1640177, 1616689577.8655818]
[1616689574.911532, 1616689577.6385467]
[1616689575.2299037, 1616689577.9231436]
[1616689575.051538, 1616689577.778131]
[1616689575.1304872, 1616689577.8451388]
[1616689575.3177273, 1616689578.0122466]
[1616689575.2896237, 1616689577.9833088]
[1616689575.2664914, 1616689577.9752653]
[1616689575.3782036, 1616689578.0958335]
[1616689575.3852262, 1616689578.090404]
[1616689575.5123205, 1616689578.2047806]
[1616689575.6859837, 1616689578.3845916]
[1616689575.9514098, 1616689578.6446345]
[1616689575.7304428, 1616689578.5193603]
[1616689575.9219797, 1616689578.6281397]
[1616689576.398705, 1616689579.1068902]
[1616689575.9475086, 1616689578.6615875]
[1616689575.9799864, 1616689578.7234433]
[1616689576.6424737, 1616689579.382652]
[1616689576.166701, 1616689578.8618271]
[1616689576.1228166, 1616689578.8099709]
[1616689576.223632, 1616689578.9407194]
[1616689576.5036252, 1616689579.179139]
[1616689576.6503303, 1616689579.3826804]
[1616689576.6691685, 1616689579.3967]
[1616689576.6862857, 1616689579.4167855]
[1616689576.616339, 1616689579.3322062]
[1616689576.8288999, 1616689579.5311031]
[1616689576.9930983, 1616689579.7168593]
[1616689576.7887228, 1616689579.5095959]
[1616689576.9113855, 1616689579.6073005]
[1616689577.0700624, 1616689579.7716599]
[1616689577.2278848, 1616689579.9583101]
[1616689577.3888829, 1616689580.113357]
[1616689577.1752193, 1616689579.878516]
[1616689577.4177485, 1616689580.1463497]
[1616689577.675786, 1616689580.416638]
[1616689577.5077481, 1616689580.2625372]
[1616689577.6317701, 1616689580.4152253]
[1616689577.8504713, 1616689580.5633152]
[1616689577.787472, 1616689580.4888299]
[1616689577.8998415, 1616689580.6016822]
[1616689577.943737, 1616689580.6368706]
[1616689577.849825, 1616689580.542434]
[1616689577.9857213, 1616689580.758965]
[1616689578.1782882, 1616689580.8919263]
[1616689578.1338284, 1616689580.8987248]
[1616689578.3000088, 1616689580.9787498]
[1616689578.2767508, 1616689580.9700186]
[1616689578.2773945, 1616689580.9939463]
[1616689578.6746058, 1616689581.399242]
[1616689578.5575502, 1616689581.27725]
[1616689578.379362, 1616689581.137797]
[1616689578.4892557, 1616689581.1792002]
[1616689578.7163706, 1616689581.4249437]
[1616689578.6199305, 1616689581.3355489]
[1616689578.8465521, 1616689581.5579615]
[1616689578.792251, 1616689581.5433238]
[1616689578.8868074, 1616689581.5611956]
[1616689578.9439976, 1616689581.6408212]
[1616689579.1668706, 1616689581.8841817]
[1616689579.1703384, 1616689581.9004366]
[1616689579.1020021, 1616689581.807067]
[1616689579.0067904, 1616689581.7129245]
[1616689579.6051874, 1616689582.3119292]
[1616689579.2858639, 1616689581.9782586]
[1616689579.0986695, 1616689581.8669417]
[1616689579.4096859, 1616689582.123061]
[1616689579.2722065, 1616689581.9476793]
[1616689579.488553, 1616689582.2229898]
[1616689579.9350214, 1616689582.6535165]
[1616689579.7968113, 1616689582.505794]
[1616689579.513493, 1616689582.277666]
[1616689579.796392, 1616689582.4970186]
[1616689579.6434314, 1616689582.3361545]
[1616689579.741025, 1616689582.439072]
[1616689579.8906078, 1616689582.5898921]
[1616689579.943523, 1616689582.6832976]
[1616689580.3938925, 1616689583.1203523]
[1616689579.9171534, 1616689582.6635885]
[1616689580.0304546, 1616689582.7494755]
[1616689580.2773063, 1616689582.9586568]
[1616689580.2518718, 1616689582.951368]
[1616689580.137415, 1616689582.8393905]
[1616689580.3081794, 1616689583.0472326]
[1616689580.2224371, 1616689582.9407651]
[1616689580.3782976, 1616689583.0790157]
[1616689580.2359972, 1616689582.9701903]
[1616689580.2736468, 1616689583.0443978]
[1616689580.4448884, 1616689583.156347]
[1616689580.3279753, 1616689583.0365582]
[1616689580.4471395, 1616689583.1902711]
[1616689580.7184253, 1616689583.450531]
[1616689580.7678456, 1616689583.4802473]
[1616689580.796889, 1616689583.4850943]
[1616689580.8104715, 1616689583.5499086]
[1616689580.8088844, 1616689583.5436337]
[1616689580.6707487, 1616689583.3599224]
[1616689580.9147131, 1616689583.629023]
[1616689580.6348703, 1616689583.3267004]
[1616689580.8335543, 1616689583.5385644]
[1616689581.0702426, 1616689583.7426155]
[1616689581.0466015, 1616689583.7412965]
[1616689580.9544199, 1616689583.6813233]
[1616689580.846397, 1616689583.5527823]
[1616689580.976164, 1616689583.6655812]
[1616689581.074162, 1616689583.7786028]
[1616689581.118514, 1616689583.8270779]
[1616689581.331609, 1616689584.1095161]
[1616689581.3096392, 1616689584.0508788]
[1616689581.3874161, 1616689584.082152]
[1616689581.2639735, 1616689583.9697235]
[1616689581.4311495, 1616689584.1225634]
[1616689581.462816, 1616689584.1944115]
[1616689581.4647164, 1616689584.1583757]
[1616689581.624036, 1616689584.346051]
[1616689581.4941213, 1616689584.2205384]
[1616689581.620985, 1616689584.3098266]
[1616689581.653508, 1616689584.3471937]
[1616689581.8404715, 1616689584.549124]
