[1616689653.1793573, 1616689665.1305487]
[1616689653.271438, 1616689665.304308]
[1616689653.3143132, 1616689665.5168982]
[1616689653.6803927, 1616689665.515686]
[1616689653.7051992, 1616689665.6403391]
[1616689653.5116503, 1616689665.4271228]
[1616689653.4980876, 1616689665.3625858]
[1616689653.278819, 1616689665.1299655]
[1616689653.8079123, 1616689665.7530696]
[1616689653.0868316, 1616689665.2246237]
[1616689653.5548253, 1616689665.485791]
[1616689653.58881, 1616689665.4801576]
[1616689653.4218028, 1616689665.2602994]
[1616689653.510355, 1616689665.4080646]
[1616689653.0867622, 1616689665.0047472]
[1616689653.517168, 1616689665.4746456]
[1616689653.4482028, 1616689665.637449]
[1616689653.6183085, 1616689665.5321264]
[1616689653.6422513, 1616689665.5015988]
[1616689653.6423135, 1616689665.592044]
[1616689653.9535577, 1616689665.785497]
[1616689653.5026002, 1616689665.3598642]
[1616689653.8305387, 1616689665.6601388]
[1616689653.920067, 1616689666.2412593]
[1616689653.9581609, 1616689665.8348606]
[1616689654.0542202, 1616689666.0082068]
[1616689653.985517, 1616689666.5790675]
[1616689653.9344053, 1616689665.8220606]
[1616689653.880741, 1616689665.6883159]
[1616689654.4217377, 1616689666.2074144]
[1616689654.342642, 1616689666.198302]
[1616689654.542335, 1616689666.399768]
[1616689654.4521966, 1616689666.3402302]
[1616689654.4256256, 1616689666.271524]
[1616689654.6230798, 1616689666.7659757]
[1616689654.39219, 1616689666.4071157]
[1616689654.5279148, 1616689666.389316]
[1616689654.5670009, 1616689666.4680445]
[1616689654.6533053, 1616689666.6789215]
[1616689654.8025796, 1616689666.761211]
[1616689654.7302935, 1616689666.546041]
[1616689654.8130188, 1616689666.794454]
[1616689655.0748792, 1616689666.9162745]
[1616689654.8254974, 1616689666.7571414]
[1616689654.7549317, 1616689667.092475]
[1616689654.8819413, 1616689666.7309685]
[1616689655.0319998, 1616689667.247728]
[1616689654.8994308, 1616689667.068834]
[1616689654.970367, 1616689666.9081845]
[1616689654.8015306, 1616689666.738878]
[1616689654.9980586, 1616689666.8030887]
[1616689655.1179533, 1616689667.1131177]
[1616689655.165373, 1616689666.9956944]
[1616689655.0617292, 1616689667.0352006]
[1616689655.043389, 1616689666.8545408]
[1616689655.0425174, 1616689666.9180954]
[1616689655.2339244, 1616689667.0565655]
[1616689655.2188568, 1616689667.4496167]
[1616689655.2211204, 1616689667.0892951]
[1616689655.1395912, 1616689667.0975266]
[1616689655.1459584, 1616689667.0795536]
[1616689655.3069985, 1616689667.1665072]
[1616689655.2188985, 1616689667.2380013]
[1616689655.218903, 1616689667.0372365]
[1616689655.3199372, 1616689667.199929]
[1616689655.2669458, 1616689667.1810203]
[1616689655.32659, 1616689667.5736237]
[1616689655.3396404, 1616689667.1846542]
[1616689655.3904884, 1616689667.2716208]
[1616689655.4044564, 1616689667.3285704]
[1616689655.1629279, 1616689666.9570007]
[1616689655.2276063, 1616689667.1665854]
[1616689655.14358, 1616689667.1235914]
[1616689655.3977993, 1616689667.6440458]
[1616689655.4199767, 1616689667.3912344]
[1616689655.302705, 1616689667.599356]
[1616689655.4351718, 1616689667.7102637]
[1616689655.2530766, 1616689667.2226334]
[1616689655.4041088, 1616689668.352308]
[1616689655.3885462, 1616689667.3578153]
[1616689655.3780913, 1616689667.3237288]
[1616689655.4214454, 1616689667.4543483]
[1616689655.3508673, 1616689667.232911]
[1616689655.2918358, 1616689667.5460818]
[1616689655.406081, 1616689667.2507732]
[1616689655.4479585, 1616689667.3204985]
[1616689655.4293988, 1616689667.4508667]
[1616689655.4712505, 1616689668.6148481]
[1616689655.3590293, 1616689667.4135258]
[1616689655.4727175, 1616689667.298995]
[1616689655.4750152, 1616689667.4388173]
[1616689655.5122926, 1616689667.3817165]
[1616689655.348955, 1616689667.166147]
[1616689655.446102, 1616689667.3162496]
[1616689655.4329708, 1616689667.6141474]
[1616689655.4550385, 1616689667.3105953]
[1616689655.4547062, 1616689667.4633498]
[1616689655.3409162, 1616689667.236382]
[1616689655.516295, 1616689667.6528132]
[1616689655.4418294, 1616689667.274836]
