[1616691370.0852966, 1616691372.8308825]
[1616691369.8894317, 1616691372.6766942]
[1616691370.1181808, 1616691372.8469524]
[1616691369.876659, 1616691372.8425856]
[1616691369.9886942, 1616691372.898339]
[1616691369.942064, 1616691372.6775093]
[1616691370.0166667, 1616691372.7573903]
[1616691369.7756681, 1616691372.533393]
[1616691369.4488103, 1616691372.258864]
[1616691370.0039568, 1616691372.77756]
[1616691370.1104465, 1616691372.887486]
[1616691370.102332, 1616691372.8911433]
[1616691370.1570272, 1616691372.8721762]
[1616691370.015549, 1616691372.7337606]
[1616691369.9293265, 1616691372.630706]
[1616691370.1009986, 1616691372.8261375]
[1616691369.7848883, 1616691372.4976788]
[1616691370.0229688, 1616691372.74504]
[1616691370.2906454, 1616691373.1378124]
[1616691369.9368377, 1616691372.6962712]
[1616691370.3019717, 1616691373.0476294]
[1616691370.2554975, 1616691372.9960864]
[1616691370.370805, 1616691373.0940802]
[1616691370.2882743, 1616691373.0656161]
[1616691370.4968326, 1616691373.229763]
[1616691370.466106, 1616691373.2166126]
[1616691370.6884716, 1616691373.434781]
[1616691370.5365517, 1616691373.2755735]
[1616691370.730906, 1616691373.5269094]
[1616691370.6733072, 1616691373.4322956]
[1616691370.853754, 1616691373.5276752]
[1616691370.74729, 1616691373.51577]
[1616691370.8717175, 1616691373.592257]
[1616691370.841182, 1616691373.5660825]
[1616691370.9191623, 1616691373.6723957]
[1616691370.8170865, 1616691373.551945]
[1616691370.930476, 1616691373.6835048]
[1616691371.0644555, 1616691373.7916203]
[1616691370.889242, 1616691373.6045017]
[1616691370.8643303, 1616691373.637972]
[1616691371.0603561, 1616691373.7806032]
[1616691371.19352, 1616691373.9016535]
[1616691371.198781, 1616691373.9192457]
[1616691371.2190855, 1616691373.91682]
[1616691371.181966, 1616691373.9401462]
[1616691371.2200801, 1616691374.0184367]
[1616691371.3519442, 1616691374.0635407]
[1616691371.2937837, 1616691373.9992542]
[1616691371.4472923, 1616691374.16933]
[1616691371.4523642, 1616691374.1906729]
[1616691371.466682, 1616691374.2094495]
[1616691371.4269476, 1616691374.1539512]
[1616691371.4685068, 1616691374.181176]
[1616691371.623272, 1616691374.3297834]
[1616691371.4918418, 1616691374.1883132]
[1616691371.5833502, 1616691374.2977912]
[1616691371.701486, 1616691374.4106562]
[1616691371.6169293, 1616691374.3645256]
[1616691371.5607765, 1616691374.290005]
[1616691371.6834064, 1616691374.3940105]
[1616691371.656987, 1616691374.4590378]
[1616691371.6319838, 1616691374.3548005]
[1616691371.7074623, 1616691374.4328153]
[1616691371.661012, 1616691374.3723636]
[1616691371.6728554, 1616691374.364004]
[1616691371.8622773, 1616691374.5969794]
[1616691371.7768116, 1616691374.4587135]
[1616691371.7381568, 1616691374.4640691]
[1616691371.6213348, 1616691374.3331692]
[1616691371.6706054, 1616691374.3661203]
[1616691371.722613, 1616691374.5356264]
[1616691371.7176757, 1616691374.426021]
[1616691371.7988882, 1616691374.5806518]
[1616691371.7348468, 1616691374.4766264]
[1616691371.8358772, 1616691374.5547042]
[1616691371.722289, 1616691374.4339137]
[1616691371.813883, 1616691374.6094122]
[1616691371.7659304, 1616691374.4782403]
[1616691371.8643398, 1616691374.5648263]
[1616691371.917808, 1616691374.6279454]
[1616691371.8059592, 1616691374.4972162]
[1616691371.8392808, 1616691374.5833871]
[1616691371.8823464, 1616691374.6207166]
[1616691371.8851285, 1616691374.6388917]
[1616691371.8864336, 1616691374.6400907]
[1616691371.8342295, 1616691374.5601609]
[1616691371.896767, 1616691374.6622946]
[1616691371.8949876, 1616691374.620351]
[1616691371.887597, 1616691374.646397]
[1616691371.828712, 1616691374.6209188]
[1616691371.8424273, 1616691374.553105]
[1616691371.9328284, 1616691374.6493456]
[1616691371.9735293, 1616691374.674052]
[1616691371.9753985, 1616691374.7178771]
[1616691371.988267, 1616691374.7085853]
[1616691371.9803576, 1616691374.7165706]
[1616691371.9326658, 1616691374.6717217]
[1616691371.9596748, 1616691374.769927]
[1616691371.9370058, 1616691374.6458724]
[1616691371.9739234, 1616691374.6832492]
