[1616691715.4278355, 1616691727.9954057]
[1616691714.661563, 1616691726.8450115]
[1616691714.6200662, 1616691727.2701683]
[1616691715.0464754, 1616691727.016999]
[1616691714.95544, 1616691727.3440194]
[1616691715.0448513, 1616691727.0811086]
[1616691715.36444, 1616691727.4257393]
[1616691715.219418, 1616691727.2047672]
[1616691715.0201695, 1616691727.1837473]
[1616691715.0619502, 1616691727.0147114]
[1616691715.2500212, 1616691727.5559816]
[1616691715.1445758, 1616691727.0600734]
[1616691715.1425617, 1616691727.3324585]
[1616691715.198539, 1616691727.1798506]
[1616691714.9605892, 1616691727.0300713]
[1616691714.9797866, 1616691727.7316833]
[1616691715.3965795, 1616691727.6961224]
[1616691715.1774023, 1616691727.4630542]
[1616691715.2486818, 1616691727.3584673]
[1616691715.1225796, 1616691727.0180793]
[1616691715.5882254, 1616691727.4499776]
[1616691715.9221923, 1616691728.0631683]
[1616691715.9131398, 1616691727.912042]
[1616691716.0751345, 1616691728.01462]
[1616691715.8549132, 1616691727.7049649]
[1616691716.1534479, 1616691728.487913]
[1616691715.8908541, 1616691727.7625728]
[1616691716.230936, 1616691729.1106846]
[1616691716.4786756, 1616691728.4359226]
[1616691716.2506118, 1616691728.238158]
[1616691716.3321614, 1616691728.2220984]
[1616691716.1790013, 1616691728.396846]
[1616691716.5768929, 1616691728.4548876]
[1616691716.5313625, 1616691728.4514189]
[1616691716.520397, 1616691728.919583]
[1616691716.4473016, 1616691728.634377]
[1616691716.6194901, 1616691728.5516999]
[1616691716.5742316, 1616691728.5857122]
[1616691716.7651317, 1616691729.5493498]
[1616691716.7154548, 1616691729.8058305]
[1616691717.005442, 1616691728.8944905]
[1616691716.943335, 1616691728.9970953]
[1616691717.098986, 1616691729.5955415]
[1616691716.8799024, 1616691729.188362]
[1616691717.0689018, 1616691728.9970934]
[1616691717.236488, 1616691729.198167]
[1616691717.1844535, 1616691729.5014727]
[1616691717.1796725, 1616691729.0271943]
[1616691717.2463055, 1616691729.1959805]
[1616691717.3013713, 1616691729.231036]
[1616691717.4248974, 1616691729.5355182]
[1616691717.361359, 1616691729.3906512]
[1616691717.3607447, 1616691729.2490609]
[1616691717.5126598, 1616691729.737533]
[1616691717.388672, 1616691730.0583777]
[1616691717.5433798, 1616691729.9107232]
[1616691717.6175482, 1616691729.4542265]
[1616691717.602072, 1616691729.8076022]
[1616691717.5913079, 1616691729.7851167]
[1616691717.7594383, 1616691729.7448068]
[1616691717.7735326, 1616691730.12994]
[1616691717.7961106, 1616691730.0294664]
[1616691717.9706511, 1616691729.9194305]
[1616691718.039623, 1616691730.308103]
[1616691717.8637707, 1616691730.2686436]
[1616691717.788775, 1616691729.8912017]
[1616691717.9229217, 1616691730.1511106]
[1616691717.8592682, 1616691730.054267]
[1616691717.9090562, 1616691729.8562326]
[1616691717.966249, 1616691729.975854]
[1616691718.1509721, 1616691730.1251888]
[1616691718.0435255, 1616691729.9824612]
[1616691718.1595328, 1616691730.410265]
[1616691718.0712714, 1616691730.423066]
[1616691718.1468787, 1616691730.2941751]
[1616691718.0340078, 1616691730.3943138]
[1616691718.173347, 1616691730.4021025]
[1616691718.1241887, 1616691730.24039]
[1616691718.050664, 1616691730.0124364]
[1616691718.2087896, 1616691731.0739152]
[1616691718.1323633, 1616691730.35967]
[1616691718.2120311, 1616691730.4294262]
[1616691718.182646, 1616691730.2257977]
[1616691718.2011397, 1616691730.4181018]
[1616691718.220293, 1616691730.196327]
[1616691718.2324677, 1616691730.533773]
[1616691718.3494701, 1616691730.6188276]
[1616691718.2330437, 1616691730.2904465]
[1616691718.4655604, 1616691730.4805684]
[1616691718.4257433, 1616691730.5191853]
[1616691718.3067126, 1616691730.6766992]
[1616691718.2851448, 1616691730.361069]
[1616691718.3997858, 1616691730.7363997]
[1616691718.2538595, 1616691730.1985774]
[1616691718.3014958, 1616691730.3017633]
[1616691718.4125972, 1616691730.5455673]
[1616691718.4232666, 1616691730.6448765]
[1616691718.3524542, 1616691730.5867696]
[1616691718.2963, 1616691730.3094556]
[1616691718.3452823, 1616691730.7200997]
[1616691718.299937, 1616691730.480442]
[1616691718.5004585, 1616691730.7573206]
[1616691718.5141602, 1616691730.6239417]
[1616691718.3763645, 1616691730.471838]
[1616691718.4257615, 1616691730.416436]
[1616691718.2854831, 1616691730.1806915]
[1616691718.4265301, 1616691730.717184]
[1616691718.5281246, 1616691730.835897]
[1616691718.4797509, 1616691730.9114542]
[1616691718.5315938, 1616691730.6142423]
[1616691718.577436, 1616691730.8110173]
[1616691718.5685885, 1616691730.6781564]
[1616691718.5238159, 1616691730.6929164]
[1616691718.5444238, 1616691730.405881]
[1616691718.4193573, 1616691730.9490302]
[1616691718.6245856, 1616691730.5670915]
[1616691718.5293458, 1616691730.417829]
[1616691718.5315204, 1616691730.4011893]
[1616691718.5729651, 1616691730.7032928]
[1616691718.5215304, 1616691730.8985808]
[1616691718.628802, 1616691730.4836617]
[1616691718.571963, 1616691730.6134293]
[1616691718.539379, 1616691730.5919096]
[1616691718.5980787, 1616691730.8069987]
[1616691718.5158315, 1616691730.3885953]
[1616691718.5796735, 1616691730.4813633]
[1616691718.5538034, 1616691730.8295467]
[1616691718.5457428, 1616691730.5206916]
[1616691718.6388679, 1616691731.0131698]
[1616691718.6018295, 1616691731.214806]
[1616691718.6436574, 1616691730.6099293]
[1616691718.6211512, 1616691730.8737466]
[1616691718.624161, 1616691730.8999076]
