[1616805888.3799162, 1616805889.0566456]
[1616805887.7977388, 1616805888.4216359]
[1616805888.461914, 1616805889.0837486]
[1616805887.6070156, 1616805888.3496916]
[1616805888.0140371, 1616805888.7018852]
[1616805887.7854207, 1616805889.6053877]
[1616805888.3194518, 1616805889.6818154]
[1616805888.1131697, 1616805888.8420694]
[1616805887.898267, 1616805888.5474088]
[1616805888.094832, 1616805888.8593988]
[1616805887.9596179, 1616805888.6783834]
[1616805888.4066665, 1616805889.1030803]
[1616805888.1485555, 1616805888.8511257]
[1616805888.4127996, 1616805889.1216588]
[1616805888.159609, 1616805888.8385477]
[1616805888.260209, 1616805888.9600875]
[1616805888.1582906, 1616805890.0951478]
[1616805888.0990863, 1616805888.7435095]
[1616805888.0673008, 1616805888.8020315]
[1616805888.3938427, 1616805890.1914546]
[1616805888.3640685, 1616805890.0722926]
[1616805888.4994962, 1616805889.214368]
[1616805888.5264277, 1616805889.22619]
[1616805888.4013898, 1616805891.194466]
[1616805888.7450986, 1616805889.3916886]
[1616805889.1547656, 1616805889.813224]
[1616805889.1526737, 1616805889.8406615]
[1616805889.37912, 1616805890.034925]
[1616805889.725373, 1616805891.4830458]
[1616805889.7479289, 1616805890.5926776]
[1616805889.7746813, 1616805890.3856254]
[1616805889.5759404, 1616805890.2480047]
[1616805889.7467532, 1616805890.4398608]
[1616805890.0340192, 1616805890.7335007]
[1616805889.991522, 1616805890.638417]
[1616805890.0175989, 1616805891.792276]
[1616805889.9745839, 1616805890.660785]
[1616805890.0581675, 1616805890.989451]
[1616805890.0680025, 1616805891.3547862]
[1616805890.408976, 1616805891.0370715]
[1616805890.706358, 1616805891.3965147]
[1616805890.4851515, 1616805891.1404796]
[1616805890.643308, 1616805891.3280623]
[1616805891.050103, 1616805892.2886353]
[1616805890.5666063, 1616805891.2426453]
[1616805890.8467705, 1616805891.5420854]
[1616805891.0186458, 1616805891.692697]
[1616805891.13392, 1616805891.77182]
[1616805891.1892297, 1616805891.8974128]
[1616805891.432274, 1616805892.11474]
[1616805891.4312642, 1616805892.735944]
[1616805891.352456, 1616805892.0066972]
[1616805891.6479206, 1616805892.3443322]
[1616805891.6254346, 1616805892.3030825]
[1616805891.694796, 1616805892.3520558]
[1616805891.8862576, 1616805892.5598574]
[1616805892.1020904, 1616805892.8485985]
[1616805891.8092508, 1616805892.490861]
[1616805892.1131206, 1616805892.770091]
[1616805892.0025518, 1616805892.7393703]
[1616805892.4883642, 1616805893.1677017]
[1616805892.504279, 1616805895.119659]
[1616805892.2444978, 1616805892.937316]
[1616805892.5870237, 1616805893.229706]
[1616805892.4509006, 1616805894.2026088]
[1616805892.8570275, 1616805893.551744]
[1616805892.6110792, 1616805893.6085327]
[1616805893.0412881, 1616805893.7995553]
[1616805892.833998, 1616805893.480552]
[1616805892.5459416, 1616805893.1767561]
[1616805892.4553509, 1616805895.4708872]
[1616805893.01839, 1616805893.7723277]
[1616805892.9463303, 1616805893.6821616]
[1616805893.3071485, 1616805893.9609487]
[1616805893.0910373, 1616805893.8055696]
[1616805893.1142604, 1616805893.8493292]
[1616805893.4126704, 1616805894.9822564]
[1616805893.1395733, 1616805897.3956757]
[1616805893.3130593, 1616805893.9385996]
[1616805893.6018791, 1616805894.2258048]
[1616805893.4033031, 1616805895.2465913]
[1616805893.6678977, 1616805894.3147984]
[1616805893.4969215, 1616805894.13078]
[1616805893.792403, 1616805894.4647443]
[1616805893.862445, 1616805894.5259373]
[1616805893.729091, 1616805894.6916342]
[1616805893.946323, 1616805894.590278]
[1616805894.012082, 1616805895.849271]
[1616805894.1299036, 1616805894.8186975]
[1616805894.080595, 1616805894.7131312]
[1616805893.9966023, 1616805894.6678004]
[1616805894.2064726, 1616805894.8935378]
[1616805894.1136186, 1616805894.818082]
[1616805894.433644, 1616805895.0459294]
[1616805894.4008512, 1616805895.7420087]
[1616805894.5663376, 1616805895.2315261]
[1616805894.5017676, 1616805902.2001991]
[1616805894.6603205, 1616805895.3458035]
[1616805894.8537002, 1616805895.5511057]
[1616805894.6269355, 1616805895.791792]
[1616805894.9111807, 1616805895.6018527]
[1616805894.8032057, 1616805896.5582795]
[1616805894.8586397, 1616805895.5407405]
[1616805894.815059, 1616805895.5290124]
[1616805894.9184937, 1616805895.5679991]
[1616805895.0426009, 1616805895.7218735]
[1616805895.019624, 1616805895.7110677]
[1616805895.4326859, 1616805896.120685]
[1616805895.0795932, 1616805895.7310889]
[1616805895.3298376, 1616805896.023897]
[1616805895.3599396, 1616805896.0675461]
[1616805895.4455426, 1616805896.1269624]
[1616805895.5047908, 1616805896.1531913]
[1616805895.645003, 1616805896.313664]
[1616805895.672529, 1616805896.3547935]
[1616805895.8588114, 1616805896.6296606]
[1616805895.936447, 1616805896.5713885]
[1616805896.0181692, 1616805896.6979342]
[1616805896.0761826, 1616805896.742934]
[1616805896.425213, 1616805897.0661407]
[1616805896.3018577, 1616805896.9742103]
[1616805896.3057227, 1616805896.9706373]
[1616805896.1843498, 1616805896.8735006]
[1616805896.3295512, 1616805897.0111067]
[1616805896.7565203, 1616805897.8765192]
[1616805896.595331, 1616805897.2481592]
[1616805896.5338914, 1616805900.227937]
[1616805896.8011358, 1616805897.4822662]
[1616805896.6643558, 1616805897.323274]
[1616805896.7969785, 1616805897.4536219]
[1616805896.8772757, 1616805897.5119238]
[1616805897.0759258, 1616805897.708098]
[1616805896.9746284, 1616805897.6292324]
[1616805897.1776192, 1616805897.806902]
[1616805897.1465378, 1616805897.7776601]
[1616805896.9120016, 1616805897.5534625]
[1616805897.3910613, 1616805898.0396528]
[1616805897.4178014, 1616805907.1020021]
[1616805897.1935027, 1616805897.9119089]
[1616805897.2729917, 1616805897.9119546]
[1616805897.2766216, 1616805898.0276463]
[1616805897.5212765, 1616805898.1649232]
[1616805897.4859216, 1616805898.1382322]
[1616805897.306105, 1616805897.9864895]
[1616805897.6236863, 1616805898.3550608]
[1616805897.635839, 1616805898.31828]
[1616805897.6072936, 1616805898.2849197]
[1616805897.7806203, 1616805898.4919555]
[1616805897.7554357, 1616805898.495818]
[1616805897.7620215, 1616805899.3199914]
[1616805897.8703024, 1616805898.580147]
[1616805897.9432702, 1616805898.5882933]
[1616805897.8547714, 1616805898.5260785]
[1616805898.1231534, 1616805898.7982364]
[1616805898.0460958, 1616805898.7130947]
[1616805898.1647875, 1616805898.829031]
[1616805898.292734, 1616805898.974989]
[1616805898.2988594, 1616805898.9099982]
[1616805898.3543549, 1616805898.996884]
[1616805898.4845293, 1616805899.8547368]
[1616805898.3823316, 1616805899.0812802]
[1616805898.4305108, 1616805899.1783361]
[1616805898.5278444, 1616805899.8545518]
[1616805898.5180357, 1616805899.1722534]
[1616805898.5437033, 1616805900.3323748]
[1616805898.495419, 1616805900.3718996]
[1616805898.6054955, 1616805899.2994316]
[1616805898.7431207, 1616805899.435467]
[1616805898.796623, 1616805899.7561994]
[1616805898.8401492, 1616805899.4889185]
[1616805898.5978563, 1616805899.2155676]
[1616805899.0515077, 1616805899.7634854]
[1616805899.0274484, 1616805899.7378917]
[1616805898.9351106, 1616805899.635503]
[1616805899.0194829, 1616805900.7875667]
[1616805898.73118, 1616805899.3744965]
[1616805898.9301643, 1616805899.6315374]
[1616805898.9785764, 1616805899.7113116]
[1616805899.2174008, 1616805899.9736578]
[1616805899.1331942, 1616805900.3704631]
[1616805899.282374, 1616805900.6675942]
[1616805899.4898472, 1616805904.5739737]
[1616805899.586362, 1616805907.4639256]
[1616805899.4732306, 1616805900.10745]
[1616805899.2911189, 1616805899.9651577]
[1616805899.5173788, 1616805901.0964036]
[1616805899.6244633, 1616805900.4699132]
[1616805899.4589903, 1616805900.1814926]
[1616805899.5859466, 1616805900.2640133]
[1616805899.665323, 1616805900.8570583]
[1616805899.6952493, 1616805900.341516]
[1616805899.9168797, 1616805900.6274042]
[1616805899.8239472, 1616805900.5500486]
[1616805899.8241036, 1616805901.7302139]
[1616805899.799739, 1616805900.4799652]
[1616805899.8817031, 1616805900.6097157]
[1616805899.9033263, 1616805900.6085708]
[1616805900.040799, 1616805900.7519865]
[1616805900.2101626, 1616805900.933106]
[1616805900.1962695, 1616805900.9637325]
[1616805900.2118015, 1616805900.9631357]
[1616805900.1798072, 1616805900.8177009]
[1616805900.3004386, 1616805901.9573567]
[1616805900.3033297, 1616805900.9966197]
[1616805900.4524598, 1616805901.153685]
[1616805900.5262733, 1616805904.47838]
[1616805900.4889035, 1616805901.1582181]
[1616805900.424839, 1616805901.118]
[1616805900.585111, 1616805901.262179]
