[1616804641.2789884, 1616804645.536272]
[1616804641.363789, 1616804649.9046524]
[1616804641.4611626, 1616804650.4410071]
[1616804641.435833, 1616804650.4698334]
[1616804641.4188838, 1616804654.4370873]
[1616804640.6953838, 1616804644.0146422]
[1616804641.016727, 1616804645.0396252]
[1616804641.1933844, 1616804657.0556157]
[1616804641.1546178, 1616804651.6051195]
[1616804640.800913, 1616804649.7599483]
[1616804641.484244, 1616804654.962666]
[1616804641.4992418, 1616804653.3821023]
[1616804641.2308264, 1616804646.5444164]
[1616804641.5041301, 1616804645.996924]
[1616804641.3210273, 1616804648.9595551]
[1616804641.295854, 1616804649.2842]
[1616804641.3448753, 1616804644.9698205]
[1616804641.571983, 1616804654.290431]
[1616804641.1935964, 1616804652.3314323]
[1616804641.2333004, 1616804651.9729276]
[1616804641.5063818, 1616804646.7682335]
[1616804641.579551, 1616804645.2752323]
[1616804641.7280183, 1616804647.3678145]
[1616804641.6431048, 1616804653.9712589]
[1616804642.0164738, 1616804655.0863307]
[1616804641.981144, 1616804655.2574444]
[1616804641.9601078, 1616804647.7362242]
[1616804642.2733297, 1616804656.3530474]
[1616804642.2368007, 1616804647.788949]
[1616804642.1878846, 1616804648.7680616]
[1616804642.2982738, 1616804650.7414362]
[1616804642.5212433, 1616804652.2212844]
[1616804641.9791842, 1616804657.2588658]
[1616804642.408219, 1616804646.918579]
[1616804642.5083435, 1616804656.2582088]
[1616804642.4123545, 1616804647.017276]
[1616804642.6145194, 1616804651.435823]
[1616804642.3329873, 1616804656.0642903]
[1616804642.6764193, 1616804648.9170167]
[1616804642.5872412, 1616804651.1223269]
[1616804642.56553, 1616804648.7179155]
[1616804642.7044065, 1616804651.876331]
[1616804642.6434226, 1616804648.4277892]
[1616804642.9237204, 1616804647.152143]
[1616804642.838645, 1616804651.7576382]
[1616804642.773583, 1616804650.0192]
[1616804642.8793943, 1616804652.1353862]
[1616804642.9163172, 1616804648.9276915]
[1616804643.0837228, 1616804653.8354785]
[1616804642.914237, 1616804652.1872532]
[1616804642.941223, 1616804652.1693301]
[1616804642.995241, 1616804648.4028673]
[1616804643.0507398, 1616804653.272099]
[1616804643.264646, 1616804655.254359]
[1616804643.1096249, 1616804652.4849496]
[1616804643.1195192, 1616804647.3465774]
[1616804643.1544733, 1616804652.4626305]
[1616804643.1496897, 1616804658.901028]
[1616804643.1372185, 1616804650.188805]
[1616804643.2333522, 1616804651.0149577]
[1616804643.3706234, 1616804653.3428872]
[1616804643.2389114, 1616804649.7535112]
[1616804643.418785, 1616804648.9445314]
[1616804643.3091238, 1616804650.117637]
[1616804643.2250912, 1616804650.3279722]
[1616804643.4553912, 1616804650.3780344]
[1616804643.3192723, 1616804647.5601962]
[1616804643.3549013, 1616804649.5978787]
[1616804643.3275828, 1616804655.2067127]
[1616804643.4309804, 1616804657.1104753]
[1616804643.3981965, 1616804648.676587]
[1616804643.4805603, 1616804651.424664]
[1616804643.2491617, 1616804648.9985769]
[1616804643.2632298, 1616804647.7090478]
[1616804643.464527, 1616804657.2584753]
[1616804643.3889024, 1616804654.1219172]
[1616804643.454492, 1616804658.0274856]
[1616804643.4149086, 1616804648.2164838]
[1616804643.5441473, 1616804648.02694]
[1616804643.3948386, 1616804651.6525643]
[1616804643.3956814, 1616804650.1943486]
[1616804643.511096, 1616804653.1488934]
[1616804643.488327, 1616804657.3643806]
[1616804643.4750903, 1616804653.0563474]
[1616804643.5320454, 1616804648.386179]
[1616804643.5296605, 1616804650.7833521]
[1616804643.405481, 1616804649.6894789]
[1616804643.5454638, 1616804655.9006777]
[1616804643.5282228, 1616804649.182538]
[1616804643.5254176, 1616804653.7464492]
[1616804643.5844965, 1616804650.225899]
[1616804643.5262938, 1616804649.8788018]
[1616804643.5099869, 1616804656.9891317]
[1616804643.4894986, 1616804653.395767]
[1616804643.522346, 1616804656.7373838]
[1616804643.5236142, 1616804650.2831943]
[1616804643.6241505, 1616804652.554052]
[1616804643.5200722, 1616804650.9393525]
[1616804643.583091, 1616804648.5139432]
[1616804643.60718, 1616804649.026591]
