[1616808105.733525, 1616808117.8930655]
[1616808105.8017395, 1616808119.2937784]
[1616808106.0149982, 1616808122.7355888]
[1616808105.8658245, 1616808123.2557662]
[1616808106.1247563, 1616808120.5843937]
[1616808105.7332404, 1616808123.6932466]
[1616808105.9858189, 1616808123.315628]
[1616808106.126598, 1616808119.0471125]
[1616808106.2139804, 1616808123.1435847]
[1616808106.1615624, 1616808125.0777307]
[1616808106.0620205, 1616808121.8756278]
[1616808106.261769, 1616808123.784703]
[1616808105.808656, 1616808118.3215253]
[1616808106.2151856, 1616808119.6630375]
[1616808105.7504058, 1616808121.7477858]
[1616808106.4069052, 1616808125.951564]
[1616808105.8250978, 1616808114.1052768]
[1616808106.172924, 1616808124.5119302]
[1616808106.2400236, 1616808123.0583534]
[1616808106.1720061, 1616808119.3891068]
[1616808106.2808027, 1616808123.9658122]
[1616808106.7404926, 1616808124.836482]
[1616808106.4106414, 1616808115.976637]
[1616808106.8869255, 1616808126.7705526]
[1616808106.6583323, 1616808125.4219456]
[1616808106.9413822, 1616808119.9633985]
[1616808106.9915767, 1616808125.4294086]
[1616808106.3881495, 1616808120.815016]
[1616808106.952473, 1616808121.051427]
[1616808107.0864475, 1616808123.1161609]
[1616808107.219111, 1616808125.5038717]
[1616808107.115388, 1616808127.4265459]
[1616808107.0186088, 1616808125.6626217]
[1616808107.211823, 1616808124.878345]
[1616808107.3975925, 1616808127.102754]
[1616808107.210542, 1616808125.5303671]
[1616808107.1960912, 1616808119.5187488]
[1616808107.665524, 1616808125.312409]
[1616808107.494848, 1616808123.0798576]
[1616808107.5126252, 1616808122.3340142]
[1616808107.58875, 1616808120.013612]
[1616808107.778194, 1616808123.6090224]
[1616808107.6144557, 1616808123.9814897]
[1616808107.9195018, 1616808121.2027373]
[1616808107.8938458, 1616808125.6336107]
[1616808108.070244, 1616808124.3623314]
[1616808108.2381806, 1616808121.0678308]
[1616808108.2544186, 1616808125.0397167]
[1616808108.1468415, 1616808122.6484075]
[1616808108.0305865, 1616808124.5465786]
[1616808108.650041, 1616808128.4699929]
[1616808108.6490667, 1616808127.918504]
[1616808108.5137486, 1616808127.6708422]
[1616808108.9130414, 1616808128.519031]
[1616808108.8584948, 1616808128.3711588]
[1616808108.9538286, 1616808126.8494418]
[1616808109.055003, 1616808122.44091]
[1616808109.2199566, 1616808118.4415157]
[1616808109.3813243, 1616808116.9538062]
[1616808109.3725686, 1616808128.635311]
[1616808108.9426644, 1616808128.979289]
[1616808109.3193994, 1616808124.3762717]
[1616808109.685454, 1616808124.3408988]
[1616808109.5023432, 1616808128.1050436]
[1616808109.6072729, 1616808121.4818268]
[1616808109.6907845, 1616808127.123906]
[1616808109.7823355, 1616808121.691974]
[1616808109.7420168, 1616808123.8004203]
[1616808109.9474332, 1616808128.8903778]
[1616808109.7804902, 1616808127.091548]
[1616808110.1003146, 1616808127.3621395]
[1616808110.0702198, 1616808125.7426214]
[1616808109.9317226, 1616808124.2340407]
[1616808110.4041827, 1616808128.4284165]
[1616808110.3062327, 1616808127.890247]
[1616808110.5195012, 1616808127.726926]
[1616808110.233997, 1616808122.4051728]
[1616808110.3358169, 1616808129.52284]
[1616808110.5172997, 1616808125.4311574]
[1616808110.646491, 1616808129.0101476]
[1616808110.691253, 1616808127.1910336]
[1616808110.676822, 1616808130.981205]
[1616808110.6782804, 1616808126.677646]
[1616808110.8561788, 1616808124.9664006]
[1616808110.9453886, 1616808129.7269711]
[1616808110.8713295, 1616808128.0940046]
[1616808110.8058283, 1616808129.9968286]
[1616808111.177122, 1616808128.9599378]
[1616808110.9642339, 1616808128.7266471]
[1616808111.1560743, 1616808127.6426725]
[1616808111.276936, 1616808127.3613179]
[1616808111.1891334, 1616808129.7224915]
[1616808111.1088157, 1616808126.9240797]
[1616808111.3514173, 1616808129.4657774]
[1616808111.3087924, 1616808131.9811664]
[1616808111.3698003, 1616808132.3308427]
[1616808111.5113337, 1616808129.0291348]
[1616808111.5592752, 1616808131.1148133]
[1616808111.6887884, 1616808122.9911468]
[1616808111.5555985, 1616808128.8172414]
[1616808111.5908792, 1616808130.683229]
[1616808111.617374, 1616808131.081961]
[1616808111.6060293, 1616808126.8486726]
[1616808111.7244468, 1616808122.783939]
[1616808111.9042068, 1616808127.6256895]
[1616808111.8176634, 1616808130.3736224]
[1616808112.0556004, 1616808125.4456286]
[1616808112.0530226, 1616808129.7398598]
[1616808112.0264764, 1616808128.300655]
[1616808112.075749, 1616808133.541981]
[1616808112.0864387, 1616808129.6697915]
[1616808112.1198308, 1616808131.6750376]
[1616808112.1434925, 1616808131.3695264]
[1616808112.182932, 1616808130.127782]
[1616808112.459783, 1616808135.0866497]
[1616808112.349285, 1616808133.8612504]
[1616808112.477215, 1616808131.1882153]
[1616808112.3958004, 1616808125.536715]
[1616808112.4540484, 1616808130.399378]
[1616808112.3786266, 1616808130.0664866]
[1616808112.5006802, 1616808123.7189724]
[1616808112.6031315, 1616808129.776143]
[1616808112.613761, 1616808127.4054415]
[1616808112.7574234, 1616808131.5162466]
[1616808112.6943758, 1616808125.3169968]
[1616808112.723742, 1616808130.1973805]
[1616808112.821876, 1616808131.8123307]
[1616808112.847977, 1616808129.0449271]
[1616808112.915626, 1616808127.269678]
[1616808112.8796685, 1616808132.4223092]
[1616808112.951408, 1616808132.1259458]
[1616808112.9008281, 1616808129.6782022]
