[1616807126.447255, 1616807127.2005117]
[1616807126.3408, 1616807127.891451]
[1616807126.6856146, 1616807127.3720858]
[1616807126.6571343, 1616807127.3334522]
[1616807126.648636, 1616807128.3964386]
[1616807126.4572892, 1616807127.084676]
[1616807126.6301513, 1616807128.1185951]
[1616807126.8177192, 1616807127.446323]
[1616807126.3945522, 1616807128.078827]
[1616807126.574128, 1616807133.570173]
[1616807126.6734805, 1616807127.3067954]
[1616807126.9922154, 1616807127.7210217]
[1616807126.3273394, 1616807127.4184074]
[1616807126.7088299, 1616807128.391751]
[1616807126.7042296, 1616807128.2931774]
[1616807126.4196424, 1616807127.8542504]
[1616807126.8073578, 1616807128.5711882]
[1616807126.916628, 1616807127.5962088]
[1616807126.444996, 1616807127.1829765]
[1616807126.5931172, 1616807127.2820835]
[1616807126.9805481, 1616807127.7237766]
[1616807126.981069, 1616807127.6232572]
[1616807126.9897637, 1616807127.6474502]
[1616807127.1472225, 1616807127.777326]
[1616807127.5936568, 1616807128.271257]
[1616807127.0608006, 1616807127.7790716]
[1616807127.9673693, 1616807128.6963258]
[1616807127.577187, 1616807128.2156014]
[1616807127.8650844, 1616807128.5929232]
[1616807127.7941372, 1616807128.4817867]
[1616807127.8085842, 1616807128.4783216]
[1616807127.6765678, 1616807128.3870766]
[1616807127.8287086, 1616807129.3508887]
[1616807128.3197713, 1616807129.2971082]
[1616807128.3074584, 1616807129.0379274]
[1616807127.6991022, 1616807129.1933134]
[1616807128.1857703, 1616807128.8794641]
[1616807128.401024, 1616807129.1164885]
[1616807128.7427368, 1616807129.4456239]
[1616807128.5621417, 1616807129.2943342]
[1616807128.5336525, 1616807129.1930296]
[1616807128.6398623, 1616807130.41575]
[1616807128.3345845, 1616807129.012169]
[1616807128.4790738, 1616807131.739351]
[1616807129.0700245, 1616807130.0953574]
[1616807129.3088262, 1616807129.9891884]
[1616807128.7692058, 1616807129.5042343]
[1616807129.2054079, 1616807129.895134]
[1616807129.1181192, 1616807129.7522466]
[1616807129.0765831, 1616807129.7179534]
[1616807129.7552078, 1616807131.1549637]
[1616807129.6477144, 1616807130.3542655]
[1616807129.5205443, 1616807130.3375459]
[1616807129.8079185, 1616807130.4653735]
[1616807130.003852, 1616807130.6760008]
[1616807129.7545393, 1616807130.4162962]
[1616807130.2585561, 1616807131.5963988]
[1616807129.9403281, 1616807130.6011937]
[1616807130.4598866, 1616807131.2113087]
[1616807130.4870443, 1616807131.155974]
[1616807130.2849498, 1616807130.9186616]
[1616807130.3543007, 1616807131.0239124]
[1616807130.5188375, 1616807131.2368429]
[1616807130.441833, 1616807131.1349127]
[1616807130.5305364, 1616807131.2368493]
[1616807130.5801525, 1616807131.2822254]
[1616807131.1237433, 1616807132.5479498]
[1616807131.0540206, 1616807131.7171113]
[1616807130.8787396, 1616807131.5555913]
[1616807130.806194, 1616807131.4543943]
[1616807130.937721, 1616807132.1934857]
[1616807130.9536653, 1616807138.294566]
[1616807131.3643281, 1616807132.1460116]
[1616807131.3200247, 1616807131.981072]
[1616807131.1838698, 1616807131.8283994]
[1616807131.2067144, 1616807142.563531]
[1616807131.2879028, 1616807131.9403884]
[1616807131.5260894, 1616807132.181777]
[1616807131.5012183, 1616807132.18584]
[1616807131.4837496, 1616807132.152132]
[1616807131.5364811, 1616807132.2450588]
[1616807131.7308042, 1616807132.428385]
[1616807131.36997, 1616807132.0891967]
[1616807131.7503943, 1616807132.4406233]
[1616807132.1302023, 1616807132.8905213]
[1616807131.8295906, 1616807132.9779012]
[1616807132.1710083, 1616807134.8099005]
[1616807131.855027, 1616807132.5114274]
[1616807132.1775463, 1616807132.9218204]
[1616807132.5742, 1616807133.2578158]
[1616807132.6536117, 1616807133.3325787]
[1616807132.5817688, 1616807133.21615]
[1616807132.521097, 1616807133.1748087]
[1616807132.9239218, 1616807133.7237165]
[1616807132.1572852, 1616807132.8551455]
[1616807132.7070575, 1616807133.3670454]
[1616807132.7891555, 1616807133.418101]
[1616807132.9655979, 1616807133.6145794]
[1616807133.2158644, 1616807133.8576765]
[1616807132.9637496, 1616807133.6427512]
[1616807133.1546993, 1616807133.8037055]
[1616807133.1633415, 1616807135.9790218]
[1616807133.192493, 1616807135.0121014]
[1616807133.4006898, 1616807134.9700165]
[1616807133.5855, 1616807134.3405466]
[1616807133.289541, 1616807134.1394694]
[1616807133.7051396, 1616807134.3780355]
[1616807133.6555529, 1616807134.365909]
[1616807133.4450145, 1616807134.080526]
[1616807133.5388298, 1616807134.190354]
[1616807133.9718306, 1616807134.6362827]
[1616807133.8353179, 1616807134.47128]
[1616807133.937368, 1616807134.6372902]
[1616807133.888839, 1616807134.5638065]
[1616807134.3153272, 1616807134.973081]
[1616807134.465367, 1616807135.1760197]
[1616807134.3385522, 1616807135.0932848]
[1616807134.28471, 1616807136.7667882]
[1616807134.3043795, 1616807135.268004]
[1616807134.3811886, 1616807135.1181958]
[1616807134.539782, 1616807135.1932223]
[1616807134.6428862, 1616807135.3076704]
[1616807134.6955836, 1616807135.3580172]
[1616807134.8352647, 1616807136.245406]
[1616807134.7846806, 1616807135.4948885]
[1616807134.7515922, 1616807136.5090137]
[1616807134.939212, 1616807135.583384]
[1616807134.9638016, 1616807135.6700377]
[1616807135.084028, 1616807135.7564056]
[1616807134.97235, 1616807135.599824]
[1616807134.9686804, 1616807135.6238556]
[1616807135.1473675, 1616807136.848915]
[1616807135.4437096, 1616807136.134818]
[1616807135.4958181, 1616807136.1665287]
[1616807135.512401, 1616807136.257156]
[1616807135.2417233, 1616807135.9915626]
[1616807135.4472184, 1616807136.1793568]
[1616807135.43558, 1616807136.1309383]
[1616807135.7172556, 1616807136.8337355]
[1616807135.555173, 1616807136.278693]
[1616807135.6836622, 1616807136.843064]
[1616807135.7221828, 1616807136.4093127]
[1616807135.7327383, 1616807136.3708808]
[1616807135.7152648, 1616807136.352237]
[1616807135.8687413, 1616807136.5475404]
[1616807135.867006, 1616807136.5043924]
[1616807136.0602427, 1616807136.7221167]
[1616807136.1225545, 1616807136.8098428]
[1616807135.8606603, 1616807137.4201064]
[1616807136.09928, 1616807139.2240608]
[1616807136.117141, 1616807136.7912314]
[1616807136.0159144, 1616807136.6901865]
[1616807136.3027449, 1616807137.0565448]
[1616807136.4215236, 1616807137.0985801]
[1616807136.2618253, 1616807136.9803083]
[1616807136.3395994, 1616807137.0738323]
[1616807136.4923189, 1616807137.1599574]
[1616807136.52731, 1616807137.2278767]
[1616807136.7015638, 1616807137.734061]
[1616807136.588727, 1616807137.5865664]
[1616807136.7136552, 1616807137.737137]
[1616807136.77766, 1616807138.1088638]
[1616807136.786787, 1616807137.4457293]
[1616807136.7300396, 1616807137.410435]
[1616807136.6796837, 1616807137.3349996]
[1616807136.76003, 1616807137.4056215]
[1616807136.7175345, 1616807137.4532268]
[1616807136.760843, 1616807137.478688]
[1616807136.8665576, 1616807138.1792974]
[1616807137.1106946, 1616807137.7652042]
[1616807137.2885687, 1616807137.99313]
[1616807137.2987795, 1616807138.8670273]
[1616807136.9190738, 1616807137.6819115]
[1616807137.2253273, 1616807138.685663]
[1616807137.2243257, 1616807137.9491856]
[1616807137.1116881, 1616807138.7415602]
[1616807137.3197932, 1616807138.035626]
[1616807137.183485, 1616807137.8139684]
[1616807137.5302637, 1616807138.1999767]
[1616807137.5814157, 1616807142.4957461]
[1616807137.6459355, 1616807138.317184]
[1616807137.3990188, 1616807138.0778646]
[1616807137.8237748, 1616807139.4967659]
[1616807137.715521, 1616807138.4298918]
[1616807137.7326167, 1616807138.909624]
[1616807137.639115, 1616807138.3341038]
[1616807137.876116, 1616807138.5244553]
[1616807137.8969738, 1616807138.5362616]
[1616807137.8181806, 1616807138.5121024]
[1616807138.068417, 1616807141.8232117]
[1616807138.231772, 1616807138.97589]
[1616807138.2652895, 1616807139.0235941]
[1616807138.1097233, 1616807140.8281324]
[1616807138.125258, 1616807138.772457]
[1616807138.1464283, 1616807138.7930334]
[1616807138.5086436, 1616807139.1536932]
[1616807138.502311, 1616807141.7102487]
[1616807138.529613, 1616807139.1702669]
[1616807138.7755413, 1616807139.4253917]
[1616807138.5341055, 1616807139.177068]
[1616807138.3135703, 1616807139.0242174]
[1616807138.4193025, 1616807139.07712]
[1616807138.5579884, 1616807139.2277818]
[1616807138.792159, 1616807139.4825377]
[1616807138.6831276, 1616807139.3672984]
[1616807138.8376675, 1616807139.6583562]
[1616807138.8318279, 1616807139.956103]
[1616807138.9766037, 1616807139.6491497]
[1616807138.7205758, 1616807140.3316967]
[1616807138.8982823, 1616807139.61578]
[1616807139.204874, 1616807139.8448265]
[1616807139.124853, 1616807139.8234422]
[1616807139.0963063, 1616807139.756091]
[1616807139.0921037, 1616807139.809219]
[1616807139.3239672, 1616807140.0015385]
[1616807139.1573844, 1616807139.8013418]
[1616807139.1923316, 1616807139.8442054]
[1616807139.1740518, 1616807139.8396876]
[1616807139.4757035, 1616807140.1340485]
[1616807139.484521, 1616807140.259513]
[1616807139.3328023, 1616807140.0084574]
[1616807139.317617, 1616807139.9726906]
[1616807139.2964845, 1616807140.5169861]
[1616807139.5039034, 1616807140.1366646]
[1616807139.5668776, 1616807140.2674234]
[1616807139.649232, 1616807140.3072252]
[1616807140.036575, 1616807140.677227]
[1616807139.8532913, 1616807142.0123773]
[1616807139.8956351, 1616807140.5689375]
[1616807139.7947333, 1616807140.4835584]
[1616807139.7633195, 1616807140.4089372]
[1616807140.0223815, 1616807140.7029688]
[1616807140.0302868, 1616807140.7067719]
[1616807140.2921646, 1616807142.0759044]
[1616807140.03969, 1616807140.72352]
[1616807140.022062, 1616807140.7025554]
[1616807140.3666453, 1616807141.113609]
[1616807140.3040733, 1616807140.9986875]
[1616807140.4034028, 1616807141.0581553]
[1616807140.2599652, 1616807140.8938112]
