[1616810144.0499558, 1616810144.75334]
[1616810143.7578068, 1616810145.0023096]
[1616810143.3450112, 1616810144.1191313]
[1616810144.004157, 1616810144.7480037]
[1616810144.027693, 1616810145.399439]
[1616810143.7464802, 1616810144.4008756]
[1616810143.56322, 1616810144.2477176]
[1616810143.9399457, 1616810144.600961]
[1616810144.099074, 1616810144.7660425]
[1616810144.0231423, 1616810144.6669517]
[1616810143.847861, 1616810144.5632005]
[1616810143.9668005, 1616810144.8008528]
[1616810144.3742702, 1616810145.0572822]
[1616810144.1987727, 1616810144.9029076]
[1616810143.995213, 1616810144.73122]
[1616810144.2040195, 1616810144.9841676]
[1616810143.9637597, 1616810144.6498702]
[1616810144.0819747, 1616810145.5501661]
[1616810144.3225265, 1616810145.0040312]
[1616810144.0282102, 1616810144.6618762]
[1616810144.6216524, 1616810145.3208716]
[1616810144.4871526, 1616810145.1593962]
[1616810144.5316963, 1616810145.2275248]
[1616810144.9382906, 1616810145.5790637]
[1616810144.5225492, 1616810146.0770037]
[1616810144.4851863, 1616810145.1561894]
[1616810144.8372521, 1616810145.514129]
[1616810144.7002792, 1616810145.3425803]
[1616810144.9280195, 1616810145.612282]
[1616810144.7147124, 1616810145.3512907]
[1616810145.1636796, 1616810145.8372798]
[1616810144.9902585, 1616810145.730605]
[1616810145.17228, 1616810145.8096464]
[1616810145.3580446, 1616810146.0000894]
[1616810145.151967, 1616810145.9023516]
[1616810145.4879436, 1616810146.1553898]
[1616810145.5746062, 1616810146.2872732]
[1616810145.6486201, 1616810146.349807]
[1616810145.8121846, 1616810146.501881]
[1616810145.688509, 1616810146.3463988]
[1616810145.7356887, 1616810146.4155977]
[1616810145.85593, 1616810146.558658]
[1616810146.027565, 1616810146.6574302]
[1616810146.3790603, 1616810148.2568471]
[1616810146.026913, 1616810146.7844138]
[1616810146.4146757, 1616810147.0560985]
[1616810146.4364192, 1616810147.1691709]
[1616810146.6001644, 1616810147.2649572]
[1616810146.6493053, 1616810147.2922876]
[1616810146.784198, 1616810147.4895573]
[1616810146.7284734, 1616810147.384064]
[1616810147.1521037, 1616810147.8193214]
[1616810147.0992544, 1616810147.7335248]
[1616810147.3116632, 1616810148.0250995]
[1616810147.2346716, 1616810147.9174647]
[1616810146.700748, 1616810147.3577843]
[1616810147.4438066, 1616810148.0930488]
[1616810147.4585867, 1616810148.1207128]
[1616810147.3387234, 1616810148.0368583]
[1616810147.4043741, 1616810148.082]
[1616810147.4501312, 1616810148.12165]
[1616810147.7735069, 1616810148.4399693]
[1616810147.6940784, 1616810148.3656497]
[1616810147.8844612, 1616810148.5833309]
[1616810148.0021973, 1616810148.6250067]
[1616810147.9019496, 1616810151.7580268]
[1616810148.040643, 1616810148.7119179]
[1616810148.383779, 1616810149.0738285]
[1616810148.2214422, 1616810148.8559468]
[1616810148.1646545, 1616810149.548048]
[1616810148.2841086, 1616810149.285866]
[1616810148.3711054, 1616810150.6224296]
[1616810148.4414454, 1616810149.1629446]
[1616810148.367245, 1616810149.0169618]
[1616810148.6494517, 1616810149.284514]
[1616810148.5743275, 1616810149.2539754]
[1616810148.7240736, 1616810149.4152493]
[1616810148.878898, 1616810149.528969]
[1616810149.05229, 1616810149.7846274]
[1616810148.7536988, 1616810150.5282798]
[1616810148.725544, 1616810149.9780357]
[1616810149.321644, 1616810150.2523258]
[1616810149.0433593, 1616810149.7118556]
[1616810149.3564575, 1616810149.990558]
[1616810149.3080647, 1616810150.0724492]
[1616810149.502126, 1616810150.2130952]
[1616810149.5599668, 1616810150.234302]
[1616810149.5567422, 1616810150.2533662]
[1616810149.3917732, 1616810150.1593025]
[1616810149.7065432, 1616810150.4158173]
[1616810149.4955049, 1616810150.1841385]
[1616810149.867066, 1616810150.5391514]
[1616810150.043807, 1616810150.706688]
[1616810149.7904012, 1616810150.4964035]
[1616810150.007811, 1616810150.6758986]
[1616810150.2448387, 1616810151.7962987]
[1616810150.2395084, 1616810150.977228]
[1616810150.156318, 1616810150.8244731]
[1616810150.2715867, 1616810150.9786096]
[1616810150.185323, 1616810150.8793643]
[1616810150.3602576, 1616810150.9848204]
[1616810150.4468126, 1616810151.1323779]
[1616810150.4914684, 1616810151.1957932]
[1616810150.5969238, 1616810151.2537222]
[1616810150.7003484, 1616810151.432737]
[1616810150.7508833, 1616810151.438143]
[1616810150.7590764, 1616810151.5029514]
[1616810150.7912223, 1616810151.466041]
[1616810150.9750855, 1616810152.3134532]
[1616810151.0776432, 1616810151.7741497]
[1616810150.9903286, 1616810151.714656]
[1616810151.4038618, 1616810152.0809493]
[1616810151.2041764, 1616810151.8968427]
[1616810151.4105048, 1616810153.0211954]
[1616810151.2524328, 1616810151.9384966]
[1616810151.2974436, 1616810151.9843755]
[1616810151.5352159, 1616810152.28461]
[1616810151.4269848, 1616810152.1222646]
[1616810151.7882595, 1616810152.4669578]
[1616810151.67345, 1616810152.3817546]
[1616810151.7828357, 1616810155.4527056]
[1616810152.0562701, 1616810152.77453]
[1616810152.1474817, 1616810159.257338]
[1616810151.9224782, 1616810152.6244113]
[1616810151.960291, 1616810152.6498098]
[1616810152.2603526, 1616810152.9093883]
[1616810152.5837848, 1616810153.2567236]
[1616810152.4891672, 1616810153.1766658]
[1616810152.588746, 1616810153.3702567]
[1616810152.1374104, 1616810152.8417623]
[1616810152.6827548, 1616810153.3861988]
[1616810152.580775, 1616810153.2226634]
[1616810152.7813604, 1616810153.5407457]
[1616810152.6649446, 1616810153.3833723]
[1616810152.953492, 1616810153.587071]
[1616810152.8573916, 1616810153.5609384]
[1616810152.7398217, 1616810153.5135093]
[1616810152.871787, 1616810154.4872236]
[1616810152.9184058, 1616810154.1854181]
[1616810153.1547928, 1616810153.8487864]
[1616810153.1209633, 1616810157.5235624]
[1616810153.1333532, 1616810153.7858517]
[1616810153.139935, 1616810154.6394162]
[1616810153.1356444, 1616810153.8330116]
[1616810153.4537413, 1616810155.6409006]
[1616810153.6778646, 1616810154.3328934]
[1616810153.3900464, 1616810154.1621454]
[1616810153.6125042, 1616810154.2729044]
[1616810153.5283144, 1616810154.2494264]
[1616810153.775137, 1616810155.164458]
[1616810153.7737458, 1616810154.406697]
[1616810153.7887142, 1616810154.4453008]
[1616810153.9169095, 1616810156.2728531]
[1616810153.9220777, 1616810154.5716581]
[1616810153.9098246, 1616810154.5642166]
[1616810154.091862, 1616810154.701628]
[1616810154.0006711, 1616810154.645936]
[1616810154.2081957, 1616810154.8401353]
[1616810154.328805, 1616810154.9742208]
[1616810154.18319, 1616810154.944428]
[1616810154.4120102, 1616810155.0495114]
[1616810154.3169682, 1616810154.9920256]
[1616810154.2938888, 1616810155.7126918]
[1616810154.388615, 1616810156.1997461]
[1616810154.5772712, 1616810155.2822733]
[1616810154.6583438, 1616810155.2984056]
[1616810154.685455, 1616810156.4720461]
[1616810154.684933, 1616810155.391295]
[1616810154.6784582, 1616810155.3284433]
[1616810154.7300153, 1616810155.4342608]
[1616810154.8665447, 1616810155.4987774]
[1616810154.8164032, 1616810155.4849098]
[1616810154.9163394, 1616810155.6028225]
[1616810154.722455, 1616810155.343522]
[1616810155.0192666, 1616810155.6476934]
[1616810155.0134337, 1616810155.679297]
[1616810154.9169574, 1616810155.5377073]
[1616810155.0622249, 1616810155.7433772]
[1616810155.25119, 1616810155.9340432]
[1616810155.0201185, 1616810155.786222]
[1616810155.1014934, 1616810156.2153897]
[1616810155.32279, 1616810156.500671]
[1616810155.188465, 1616810155.8239372]
[1616810155.2602384, 1616810155.9351122]
[1616810155.3639657, 1616810156.004857]
[1616810155.3777032, 1616810156.0258021]
[1616810155.6841574, 1616810157.1629362]
[1616810155.4742818, 1616810156.1266162]
[1616810155.5991192, 1616810156.2413597]
[1616810155.7227821, 1616810156.3630888]
[1616810155.3232932, 1616810156.0261786]
[1616810155.5986514, 1616810156.2706902]
[1616810155.5960412, 1616810156.5952399]
[1616810155.8565598, 1616810156.5242593]
[1616810155.675876, 1616810159.060501]
[1616810155.667688, 1616810156.3613825]
[1616810155.9062886, 1616810156.5973637]
[1616810155.8529944, 1616810156.5271327]
[1616810155.9853132, 1616810156.6844015]
[1616810155.8539486, 1616810156.6155596]
[1616810156.1399355, 1616810157.5903478]
[1616810156.0527823, 1616810156.807862]
[1616810156.2383125, 1616810158.211524]
[1616810156.1489086, 1616810156.8465335]
[1616810156.2440622, 1616810156.8870792]
[1616810156.4057572, 1616810157.0379891]
[1616810156.245629, 1616810156.8656266]
[1616810156.3658895, 1616810157.0373294]
[1616810156.520267, 1616810157.1796668]
[1616810156.5854616, 1616810157.2733023]
[1616810156.5238934, 1616810157.4517941]
[1616810156.592952, 1616810157.6427743]
[1616810156.5389209, 1616810158.0959473]
[1616810156.8235722, 1616810157.4508817]
[1616810156.893433, 1616810158.3237252]
[1616810156.998407, 1616810157.6720393]
[1616810157.0105367, 1616810157.7387917]
[1616810156.9974778, 1616810157.6800842]
[1616810157.0281975, 1616810157.7108076]
[1616810157.0280523, 1616810157.7842052]
[1616810157.039576, 1616810157.6900582]
[1616810157.22035, 1616810157.9453285]
[1616810157.226842, 1616810157.9346962]
[1616810157.1724524, 1616810157.8587744]
[1616810157.3337605, 1616810157.9877717]
[1616810157.35696, 1616810157.9966063]
[1616810157.2630777, 1616810157.9714706]
[1616810157.48384, 1616810158.14734]
[1616810157.5672834, 1616810159.3706558]
[1616810157.6102455, 1616810158.2668006]
[1616810157.6112843, 1616810158.322898]
[1616810157.67192, 1616810158.6150448]
[1616810157.618854, 1616810158.2687516]
[1616810157.9869995, 1616810158.8818247]
[1616810157.851041, 1616810158.8834238]
[1616810157.9179862, 1616810158.6160152]
[1616810157.9163406, 1616810159.4382021]
[1616810157.894152, 1616810158.576253]
[1616810157.9367507, 1616810158.6153803]
[1616810158.2515457, 1616810158.9236856]
[1616810158.0099142, 1616810158.6562285]
[1616810158.0181975, 1616810158.6375215]
[1616810158.082368, 1616810158.7452598]
[1616810158.320892, 1616810159.0199273]
[1616810158.1772234, 1616810158.8859963]
[1616810158.4812615, 1616810159.126042]
[1616810158.3905625, 1616810159.1324723]
[1616810158.3799329, 1616810159.0172133]
[1616810158.4573643, 1616810159.1284478]
[1616810158.2944734, 1616810158.9325862]
[1616810158.6231666, 1616810159.2940457]
[1616810158.484083, 1616810159.109423]
[1616810158.6033497, 1616810159.291196]
[1616810158.5992951, 1616810159.2691326]
[1616810158.7228851, 1616810159.404465]
[1616810158.6289833, 1616810159.2607687]
[1616810158.6352684, 1616810159.4775417]
[1616810158.8537316, 1616810159.5076332]
[1616810158.9800913, 1616810159.612691]
[1616810158.911525, 1616810160.2376275]
[1616810159.0670369, 1616810159.7237756]
[1616810159.058188, 1616810159.7084355]
[1616810159.118409, 1616810159.7809234]
[1616810159.2811368, 1616810159.9281766]
[1616810159.3266249, 1616810160.0534792]
[1616810159.4014149, 1616810160.1316082]
[1616810159.3541136, 1616810164.265894]
[1616810159.362504, 1616810160.0057492]
[1616810159.4864283, 1616810160.1470628]
[1616810159.5682118, 1616810160.6334388]
[1616810159.4857483, 1616810160.1630611]
[1616810159.6128194, 1616810160.2631738]
[1616810159.6812055, 1616810160.326314]
[1616810159.805009, 1616810160.4554958]
[1616810159.7766302, 1616810160.4281929]
[1616810159.7393878, 1616810161.2196891]
[1616810159.7224417, 1616810160.408892]
[1616810159.782624, 1616810160.5019784]
[1616810159.9022212, 1616810160.595007]
[1616810159.8170345, 1616810160.4630287]
[1616810160.0228345, 1616810160.692771]
[1616810159.9148772, 1616810160.5750737]
[1616810160.1511478, 1616810160.9546936]
[1616810160.41584, 1616810161.050222]
[1616810160.3727489, 1616810161.0408502]
[1616810160.2602315, 1616810160.9809225]
[1616810160.4797611, 1616810161.1113153]
[1616810160.2928574, 1616810161.0085788]
[1616810160.5438714, 1616810161.2471368]
[1616810160.4439862, 1616810161.1180742]
[1616810160.578252, 1616810161.2504268]
[1616810160.7062228, 1616810161.5397694]
[1616810160.6160402, 1616810161.284905]
[1616810160.5970416, 1616810161.2894156]
[1616810160.6682358, 1616810161.360899]
[1616810160.659691, 1616810161.3090858]
[1616810160.809741, 1616810161.4512653]
[1616810160.7821715, 1616810161.438267]
[1616810160.7317667, 1616810161.3852994]
[1616810160.9020581, 1616810161.5990345]
[1616810161.0104384, 1616810161.6365416]
[1616810161.1133628, 1616810162.032507]
[1616810161.162663, 1616810162.2240815]
[1616810161.1644752, 1616810161.7889967]
[1616810161.150849, 1616810161.8251727]
[1616810161.1502776, 1616810162.3615885]
[1616810161.463456, 1616810162.1084816]
[1616810161.4461462, 1616810162.148411]
[1616810161.333932, 1616810161.9996283]
[1616810161.4544585, 1616810162.0937097]
[1616810161.2708917, 1616810161.9976037]
[1616810161.6546865, 1616810162.333975]
[1616810161.7443814, 1616810162.398528]
[1616810161.6940186, 1616810162.3994102]
[1616810161.5974283, 1616810162.6322362]
[1616810161.7871177, 1616810162.4731271]
[1616810161.6936245, 1616810163.2696676]
[1616810161.8030663, 1616810162.4707265]
[1616810161.7315142, 1616810162.4024382]
[1616810161.7572608, 1616810167.235251]
[1616810162.2246716, 1616810162.8926218]
[1616810162.1054533, 1616810162.7653892]
[1616810162.1407275, 1616810162.785548]
[1616810162.0659277, 1616810162.7246249]
[1616810162.3193626, 1616810162.9586544]
[1616810162.2398198, 1616810162.8749099]
[1616810162.0473354, 1616810162.675379]
[1616810162.2052941, 1616810163.3928618]
[1616810162.450571, 1616810163.1123462]
[1616810162.3566632, 1616810163.006753]
[1616810162.3802192, 1616810163.0695841]
[1616810162.4138901, 1616810163.0255656]
[1616810162.5963428, 1616810163.2684662]
[1616810162.4603167, 1616810164.2216995]
[1616810162.4453669, 1616810163.1536071]
[1616810162.5520127, 1616810163.2199981]
[1616810162.5243883, 1616810163.1847346]
[1616810162.7379007, 1616810163.4228196]
[1616810162.790189, 1616810163.4521575]
[1616810162.8498695, 1616810163.506025]
[1616810162.9273493, 1616810163.6084101]
[1616810162.8298016, 1616810163.4652567]
[1616810163.0829842, 1616810163.7552648]
[1616810162.995792, 1616810163.6373224]
[1616810163.0809472, 1616810163.7505481]
[1616810163.133905, 1616810163.8020072]
[1616810163.0213437, 1616810163.6595812]
[1616810163.0423362, 1616810164.4125302]
[1616810163.2043705, 1616810163.878558]
[1616810163.3289764, 1616810164.621019]
[1616810163.1834738, 1616810163.91706]
[1616810163.276293, 1616810163.9087996]
[1616810163.3652575, 1616810163.988714]
[1616810163.526098, 1616810164.1736233]
[1616810163.4842126, 1616810164.7266357]
[1616810163.521931, 1616810164.1714885]
[1616810163.4765778, 1616810164.1502898]
[1616810163.65728, 1616810166.700306]
[1616810163.6202476, 1616810164.3095243]
[1616810163.7123184, 1616810164.3331873]
[1616810163.7621508, 1616810164.388718]
[1616810163.7662265, 1616810164.4503143]
[1616810163.823422, 1616810164.5054774]
[1616810163.772773, 1616810164.4757154]
[1616810164.0736923, 1616810165.692267]
[1616810163.9874003, 1616810164.7061937]
[1616810164.0404434, 1616810164.7035325]
[1616810164.2327383, 1616810164.9306242]
[1616810164.1457229, 1616810164.792983]
[1616810164.3178608, 1616810164.9865267]
[1616810164.237902, 1616810164.925774]
[1616810164.332022, 1616810165.0397842]
[1616810164.3633423, 1616810165.0880828]
[1616810164.4401968, 1616810165.1067417]
[1616810164.4034948, 1616810165.718769]
[1616810164.3936603, 1616810165.271349]
[1616810164.433517, 1616810165.0667574]
[1616810164.4767966, 1616810165.1394973]
[1616810164.6053288, 1616810165.35007]
[1616810164.6899743, 1616810165.394163]
[1616810164.5782385, 1616810165.253021]
[1616810164.9098182, 1616810165.5487835]
[1616810165.0438287, 1616810165.954535]
[1616810164.9218295, 1616810165.634081]
[1616810165.040731, 1616810165.6895058]
[1616810164.8831117, 1616810165.523478]
[1616810165.110638, 1616810165.867626]
[1616810165.2175422, 1616810165.8997626]
[1616810165.1354306, 1616810165.8039048]
[1616810165.293613, 1616810166.4611728]
[1616810165.3682947, 1616810166.109827]
[1616810165.2852664, 1616810165.9460733]
[1616810165.4055495, 1616810166.7474155]
[1616810165.4472353, 1616810166.1082666]
[1616810165.2437222, 1616810165.9315717]
[1616810165.5044239, 1616810166.1516144]
[1616810165.549603, 1616810166.202426]
[1616810165.5231194, 1616810166.176804]
[1616810165.6324992, 1616810166.4348104]
[1616810165.497667, 1616810166.1427119]
[1616810165.5848467, 1616810166.2433643]
[1616810165.655041, 1616810166.3675897]
[1616810166.1302478, 1616810166.7997992]
[1616810165.9238498, 1616810166.6377244]
[1616810165.9720283, 1616810166.6948771]
[1616810166.09123, 1616810166.9702508]
[1616810166.0546074, 1616810166.6989589]
