[1616810109.1979136, 1616810131.1471713]
[1616810108.9847317, 1616810126.4607322]
[1616810109.362711, 1616810123.3321464]
[1616810108.74086, 1616810123.9430587]
[1616810109.391525, 1616810126.9196692]
[1616810109.3918204, 1616810127.8231292]
[1616810108.9281514, 1616810117.724614]
[1616810109.0762124, 1616810128.5056248]
[1616810109.385826, 1616810125.380161]
[1616810108.943571, 1616810120.6274176]
[1616810109.2683995, 1616810127.1489184]
[1616810109.1620777, 1616810126.2495377]
[1616810109.4939957, 1616810128.4563112]
[1616810109.4327757, 1616810130.0124896]
[1616810109.4203827, 1616810121.7061145]
[1616810109.4971573, 1616810129.637409]
[1616810109.201771, 1616810120.6885133]
[1616810109.2340946, 1616810126.292081]
[1616810109.4470944, 1616810120.8392074]
[1616810109.1876826, 1616810125.65734]
[1616810109.411857, 1616810130.5353897]
[1616810109.6661873, 1616810130.9033332]
[1616810109.8065794, 1616810127.3421872]
[1616810109.7491894, 1616810131.717826]
[1616810110.1006918, 1616810129.6869903]
[1616810109.9340901, 1616810125.58076]
[1616810110.1334763, 1616810129.5136716]
[1616810110.0995185, 1616810128.7753067]
[1616810109.9811063, 1616810123.8336067]
[1616810110.2371626, 1616810132.6483426]
[1616810110.4887896, 1616810133.5666008]
[1616810110.1753273, 1616810129.828184]
[1616810110.3614159, 1616810132.4038095]
[1616810110.7415643, 1616810129.6995249]
[1616810110.4237878, 1616810129.535864]
[1616810110.762471, 1616810127.6193075]
[1616810110.8280196, 1616810131.091355]
[1616810110.8478792, 1616810131.5866606]
[1616810110.7056694, 1616810133.6403966]
[1616810110.8699725, 1616810127.0224912]
[1616810111.02315, 1616810122.7940726]
[1616810111.220518, 1616810129.9653075]
[1616810111.1426551, 1616810130.9135175]
[1616810111.1378183, 1616810132.827097]
[1616810111.5370417, 1616810132.2316809]
[1616810111.358097, 1616810126.8714814]
[1616810111.702393, 1616810135.144088]
[1616810111.4460704, 1616810127.1395886]
[1616810111.8452375, 1616810122.4439049]
[1616810112.0532336, 1616810131.777168]
[1616810111.910712, 1616810133.332871]
[1616810112.1683922, 1616810133.8811882]
[1616810112.5076032, 1616810131.6088927]
[1616810112.0505402, 1616810121.9905982]
[1616810112.449958, 1616810129.618928]
[1616810112.3827229, 1616810131.3168297]
[1616810112.3418834, 1616810136.953619]
[1616810112.621652, 1616810130.6249871]
[1616810112.809279, 1616810135.273811]
[1616810112.8721247, 1616810130.9865677]
[1616810112.9299548, 1616810133.2740571]
[1616810112.9321635, 1616810133.214242]
[1616810113.2161553, 1616810133.2842963]
[1616810113.053054, 1616810134.7806623]
[1616810113.3157132, 1616810131.7193966]
[1616810113.1611922, 1616810133.2972198]
[1616810113.462201, 1616810133.0426807]
[1616810113.4813848, 1616810131.7176418]
[1616810113.505733, 1616810134.5411928]
[1616810113.4474058, 1616810135.1112523]
[1616810113.5951188, 1616810132.1838605]
[1616810113.593258, 1616810137.9867363]
[1616810113.4785662, 1616810132.7281172]
[1616810113.7184415, 1616810134.4103055]
[1616810113.7059615, 1616810133.6994002]
[1616810113.9025517, 1616810133.0171738]
[1616810113.9816217, 1616810129.157923]
[1616810114.098128, 1616810132.4259412]
[1616810113.879143, 1616810133.4455614]
[1616810114.0399084, 1616810136.0889049]
[1616810114.2344654, 1616810135.7358363]
[1616810114.3833377, 1616810133.5057766]
[1616810114.2900734, 1616810133.2487004]
[1616810114.271441, 1616810133.40786]
[1616810114.3075235, 1616810134.3800695]
[1616810114.2562993, 1616810135.2301335]
[1616810114.393567, 1616810135.0816731]
[1616810114.4249563, 1616810130.012176]
[1616810114.52757, 1616810137.691056]
[1616810114.4441535, 1616810135.5832915]
[1616810114.5000358, 1616810135.3129296]
[1616810114.6795678, 1616810134.9918807]
[1616810114.6769187, 1616810136.3266575]
[1616810114.6695898, 1616810133.6532981]
[1616810114.6378996, 1616810135.075041]
[1616810114.7897098, 1616810136.2543182]
[1616810114.5177627, 1616810135.1057296]
[1616810114.9523556, 1616810133.3167858]
[1616810114.7637875, 1616810132.9748473]
[1616810114.9080203, 1616810136.9521248]
[1616810115.0705492, 1616810133.5165744]
[1616810115.1094408, 1616810135.743501]
[1616810114.9091783, 1616810136.0224907]
[1616810115.1304965, 1616810131.9291759]
[1616810115.0627909, 1616810135.6038795]
[1616810115.207434, 1616810134.3840306]
[1616810115.2324004, 1616810135.4687805]
[1616810115.2043128, 1616810135.1932817]
[1616810115.1683214, 1616810132.7679024]
[1616810115.210344, 1616810136.6504]
[1616810115.3527114, 1616810135.8342943]
[1616810115.3061893, 1616810133.976307]
[1616810115.316315, 1616810135.8106294]
[1616810115.3701437, 1616810134.5351925]
[1616810115.429537, 1616810132.9246714]
[1616810115.4893086, 1616810135.6326568]
[1616810115.5093713, 1616810136.0148818]
[1616810115.4860055, 1616810133.975705]
[1616810115.530155, 1616810136.8114753]
[1616810115.6252778, 1616810136.5496588]
[1616810115.6688907, 1616810136.421675]
[1616810115.6226687, 1616810132.7267408]
[1616810115.7476072, 1616810134.4519649]
[1616810115.6936498, 1616810136.808786]
[1616810115.691453, 1616810132.6971278]
[1616810115.8177834, 1616810136.518866]
[1616810115.8046858, 1616810135.8840315]
[1616810115.7597582, 1616810138.43057]
[1616810115.8712323, 1616810135.54608]
[1616810115.9564488, 1616810136.4844115]
[1616810116.0060322, 1616810134.3753076]
[1616810115.9813294, 1616810135.4649255]
[1616810116.106617, 1616810134.7624903]
[1616810115.9555337, 1616810137.3163373]
[1616810116.0733395, 1616810137.1544278]
[1616810116.103969, 1616810136.2290692]
[1616810116.0994782, 1616810134.284241]
[1616810116.1477075, 1616810137.4664946]
[1616810115.9903529, 1616810132.7149534]
[1616810116.1614187, 1616810137.8455622]
[1616810116.2392287, 1616810137.467906]
[1616810116.2318664, 1616810137.0657732]
[1616810116.1942992, 1616810136.5650418]
[1616810116.2531118, 1616810131.932161]
[1616810116.2256505, 1616810138.0740495]
[1616810116.242459, 1616810136.1973417]
[1616810116.3324218, 1616810136.2726407]
[1616810116.4645588, 1616810139.0438156]
[1616810116.3483832, 1616810132.6606612]
[1616810116.3387764, 1616810134.7224224]
[1616810116.3873134, 1616810137.5189688]
[1616810116.472051, 1616810135.9925756]
[1616810116.4681342, 1616810136.694818]
[1616810116.4270077, 1616810138.740532]
[1616810116.5542483, 1616810139.6977072]
[1616810116.4751945, 1616810133.4842515]
[1616810116.560727, 1616810133.7987037]
[1616810116.644541, 1616810130.6642709]
[1616810116.4487379, 1616810137.239886]
[1616810116.4596224, 1616810136.3166957]
[1616810116.568214, 1616810134.4339566]
[1616810116.6043682, 1616810135.6950886]
[1616810116.576876, 1616810132.711154]
[1616810116.6273835, 1616810136.31264]
[1616810116.5384605, 1616810138.678177]
[1616810116.5513282, 1616810133.658555]
[1616810116.717104, 1616810135.9152038]
[1616810116.6287663, 1616810138.7542093]
[1616810116.761581, 1616810138.3729272]
[1616810116.655578, 1616810136.1141365]
[1616810116.8180735, 1616810131.2973223]
[1616810116.735685, 1616810137.482341]
[1616810116.8045518, 1616810136.0849555]
[1616810116.7654803, 1616810136.5501635]
[1616810116.651287, 1616810133.5374157]
[1616810116.7525437, 1616810140.0471985]
[1616810116.7235599, 1616810136.3653078]
[1616810116.7511408, 1616810137.0514119]
[1616810116.8081965, 1616810136.9409957]
[1616810116.7930412, 1616810135.2495165]
[1616810116.8360004, 1616810137.3536081]
[1616810116.7983618, 1616810138.5534468]
[1616810116.7063587, 1616810134.7760983]
[1616810116.8811548, 1616810138.5940409]
[1616810116.9068828, 1616810134.6365788]
[1616810116.867562, 1616810136.4842012]
[1616810116.9311311, 1616810136.2694943]
[1616810116.9025576, 1616810131.5762463]
[1616810116.8921163, 1616810139.250749]
[1616810116.9660408, 1616810139.091233]
[1616810116.829265, 1616810136.768189]
[1616810116.9557161, 1616810138.1795468]
[1616810116.9275024, 1616810137.7541065]
[1616810117.0006034, 1616810135.7022908]
[1616810116.9896963, 1616810139.7287097]
[1616810116.9825566, 1616810133.9489121]
[1616810116.9112759, 1616810136.7235782]
[1616810116.9062562, 1616810132.6938019]
[1616810117.0160725, 1616810133.6701055]
[1616810116.992401, 1616810135.576774]
[1616810116.9453075, 1616810134.0877812]
[1616810116.9652853, 1616810130.2698212]
[1616810117.0157046, 1616810135.802213]
[1616810116.9777033, 1616810139.3468933]
[1616810117.0603747, 1616810136.939303]
[1616810117.0304554, 1616810137.4182272]
