[1616799512.0671878, 1616799532.7097208]
[1616799512.3322058, 1616799530.9377804]
[1616799511.7551763, 1616799532.19063]
[1616799512.0699737, 1616799530.4209087]
[1616799511.6206002, 1616799533.0019503]
[1616799512.4610982, 1616799532.9038506]
[1616799512.0489175, 1616799533.4413197]
[1616799512.179831, 1616799533.5936763]
[1616799512.1485066, 1616799530.7506323]
[1616799512.279821, 1616799530.7843308]
[1616799512.3531852, 1616799532.7846296]
[1616799512.3882957, 1616799533.8389845]
[1616799512.2252078, 1616799531.175783]
[1616799512.3595989, 1616799533.698914]
[1616799512.2378433, 1616799532.5487995]
[1616799512.2440758, 1616799532.5521607]
[1616799512.307893, 1616799533.7090533]
[1616799512.0048883, 1616799530.6732173]
[1616799512.2419658, 1616799533.6152763]
[1616799512.2813883, 1616799530.7166207]
[1616799512.5921185, 1616799531.1937666]
[1616799512.6788754, 1616799531.2837029]
[1616799512.5550046, 1616799530.8797693]
[1616799512.6514635, 1616799531.1793122]
[1616799512.5211596, 1616799531.1449788]
[1616799512.7582192, 1616799531.4188452]
[1616799512.975565, 1616799534.2681916]
[1616799512.8383222, 1616799531.6218681]
[1616799513.0127296, 1616799531.088522]
[1616799512.6165302, 1616799530.721512]
[1616799512.7450325, 1616799531.466534]
[1616799512.8997748, 1616799533.4856896]
[1616799512.837945, 1616799531.268665]
[1616799513.036791, 1616799531.8247225]
[1616799513.114681, 1616799534.4789045]
[1616799513.0622413, 1616799531.7880476]
[1616799513.1521275, 1616799533.8123443]
[1616799513.0497468, 1616799531.5251832]
[1616799513.2688398, 1616799531.8464491]
[1616799513.2589536, 1616799533.877177]
[1616799513.2302866, 1616799533.7951517]
[1616799513.0749617, 1616799531.4116893]
[1616799513.1117668, 1616799533.3792772]
[1616799513.2503068, 1616799531.824925]
[1616799513.3234463, 1616799531.971312]
[1616799513.212893, 1616799531.7903423]
[1616799513.3486733, 1616799534.589323]
[1616799513.474718, 1616799533.8597565]
[1616799513.4332843, 1616799531.6754456]
[1616799513.5060267, 1616799532.1068857]
[1616799513.474301, 1616799531.992808]
[1616799513.3330836, 1616799533.7160704]
[1616799513.3993313, 1616799533.7013152]
[1616799513.3314462, 1616799534.7940245]
[1616799513.6045315, 1616799534.9616153]
[1616799513.294799, 1616799533.81039]
[1616799513.5817888, 1616799532.321428]
[1616799513.6313252, 1616799534.9236312]
[1616799513.4842138, 1616799531.9355695]
[1616799513.4182014, 1616799531.8305714]
[1616799513.596335, 1616799532.2751331]
[1616799513.4966562, 1616799531.9379694]
[1616799513.5973282, 1616799532.0338168]
[1616799513.5773802, 1616799532.1267033]
[1616799513.6567597, 1616799532.3279076]
[1616799513.5949469, 1616799532.325436]
[1616799513.678977, 1616799532.3263643]
[1616799513.5643454, 1616799532.1400452]
[1616799513.671107, 1616799532.1331036]
[1616799513.658877, 1616799533.9205952]
[1616799513.6518316, 1616799532.2156148]
[1616799513.5816302, 1616799532.4481509]
[1616799513.6790428, 1616799533.7508118]
[1616799513.6371973, 1616799532.5130217]
[1616799513.6582222, 1616799532.4931529]
[1616799513.7189872, 1616799535.3368118]
[1616799513.5617652, 1616799533.8915339]
[1616799513.7483304, 1616799532.1940064]
[1616799513.6154778, 1616799535.114953]
[1616799513.7064822, 1616799532.3067791]
