[1616799538.1876042, 1616799540.8978002]
[1616799537.980419, 1616799540.659926]
[1616799538.1776013, 1616799540.8693368]
[1616799538.2722926, 1616799540.9108877]
[1616799537.897855, 1616799540.6112342]
[1616799538.082649, 1616799540.750397]
[1616799538.150764, 1616799540.865338]
[1616799538.2478197, 1616799540.9935014]
[1616799538.0242186, 1616799540.7004673]
[1616799537.6832886, 1616799540.4162323]
[1616799537.9407756, 1616799540.671457]
[1616799537.8326395, 1616799540.5404882]
[1616799538.215157, 1616799540.9442358]
[1616799537.7621512, 1616799540.4897473]
[1616799537.9986563, 1616799540.7168677]
[1616799538.2234843, 1616799540.9446514]
[1616799538.4677627, 1616799541.1726532]
[1616799538.3201387, 1616799541.0266037]
[1616799538.1210473, 1616799540.7801387]
[1616799538.3370347, 1616799541.0229657]
[1616799538.6858716, 1616799541.3927522]
[1616799538.301583, 1616799540.9748912]
[1616799538.5670652, 1616799541.2717063]
[1616799538.576195, 1616799541.2991536]
[1616799538.9984853, 1616799541.6912756]
[1616799538.7258773, 1616799541.3791409]
[1616799538.7251797, 1616799541.4426746]
[1616799539.088401, 1616799541.7773209]
[1616799539.496771, 1616799542.2763925]
[1616799539.4724734, 1616799542.1726794]
[1616799539.4861548, 1616799542.2704651]
[1616799539.4259384, 1616799542.1211574]
[1616799539.2857504, 1616799541.9948623]
[1616799539.5110223, 1616799542.276079]
[1616799539.4939713, 1616799542.2619004]
[1616799539.4094203, 1616799542.1683297]
[1616799539.6837072, 1616799542.4437764]
[1616799539.6324081, 1616799542.383245]
[1616799539.6662745, 1616799542.423771]
[1616799539.7923582, 1616799542.5268745]
[1616799539.9911373, 1616799542.7563503]
[1616799540.2570996, 1616799543.0105014]
[1616799540.3076417, 1616799543.0436883]
[1616799540.082332, 1616799542.8192797]
[1616799540.2842865, 1616799542.9756784]
[1616799540.3671827, 1616799543.1353717]
[1616799540.6277494, 1616799543.334791]
[1616799540.3524544, 1616799543.0798168]
[1616799540.6550436, 1616799543.3723626]
[1616799540.82619, 1616799543.4958158]
[1616799540.9813302, 1616799543.661503]
[1616799540.9425902, 1616799543.6089895]
[1616799541.0453293, 1616799543.7723958]
[1616799541.085765, 1616799543.7712257]
[1616799541.4085617, 1616799544.104004]
[1616799541.1549673, 1616799543.883338]
[1616799541.6374874, 1616799544.331775]
[1616799541.5057192, 1616799544.2075622]
[1616799541.6284587, 1616799544.3310087]
[1616799541.6113408, 1616799544.2811136]
[1616799541.632132, 1616799544.3444715]
[1616799541.7489781, 1616799544.4614599]
[1616799541.6195724, 1616799544.3435926]
[1616799542.0245395, 1616799544.7288058]
[1616799541.739045, 1616799544.4483047]
[1616799541.9857357, 1616799544.6869948]
[1616799542.1956568, 1616799544.8879886]
[1616799542.025368, 1616799544.7301881]
[1616799542.1387618, 1616799544.826715]
[1616799542.3060162, 1616799545.0881855]
[1616799542.2052777, 1616799544.9237947]
[1616799542.3859935, 1616799545.1515524]
[1616799542.3885648, 1616799545.1865373]
[1616799542.5598524, 1616799545.3241062]
[1616799542.66772, 1616799545.444863]
[1616799542.903075, 1616799545.6519125]
[1616799542.7287416, 1616799545.4659219]
[1616799542.5430074, 1616799545.2911074]
[1616799542.8249729, 1616799545.7508724]
[1616799542.9867506, 1616799545.6969273]
[1616799543.0376418, 1616799545.7603767]
[1616799542.9747717, 1616799545.732369]
[1616799543.2143004, 1616799545.9587708]
[1616799543.112414, 1616799545.8272715]
[1616799543.4189126, 1616799546.1103716]
[1616799543.3674943, 1616799546.1022136]
[1616799543.2361565, 1616799545.9702601]
[1616799543.416879, 1616799546.1322806]
[1616799543.613753, 1616799546.2905529]
[1616799543.676798, 1616799546.3500836]
[1616799543.6646059, 1616799546.3290203]
[1616799543.72485, 1616799546.437034]
[1616799543.7788477, 1616799546.4828386]
[1616799544.066164, 1616799546.7066057]
[1616799543.8618777, 1616799546.5392346]
[1616799544.1862833, 1616799546.88791]
[1616799544.2334192, 1616799546.9562953]
[1616799544.2204194, 1616799546.9359605]
[1616799543.9577107, 1616799546.6823459]
[1616799544.2497578, 1616799546.9405427]
[1616799544.3226209, 1616799547.0274258]
[1616799544.5273006, 1616799547.234425]
[1616799544.3099008, 1616799546.970423]
[1616799544.6967676, 1616799547.3908713]
[1616799544.5690951, 1616799547.2552106]
[1616799544.9508638, 1616799547.666954]
[1616799544.912038, 1616799547.6103563]
[1616799544.5844834, 1616799547.2774274]
[1616799545.0104144, 1616799547.7180674]
[1616799545.0841959, 1616799547.786852]
[1616799544.988939, 1616799547.6947103]
[1616799545.2052636, 1616799548.011861]
[1616799545.0571115, 1616799547.7780652]
[1616799544.968632, 1616799547.6673603]
[1616799545.096913, 1616799547.8664358]
[1616799545.2071373, 1616799547.9698215]
[1616799545.293451, 1616799547.9955435]
[1616799545.4592922, 1616799548.227619]
[1616799545.821146, 1616799548.580164]
[1616799545.656451, 1616799548.3711338]
[1616799545.7593858, 1616799548.4534173]
[1616799545.6839068, 1616799548.4169438]
[1616799545.7754092, 1616799548.502487]
[1616799545.7504563, 1616799548.5272858]
[1616799546.0480986, 1616799548.7621]
[1616799545.99712, 1616799548.729567]
[1616799545.9921508, 1616799548.7254863]
[1616799546.2526631, 1616799548.9370081]
[1616799546.2121115, 1616799548.9331594]
[1616799546.3547878, 1616799549.0163233]
[1616799546.444778, 1616799549.1755676]
[1616799546.3016596, 1616799548.9614549]
[1616799546.4335814, 1616799549.0950541]
[1616799546.5926528, 1616799549.2729225]
[1616799546.6280327, 1616799549.3335526]
[1616799546.8191595, 1616799549.5700862]
[1616799546.8316147, 1616799549.5401974]
[1616799546.7669184, 1616799549.407013]
[1616799546.8454187, 1616799549.6402094]
