[1616801711.4220672, 1616801714.157438]
[1616801711.0475054, 1616801713.7850566]
[1616801711.3007398, 1616801714.023472]
[1616801711.3028162, 1616801714.0611393]
[1616801710.8952944, 1616801713.651594]
[1616801711.0578456, 1616801713.7963195]
[1616801710.7427127, 1616801713.544953]
[1616801711.336042, 1616801714.0579004]
[1616801711.2772644, 1616801714.0492346]
[1616801711.1099336, 1616801713.830291]
[1616801711.4090893, 1616801714.1358263]
[1616801711.0090156, 1616801713.7885854]
[1616801711.3123248, 1616801714.0578222]
[1616801711.316949, 1616801714.0292442]
[1616801711.2832, 1616801714.0227647]
[1616801711.4877977, 1616801714.2435417]
[1616801711.1498058, 1616801713.9325898]
[1616801711.1340506, 1616801713.8741431]
[1616801711.2978225, 1616801714.0233002]
[1616801711.1486616, 1616801713.8932662]
[1616801711.4909256, 1616801714.1980903]
[1616801711.4876127, 1616801714.2328928]
[1616801711.8050246, 1616801714.5371168]
[1616801712.1554582, 1616801714.8610628]
[1616801711.9055505, 1616801714.6480045]
[1616801712.0915167, 1616801714.8332076]
[1616801711.8563151, 1616801714.5820036]
[1616801712.0152981, 1616801714.737138]
[1616801712.356899, 1616801715.122225]
[1616801712.2533686, 1616801715.0099878]
[1616801712.261149, 1616801714.9886816]
[1616801712.2231305, 1616801714.9312766]
[1616801712.4968557, 1616801715.185709]
[1616801712.6854348, 1616801715.4146934]
[1616801712.8439946, 1616801715.5828867]
[1616801712.6810117, 1616801715.4162142]
[1616801713.3758984, 1616801716.1166844]
[1616801712.7934604, 1616801715.544514]
[1616801712.909756, 1616801715.618641]
[1616801713.0071394, 1616801715.7406247]
[1616801713.5853865, 1616801716.3715322]
[1616801713.327652, 1616801716.1572251]
[1616801713.5313203, 1616801716.288002]
[1616801713.479954, 1616801716.2079756]
[1616801713.6541665, 1616801716.3600988]
[1616801713.4485831, 1616801716.118942]
[1616801713.6146824, 1616801716.344873]
[1616801713.6225293, 1616801716.3380604]
[1616801713.7782483, 1616801716.5315561]
[1616801714.1096518, 1616801716.8391209]
[1616801713.9869304, 1616801716.764565]
[1616801714.2583802, 1616801717.0069783]
[1616801714.4611998, 1616801717.1696188]
[1616801714.4728594, 1616801717.2033587]
[1616801714.3389323, 1616801717.091291]
[1616801714.5150166, 1616801717.2304163]
[1616801714.7117856, 1616801717.446898]
[1616801714.6091204, 1616801717.329641]
[1616801714.7622364, 1616801717.4796255]
[1616801714.913781, 1616801717.5991063]
[1616801714.8364744, 1616801717.5644898]
[1616801714.7648227, 1616801717.489596]
[1616801715.382795, 1616801718.120172]
[1616801715.4218893, 1616801718.156353]
[1616801715.3035986, 1616801718.0261552]
[1616801715.2832155, 1616801717.958656]
[1616801715.1867983, 1616801717.9731362]
[1616801715.4690733, 1616801718.215813]
[1616801715.4102602, 1616801718.1602857]
[1616801715.6375873, 1616801718.3236678]
[1616801715.763468, 1616801718.510403]
[1616801715.7600098, 1616801718.4983525]
