[1616802733.4864335, 1616802754.5948482]
[1616802733.484855, 1616802755.1671722]
[1616802733.5030909, 1616802754.4222915]
[1616802733.4396899, 1616802754.5921068]
[1616802733.265315, 1616802754.409724]
[1616802733.037709, 1616802754.024241]
[1616802732.8857813, 1616802757.4834876]
[1616802733.3333032, 1616802754.5438654]
[1616802733.0362954, 1616802756.5165114]
[1616802733.672717, 1616802754.9754434]
[1616802733.5280387, 1616802754.697112]
[1616802733.4391162, 1616802754.611176]
[1616802733.6135511, 1616802754.6897016]
[1616802733.4052155, 1616802754.4794343]
[1616802733.5243225, 1616802754.4247952]
[1616802733.3294268, 1616802754.4178052]
[1616802733.5860336, 1616802754.641322]
[1616802733.6539054, 1616802754.8220286]
[1616802733.563032, 1616802754.6619465]
[1616802733.8386474, 1616802754.9113703]
[1616802734.0164282, 1616802754.7522793]
[1616802733.9625125, 1616802755.1135817]
[1616802733.8004873, 1616802754.9064715]
[1616802734.2634025, 1616802755.13685]
[1616802734.17605, 1616802755.1950366]
[1616802733.8459065, 1616802754.8973777]
[1616802734.2680426, 1616802755.241705]
[1616802734.324121, 1616802755.5343232]
[1616802734.8118742, 1616802755.73779]
[1616802734.6143367, 1616802755.6108117]
[1616802734.6605713, 1616802755.8309426]
[1616802734.609681, 1616802755.5776577]
[1616802734.7882931, 1616802755.8178072]
[1616802734.9380026, 1616802756.0191076]
[1616802734.957438, 1616802756.095996]
[1616802734.8864555, 1616802755.8988948]
[1616802735.1280835, 1616802756.0556521]
[1616802734.8082514, 1616802755.880823]
[1616802735.0688004, 1616802756.148253]
[1616802735.3497913, 1616802756.293104]
[1616802735.351849, 1616802756.1865351]
[1616802735.4567168, 1616802756.5076923]
[1616802735.6618779, 1616802756.6615288]
[1616802735.8292031, 1616802756.9568245]
[1616802735.731248, 1616802756.827067]
[1616802735.730465, 1616802756.7784917]
[1616802735.8851395, 1616802756.8578272]
[1616802735.8764067, 1616802756.907394]
[1616802735.9807088, 1616802756.9803715]
[1616802735.9787512, 1616802757.0942678]
[1616802736.086238, 1616802757.5023913]
[1616802736.356531, 1616802757.2530046]
[1616802736.1058354, 1616802757.1872144]
[1616802736.5875857, 1616802757.6610484]
[1616802736.3608568, 1616802757.6137128]
[1616802736.5499015, 1616802757.7636602]
[1616802736.6607175, 1616802757.727413]
[1616802736.6658194, 1616802757.639364]
[1616802736.752093, 1616802757.7358835]
[1616802736.8058667, 1616802758.037815]
[1616802736.923591, 1616802758.0984259]
[1616802736.8428807, 1616802758.000927]
[1616802736.947736, 1616802757.9322786]
[1616802736.7582335, 1616802757.8544092]
[1616802737.0573773, 1616802758.043821]
[1616802737.0019734, 1616802758.0405214]
[1616802737.1780746, 1616802758.2998602]
[1616802737.0976982, 1616802758.1034768]
[1616802737.2045271, 1616802758.330254]
[1616802737.3513944, 1616802758.4711764]
[1616802737.200479, 1616802758.0538917]
[1616802737.1679864, 1616802758.3391733]
[1616802737.3938062, 1616802758.3879666]
[1616802737.4174044, 1616802758.6640158]
[1616802737.4073095, 1616802758.3073273]
[1616802737.1728983, 1616802758.2543375]
[1616802737.4298053, 1616802758.2292187]
[1616802737.3524613, 1616802758.49846]
[1616802737.3569317, 1616802758.3438206]
[1616802737.4974473, 1616802758.729944]
[1616802737.592179, 1616802758.4214585]
[1616802737.4710615, 1616802758.3173397]
[1616802737.5413291, 1616802758.4603734]
[1616802737.6892488, 1616802758.668855]
[1616802737.512758, 1616802758.6881397]
[1616802737.6928709, 1616802758.6931264]
[1616802737.759774, 1616802758.9144645]
[1616802737.7034369, 1616802758.7600744]
[1616802737.6956503, 1616802759.0631015]
[1616802737.7589312, 1616802758.9139428]
[1616802737.8751895, 1616802758.9135911]
[1616802737.7888496, 1616802758.84938]
[1616802737.7656446, 1616802758.6987264]
[1616802737.8280022, 1616802758.9474437]
[1616802737.8834965, 1616802758.810307]
[1616802737.8762102, 1616802758.9884949]
[1616802737.9608858, 1616802758.98714]
[1616802737.9734862, 1616802759.1030035]
[1616802738.0498602, 1616802759.0199149]
[1616802737.9643605, 1616802759.1966815]
[1616802738.0185595, 1616802759.0498]
[1616802738.0426219, 1616802759.0918858]
[1616802738.1450863, 1616802759.1526847]
[1616802738.0359378, 1616802759.0218873]
[1616802738.0207927, 1616802759.063061]
[1616802738.1437578, 1616802759.1446745]
[1616802738.1344435, 1616802759.226393]
[1616802738.128547, 1616802759.1104329]
[1616802738.2446702, 1616802759.2745218]
[1616802738.191175, 1616802759.1698337]
[1616802738.348328, 1616802759.2701797]
[1616802738.1477244, 1616802759.1718874]
[1616802738.2879446, 1616802759.2159297]
[1616802738.2965205, 1616802759.2132595]
[1616802738.3097024, 1616802759.1105218]
[1616802738.3598523, 1616802759.498066]
[1616802738.2458367, 1616802759.260447]
[1616802738.3697839, 1616802759.3516817]
[1616802738.4425898, 1616802759.418427]
[1616802738.328639, 1616802759.325724]
[1616802738.4601567, 1616802759.4317791]
[1616802738.4413996, 1616802759.5397594]
[1616802738.4467661, 1616802759.3435915]
[1616802738.4538515, 1616802759.6018834]
[1616802738.6289566, 1616802759.7622123]
[1616802738.5185463, 1616802759.4724638]
[1616802738.448239, 1616802759.682203]
[1616802738.5796974, 1616802759.6264212]
[1616802738.5523121, 1616802759.6395783]
[1616802738.5606053, 1616802759.5102806]
[1616802738.5688126, 1616802759.7197187]
[1616802738.5693736, 1616802759.4808667]
[1616802738.4454548, 1616802759.4773874]
[1616802738.6443748, 1616802759.5883472]
[1616802738.6079338, 1616802759.6405041]
[1616802738.627629, 1616802759.6011295]
[1616802738.7004845, 1616802759.6664631]
[1616802738.6115332, 1616802759.7755697]
[1616802738.692265, 1616802759.6443944]
[1616802738.7010972, 1616802759.6936028]
[1616802738.542196, 1616802759.635998]
[1616802738.7052808, 1616802759.8409994]
[1616802738.7490027, 1616802759.8692572]
[1616802738.6715333, 1616802759.75366]
[1616802738.706494, 1616802759.6712809]
[1616802738.6970468, 1616802759.7438843]
[1616802738.6648965, 1616802759.7921438]
[1616802738.6834853, 1616802759.6055026]
[1616802738.6382425, 1616802759.5457435]
[1616802738.634475, 1616802759.764162]
[1616802738.7118673, 1616802759.8488493]
[1616802738.7727273, 1616802760.2540872]
[1616802738.7912614, 1616802759.9191241]
[1616802738.7793674, 1616802759.8127477]
[1616802739.6495109, 1616802764.013915]
[1616802738.7500007, 1616802759.933344]
[1616802738.777768, 1616802759.9694006]
[1616802738.742499, 1616802759.8386765]
[1616802738.7669506, 1616802760.1116464]
[1616802738.7411115, 1616802759.8557312]
[1616802739.6250088, 1616802763.7529244]
[1616802739.5599465, 1616802763.6680627]
