[1616802773.4308805, 1616802776.1790693]
[1616802773.353508, 1616802776.1138704]
[1616802773.4875581, 1616802776.2067394]
[1616802773.0804183, 1616802775.795374]
[1616802773.312969, 1616802776.0427587]
[1616802772.9679248, 1616802775.7143724]
[1616802772.9784992, 1616802775.7854896]
[1616802773.2632496, 1616802776.024763]
[1616802773.1652067, 1616802775.905461]
[1616802772.9066248, 1616802775.6301875]
[1616802773.1075273, 1616802775.8345366]
[1616802773.82032, 1616802776.5823877]
[1616802773.254973, 1616802775.9938326]
[1616802773.0082772, 1616802775.7715127]
[1616802773.4786713, 1616802776.2002287]
[1616802773.4084575, 1616802776.1338878]
[1616802773.4308383, 1616802776.1157415]
[1616802773.440085, 1616802776.1605694]
[1616802773.4717026, 1616802776.2182324]
[1616802773.5014024, 1616802776.263479]
[1616802773.6464097, 1616802776.374295]
[1616802773.6187732, 1616802776.3104556]
[1616802773.804767, 1616802776.5352154]
[1616802773.64912, 1616802776.3571963]
[1616802773.9674828, 1616802776.6816947]
[1616802774.03811, 1616802776.7063634]
[1616802773.9003835, 1616802776.611789]
[1616802774.0219374, 1616802776.7523382]
[1616802774.123372, 1616802776.806217]
[1616802774.2288063, 1616802776.9376788]
[1616802774.122015, 1616802776.728578]
[1616802774.1841435, 1616802776.9359326]
[1616802774.1738214, 1616802776.8826933]
[1616802774.2741148, 1616802776.9659553]
[1616802774.2758532, 1616802776.9790552]
[1616802774.2019684, 1616802776.8888543]
[1616802774.079637, 1616802776.769491]
[1616802774.3911197, 1616802777.0973847]
[1616802774.4335606, 1616802777.1207871]
[1616802774.4779415, 1616802777.2687616]
[1616802774.3135374, 1616802777.036659]
[1616802774.3366458, 1616802777.0433605]
[1616802774.5617526, 1616802777.2784796]
[1616802774.617609, 1616802777.2663324]
[1616802774.664051, 1616802777.369734]
[1616802774.7630699, 1616802777.481126]
[1616802774.792953, 1616802777.4485643]
[1616802774.8685164, 1616802777.5883727]
[1616802774.7283573, 1616802777.4125261]
[1616802774.756377, 1616802777.4251122]
[1616802774.632879, 1616802777.3079352]
[1616802775.0161712, 1616802777.7652597]
[1616802774.787968, 1616802777.5152369]
[1616802774.8138652, 1616802777.5360389]
[1616802774.9857216, 1616802777.6641538]
[1616802774.9085627, 1616802777.612654]
[1616802775.085699, 1616802777.7852848]
[1616802774.8750603, 1616802777.5407147]
[1616802775.0706878, 1616802777.8084304]
[1616802775.0962396, 1616802777.7951424]
[1616802775.0340064, 1616802777.7092938]
[1616802775.0719237, 1616802777.7445123]
[1616802775.1914203, 1616802777.9599583]
[1616802774.8741446, 1616802777.589089]
[1616802775.1790829, 1616802777.8221297]
[1616802775.0483925, 1616802777.7263396]
[1616802775.2993603, 1616802777.9796126]
[1616802775.0198977, 1616802777.828819]
[1616802775.1827736, 1616802777.8984544]
[1616802775.261091, 1616802777.9683218]
[1616802775.2614114, 1616802777.9441051]
[1616802775.2815206, 1616802777.9942887]
[1616802775.2101433, 1616802777.8797457]
[1616802775.2532022, 1616802778.0124638]
[1616802775.3124828, 1616802778.0324318]
[1616802775.0110312, 1616802777.690072]
[1616802775.2983742, 1616802777.9253683]
[1616802775.2895713, 1616802778.0545564]
[1616802775.269083, 1616802777.9845355]
[1616802775.2808547, 1616802777.9950156]
[1616802775.1246164, 1616802777.8863962]
[1616802775.2280843, 1616802777.9614398]
[1616802775.2525434, 1616802777.9304595]
[1616802775.3708084, 1616802778.1015544]
[1616802775.3352227, 1616802778.0712047]
[1616802775.3866847, 1616802778.079061]
[1616802775.338669, 1616802778.0390189]
[1616802775.396827, 1616802778.1534958]
[1616802775.3634934, 1616802778.0766525]
[1616802775.3435636, 1616802778.043213]
[1616802775.3600812, 1616802778.0774484]
[1616802775.3787153, 1616802778.0460258]
[1616802775.236496, 1616802777.97494]
[1616802775.4173636, 1616802778.1293788]
[1616802775.292437, 1616802778.005441]
[1616802775.362098, 1616802778.0485327]
[1616802775.4203985, 1616802778.0884373]
[1616802775.373098, 1616802778.0939293]
[1616802775.3993876, 1616802778.1514404]
[1616802775.424856, 1616802778.0727544]
