[1616803006.1601913, 1616803026.0336583]
[1616803006.2721436, 1616803025.9665325]
[1616803006.3782837, 1616803026.196997]
[1616803006.5691168, 1616803026.0511985]
[1616803006.4759102, 1616803026.1969855]
[1616803006.495126, 1616803026.372673]
[1616803006.65266, 1616803026.2794113]
[1616803006.4917228, 1616803026.201322]
[1616803006.3682253, 1616803026.0708294]
[1616803006.2088935, 1616803026.009442]
[1616803006.4882042, 1616803026.231849]
[1616803006.5674837, 1616803026.393327]
[1616803006.4077919, 1616803026.1987216]
[1616803006.4591534, 1616803026.799783]
[1616803006.2663946, 1616803026.1221745]
[1616803006.515855, 1616803026.2666206]
[1616803006.4972422, 1616803026.1419146]
[1616803006.5986404, 1616803026.2493927]
[1616803006.4923708, 1616803026.3442702]
[1616803006.4909885, 1616803026.0808227]
[1616803006.634565, 1616803026.4814665]
[1616803006.496647, 1616803026.2882068]
[1616803006.737264, 1616803026.5319028]
[1616803006.7038932, 1616803026.4829655]
[1616803006.661684, 1616803026.2949913]
[1616803006.752416, 1616803026.5195403]
[1616803006.8288388, 1616803026.5188622]
[1616803006.7886171, 1616803027.1912725]
[1616803006.7865398, 1616803026.4478755]
[1616803006.7521434, 1616803026.6586132]
[1616803006.879942, 1616803026.4879782]
[1616803006.807739, 1616803026.499343]
[1616803006.895069, 1616803026.6781223]
[1616803006.8808324, 1616803026.6956003]
[1616803006.866956, 1616803026.7229888]
[1616803006.8203623, 1616803026.6793582]
[1616803006.8864028, 1616803026.5676477]
[1616803006.814919, 1616803026.6309278]
[1616803006.8808212, 1616803026.6905272]
[1616803006.9200847, 1616803026.6915433]
[1616803006.989623, 1616803026.664531]
[1616803006.9151304, 1616803026.685037]
[1616803006.985104, 1616803026.8268907]
[1616803007.0634055, 1616803026.7452233]
[1616803007.0157337, 1616803026.5966256]
[1616803007.0335417, 1616803026.8430548]
[1616803007.0473487, 1616803026.6911335]
[1616803006.980309, 1616803026.6915915]
[1616803007.017883, 1616803026.9565678]
[1616803007.009745, 1616803026.6834147]
[1616803007.065621, 1616803026.8306959]
[1616803007.0181837, 1616803026.6372733]
[1616803007.016683, 1616803026.7169743]
[1616803007.0883508, 1616803026.7835467]
[1616803007.154719, 1616803027.0312214]
