[1616793538.9192414, 1616793542.4059207]
[1616793538.922647, 1616793542.3952138]
[1616793539.1180124, 1616793542.355724]
[1616793539.0503626, 1616793542.319762]
[1616793539.1186013, 1616793542.6369283]
[1616793538.963133, 1616793542.4335687]
[1616793538.7590094, 1616793541.9452076]
[1616793539.063873, 1616793542.5250714]
[1616793539.197802, 1616793542.5269675]
[1616793539.0497537, 1616793542.5885646]
[1616793539.1677313, 1616793542.428696]
[1616793539.267795, 1616793542.766012]
[1616793539.2571034, 1616793542.7429385]
[1616793539.0210397, 1616793542.278677]
[1616793538.9063225, 1616793542.1111538]
[1616793539.1571896, 1616793542.676056]
[1616793539.1839457, 1616793542.6263967]
[1616793539.0005229, 1616793542.135597]
[1616793539.212617, 1616793542.6976128]
[1616793539.220704, 1616793542.7108486]
[1616793539.5619872, 1616793542.786931]
[1616793539.1665668, 1616793542.4025106]
[1616793539.3778179, 1616793542.8657339]
[1616793539.54892, 1616793542.7754707]
[1616793539.897152, 1616793543.379415]
[1616793539.579353, 1616793543.0203435]
[1616793539.707146, 1616793542.957089]
[1616793539.6472933, 1616793543.1327562]
[1616793539.998137, 1616793543.2449303]
[1616793539.9423068, 1616793543.3978863]
[1616793540.086226, 1616793543.5310643]
[1616793539.928651, 1616793543.1875641]
[1616793540.0539374, 1616793543.2854846]
[1616793540.301481, 1616793543.7441928]
[1616793540.1315796, 1616793543.6005747]
[1616793539.983367, 1616793543.2247288]
[1616793540.3368597, 1616793543.7735872]
[1616793540.0950813, 1616793543.365082]
[1616793540.2887678, 1616793543.547153]
[1616793540.1296377, 1616793543.641969]
[1616793540.3819497, 1616793543.625493]
[1616793540.1822011, 1616793543.4039128]
[1616793540.3842964, 1616793543.667926]
[1616793540.2121701, 1616793543.4860823]
[1616793540.452899, 1616793543.711415]
[1616793540.5772085, 1616793544.060431]
[1616793540.4705858, 1616793543.9352214]
[1616793540.5417254, 1616793544.0318308]
[1616793540.5142124, 1616793543.738046]
[1616793540.641032, 1616793544.1255584]
[1616793540.5452232, 1616793543.81891]
[1616793540.6302016, 1616793544.1215065]
[1616793540.412703, 1616793543.6355572]
[1616793540.6475065, 1616793543.8569083]
[1616793540.5029356, 1616793543.7362607]
[1616793540.9509223, 1616793544.4389257]
[1616793540.756016, 1616793544.0029805]
[1616793540.8555405, 1616793544.059153]
[1616793540.7845047, 1616793544.200937]
[1616793540.729008, 1616793543.985259]
[1616793540.8127472, 1616793544.269128]
[1616793540.9123569, 1616793544.3936112]
[1616793540.8856156, 1616793544.1200187]
[1616793540.992378, 1616793544.417624]
[1616793540.8563406, 1616793544.1023395]
[1616793540.6962025, 1616793543.912791]
[1616793540.7948601, 1616793544.3817554]
[1616793540.9005246, 1616793544.3993278]
[1616793541.0036623, 1616793544.5214038]
[1616793541.0103538, 1616793544.4776897]
[1616793540.847247, 1616793544.1262627]
[1616793541.0193708, 1616793544.5308547]
[1616793540.9201443, 1616793544.393471]
[1616793541.0290759, 1616793544.4697948]
[1616793540.7054958, 1616793544.1774652]
[1616793541.0899503, 1616793544.6320114]
[1616793541.3740604, 1616793544.7016108]
[1616793540.9936116, 1616793544.4617605]
[1616793541.0269256, 1616793544.4294736]
[1616793540.8791, 1616793544.1343832]
[1616793540.9791176, 1616793544.2008438]
[1616793541.079409, 1616793544.5504322]
[1616793541.073166, 1616793544.5164201]
[1616793541.0017276, 1616793544.213665]
[1616793541.0264723, 1616793544.2539485]
[1616793541.058539, 1616793544.4048371]
[1616793541.141949, 1616793544.5964248]
[1616793541.1363149, 1616793544.619332]
[1616793541.0171857, 1616793544.4510398]
[1616793540.9784691, 1616793544.2291193]
[1616793541.2160254, 1616793544.6880615]
[1616793541.1407058, 1616793544.6242328]
[1616793541.18158, 1616793544.6618237]
[1616793540.9094927, 1616793544.159477]
[1616793541.0543454, 1616793544.312718]
[1616793540.9363873, 1616793544.1820238]
[1616793541.0805225, 1616793544.5357232]
[1616793541.1239634, 1616793544.6137972]
[1616793541.047341, 1616793544.30532]
[1616793541.080831, 1616793544.3269408]
