[1616795055.5880942, 1616795083.9678924]
[1616795055.9939468, 1616795082.0086]
[1616795056.19876, 1616795082.5150938]
[1616795055.3064864, 1616795084.7423913]
[1616795055.8369112, 1616795082.1567626]
[1616795055.5772495, 1616795083.8641822]
[1616795056.013353, 1616795082.6206787]
[1616795055.7050457, 1616795082.1671]
[1616795055.3978343, 1616795083.7824667]
[1616795055.5054557, 1616795084.598449]
[1616795055.8849084, 1616795082.4621925]
[1616795056.083881, 1616795082.010466]
[1616795055.9606304, 1616795082.355148]
[1616795055.8682172, 1616795082.1697035]
[1616795056.0129528, 1616795082.513686]
[1616795055.8453343, 1616795082.2617924]
[1616795055.7360249, 1616795082.0054073]
[1616795055.7032647, 1616795082.8708358]
[1616795055.9257088, 1616795082.3556786]
[1616795055.9373298, 1616795082.1566281]
[1616795056.687235, 1616795083.0327737]
[1616795056.434824, 1616795082.654619]
[1616795056.4785779, 1616795082.6486504]
[1616795056.4569864, 1616795082.94232]
[1616795056.8961704, 1616795083.1491015]
[1616795056.8961265, 1616795083.1359842]
[1616795056.7568521, 1616795082.9774618]
[1616795056.847273, 1616795083.054224]
[1616795056.8623772, 1616795083.0435195]
[1616795057.133615, 1616795083.6796288]
[1616795056.957139, 1616795083.20762]
[1616795057.1352365, 1616795083.5984108]
[1616795057.09921, 1616795083.2675498]
[1616795057.1167638, 1616795083.310775]
[1616795057.406056, 1616795083.65535]
[1616795057.3327248, 1616795083.6265886]
[1616795057.4389799, 1616795083.7638543]
[1616795057.4023287, 1616795083.7296033]
[1616795057.3007421, 1616795083.5819006]
[1616795057.3823574, 1616795083.2703881]
[1616795057.5098813, 1616795083.7852132]
[1616795057.52923, 1616795083.655902]
[1616795057.495249, 1616795083.5923193]
[1616795057.5949223, 1616795083.8408365]
[1616795057.8854249, 1616795084.1081471]
[1616795057.762912, 1616795083.9041042]
[1616795057.8466468, 1616795084.2015874]
[1616795058.0201216, 1616795084.3663986]
[1616795057.9083824, 1616795084.4007866]
[1616795058.0633142, 1616795084.5700753]
[1616795057.808037, 1616795084.1958418]
[1616795057.9669526, 1616795084.2812645]
[1616795058.034672, 1616795084.3401177]
[1616795058.157461, 1616795084.6080704]
[1616795058.043705, 1616795084.038798]
[1616795058.0870233, 1616795084.4471328]
[1616795058.0944104, 1616795084.3512425]
[1616795058.134697, 1616795084.4701242]
[1616795058.1637084, 1616795084.6849985]
[1616795058.2185597, 1616795084.2504244]
[1616795058.2807899, 1616795084.6918633]
[1616795058.3834476, 1616795084.5646925]
[1616795058.3952024, 1616795084.678816]
[1616795058.4848244, 1616795084.8672538]
[1616795058.3500152, 1616795084.4763553]
[1616795058.3897707, 1616795085.726719]
[1616795058.3735466, 1616795085.002126]
[1616795058.41515, 1616795084.7380292]
[1616795058.480469, 1616795084.9732752]
[1616795058.373664, 1616795084.4682884]
[1616795058.575195, 1616795084.6781023]
[1616795058.6369293, 1616795085.0567858]
[1616795058.642713, 1616795084.8502114]
[1616795058.648369, 1616795084.8653193]
[1616795058.4328308, 1616795084.5283666]
[1616795058.6269765, 1616795084.7949295]
[1616795058.6920269, 1616795084.703514]
[1616795058.749872, 1616795085.2969975]
[1616795058.4425063, 1616795084.6241176]
[1616795058.3703475, 1616795084.7691817]
[1616795058.5005136, 1616795084.7429936]
[1616795058.7259011, 1616795084.9851453]
[1616795058.7472315, 1616795085.1456938]
[1616795058.5850704, 1616795084.7628024]
[1616795058.7764454, 1616795085.3220112]
[1616795058.5979009, 1616795084.7670076]
[1616795058.7926219, 1616795085.2478874]
[1616795058.7185593, 1616795085.1440763]
[1616795058.6464968, 1616795085.2166145]
[1616795058.7770867, 1616795085.1018462]
[1616795058.6674137, 1616795084.8297937]
[1616795058.809449, 1616795085.074083]
[1616795058.7874181, 1616795085.018719]
[1616795058.7945154, 1616795085.1240466]
[1616795058.5846136, 1616795084.626903]
[1616795058.8834429, 1616795085.102503]
[1616795058.895945, 1616795085.3217096]
[1616795058.8552768, 1616795085.115836]
[1616795058.846733, 1616795085.1557646]
[1616795058.7934077, 1616795085.0042071]
[1616795058.87964, 1616795084.8610327]
[1616795058.8568628, 1616795085.268629]
[1616795058.8536491, 1616795085.2333078]
[1616795058.8105965, 1616795085.0763896]
[1616795058.8529556, 1616795085.2042458]
[1616795058.8449347, 1616795085.0832746]
[1616795058.8521483, 1616795085.04824]
[1616795058.9412265, 1616795085.3707983]
[1616795058.7741697, 1616795084.8267856]
[1616795058.914577, 1616795085.3137486]
[1616795058.8678997, 1616795085.3135047]
[1616795058.9423196, 1616795085.1633854]
[1616795058.8055065, 1616795085.3230276]
[1616795058.8460882, 1616795085.165375]
[1616795058.935886, 1616795085.2775016]
[1616795058.9234877, 1616795085.604834]
[1616795058.9449465, 1616795085.0500908]
[1616795058.8848975, 1616795085.0811675]
[1616795058.981633, 1616795085.6310449]
[1616795058.9249647, 1616795085.1466122]
[1616795058.885612, 1616795085.2276332]
