[1616795484.358985, 1616795487.0454543]
[1616795485.172582, 1616795487.8423564]
[1616795485.0749006, 1616795487.8018298]
[1616795484.7016048, 1616795487.4275815]
[1616795484.813552, 1616795487.5299656]
[1616795484.9068925, 1616795487.6276486]
[1616795484.8774714, 1616795487.5729542]
[1616795485.0922213, 1616795487.8162456]
[1616795484.6338048, 1616795487.3123507]
[1616795484.5181227, 1616795487.2170997]
[1616795485.29297, 1616795487.981786]
[1616795485.0700042, 1616795487.7693892]
[1616795485.4865272, 1616795488.1998935]
[1616795484.8502603, 1616795487.5162127]
[1616795485.1386793, 1616795487.8360212]
[1616795485.0580037, 1616795487.751211]
[1616795484.8970954, 1616795487.6298714]
[1616795484.913431, 1616795487.610687]
[1616795484.8275223, 1616795487.5413177]
[1616795485.0088918, 1616795487.7568436]
[1616795485.4934888, 1616795488.1420634]
[1616795485.764594, 1616795488.4051418]
[1616795485.2840714, 1616795487.965018]
[1616795486.003027, 1616795488.6392138]
[1616795485.4030285, 1616795488.1411772]
[1616795485.3038514, 1616795487.9485626]
[1616795486.1400363, 1616795488.826568]
[1616795486.2173767, 1616795488.9641142]
[1616795486.1976995, 1616795488.9382565]
[1616795486.2754655, 1616795488.9713812]
[1616795486.0293808, 1616795488.7231193]
[1616795486.552568, 1616795489.2308455]
[1616795486.4974458, 1616795489.168647]
[1616795486.8050334, 1616795489.4982755]
[1616795486.7433455, 1616795489.4564645]
[1616795486.3279064, 1616795489.050394]
[1616795486.9050229, 1616795489.603603]
[1616795487.1238694, 1616795489.8032744]
[1616795487.045801, 1616795489.70128]
[1616795486.775486, 1616795489.4932556]
[1616795486.903685, 1616795489.5954528]
[1616795486.9772403, 1616795489.7249844]
[1616795487.1654098, 1616795489.8988707]
[1616795487.6057534, 1616795490.317623]
[1616795487.527393, 1616795490.2013288]
[1616795487.546784, 1616795490.235915]
[1616795487.530462, 1616795490.1962156]
[1616795487.4528174, 1616795490.1906903]
[1616795487.696696, 1616795490.4288845]
[1616795488.1038785, 1616795490.7768404]
[1616795487.9289122, 1616795490.620573]
[1616795488.3132021, 1616795490.9854426]
[1616795488.1618507, 1616795490.7992418]
[1616795488.2853708, 1616795490.9878376]
[1616795487.7396781, 1616795490.4590473]
[1616795488.507702, 1616795491.165813]
[1616795488.6310704, 1616795491.3525279]
[1616795488.2866948, 1616795490.999258]
[1616795488.6559854, 1616795491.305297]
[1616795488.8580096, 1616795491.5334177]
[1616795488.4117708, 1616795491.0697703]
[1616795488.5932302, 1616795491.3138933]
[1616795488.934998, 1616795491.6715727]
[1616795489.06661, 1616795491.8040202]
[1616795489.0944932, 1616795491.7861736]
[1616795489.239716, 1616795491.931993]
[1616795489.3841603, 1616795492.1347134]
[1616795489.5037508, 1616795492.2454145]
[1616795489.2207491, 1616795491.8938608]
[1616795489.4630234, 1616795492.1781716]
[1616795489.5976284, 1616795492.3045127]
[1616795489.4352572, 1616795492.123266]
[1616795489.5638087, 1616795492.2855706]
[1616795489.5336628, 1616795492.2524133]
[1616795489.7495878, 1616795492.513533]
[1616795489.6957402, 1616795492.3866751]
[1616795489.8973324, 1616795492.5829427]
[1616795489.807225, 1616795492.495089]
[1616795490.032964, 1616795492.7344162]
[1616795490.041005, 1616795492.7338474]
[1616795490.0707, 1616795492.7679498]
[1616795490.022111, 1616795492.7179995]
[1616795489.9914181, 1616795492.7331104]
[1616795490.260956, 1616795492.9831731]
[1616795490.2816298, 1616795492.959289]
[1616795490.4941757, 1616795493.1828523]
[1616795490.4479823, 1616795493.197527]
[1616795490.5842419, 1616795493.3111792]
[1616795490.4879425, 1616795493.2109077]
[1616795490.5256622, 1616795493.1930444]
[1616795490.7893028, 1616795493.4553127]
[1616795490.5301754, 1616795493.2502794]
[1616795490.9946775, 1616795493.7153964]
[1616795491.0192316, 1616795493.7373443]
[1616795491.1079247, 1616795493.7946389]
[1616795490.960679, 1616795493.638997]
[1616795491.0868988, 1616795493.740144]
[1616795491.2355819, 1616795493.92679]
[1616795491.2267454, 1616795493.8734035]
[1616795491.109065, 1616795493.7855763]
[1616795491.3008275, 1616795494.0142121]
[1616795491.3723116, 1616795494.0994985]
[1616795491.4669423, 1616795494.1956244]
[1616795491.5912607, 1616795494.2691474]
[1616795491.5356562, 1616795494.192887]
[1616795491.8155808, 1616795494.5562692]
[1616795491.682703, 1616795494.3750346]
[1616795491.9333117, 1616795494.624493]
[1616795491.762564, 1616795494.4857464]
[1616795492.0820122, 1616795494.7873898]
[1616795492.103995, 1616795494.8067067]
[1616795492.3280232, 1616795495.0325363]
[1616795492.1552496, 1616795494.8960712]
[1616795492.3844695, 1616795495.106156]
[1616795492.1343596, 1616795494.8319952]
[1616795492.4666197, 1616795495.1662326]
[1616795492.4310172, 1616795495.147541]
[1616795492.4074023, 1616795495.0900068]
[1616795492.5985074, 1616795495.2938287]
[1616795492.8956409, 1616795495.6379886]
[1616795492.7385511, 1616795495.428643]
[1616795492.822202, 1616795495.5218165]
[1616795492.6433876, 1616795495.3887181]
[1616795492.7661371, 1616795495.4873536]
[1616795492.7670853, 1616795495.460708]
[1616795493.0122037, 1616795495.686785]
[1616795492.9905493, 1616795495.7092702]
[1616795493.109872, 1616795495.778541]
