[1616795790.5189562, 1616795817.3904188]
[1616795790.6562395, 1616795817.4343638]
[1616795790.348836, 1616795817.0998316]
[1616795790.40809, 1616795817.5703928]
[1616795790.4220243, 1616795817.5050337]
[1616795790.4416475, 1616795817.4815445]
[1616795790.4336228, 1616795817.4184587]
[1616795790.2898579, 1616795817.266522]
[1616795790.4056842, 1616795817.4119513]
[1616795790.4356189, 1616795817.2919085]
[1616795790.6011128, 1616795817.4514806]
[1616795790.591472, 1616795818.3522441]
[1616795790.3473716, 1616795817.1581142]
[1616795790.5440638, 1616795817.2193227]
[1616795790.6951952, 1616795818.057522]
[1616795790.4703453, 1616795817.1055806]
[1616795790.6397207, 1616795817.6330929]
[1616795790.5135286, 1616795817.447422]
[1616795790.4691103, 1616795817.4692426]
[1616795790.6221716, 1616795817.5364492]
[1616795790.7095535, 1616795817.4505303]
[1616795790.8139503, 1616795817.5976214]
[1616795790.7255456, 1616795817.7846615]
[1616795790.7555687, 1616795817.4195118]
[1616795790.8934634, 1616795817.794165]
[1616795790.8035166, 1616795817.7391467]
[1616795790.844014, 1616795817.5127547]
[1616795790.820675, 1616795817.888854]
[1616795790.7676377, 1616795817.4907234]
[1616795790.6765094, 1616795817.5301206]
[1616795790.9711015, 1616795817.9288113]
[1616795790.9792953, 1616795817.8179662]
[1616795790.9336336, 1616795817.635581]
[1616795790.8983223, 1616795817.8970854]
[1616795791.0329785, 1616795817.9783752]
[1616795790.9352508, 1616795818.0443966]
[1616795791.0569644, 1616795817.5038826]
[1616795791.0053418, 1616795817.8475986]
[1616795791.0014074, 1616795817.952422]
[1616795791.0462132, 1616795817.8679414]
[1616795790.8568928, 1616795818.0045779]
[1616795790.9119055, 1616795817.984431]
[1616795791.0685396, 1616795818.2550611]
[1616795791.0319753, 1616795817.897241]
[1616795791.0127218, 1616795817.853337]
[1616795791.1061947, 1616795818.1577895]
[1616795791.138586, 1616795818.01381]
[1616795791.1103551, 1616795818.0838344]
[1616795791.0579777, 1616795817.8231895]
[1616795791.1884372, 1616795818.0830724]
[1616795791.0894244, 1616795818.1983042]
[1616795791.1359413, 1616795817.9595182]
