[1616797517.9606276, 1616797539.5598078]
[1616797518.1155844, 1616797539.7341762]
[1616797518.307757, 1616797540.165982]
[1616797518.2688155, 1616797540.178146]
[1616797517.98879, 1616797539.7495396]
[1616797518.1194026, 1616797539.7735727]
[1616797518.3755867, 1616797540.1558948]
[1616797517.9056473, 1616797539.7053568]
[1616797518.1117284, 1616797539.7808585]
[1616797518.1077986, 1616797539.7138062]
[1616797518.3769784, 1616797540.0416894]
[1616797518.2354198, 1616797539.8730469]
[1616797518.4194245, 1616797540.0031242]
[1616797518.3675823, 1616797539.96981]
[1616797518.2647474, 1616797539.879773]
[1616797518.0105453, 1616797539.678535]
[1616797518.1849267, 1616797539.8205397]
[1616797518.1000974, 1616797539.945882]
[1616797518.2355435, 1616797539.856595]
[1616797518.243931, 1616797540.0386698]
[1616797518.3185294, 1616797539.9759712]
[1616797518.3426988, 1616797539.9631665]
[1616797518.2431328, 1616797539.788414]
[1616797518.2536218, 1616797539.857231]
[1616797518.4830644, 1616797540.124325]
[1616797518.2708306, 1616797539.8543243]
[1616797518.4237287, 1616797539.9770312]
[1616797518.3815598, 1616797540.0545607]
[1616797518.4871695, 1616797539.9165454]
[1616797518.5060904, 1616797540.2950022]
[1616797518.5220778, 1616797540.3484905]
[1616797518.364835, 1616797540.142823]
[1616797518.4939039, 1616797540.1160908]
[1616797518.5025084, 1616797540.21903]
[1616797518.4019516, 1616797540.1910305]
[1616797518.5553267, 1616797540.2304]
[1616797518.6022253, 1616797540.3259223]
[1616797518.5183973, 1616797540.1704557]
[1616797518.5370228, 1616797540.3491802]
[1616797518.6265802, 1616797540.1359985]
[1616797518.6408863, 1616797540.1686137]
[1616797518.5298347, 1616797540.2751398]
[1616797518.6395278, 1616797540.3054905]
[1616797518.6275241, 1616797540.3971434]
[1616797518.6346285, 1616797540.4088645]
[1616797518.5674279, 1616797540.3671355]
[1616797518.687553, 1616797540.6340175]
[1616797518.5655632, 1616797540.2306678]
[1616797518.609641, 1616797540.4227755]
[1616797518.7424378, 1616797540.375131]
