[1616797853.6946397, 1616797856.4143176]
[1616797853.1601038, 1616797855.950401]
[1616797853.214356, 1616797855.9662845]
[1616797853.4145055, 1616797856.1100624]
[1616797853.3398385, 1616797856.0379431]
[1616797853.272163, 1616797855.991211]
[1616797853.2783794, 1616797855.992928]
[1616797853.6446157, 1616797856.35161]
[1616797853.6343713, 1616797856.3242903]
[1616797853.6271155, 1616797856.3689516]
[1616797853.709037, 1616797856.4548533]
[1616797853.4911363, 1616797856.232818]
[1616797853.755348, 1616797856.477583]
[1616797853.4800804, 1616797856.2385676]
[1616797853.5483773, 1616797856.2475517]
[1616797853.352985, 1616797856.1033735]
[1616797853.5085797, 1616797856.2129152]
[1616797853.6040535, 1616797856.3257213]
[1616797853.901383, 1616797856.6759536]
[1616797853.8897567, 1616797856.593856]
[1616797853.8923626, 1616797856.6039355]
[1616797853.937855, 1616797856.6652122]
[1616797854.250391, 1616797856.9508371]
[1616797854.2245486, 1616797856.9412444]
[1616797854.091694, 1616797856.785429]
[1616797854.499567, 1616797857.230062]
[1616797854.3465137, 1616797857.0958152]
[1616797854.6385975, 1616797857.3837445]
[1616797854.6237178, 1616797857.362039]
[1616797854.5210218, 1616797857.2549317]
[1616797854.6305726, 1616797857.3450146]
[1616797854.873447, 1616797857.6100736]
[1616797854.6932738, 1616797857.4240084]
[1616797854.791489, 1616797857.5005689]
[1616797854.628541, 1616797857.3570106]
[1616797854.8689606, 1616797857.6142032]
[1616797855.097903, 1616797857.8213015]
[1616797855.2376842, 1616797857.9229152]
[1616797855.5064442, 1616797858.2129223]
[1616797855.3800092, 1616797858.0767086]
[1616797855.515835, 1616797858.187487]
[1616797855.5353444, 1616797858.235229]
[1616797855.2711337, 1616797858.0067973]
[1616797855.4519231, 1616797858.1370125]
[1616797855.391971, 1616797858.0966444]
[1616797855.5419083, 1616797858.2936916]
[1616797856.2117116, 1616797858.9553895]
[1616797855.9508007, 1616797858.6659234]
[1616797855.7632082, 1616797858.4509609]
[1616797856.1968348, 1616797858.9020498]
[1616797856.0239613, 1616797858.7298365]
[1616797856.1516743, 1616797858.867539]
[1616797856.134596, 1616797858.826231]
[1616797856.1996815, 1616797858.9267287]
[1616797856.4455075, 1616797859.1634178]
[1616797856.408366, 1616797859.093789]
[1616797856.6229877, 1616797859.3257492]
[1616797856.6959507, 1616797859.4825506]
[1616797856.2774117, 1616797858.9802585]
[1616797857.0421236, 1616797859.751093]
[1616797856.7228012, 1616797859.4808164]
[1616797857.0715175, 1616797859.7901976]
[1616797856.9151003, 1616797859.6097114]
[1616797857.0755095, 1616797859.8070154]
[1616797857.1960073, 1616797859.8920016]
[1616797857.319954, 1616797860.0762815]
[1616797857.3215578, 1616797860.0408037]
[1616797857.3395798, 1616797860.0899277]
[1616797857.3551848, 1616797860.068442]
[1616797857.5063643, 1616797860.208218]
[1616797857.7774591, 1616797860.510851]
[1616797857.4758842, 1616797860.1804252]
[1616797857.8953986, 1616797860.6243646]
[1616797857.8714762, 1616797860.6174104]
[1616797857.8209271, 1616797860.5570006]
[1616797858.1054244, 1616797860.807869]
[1616797857.7541726, 1616797860.4787014]
[1616797857.8473492, 1616797860.5705178]
[1616797858.099276, 1616797860.8222644]
[1616797858.101255, 1616797860.8451157]
[1616797858.3693202, 1616797861.1400843]
[1616797858.0391283, 1616797860.7629273]
[1616797857.9702196, 1616797860.6291811]
[1616797858.728427, 1616797861.468292]
[1616797858.5281656, 1616797861.2261045]
[1616797858.631878, 1616797861.2949038]
[1616797858.5950358, 1616797861.3254845]
[1616797858.7486188, 1616797861.4523745]
[1616797858.6186464, 1616797861.3168926]
[1616797859.006551, 1616797861.7580638]
[1616797858.9413955, 1616797861.6681998]
[1616797858.9871476, 1616797861.7203822]
[1616797859.0345683, 1616797861.7105463]
[1616797859.2538562, 1616797861.9738436]
[1616797859.0707893, 1616797861.765524]
[1616797859.309549, 1616797861.9917588]
[1616797859.1560044, 1616797861.908694]
[1616797859.040468, 1616797861.7587798]
[1616797859.4287083, 1616797862.1555]
[1616797859.3789628, 1616797862.0814211]
[1616797859.569948, 1616797862.3490977]
[1616797859.8414352, 1616797862.5517106]
[1616797859.887717, 1616797862.6081622]
[1616797859.8019533, 1616797862.5293622]
[1616797859.8850248, 1616797862.5894222]
[1616797860.0988278, 1616797862.8562393]
[1616797860.4493797, 1616797863.1780438]
[1616797860.186783, 1616797862.9193568]
[1616797860.3640857, 1616797863.083188]
[1616797860.23815, 1616797862.9372673]
[1616797860.292027, 1616797862.9881368]
[1616797860.2723553, 1616797863.0378125]
[1616797860.7546668, 1616797863.4904196]
[1616797860.3671172, 1616797863.0613778]
[1616797860.6655953, 1616797863.3594532]
[1616797860.6672177, 1616797863.4219377]
[1616797860.550071, 1616797863.2708964]
[1616797860.9831197, 1616797863.7464328]
[1616797860.7614884, 1616797863.4847922]
[1616797861.3521414, 1616797864.0154324]
[1616797861.0430102, 1616797863.7450206]
[1616797861.2665465, 1616797863.964546]
[1616797861.3513904, 1616797864.0811388]
[1616797861.1227717, 1616797863.851551]
[1616797861.3278024, 1616797864.019732]
[1616797861.4940994, 1616797864.2094126]
[1616797861.451994, 1616797864.1922352]
[1616797861.7644851, 1616797864.4857411]
[1616797861.696991, 1616797864.4156914]
[1616797861.652644, 1616797864.3561215]
[1616797861.7307496, 1616797864.4601846]
[1616797861.8517463, 1616797864.5546558]
[1616797861.6881628, 1616797864.404899]
[1616797861.9810472, 1616797864.692988]
[1616797862.1712365, 1616797864.8809469]
[1616797861.97326, 1616797864.7422667]
[1616797862.282783, 1616797864.9683604]
[1616797862.1523805, 1616797864.8613873]
[1616797862.297293, 1616797865.034971]
[1616797862.2431152, 1616797864.9852679]
[1616797862.3916671, 1616797865.1242218]
[1616797862.5859487, 1616797865.309611]
[1616797862.0812428, 1616797864.7861474]
[1616797862.5986996, 1616797865.2986846]
[1616797862.7445984, 1616797865.4782135]
[1616797862.7827258, 1616797865.4991102]
[1616797862.3603399, 1616797865.1348014]
[1616797862.7164695, 1616797865.4060662]
[1616797862.9485812, 1616797865.6502557]
[1616797862.9230936, 1616797865.6877418]
[1616797862.9090858, 1616797865.6369944]
[1616797862.9951582, 1616797865.699354]
[1616797862.8338656, 1616797865.526373]
[1616797863.127914, 1616797865.8534672]
[1616797863.243946, 1616797865.9363143]
[1616797863.202727, 1616797865.9206803]
[1616797863.4099882, 1616797866.1976392]
[1616797863.3444357, 1616797866.0671606]
[1616797863.2557127, 1616797866.0274777]
[1616797863.4023404, 1616797866.154819]
[1616797863.3366868, 1616797866.2057707]
[1616797863.3732388, 1616797866.0554378]
[1616797863.4487445, 1616797866.1695378]
[1616797863.4862704, 1616797866.198486]
[1616797863.361737, 1616797866.0829623]
[1616797863.6074693, 1616797866.3371081]
[1616797863.7689984, 1616797866.5147095]
[1616797863.9049802, 1616797866.6049104]
[1616797863.831208, 1616797866.5798538]
[1616797863.8841798, 1616797866.630354]
[1616797863.8382704, 1616797866.5622506]
[1616797863.9193935, 1616797866.6236198]
[1616797863.9550605, 1616797866.718375]
[1616797864.3289766, 1616797867.0561945]
[1616797864.2340267, 1616797866.9393234]
[1616797864.0623152, 1616797866.7545757]
[1616797864.2528255, 1616797866.917359]
[1616797864.214155, 1616797866.9720914]
[1616797864.1167932, 1616797866.8532789]
[1616797864.3118613, 1616797867.000424]
[1616797864.3785398, 1616797867.0845387]
[1616797864.6670806, 1616797867.35472]
[1616797864.6753652, 1616797867.4155009]
[1616797864.7210567, 1616797867.458191]
[1616797864.7222097, 1616797867.432281]
[1616797864.5503235, 1616797867.3075728]
[1616797864.878754, 1616797867.5682678]
[1616797864.757749, 1616797867.4590564]
[1616797864.9507093, 1616797867.6690686]
[1616797864.8397782, 1616797867.529415]
[1616797864.9343035, 1616797867.63671]
[1616797865.0592124, 1616797867.8113735]
[1616797865.0906873, 1616797867.783425]
[1616797865.021999, 1616797867.743145]
[1616797865.2704346, 1616797867.9869766]
[1616797865.2585225, 1616797868.0645797]
[1616797865.2790117, 1616797868.0079153]
[1616797864.989716, 1616797867.677208]
[1616797865.1349294, 1616797867.881681]
[1616797865.2800994, 1616797867.9992104]
[1616797865.4266393, 1616797868.1335125]
[1616797865.5211637, 1616797868.2364204]
[1616797865.8480644, 1616797868.6109884]
[1616797865.563768, 1616797868.2509277]
[1616797865.666341, 1616797868.352278]
[1616797865.6528788, 1616797868.393365]
[1616797865.744027, 1616797868.455686]
[1616797865.6493266, 1616797868.3846734]
[1616797865.9268441, 1616797868.656848]
[1616797865.9143982, 1616797868.6454887]
[1616797865.948583, 1616797868.6547596]
[1616797866.0381143, 1616797868.8062818]
[1616797866.0994701, 1616797868.798277]
[1616797866.146721, 1616797868.8367398]
[1616797866.2053416, 1616797868.946677]
[1616797866.1530185, 1616797868.8892965]
[1616797866.3192518, 1616797869.027232]
[1616797866.1197982, 1616797868.8256886]
[1616797866.301307, 1616797869.025518]
[1616797866.4208417, 1616797869.1577713]
[1616797866.2725644, 1616797869.024781]
[1616797866.4306512, 1616797869.1430938]
[1616797866.239907, 1616797868.9594166]
[1616797866.4218087, 1616797869.1179903]
[1616797866.6734223, 1616797869.3835819]
[1616797866.7414129, 1616797869.506241]
[1616797866.777506, 1616797869.4654927]
[1616797866.8016512, 1616797869.5256596]
[1616797866.688213, 1616797869.5011764]
[1616797866.6883407, 1616797869.4122522]
[1616797866.8543515, 1616797869.5760458]
[1616797866.936069, 1616797869.598513]
[1616797866.8930242, 1616797869.6213737]
[1616797867.231624, 1616797869.932484]
[1616797867.2538028, 1616797870.0029657]
[1616797867.1836298, 1616797869.9248052]
[1616797867.2837985, 1616797869.9512084]
[1616797867.153933, 1616797869.9910595]
[1616797867.2734797, 1616797869.9733257]
[1616797867.2983778, 1616797869.9864922]
[1616797867.402188, 1616797870.0944192]
[1616797867.1232357, 1616797869.831203]
[1616797867.165669, 1616797869.8462532]
[1616797867.5771358, 1616797870.2574584]
[1616797867.4713862, 1616797870.153101]
[1616797867.709178, 1616797870.4213576]
[1616797867.7059038, 1616797870.3912272]
[1616797867.7672315, 1616797870.4971125]
[1616797867.8655834, 1616797870.6154137]
[1616797868.0373743, 1616797870.76265]
[1616797867.9607341, 1616797870.7296631]
[1616797868.1041894, 1616797870.8373637]
[1616797868.1087234, 1616797870.8336842]
[1616797868.0813413, 1616797870.8665023]
[1616797868.1501946, 1616797870.8450277]
[1616797868.1752062, 1616797870.869504]
[1616797868.2240896, 1616797870.9506288]
[1616797868.2638602, 1616797870.9582856]
[1616797868.2084112, 1616797870.892667]
[1616797868.4144895, 1616797871.1388373]
[1616797868.393909, 1616797871.1315444]
[1616797868.326182, 1616797871.0265424]
[1616797868.4979992, 1616797871.2021399]
[1616797868.5334384, 1616797871.2459686]
[1616797868.5878553, 1616797871.3240402]
[1616797868.6826274, 1616797871.390882]
[1616797868.3961902, 1616797871.098538]
[1616797868.6239526, 1616797871.3828971]
[1616797868.5421295, 1616797871.3028991]
[1616797868.886774, 1616797871.5970895]
[1616797868.8714695, 1616797871.5573614]
[1616797868.8350546, 1616797871.5596104]
[1616797868.8344626, 1616797871.582641]
[1616797868.995556, 1616797871.7071564]
[1616797868.9416893, 1616797871.6840684]
[1616797869.1881444, 1616797871.9415965]
[1616797869.0880852, 1616797871.8128064]
[1616797869.2114859, 1616797871.9155233]
[1616797869.2335165, 1616797871.9899187]
[1616797869.0840569, 1616797871.8209617]
[1616797869.212846, 1616797871.922355]
[1616797869.4990633, 1616797872.2284737]
[1616797869.1113818, 1616797871.8488972]
[1616797869.4074502, 1616797872.1223094]
[1616797869.4256613, 1616797872.130542]
[1616797869.4767656, 1616797872.1711617]
[1616797869.5749907, 1616797872.3336847]
[1616797869.6065183, 1616797872.2855475]
[1616797869.5395565, 1616797872.2627594]
[1616797869.4750855, 1616797872.1604862]
[1616797869.6171515, 1616797872.3409677]
[1616797869.9840546, 1616797872.6873434]
[1616797869.9573042, 1616797872.643544]
[1616797870.0402977, 1616797872.7716427]
[1616797869.8735778, 1616797872.5657976]
[1616797870.038249, 1616797872.77978]
[1616797870.0671706, 1616797872.7538826]
[1616797870.0697296, 1616797872.786505]
[1616797870.1348474, 1616797872.8238163]
[1616797870.2754927, 1616797872.970433]
[1616797870.170738, 1616797872.8659067]
[1616797870.3037834, 1616797873.0044317]
[1616797870.351921, 1616797873.0791411]
[1616797870.3048952, 1616797873.0164711]
[1616797870.5459776, 1616797873.3036416]
[1616797870.260941, 1616797872.9967957]
[1616797870.615337, 1616797873.3313787]
[1616797870.7275612, 1616797873.4244869]
[1616797870.8291638, 1616797873.50944]
[1616797870.5470536, 1616797873.233043]
[1616797870.6841242, 1616797873.446045]
[1616797870.5440497, 1616797873.2702773]
[1616797870.8282177, 1616797873.5570805]
[1616797870.7722652, 1616797873.5005567]
[1616797870.9534197, 1616797873.7369745]
[1616797870.9300888, 1616797873.6187863]
[1616797871.0225933, 1616797873.6990714]
[1616797870.8603597, 1616797873.5641506]
[1616797870.881405, 1616797873.5760827]
[1616797870.9916868, 1616797873.7540474]
[1616797871.09763, 1616797873.8038082]
[1616797871.1304483, 1616797873.8678343]
[1616797871.1181319, 1616797873.817905]
[1616797871.2851896, 1616797873.9903274]
[1616797871.1382403, 1616797873.8732724]
[1616797871.3106828, 1616797874.0326598]
[1616797871.340952, 1616797874.0768976]
[1616797871.375316, 1616797874.1191316]
[1616797871.4861004, 1616797874.1992471]
[1616797871.662484, 1616797874.388979]
[1616797871.5414586, 1616797874.2963185]
[1616797871.5954478, 1616797874.3653345]
[1616797871.578415, 1616797874.2803035]
[1616797871.6833553, 1616797874.3698425]
[1616797871.7588267, 1616797874.4969578]
[1616797871.8526795, 1616797874.561825]
[1616797872.2353253, 1616797874.9606595]
[1616797872.2037272, 1616797874.900685]
[1616797872.3209107, 1616797874.9881835]
[1616797872.0027, 1616797874.7904918]
[1616797871.9738255, 1616797874.73649]
[1616797872.2154605, 1616797874.930286]
[1616797872.1367962, 1616797874.8694386]
[1616797872.413042, 1616797875.1615233]
[1616797872.2525735, 1616797874.96378]
[1616797872.2114704, 1616797874.900178]
[1616797872.3770397, 1616797875.0959241]
[1616797872.2462268, 1616797874.9614155]
[1616797872.521951, 1616797875.22998]
[1616797872.5441022, 1616797875.283136]
[1616797872.532524, 1616797875.302599]
[1616797872.6398268, 1616797875.3532531]
[1616797872.5800138, 1616797875.286765]
[1616797872.7822878, 1616797875.5550694]
[1616797873.0343983, 1616797875.7477055]
[1616797872.9666154, 1616797875.7099886]
[1616797872.6737108, 1616797875.356526]
[1616797872.7597523, 1616797875.4476357]
[1616797872.8403275, 1616797875.5318797]
[1616797872.932912, 1616797875.6439202]
[1616797872.9816253, 1616797875.6584864]
[1616797873.1362188, 1616797875.839824]
[1616797873.089575, 1616797875.7872071]
[1616797872.9369102, 1616797875.6484182]
[1616797873.1761355, 1616797875.910496]
[1616797873.296589, 1616797876.01413]
[1616797873.453548, 1616797876.2100995]
[1616797873.3315744, 1616797876.0515523]
[1616797873.6341946, 1616797876.318729]
[1616797873.564955, 1616797876.286238]
[1616797873.5365508, 1616797876.213819]
[1616797873.8732862, 1616797876.5929515]
[1616797873.5096364, 1616797876.2291965]
[1616797873.8203115, 1616797876.5335138]
[1616797873.725539, 1616797876.4221773]
[1616797873.7859633, 1616797876.4976597]
[1616797873.7318265, 1616797876.4264135]
[1616797873.8989213, 1616797876.638026]
[1616797873.7398183, 1616797876.4391513]
[1616797873.7452705, 1616797876.524126]
[1616797873.8279974, 1616797876.5174363]
[1616797873.9994693, 1616797876.7318852]
[1616797874.0647907, 1616797876.779426]
[1616797874.3273416, 1616797877.07737]
[1616797874.2696638, 1616797876.9879205]
[1616797874.1555617, 1616797876.955485]
[1616797874.3304498, 1616797877.032976]
[1616797874.42856, 1616797877.1991012]
[1616797874.5316253, 1616797877.2769816]
[1616797874.2744222, 1616797876.978833]
[1616797874.4148502, 1616797877.109857]
[1616797874.4027336, 1616797877.1103811]
[1616797874.4523737, 1616797877.1748672]
[1616797874.4758596, 1616797877.255797]
[1616797874.7984056, 1616797877.5288978]
[1616797874.6995122, 1616797877.410845]
[1616797874.8696444, 1616797877.587133]
[1616797874.8435245, 1616797877.5613256]
[1616797874.8103538, 1616797877.5408628]
[1616797874.7207448, 1616797877.411959]
[1616797875.012585, 1616797877.6726375]
[1616797875.0513377, 1616797877.7599826]
[1616797875.078672, 1616797877.8060062]
[1616797875.053417, 1616797877.7754638]
[1616797875.141612, 1616797877.8612874]
[1616797875.1607406, 1616797877.863163]
[1616797875.051675, 1616797877.7644947]
[1616797875.3505828, 1616797878.0449188]
[1616797875.3286579, 1616797878.1066442]
[1616797875.5103633, 1616797878.1902635]
[1616797875.6968825, 1616797878.376767]
[1616797875.387269, 1616797878.0752358]
[1616797875.6292834, 1616797878.3875446]
[1616797875.6185532, 1616797878.3417962]
[1616797875.6045866, 1616797878.347409]
[1616797875.7351637, 1616797878.4972575]
[1616797875.5589805, 1616797878.2529094]
[1616797875.5310037, 1616797878.234241]
[1616797875.6632705, 1616797878.369539]
[1616797875.6245122, 1616797878.3307586]
[1616797875.7930386, 1616797878.5041678]
[1616797876.105191, 1616797878.805392]
[1616797875.822348, 1616797878.5308945]
[1616797876.0184479, 1616797878.7218795]
[1616797876.0954669, 1616797878.8134365]
[1616797875.9352694, 1616797878.683856]
[1616797876.0908678, 1616797878.821355]
[1616797876.1519825, 1616797878.847846]
[1616797876.3266852, 1616797879.0340598]
[1616797876.2771533, 1616797878.9959567]
[1616797876.2874243, 1616797878.9653738]
[1616797876.5724168, 1616797879.2912824]
[1616797876.4309888, 1616797879.1456082]
[1616797876.5035725, 1616797879.2095127]
[1616797876.3269835, 1616797879.0227318]
[1616797876.4668806, 1616797879.1608346]
[1616797876.3779871, 1616797879.1196828]
[1616797876.4467542, 1616797879.162835]
[1616797876.78682, 1616797879.5025156]
[1616797876.6274264, 1616797879.3465314]
[1616797876.6925318, 1616797879.425482]
[1616797876.8302147, 1616797879.5317283]
[1616797876.7250943, 1616797879.50222]
[1616797877.0433767, 1616797879.737271]
[1616797877.0942838, 1616797879.8432963]
[1616797876.9728396, 1616797879.6809363]
[1616797876.9385748, 1616797879.6451395]
[1616797876.98321, 1616797879.6979237]
[1616797877.1787055, 1616797879.8667822]
[1616797877.1013741, 1616797879.817915]
[1616797877.198183, 1616797879.9053283]
[1616797877.1144166, 1616797879.8173234]
[1616797877.1806965, 1616797879.9180672]
[1616797877.3643422, 1616797880.0925093]
[1616797877.427296, 1616797880.1206686]
[1616797877.3772938, 1616797880.156792]
[1616797877.3676379, 1616797880.1242194]
[1616797877.4621239, 1616797880.1723042]
[1616797877.5876193, 1616797880.2836127]
[1616797877.686195, 1616797880.369249]
[1616797877.6534734, 1616797880.387167]
[1616797877.630491, 1616797880.335202]
[1616797877.9258788, 1616797880.619438]
[1616797877.543716, 1616797880.2844431]
[1616797877.6461427, 1616797880.4003868]
[1616797878.003417, 1616797880.7227774]
[1616797878.02496, 1616797880.7376952]
[1616797877.9451602, 1616797880.675277]
[1616797877.9897609, 1616797880.7068725]
[1616797878.2694473, 1616797880.9593985]
[1616797878.096881, 1616797880.790979]
[1616797878.1048563, 1616797880.7996244]
[1616797878.1189177, 1616797880.884199]
[1616797878.257312, 1616797880.9398134]
[1616797878.3541374, 1616797881.076842]
[1616797878.352931, 1616797881.124525]
[1616797878.2482297, 1616797881.013654]
[1616797878.3734038, 1616797881.093577]
[1616797878.3007803, 1616797881.02035]
[1616797878.5594335, 1616797881.2564614]
[1616797878.460143, 1616797881.2160048]
[1616797878.73848, 1616797881.44132]
[1616797878.6100144, 1616797881.2825222]
[1616797878.9036143, 1616797881.5988286]
[1616797878.5746164, 1616797881.3182187]
[1616797878.5338736, 1616797881.2631867]
[1616797878.7133753, 1616797881.4658937]
[1616797878.932658, 1616797881.6509345]
[1616797878.993237, 1616797881.6690018]
[1616797878.9461992, 1616797881.654717]
[1616797879.0971808, 1616797881.7982984]
[1616797879.1206682, 1616797881.8116796]
[1616797879.1985402, 1616797881.8932767]
[1616797879.4675784, 1616797882.1989527]
[1616797879.1947198, 1616797881.8913352]
[1616797879.4015052, 1616797882.099937]
[1616797879.2963188, 1616797881.9842367]
[1616797879.5699036, 1616797882.3571196]
[1616797879.3698184, 1616797882.082964]
[1616797879.715721, 1616797882.420845]
[1616797879.670894, 1616797882.357796]
[1616797879.502815, 1616797882.188931]
[1616797879.5250726, 1616797882.2345037]
[1616797879.5379262, 1616797882.2636414]
[1616797879.9622092, 1616797882.8503385]
[1616797879.8687623, 1616797882.5703638]
[1616797880.067758, 1616797882.7832587]
[1616797879.8038166, 1616797882.5005214]
[1616797879.9927588, 1616797882.6869812]
[1616797879.869693, 1616797882.5774844]
[1616797880.0240433, 1616797882.7145858]
[1616797879.8602173, 1616797882.6120613]
[1616797879.9677813, 1616797882.6748033]
[1616797880.2431548, 1616797882.9551394]
[1616797880.0599308, 1616797882.8230197]
[1616797880.3081994, 1616797883.0420067]
[1616797880.344738, 1616797883.0588603]
[1616797880.5390136, 1616797883.2799022]
[1616797880.476431, 1616797883.1415207]
[1616797880.339475, 1616797883.057527]
[1616797880.6350965, 1616797883.3350902]
[1616797880.4383914, 1616797883.159499]
[1616797880.688141, 1616797883.429799]
[1616797880.4909008, 1616797883.2795463]
[1616797880.6216626, 1616797883.302423]
[1616797880.675909, 1616797883.364892]
[1616797880.985602, 1616797883.7281573]
[1616797880.7994127, 1616797883.4896688]
[1616797880.4170835, 1616797883.1886709]
[1616797880.6696312, 1616797883.3923104]
[1616797880.7607641, 1616797883.4713387]
[1616797880.9739742, 1616797883.6615496]
[1616797881.0432463, 1616797883.729648]
[1616797881.3330731, 1616797884.062685]
[1616797881.2022078, 1616797883.9159036]
[1616797880.9788377, 1616797883.6618292]
[1616797881.1479456, 1616797883.9044929]
[1616797881.2056258, 1616797883.9270842]
[1616797881.2074478, 1616797883.919235]
[1616797881.490097, 1616797884.2453952]
[1616797881.5481586, 1616797884.2552083]
[1616797881.49373, 1616797884.2064157]
[1616797881.3105602, 1616797884.0044289]
[1616797881.5352829, 1616797884.248645]
[1616797881.554699, 1616797884.3090816]
[1616797881.6428044, 1616797884.3299935]
[1616797881.7224333, 1616797884.4347725]
[1616797881.803777, 1616797884.5076053]
[1616797881.7610953, 1616797884.4972768]
[1616797881.687672, 1616797884.3730834]
[1616797881.8463957, 1616797884.5472748]
[1616797882.1871328, 1616797884.8660653]
[1616797882.0960264, 1616797884.8161745]
[1616797881.9413319, 1616797884.6343524]
[1616797882.0129972, 1616797884.7183611]
[1616797882.3194144, 1616797885.0276725]
[1616797882.1618643, 1616797884.8573437]
[1616797882.133296, 1616797884.8686435]
[1616797882.306666, 1616797885.0380428]
[1616797882.2954988, 1616797885.025973]
[1616797882.2835262, 1616797885.0250673]
[1616797882.45689, 1616797885.1546962]
[1616797882.4571533, 1616797885.236502]
[1616797882.4949245, 1616797885.2091393]
[1616797882.6307566, 1616797885.3842797]
[1616797882.3913078, 1616797885.0800743]
[1616797882.838797, 1616797885.5845585]
[1616797882.761691, 1616797885.4562335]
[1616797882.7015326, 1616797885.392064]
[1616797882.7669, 1616797885.4718]
[1616797882.8878555, 1616797885.6961615]
[1616797882.84097, 1616797885.5700648]
[1616797882.556194, 1616797885.2556584]
[1616797883.0662258, 1616797885.7785296]
[1616797883.0402586, 1616797885.7500134]
[1616797882.9448898, 1616797885.6758096]
[1616797883.1584048, 1616797885.8208644]
[1616797883.1767588, 1616797885.913576]
[1616797883.2659614, 1616797886.008421]
[1616797883.208212, 1616797885.9865496]
[1616797883.2355452, 1616797885.9375665]
[1616797883.5834012, 1616797886.271019]
[1616797883.4274893, 1616797886.151285]
[1616797883.3384404, 1616797886.0179965]
[1616797883.3470259, 1616797886.0497289]
[1616797883.4417343, 1616797886.182491]
[1616797883.6459498, 1616797886.352539]
[1616797883.6210496, 1616797886.3314283]
[1616797883.6855729, 1616797886.3925645]
[1616797884.1379802, 1616797886.8690858]
[1616797883.8610466, 1616797886.6467028]
[1616797883.8479867, 1616797886.5839822]
[1616797883.730938, 1616797886.4268267]
[1616797883.7520146, 1616797886.4428637]
[1616797883.7655613, 1616797886.5855927]
[1616797883.9294708, 1616797886.645617]
[1616797884.2123075, 1616797886.918509]
[1616797884.1798425, 1616797886.8516243]
[1616797884.2186704, 1616797886.9279048]
[1616797884.179822, 1616797886.9110005]
[1616797884.3152165, 1616797887.0628405]
[1616797884.3230097, 1616797887.0263743]
[1616797884.3384476, 1616797887.0327532]
