[1616950753.602195, 1616950754.9382136]
[1616950753.374605, 1616950754.0332763]
[1616950753.8209724, 1616950754.5003502]
[1616950753.5930336, 1616950754.2520463]
[1616950753.4189193, 1616950754.1618896]
[1616950753.6202066, 1616950754.276298]
[1616950753.9825401, 1616950754.615272]
[1616950753.7095053, 1616950754.391731]
[1616950753.9282732, 1616950756.5368435]
[1616950753.864054, 1616950754.5099885]
[1616950753.495878, 1616950754.1970792]
[1616950753.8609464, 1616950754.5879977]
[1616950753.4077947, 1616950754.1126187]
[1616950753.370552, 1616950755.172308]
[1616950753.9902842, 1616950754.709065]
[1616950753.893939, 1616950754.580114]
[1616950753.8010967, 1616950755.0932713]
[1616950753.6586983, 1616950754.3214645]
[1616950754.5558465, 1616950760.9669986]
[1616950753.940691, 1616950755.7488396]
[1616950754.7802186, 1616950755.414429]
[1616950754.6869922, 1616950755.3956513]
[1616950754.3933318, 1616950755.0675018]
[1616950754.5902565, 1616950755.2511315]
[1616950754.823189, 1616950755.5429401]
[1616950754.071824, 1616950754.7100098]
[1616950754.928008, 1616950755.6267507]
[1616950754.609605, 1616950755.3239295]
[1616950755.2093043, 1616950755.8875513]
[1616950754.9652371, 1616950755.6639612]
[1616950754.8355863, 1616950756.1432192]
[1616950755.067055, 1616950755.6937115]
[1616950755.4244509, 1616950756.1192245]
[1616950755.2655036, 1616950755.9619474]
[1616950755.2098231, 1616950756.2163064]
[1616950755.3429067, 1616950756.0409505]
[1616950755.6735418, 1616950756.343046]
[1616950755.5818262, 1616950756.2773623]
[1616950755.3818934, 1616950756.0499241]
[1616950755.48804, 1616950756.217376]
[1616950755.0413086, 1616950755.7172997]
[1616950756.1441596, 1616950756.8085146]
[1616950756.0942078, 1616950756.725666]
[1616950756.617086, 1616950757.3130946]
[1616950756.2442486, 1616950756.9004424]
[1616950756.4756587, 1616950757.1770022]
[1616950755.635965, 1616950756.307539]
[1616950756.560018, 1616950757.1932487]
[1616950756.9669476, 1616950757.6330729]
[1616950756.9393408, 1616950757.5824704]
[1616950756.9388902, 1616950757.6048067]
[1616950756.499424, 1616950757.1762884]
[1616950756.7864807, 1616950757.421094]
[1616950757.125484, 1616950758.130562]
[1616950757.160476, 1616950759.2802644]
[1616950757.2811034, 1616950757.9288175]
[1616950757.4613953, 1616950759.3363526]
[1616950757.1573832, 1616950757.805471]
[1616950757.4633036, 1616950758.1795044]
[1616950757.5597572, 1616950758.2973783]
[1616950758.0270836, 1616950758.7147741]
[1616950757.8622084, 1616950758.5232894]
[1616950758.0006692, 1616950758.7309337]
[1616950757.611332, 1616950758.2629297]
[1616950758.0453901, 1616950758.7136986]
[1616950757.94989, 1616950758.6002707]
[1616950757.7611701, 1616950758.3896048]
[1616950757.983351, 1616950760.352432]
[1616950758.2159805, 1616950758.869926]
[1616950758.4583645, 1616950759.1020927]
[1616950758.132666, 1616950758.773626]
[1616950758.3769608, 1616950759.0377197]
[1616950758.589528, 1616950759.2307057]
[1616950758.4207084, 1616950759.0894105]
[1616950758.4662802, 1616950759.142758]
[1616950758.6785777, 1616950759.375806]
[1616950758.6473806, 1616950759.3687637]
[1616950758.9505615, 1616950759.6251128]
[1616950758.5157115, 1616950759.15694]
[1616950758.860929, 1616950759.4948943]
[1616950758.8367836, 1616950759.9835026]
[1616950758.9324722, 1616950760.5894632]
[1616950758.951842, 1616950759.6291306]
[1616950759.1530735, 1616950759.8143582]
[1616950759.1806943, 1616950760.2757125]
[1616950758.9997306, 1616950759.6774068]
[1616950759.1986468, 1616950759.8370264]
[1616950759.2252157, 1616950759.9170487]
[1616950759.305801, 1616950760.0434115]
[1616950759.6139054, 1616950761.132652]
[1616950759.405405, 1616950760.122966]
[1616950759.5727444, 1616950760.263455]
[1616950759.7412567, 1616950760.463245]
[1616950759.491395, 1616950760.172882]
[1616950759.6571863, 1616950760.3350277]
[1616950759.6793115, 1616950760.3525805]
[1616950760.0703788, 1616950761.5957692]
[1616950760.0267792, 1616950762.7269955]
[1616950759.9757614, 1616950760.6492984]
[1616950760.2799144, 1616950761.0193162]
[1616950760.1725578, 1616950760.8622336]
[1616950760.1238463, 1616950760.755798]
