[1616952470.0859234, 1616952486.0034187]
[1616952470.088913, 1616952488.2690754]
[1616952469.9154513, 1616952485.7103126]
[1616952470.2269435, 1616952484.737347]
[1616952470.3967168, 1616952485.2328105]
[1616952469.9881704, 1616952481.1762457]
[1616952469.7868187, 1616952486.4006357]
[1616952470.0536141, 1616952477.4533534]
[1616952470.0857582, 1616952487.223126]
[1616952470.0205538, 1616952486.7647974]
[1616952470.1812592, 1616952484.761237]
[1616952470.6833694, 1616952486.3771188]
[1616952469.9130566, 1616952479.41336]
[1616952470.4773064, 1616952479.5394719]
[1616952470.205158, 1616952487.2733629]
[1616952469.787797, 1616952488.2830162]
[1616952470.0680194, 1616952485.6447043]
[1616952470.483236, 1616952490.5846775]
[1616952470.443048, 1616952484.5935698]
[1616952470.3573985, 1616952488.254263]
[1616952471.0721111, 1616952487.3078568]
[1616952470.6499548, 1616952482.0267801]
[1616952470.6224241, 1616952479.8905606]
[1616952470.912794, 1616952485.4348862]
[1616952470.83316, 1616952488.4640794]
[1616952471.0662167, 1616952483.3479075]
[1616952471.329148, 1616952485.0581882]
[1616952471.3730962, 1616952483.730998]
[1616952471.0457735, 1616952489.601499]
[1616952471.2743518, 1616952483.8463356]
[1616952471.5043862, 1616952490.7400842]
[1616952471.67421, 1616952486.6873665]
[1616952471.1224728, 1616952480.6999733]
[1616952471.5297892, 1616952487.3981156]
[1616952471.4945786, 1616952487.2035887]
[1616952471.8388512, 1616952490.528902]
[1616952471.4575608, 1616952487.681391]
[1616952471.7660728, 1616952489.542869]
[1616952471.9688761, 1616952489.117474]
[1616952471.977025, 1616952480.9444332]
[1616952471.760697, 1616952484.916048]
[1616952472.1213164, 1616952482.5294254]
[1616952471.6703126, 1616952481.5760357]
[1616952472.1718593, 1616952489.5336504]
[1616952472.1319132, 1616952488.5426552]
[1616952472.5183775, 1616952490.2798398]
[1616952472.6846948, 1616952490.2351792]
[1616952472.5533652, 1616952486.5826523]
[1616952472.6974678, 1616952480.8760939]
[1616952472.5320258, 1616952489.106451]
[1616952472.680114, 1616952482.5604203]
[1616952472.9146156, 1616952485.1086736]
[1616952473.2139149, 1616952484.7972226]
[1616952473.4323606, 1616952488.3475811]
[1616952473.2276537, 1616952492.4578555]
[1616952473.2976704, 1616952483.108028]
[1616952473.4667988, 1616952487.9897287]
[1616952473.5563078, 1616952491.761961]
[1616952473.691803, 1616952492.1893609]
[1616952473.9141312, 1616952489.4806035]
[1616952473.8012333, 1616952491.1597135]
[1616952473.765569, 1616952489.718557]
[1616952473.8587692, 1616952495.0611162]
[1616952473.8064075, 1616952488.5404308]
[1616952473.997785, 1616952484.485143]
[1616952474.049606, 1616952489.3886561]
[1616952474.043272, 1616952486.67911]
[1616952474.1267157, 1616952483.6034489]
[1616952474.3078744, 1616952488.0062878]
[1616952474.3957627, 1616952493.8245234]
[1616952474.4465585, 1616952491.0594366]
[1616952474.5089328, 1616952486.8038292]
[1616952474.688404, 1616952492.363922]
[1616952474.5933366, 1616952487.256797]
[1616952474.8650076, 1616952494.9722958]
[1616952474.7193716, 1616952494.2925768]
[1616952474.713127, 1616952484.3830798]
[1616952474.868644, 1616952492.3095458]
