[1616954698.6177807, 1616954699.3536441]
[1616954698.1004698, 1616954698.7773309]
[1616954698.6642053, 1616954699.3894076]
[1616954698.1442223, 1616954698.810161]
[1616954698.0743997, 1616954698.76909]
[1616954698.5537806, 1616954699.7095792]
[1616954697.8663132, 1616954698.5431817]
[1616954698.348409, 1616954699.0211754]
[1616954697.9923542, 1616954698.6995149]
[1616954697.9192188, 1616954698.584263]
[1616954698.365143, 1616954699.056634]
[1616954698.6549277, 1616954699.4048426]
[1616954698.5906725, 1616954699.2545018]
[1616954698.3688939, 1616954699.0583844]
[1616954698.4327083, 1616954699.171312]
[1616954698.368932, 1616954699.0891783]
[1616954698.5077407, 1616954699.2095568]
[1616954698.5679522, 1616954699.3434372]
[1616954698.1716418, 1616954700.1890278]
[1616954698.563025, 1616954699.2263334]
[1616954698.7523549, 1616954699.5854278]
[1616954699.0158768, 1616954699.6683483]
[1616954698.5641873, 1616954700.3008254]
[1616954698.803459, 1616954699.49674]
[1616954699.0686378, 1616954699.777996]
[1616954698.701021, 1616954699.3712878]
[1616954699.0679712, 1616954699.7367795]
[1616954699.224151, 1616954699.907095]
[1616954699.2381144, 1616954699.9227319]
[1616954699.3543942, 1616954700.0388775]
[1616954699.2603796, 1616954700.0016418]
[1616954699.5257685, 1616954700.258816]
[1616954699.6684854, 1616954700.366251]
[1616954699.673287, 1616954700.3657227]
[1616954699.5033555, 1616954700.1949813]
[1616954699.7745755, 1616954700.4918473]
[1616954699.5638337, 1616954700.2796774]
[1616954699.771785, 1616954700.4037237]
[1616954699.8262956, 1616954700.5701277]
[1616954699.6652067, 1616954705.8219798]
[1616954699.9620616, 1616954700.6336136]
[1616954699.9881146, 1616954700.6940334]
[1616954699.941194, 1616954700.6079078]
[1616954700.0604692, 1616954700.9538658]
[1616954700.0833883, 1616954700.77225]
[1616954700.107021, 1616954700.7586644]
[1616954700.0303147, 1616954700.6895373]
[1616954700.149086, 1616954700.8728294]
[1616954700.0782037, 1616954703.5609264]
[1616954700.1265256, 1616954700.8154716]
[1616954700.3546205, 1616954701.0241423]
[1616954700.2769604, 1616954700.9825337]
[1616954700.2239647, 1616954700.949922]
[1616954700.286629, 1616954701.1630096]
[1616954700.4523332, 1616954703.137487]
[1616954700.4248962, 1616954701.8164892]
[1616954700.4531183, 1616954702.1418824]
[1616954700.2888808, 1616954700.9530857]
[1616954700.317756, 1616954701.0506928]
[1616954700.408627, 1616954701.0926952]
[1616954700.442107, 1616954701.1392512]
[1616954700.2464457, 1616954701.0065136]
[1616954700.5389671, 1616954701.198012]
[1616954700.640983, 1616954702.175431]
[1616954700.3871112, 1616954702.163424]
[1616954700.471221, 1616954701.21725]
[1616954700.5139377, 1616954701.1608348]
[1616954700.7093124, 1616954701.4901028]
[1616954700.672828, 1616954701.3079307]
[1616954700.5424366, 1616954701.890518]
[1616954700.533816, 1616954702.0843127]
[1616954700.6820762, 1616954701.3665435]
[1616954700.718489, 1616954701.418601]
[1616954700.6392682, 1616954702.5043018]
[1616954700.6797633, 1616954701.5041192]
[1616954700.703766, 1616954702.0859408]
[1616954700.690301, 1616954703.6240518]
[1616954700.679288, 1616954701.8276649]
[1616954700.6403081, 1616954701.6414628]
[1616954700.7394698, 1616954701.3908691]
[1616954700.7517905, 1616954702.0832567]
[1616954700.6286838, 1616954701.2705815]
[1616954700.6177382, 1616954701.295466]
[1616954700.5720103, 1616954701.2268069]
[1616954700.6674743, 1616954701.3056643]
[1616954700.8293111, 1616954701.5361972]
[1616954700.7278914, 1616954701.4035091]
[1616954700.7666008, 1616954702.7642395]
[1616954700.6374626, 1616954702.031235]
[1616954700.7347682, 1616954701.3943572]
[1616954700.7350976, 1616954701.6761117]
[1616954700.7848942, 1616954701.416025]
[1616954700.7205608, 1616954702.4602144]
[1616954700.7140234, 1616954701.3459358]
[1616954700.7873292, 1616954703.9650297]
[1616954700.7534978, 1616954701.391336]
[1616954700.6967945, 1616954702.0694697]
[1616954700.8401804, 1616954701.5964134]
[1616954700.8312097, 1616954703.046082]
[1616954700.798512, 1616954701.490237]
