[1616954077.6042757, 1616954086.7674766]
[1616954078.306425, 1616954097.4548893]
[1616954078.1544836, 1616954089.6107688]
[1616954078.5701237, 1616954101.3475873]
[1616954077.873384, 1616954097.2268274]
[1616954077.6723273, 1616954098.840347]
[1616954077.9679983, 1616954098.0187144]
[1616954077.753568, 1616954089.5179954]
[1616954078.0282006, 1616954094.567888]
[1616954078.0562742, 1616954098.0409656]
[1616954078.1658795, 1616954099.2662349]
[1616954077.9523351, 1616954091.5835338]
[1616954078.3552525, 1616954095.773298]
[1616954078.0750809, 1616954099.5592988]
[1616954078.237396, 1616954098.8100753]
[1616954078.116517, 1616954096.9507618]
[1616954078.3156981, 1616954093.4868155]
[1616954078.2715762, 1616954091.4565618]
[1616954077.7841406, 1616954093.2973993]
[1616954078.275234, 1616954095.407039]
[1616954078.664112, 1616954096.7948165]
[1616954078.4283977, 1616954092.065759]
[1616954078.8359091, 1616954100.723327]
[1616954078.744622, 1616954094.723504]
[1616954078.7803187, 1616954097.1244357]
[1616954078.8898635, 1616954091.7080379]
[1616954079.1916316, 1616954093.8890772]
[1616954079.1688697, 1616954100.1642137]
[1616954079.0257933, 1616954101.292056]
[1616954079.3418396, 1616954098.8190367]
[1616954079.1478145, 1616954100.110779]
[1616954079.2616348, 1616954097.1790974]
[1616954079.2472618, 1616954103.1997995]
[1616954079.5530431, 1616954099.2938027]
[1616954079.5833378, 1616954098.7477252]
[1616954079.6363387, 1616954098.9074488]
[1616954079.8681006, 1616954100.640672]
[1616954080.194502, 1616954098.6715086]
[1616954079.9245474, 1616954093.3178475]
[1616954080.4530299, 1616954095.2333522]
[1616954080.2757366, 1616954099.8191693]
[1616954080.2343717, 1616954101.8866355]
[1616954080.0837514, 1616954100.6257372]
[1616954080.2576246, 1616954098.4879045]
[1616954080.6443448, 1616954091.4490342]
[1616954080.5990403, 1616954104.3824873]
[1616954080.7643614, 1616954090.7140155]
[1616954080.889362, 1616954100.647857]
[1616954080.8326097, 1616954100.473985]
[1616954080.6453815, 1616954099.9388688]
[1616954081.143466, 1616954101.0490189]
[1616954080.957477, 1616954099.8593466]
[1616954081.1682084, 1616954101.8263135]
[1616954081.4319227, 1616954095.409343]
[1616954081.4034653, 1616954100.1518247]
[1616954081.4064631, 1616954101.7217438]
[1616954081.644235, 1616954098.7962592]
[1616954081.686644, 1616954101.3255837]
[1616954081.657512, 1616954101.8627634]
[1616954081.683392, 1616954102.2300682]
[1616954081.8609052, 1616954100.8203986]
[1616954081.6175835, 1616954103.0770345]
[1616954082.0046058, 1616954101.7765677]
[1616954081.872962, 1616954099.0633354]
[1616954081.8050485, 1616954101.1544504]
[1616954082.0061314, 1616954099.523777]
[1616954082.0547576, 1616954100.804119]
[1616954082.0292284, 1616954102.883098]
[1616954082.1128135, 1616954102.3051982]
[1616954082.0926316, 1616954102.6143494]
[1616954082.2720313, 1616954101.6665614]
[1616954082.1453068, 1616954102.9536161]
[1616954082.363441, 1616954103.2726855]
[1616954082.311606, 1616954100.8530111]
