[1616956764.7159836, 1616956765.3462884]
[1616956764.8772106, 1616956765.5644968]
[1616956764.5179188, 1616956765.210974]
[1616956764.4939835, 1616956765.188538]
[1616956764.4940426, 1616956765.2361846]
[1616956764.9096866, 1616956766.361252]
[1616956764.882735, 1616956765.5484688]
[1616956764.4382846, 1616956765.154653]
[1616956764.4300401, 1616956765.1297774]
[1616956765.0143743, 1616956765.6899707]
[1616956764.6330576, 1616956765.3172]
[1616956765.1920376, 1616956766.1023302]
[1616956764.7388904, 1616956765.4467812]
[1616956765.0564108, 1616956765.747542]
[1616956765.2264166, 1616956765.93356]
[1616956764.4951005, 1616956765.1725607]
[1616956764.9719899, 1616956765.6443155]
[1616956764.7926376, 1616956765.5171802]
[1616956765.0469205, 1616956765.689422]
[1616956764.9492552, 1616956765.5788262]
[1616956764.7788389, 1616956765.458765]
[1616956764.9706588, 1616956765.6522279]
[1616956765.193216, 1616956765.8761842]
[1616956765.6103969, 1616956766.2646735]
[1616956765.5086327, 1616956766.2413476]
[1616956765.2178638, 1616956765.8505316]
[1616956765.497245, 1616956766.1646285]
[1616956765.3253374, 1616956765.9592519]
[1616956766.1343944, 1616956766.834517]
[1616956765.9948368, 1616956766.63457]
[1616956766.0744848, 1616956766.713725]
[1616956766.234944, 1616956766.8917637]
[1616956766.0615988, 1616956766.7403224]
[1616956766.2428882, 1616956766.9439993]
[1616956766.4193645, 1616956767.111965]
[1616956766.2924178, 1616956766.913404]
[1616956766.3178196, 1616956767.0679986]
[1616956765.8989048, 1616956766.5308135]
[1616956766.7623744, 1616956767.572533]
[1616956766.65556, 1616956767.3389418]
[1616956766.994621, 1616956767.6330264]
[1616956766.9304168, 1616956769.9625201]
[1616956767.035916, 1616956767.6703005]
[1616956767.1955059, 1616956768.7310932]
[1616956767.3409762, 1616956767.9872694]
[1616956767.2910042, 1616956767.9196122]
[1616956767.5562553, 1616956768.2195454]
[1616956767.2778258, 1616956767.949675]
[1616956767.0484922, 1616956767.8301847]
[1616956767.5128946, 1616956768.1588788]
[1616956767.6275928, 1616956768.34993]
[1616956767.9064953, 1616956768.632304]
[1616956768.0586526, 1616956768.7038913]
[1616956768.07983, 1616956768.7274644]
[1616956768.3017, 1616956769.0055606]
[1616956768.063356, 1616956768.741153]
[1616956768.2166464, 1616956768.847018]
[1616956768.1588333, 1616956769.4934778]
[1616956768.5873625, 1616956769.2580075]
[1616956768.723649, 1616956769.3622572]
