[1616956289.6367137, 1616956298.956957]
[1616956289.8006806, 1616956298.9247894]
[1616956289.3192465, 1616956309.9408474]
[1616956288.9953492, 1616956305.3668406]
[1616956289.4430175, 1616956301.1380758]
[1616956289.2581136, 1616956301.7701309]
[1616956289.1714125, 1616956303.3939893]
[1616956289.4848516, 1616956305.3997548]
[1616956289.5024862, 1616956301.0824919]
[1616956289.4102437, 1616956307.8726687]
[1616956289.8233328, 1616956304.6626165]
[1616956289.5872238, 1616956301.007275]
[1616956289.7464588, 1616956308.4173424]
[1616956289.517571, 1616956299.222476]
[1616956289.6686006, 1616956307.4569898]
[1616956289.3710427, 1616956302.7686334]
[1616956289.53004, 1616956306.9271173]
[1616956289.526526, 1616956308.6884208]
[1616956289.5746627, 1616956307.441635]
[1616956289.8709483, 1616956309.1575146]
[1616956289.6712852, 1616956308.205636]
[1616956290.2585156, 1616956309.7465656]
[1616956289.8288484, 1616956305.2836215]
[1616956290.0598142, 1616956305.9756246]
[1616956290.3021262, 1616956308.50688]
[1616956290.0289366, 1616956300.3746738]
[1616956290.328147, 1616956307.3855877]
[1616956290.5287564, 1616956306.889753]
[1616956290.4300435, 1616956300.2008708]
[1616956290.4995544, 1616956300.3237793]
[1616956290.7429445, 1616956303.9258041]
[1616956290.8760607, 1616956303.681375]
[1616956290.9505384, 1616956300.850069]
[1616956290.9368858, 1616956299.7246983]
[1616956290.9556308, 1616956303.3615928]
[1616956291.0197673, 1616956304.0333397]
[1616956290.853476, 1616956301.7360067]
[1616956291.38755, 1616956304.1581955]
[1616956291.305325, 1616956311.3104663]
[1616956291.1940012, 1616956311.453011]
[1616956291.3659666, 1616956312.0299883]
[1616956291.792782, 1616956309.7472405]
[1616956291.4523945, 1616956300.688228]
[1616956291.6589875, 1616956310.8105004]
[1616956291.589246, 1616956310.3933415]
[1616956291.701299, 1616956309.6626022]
[1616956292.0562198, 1616956311.2327523]
[1616956291.613778, 1616956310.5366604]
[1616956292.1142118, 1616956301.7549584]
[1616956292.229477, 1616956300.270235]
[1616956292.22256, 1616956308.2910717]
[1616956292.3581378, 1616956311.4716108]
[1616956292.0942156, 1616956311.2544222]
[1616956292.3573728, 1616956309.8347864]
[1616956292.4544933, 1616956303.7341695]
[1616956292.5131953, 1616956307.855012]
[1616956292.6531527, 1616956305.6835842]
[1616956292.7708795, 1616956304.8153195]
[1616956292.7329206, 1616956309.8632245]
[1616956292.7252843, 1616956310.9866583]
[1616956292.744603, 1616956311.8175051]
[1616956292.990125, 1616956306.4543118]
[1616956292.9941187, 1616956303.841794]
[1616956292.9519882, 1616956302.3923774]
[1616956293.2549808, 1616956305.708377]
[1616956293.4216387, 1616956310.4368615]
[1616956293.3302865, 1616956312.200757]
[1616956293.3559089, 1616956310.0103328]
[1616956293.6466105, 1616956305.9009101]
[1616956293.6289966, 1616956307.65523]
[1616956293.697359, 1616956312.0150027]
[1616956293.5864427, 1616956309.4273803]
[1616956293.7512426, 1616956311.0017772]
[1616956293.8916552, 1616956312.7954745]
[1616956293.9788795, 1616956301.4843442]
[1616956293.9524095, 1616956310.217376]
[1616956294.0345614, 1616956310.5484667]
[1616956293.977176, 1616956313.1054487]
[1616956293.9198492, 1616956311.739848]
[1616956294.0103083, 1616956305.9383442]
[1616956294.1304214, 1616956311.362179]
[1616956294.3875873, 1616956310.6758218]
[1616956294.2559166, 1616956308.3675675]
[1616956294.4789772, 1616956305.5246336]
[1616956294.41933, 1616956312.7405348]
[1616956294.5487962, 1616956312.8652887]
[1616956294.551019, 1616956310.5344436]
[1616956294.7842035, 1616956310.046356]
[1616956294.5932872, 1616956310.4838703]
[1616956294.6325476, 1616956313.9873812]
[1616956294.9287176, 1616956314.160877]
[1616956294.8647609, 1616956313.2531395]
[1616956294.963646, 1616956313.289139]
[1616956294.7582972, 1616956312.1438725]
[1616956295.13234, 1616956316.685334]
[1616956295.1265137, 1616956305.4111714]
[1616956295.069261, 1616956313.1071992]
[1616956295.193426, 1616956304.665965]
[1616956295.1510057, 1616956310.265428]
[1616956295.21257, 1616956314.4490619]
[1616956295.2539735, 1616956314.9887283]
[1616956295.343108, 1616956309.902265]
[1616956295.5772033, 1616956304.822068]
[1616956295.5530224, 1616956308.9428704]
[1616956295.6051354, 1616956314.609382]
[1616956295.6410391, 1616956313.9313667]
[1616956295.5948074, 1616956304.4756691]
[1616956295.717338, 1616956306.299017]
[1616956295.7911704, 1616956305.529475]
[1616956295.55665, 1616956312.0426512]
[1616956295.6860194, 1616956312.3809578]
[1616956295.7675803, 1616956309.4027681]
[1616956295.840412, 1616956309.095511]
[1616956295.905698, 1616956314.4636347]
[1616956295.9896684, 1616956310.9861376]
[1616956296.0548882, 1616956313.068668]
[1616956296.076704, 1616956316.1384573]
[1616956296.2760391, 1616956315.033212]
[1616956296.1402698, 1616956313.9003313]
[1616956296.1572537, 1616956313.5890608]
[1616956296.2023525, 1616956312.7158163]
[1616956296.3026607, 1616956311.2343628]
[1616956296.3005223, 1616956309.2196708]
[1616956296.3598397, 1616956315.6470056]
[1616956296.485054, 1616956312.2951014]
[1616956296.3747294, 1616956313.781618]
[1616956296.5695179, 1616956315.9552257]
[1616956296.4493423, 1616956314.4857187]
[1616956296.471775, 1616956314.0350387]
[1616956296.539607, 1616956314.8005238]
[1616956296.6578245, 1616956310.9244304]
[1616956296.6401637, 1616956314.090393]
[1616956296.72618, 1616956312.5954485]
[1616956296.7047284, 1616956307.291474]
[1616956296.7922883, 1616956313.2293897]
[1616956296.7317412, 1616956312.9948883]
[1616956296.7135375, 1616956310.9884007]
[1616956296.8763962, 1616956310.6412785]
[1616956296.8167336, 1616956318.05963]
[1616956296.8413413, 1616956315.3381262]
[1616956296.884062, 1616956314.0697746]
[1616956297.0151148, 1616956312.3573425]
[1616956296.8912709, 1616956314.841314]
[1616956296.9339867, 1616956314.5328057]
[1616956297.0196784, 1616956311.2013988]
[1616956297.0571382, 1616956309.9249039]
[1616956297.130944, 1616956312.6183846]
[1616956297.1218655, 1616956314.4750457]
[1616956297.1214178, 1616956316.6872334]
[1616956297.1630318, 1616956310.725082]
[1616956297.174589, 1616956316.5348864]
[1616956297.179493, 1616956311.835822]
[1616956297.3079512, 1616956313.1818423]
[1616956297.1186428, 1616956312.8078759]
[1616956297.2329102, 1616956314.6614144]
[1616956297.3866599, 1616956313.1813676]
[1616956297.329435, 1616956316.8223135]
[1616956297.3283942, 1616956318.4163642]
[1616956297.421317, 1616956314.017026]
[1616956297.3128638, 1616956315.968499]
[1616956297.3797832, 1616956308.0981073]
[1616956297.466407, 1616956316.1752443]
[1616956297.5755417, 1616956305.403263]
[1616956297.4987698, 1616956313.441789]
[1616956297.3661087, 1616956315.08237]
[1616956297.4408348, 1616956313.263922]
[1616956297.42251, 1616956317.738178]
[1616956297.434008, 1616956313.651505]
[1616956297.492403, 1616956315.6964607]
[1616956297.5668223, 1616956315.5142112]
[1616956297.494545, 1616956317.6311424]
[1616956297.6095102, 1616956314.9863486]
[1616956297.6647336, 1616956315.4420354]
[1616956297.5945902, 1616956315.4169407]
[1616956297.56227, 1616956313.8857834]
[1616956297.558318, 1616956315.0327513]
[1616956297.6610315, 1616956316.2578123]
[1616956297.6176121, 1616956315.9893017]
[1616956297.7020602, 1616956314.3724012]
[1616956297.6061842, 1616956316.8735256]
[1616956297.7964687, 1616956314.89874]
[1616956297.8322365, 1616956314.903146]
[1616956297.682727, 1616956312.8076794]
[1616956297.8274775, 1616956313.984616]
[1616956297.7145126, 1616956308.3812542]
[1616956297.7248988, 1616956316.8932688]
[1616956297.8267083, 1616956316.7842572]
[1616956297.7975447, 1616956311.0606759]
[1616956297.750043, 1616956312.9962373]
[1616956297.7397792, 1616956313.881223]
[1616956297.8675046, 1616956316.300361]
[1616956297.8450801, 1616956316.5984128]
[1616956297.9345126, 1616956316.04698]
[1616956297.8930628, 1616956310.3654628]
[1616956297.7565827, 1616956314.5632765]
[1616956297.859659, 1616956315.6971438]
[1616956297.7775745, 1616956314.5119643]
[1616956298.0481815, 1616956311.1621993]
[1616956297.9997327, 1616956313.014175]
[1616956297.8427856, 1616956310.4480157]
[1616956297.887546, 1616956314.861774]
[1616956298.0072937, 1616956312.9520378]
[1616956297.961955, 1616956315.366772]
[1616956298.0556786, 1616956309.5312922]
[1616956297.9739666, 1616956315.5464451]
[1616956297.959906, 1616956310.6895435]
[1616956297.9336767, 1616956306.7586985]
[1616956298.0725904, 1616956318.3925433]
[1616956298.0758507, 1616956318.0487275]
[1616956298.066086, 1616956315.1551876]
[1616956297.9496076, 1616956315.8041158]
[1616956297.997383, 1616956317.1712923]
[1616956298.0666924, 1616956314.776448]
[1616956298.0226867, 1616956317.5726624]
[1616956297.9718757, 1616956315.3671396]
[1616956297.855518, 1616956315.290318]
[1616956298.050113, 1616956313.196082]
[1616956298.1181817, 1616956311.6932957]
[1616956298.0476403, 1616956307.7744672]
[1616956297.9966958, 1616956317.9285562]
[1616956297.9306104, 1616956315.0169735]
[1616956298.1046069, 1616956312.5381114]
[1616956298.156608, 1616956315.9545014]
[1616956298.026707, 1616956316.7550118]
[1616956298.1475189, 1616956312.84879]
[1616956298.0638947, 1616956317.048972]
[1616956298.1453667, 1616956316.9650054]
[1616956298.15138, 1616956313.2264833]
[1616956297.9834833, 1616956313.9258785]
[1616956298.0717783, 1616956313.8440485]
[1616956298.1792066, 1616956315.860658]
[1616956298.0316322, 1616956317.090444]
[1616956298.1760273, 1616956316.067518]
[1616956298.1886454, 1616956317.1973813]
[1616956298.170322, 1616956310.7976391]
[1616956298.126726, 1616956315.3310947]
[1616956298.1155562, 1616956313.8317392]
[1616956298.0763052, 1616956314.068509]
[1616956298.1652162, 1616956317.8815827]
[1616956298.05249, 1616956311.5239525]
[1616956298.1822689, 1616956309.5998907]
[1616956298.1725192, 1616956316.1763103]
[1616956298.2055004, 1616956317.2443128]
[1616956298.1739812, 1616956311.3398132]
[1616956298.1630342, 1616956317.5359979]
[1616956298.1943648, 1616956315.1480343]
[1616956298.2067978, 1616956316.5032542]
[1616956298.1634574, 1616956318.859269]
[1616956298.212443, 1616956313.2626166]
[1616956298.2011135, 1616956308.3180761]
