[1616945444.5903673, 1616945450.8423207]
[1616945445.0299454, 1616945451.2335198]
[1616945444.969395, 1616945451.181116]
[1616945445.0192719, 1616945451.210822]
[1616945444.6099308, 1616945450.7814794]
[1616945444.9537973, 1616945451.124382]
[1616945444.9157565, 1616945451.1237411]
[1616945444.9525123, 1616945451.1310759]
[1616945445.2054276, 1616945451.3904963]
[1616945445.0342717, 1616945451.2127106]
[1616945444.6043422, 1616945450.9054713]
[1616945445.1684096, 1616945451.4024606]
[1616945445.1997344, 1616945451.4860659]
[1616945444.8506994, 1616945451.0271976]
[1616945444.8718908, 1616945451.0491493]
[1616945444.9341521, 1616945451.189291]
[1616945444.7484994, 1616945450.9909942]
[1616945444.8929312, 1616945451.1742585]
[1616945445.0416317, 1616945451.2850332]
[1616945445.304353, 1616945451.472226]
[1616945445.4239178, 1616945451.5622125]
[1616945445.5395188, 1616945451.6867683]
[1616945445.1685493, 1616945451.4105442]
[1616945445.698223, 1616945451.9425998]
[1616945445.9030888, 1616945452.12555]
[1616945445.8236918, 1616945452.0628111]
[1616945445.9609787, 1616945452.1671386]
[1616945445.9197195, 1616945452.0368042]
[1616945445.9288638, 1616945451.9089541]
[1616945446.0162067, 1616945452.1620154]
[1616945446.0879383, 1616945452.2471611]
[1616945445.9294667, 1616945451.961262]
[1616945446.3962548, 1616945452.730708]
[1616945446.054795, 1616945452.309879]
[1616945446.6300786, 1616945452.8394718]
[1616945446.1576993, 1616945452.4223616]
[1616945446.6892061, 1616945452.8326252]
[1616945446.3526053, 1616945452.5685709]
[1616945446.8194215, 1616945453.0291107]
[1616945446.8354795, 1616945452.9484267]
[1616945446.6724145, 1616945452.7869935]
[1616945446.6648188, 1616945452.7435322]
[1616945446.8892357, 1616945452.9956617]
[1616945447.3205497, 1616945453.522341]
[1616945447.1240919, 1616945453.2741225]
[1616945447.060311, 1616945453.2748466]
[1616945447.2851238, 1616945453.539314]
[1616945447.560809, 1616945453.7651958]
[1616945447.3341877, 1616945453.4223294]
[1616945447.68269, 1616945453.8950715]
[1616945447.8196151, 1616945453.9487493]
[1616945447.8624876, 1616945454.0503647]
[1616945447.9684587, 1616945454.3889582]
[1616945447.8806462, 1616945454.154846]
[1616945447.7784228, 1616945453.9766564]
[1616945448.106597, 1616945454.3751733]
[1616945448.2405417, 1616945454.4194517]
[1616945448.3268847, 1616945454.3796635]
[1616945448.471034, 1616945454.7613156]
[1616945448.3885224, 1616945454.4644103]
[1616945448.4178724, 1616945454.4073372]
[1616945448.5411217, 1616945454.7468507]
[1616945448.5807621, 1616945454.6619482]
[1616945448.7620149, 1616945454.8455677]
[1616945448.8218915, 1616945454.9805508]
[1616945448.8231246, 1616945455.0323062]
[1616945448.9493752, 1616945455.035896]
[1616945448.9356296, 1616945455.0600193]
[1616945449.2026377, 1616945455.272347]
[1616945449.1407416, 1616945455.2927022]
[1616945449.1666493, 1616945455.3351345]
[1616945449.423383, 1616945455.677468]
[1616945449.0906038, 1616945455.357428]
[1616945449.562138, 1616945455.7581005]
[1616945449.4118674, 1616945455.739494]
[1616945449.3032448, 1616945455.4477854]
[1616945449.4502165, 1616945455.5230532]
[1616945449.5520995, 1616945455.6642692]
[1616945449.4780638, 1616945455.66704]
[1616945449.6562696, 1616945455.8685057]
[1616945449.4674675, 1616945455.5234857]
[1616945449.5841212, 1616945455.7376642]
[1616945449.8445811, 1616945456.0344615]
[1616945449.8446004, 1616945455.9453437]
[1616945449.963246, 1616945456.248774]
[1616945450.072784, 1616945456.14573]
[1616945450.0615454, 1616945456.2435887]
[1616945450.3195984, 1616945456.5274158]
[1616945450.03502, 1616945456.0246038]
[1616945450.2337112, 1616945456.4624374]
[1616945450.0914478, 1616945456.3079183]
[1616945450.4023685, 1616945456.6258073]
[1616945450.3933294, 1616945456.642604]
[1616945450.402784, 1616945456.578783]
[1616945450.5037954, 1616945456.638279]
[1616945450.4851072, 1616945456.7102146]
[1616945450.7855046, 1616945457.044697]
[1616945450.7311916, 1616945456.8442495]
[1616945450.7988136, 1616945456.8620882]
[1616945450.846901, 1616945457.0350218]
[1616945450.994023, 1616945457.1875193]
[1616945451.0193105, 1616945457.1089401]
[1616945450.9675515, 1616945457.1857393]
[1616945450.816216, 1616945456.8268576]
[1616945451.0534608, 1616945457.112452]
[1616945451.0913951, 1616945457.1314373]
[1616945451.2279325, 1616945457.277837]
[1616945451.2538095, 1616945457.327799]
[1616945451.3822477, 1616945457.4469862]
[1616945451.358428, 1616945457.4688752]
[1616945451.397898, 1616945457.4359016]
[1616945451.5539832, 1616945457.6860106]
[1616945451.4742389, 1616945457.5615985]
[1616945451.480426, 1616945457.5213532]
[1616945451.648573, 1616945457.743822]
[1616945451.585935, 1616945457.629575]
[1616945451.5860455, 1616945457.6650457]
[1616945451.6323838, 1616945457.7436364]
[1616945451.6540067, 1616945457.8484795]
[1616945451.9550314, 1616945458.0628984]
[1616945451.7384324, 1616945457.8166358]
[1616945451.9817216, 1616945457.9472213]
[1616945451.7359858, 1616945457.789921]
[1616945452.022482, 1616945458.12463]
[1616945452.0389814, 1616945458.250994]
[1616945451.9872234, 1616945458.0440955]
[1616945452.0590208, 1616945458.0468667]
[1616945451.937182, 1616945457.92048]
[1616945451.997876, 1616945458.0767977]
[1616945452.1801057, 1616945458.2789]
[1616945452.2063413, 1616945458.244795]
[1616945452.2393403, 1616945458.440743]
[1616945452.379195, 1616945458.4719472]
[1616945452.250173, 1616945458.3494928]
[1616945452.2608662, 1616945458.3876781]
[1616945452.3245738, 1616945458.4575107]
[1616945452.3293598, 1616945458.4844692]
[1616945452.4065099, 1616945458.6112218]
[1616945452.4714644, 1616945458.6146636]
[1616945452.4562304, 1616945458.555634]
[1616945452.4984329, 1616945458.86569]
[1616945452.4653966, 1616945458.741775]
[1616945452.7383294, 1616945458.8120832]
[1616945452.4530709, 1616945458.537836]
[1616945452.7463644, 1616945458.9344275]
[1616945452.6624146, 1616945458.7829099]
[1616945452.6634169, 1616945458.895793]
[1616945452.5770252, 1616945458.665093]
[1616945452.7112973, 1616945458.8270345]
[1616945452.795583, 1616945458.843754]
[1616945452.733843, 1616945458.9896066]
[1616945452.8231363, 1616945459.1881497]
[1616945452.7021706, 1616945458.7889588]
[1616945452.9335701, 1616945459.0316713]
[1616945452.8267457, 1616945458.8744402]
[1616945452.8205414, 1616945458.793027]
