[1616945763.8649256, 1616945766.5815535]
[1616945763.7367468, 1616945766.5205226]
[1616945763.7416308, 1616945766.4691992]
[1616945763.8673403, 1616945766.589142]
[1616945763.7276254, 1616945766.4631708]
[1616945763.969491, 1616945766.622441]
[1616945763.7939715, 1616945766.542278]
[1616945764.2517595, 1616945766.983139]
[1616945763.837584, 1616945766.578687]
[1616945763.5601406, 1616945766.3122764]
[1616945763.8184402, 1616945766.5348184]
[1616945764.157732, 1616945766.8562334]
[1616945764.13334, 1616945766.880207]
[1616945764.161616, 1616945766.8953173]
[1616945763.8553166, 1616945766.6000564]
[1616945764.1944034, 1616945766.9063814]
[1616945763.8751113, 1616945766.5997336]
[1616945764.122692, 1616945766.8344507]
[1616945763.6259403, 1616945766.395068]
[1616945764.081241, 1616945766.7717094]
[1616945764.393076, 1616945767.1481342]
[1616945764.6690977, 1616945767.3879194]
[1616945764.7076762, 1616945767.4088352]
[1616945764.4097342, 1616945767.1665506]
[1616945764.5851035, 1616945767.3216772]
[1616945764.6931643, 1616945767.4473443]
[1616945764.4213336, 1616945767.397172]
[1616945764.8764522, 1616945767.6236086]
[1616945764.9725556, 1616945767.6561728]
[1616945765.093057, 1616945767.799612]
[1616945765.1490955, 1616945767.8714213]
[1616945765.1699553, 1616945767.8854303]
[1616945765.1353316, 1616945767.858231]
[1616945765.3010597, 1616945767.956553]
[1616945765.2485878, 1616945768.0053256]
[1616945765.4786153, 1616945768.2092483]
[1616945765.5490956, 1616945768.29415]
[1616945765.5841062, 1616945768.2367158]
[1616945765.7115498, 1616945768.393459]
[1616945765.7502522, 1616945768.4541512]
[1616945766.0517876, 1616945768.7360377]
[1616945765.7890942, 1616945768.5713427]
[1616945766.065223, 1616945768.773841]
[1616945766.0510097, 1616945768.7867444]
[1616945766.0643358, 1616945768.7594492]
[1616945766.4473107, 1616945769.1607213]
[1616945765.852876, 1616945768.604222]
[1616945766.5810258, 1616945769.2553353]
[1616945766.4618747, 1616945769.1600711]
[1616945766.3564327, 1616945769.0669067]
[1616945766.251995, 1616945768.9614365]
[1616945766.5759723, 1616945769.2651827]
[1616945766.6244252, 1616945769.3260615]
[1616945766.9857597, 1616945769.6878734]
[1616945767.0751157, 1616945769.8008728]
[1616945766.9211562, 1616945769.6577566]
[1616945766.9388564, 1616945769.6535559]
[1616945766.981586, 1616945769.6489108]
[1616945767.6844015, 1616945770.448077]
[1616945767.5141854, 1616945770.2620718]
[1616945767.68081, 1616945770.3432844]
[1616945767.8176389, 1616945770.501202]
[1616945767.6423988, 1616945770.3926742]
[1616945767.8468575, 1616945770.5720654]
[1616945768.1700804, 1616945770.8947182]
[1616945768.1593215, 1616945770.853798]
[1616945767.656858, 1616945770.3713236]
[1616945768.1131713, 1616945770.8439054]
[1616945768.2978654, 1616945770.9455128]
[1616945768.3543146, 1616945771.0981681]
[1616945768.1845317, 1616945770.9313076]
[1616945768.149291, 1616945770.8509743]
[1616945768.9201398, 1616945771.631826]
[1616945768.7355418, 1616945771.5250978]
[1616945768.8837602, 1616945771.594693]
[1616945768.6778793, 1616945771.4046633]
[1616945768.8886194, 1616945771.5683434]
[1616945768.7804549, 1616945771.511904]
[1616945768.8373556, 1616945771.5838833]
[1616945769.1718984, 1616945771.8917687]
[1616945768.9661715, 1616945771.6653454]
[1616945769.3387167, 1616945772.0388508]
[1616945769.3242102, 1616945771.992313]
[1616945769.276392, 1616945771.9665387]
[1616945768.9820516, 1616945771.6585407]
[1616945769.351678, 1616945772.0426552]
[1616945769.4845328, 1616945772.207152]
[1616945769.3870394, 1616945772.1124547]
[1616945769.3935301, 1616945772.1157136]
[1616945769.504984, 1616945772.2468226]
[1616945769.0884666, 1616945771.8088672]
[1616945769.5996904, 1616945772.2798662]
[1616945769.549207, 1616945772.2087352]
[1616945769.69176, 1616945772.4054112]
[1616945769.8201845, 1616945772.5596895]
[1616945769.7596495, 1616945772.4702003]
[1616945769.776317, 1616945772.4723275]
[1616945770.021229, 1616945772.679813]
[1616945770.027987, 1616945772.6430936]
[1616945770.1055665, 1616945772.8018606]
[1616945770.337616, 1616945773.063685]
[1616945770.2547657, 1616945772.9400878]
[1616945770.2180347, 1616945772.846842]
[1616945770.2673008, 1616945773.0114903]
[1616945770.3665361, 1616945773.0164905]
[1616945770.5346744, 1616945773.198916]
[1616945770.4238992, 1616945773.1676102]
[1616945770.5754173, 1616945773.3235872]
[1616945770.982674, 1616945773.6357932]
