[1616947255.2023494, 1616947257.9386504]
[1616947255.3571126, 1616947258.056922]
[1616947255.394091, 1616947258.0617192]
[1616947254.894416, 1616947257.6289554]
[1616947255.0956552, 1616947257.7800038]
[1616947255.6847498, 1616947258.4375916]
[1616947255.3328924, 1616947258.0453312]
[1616947255.2797832, 1616947257.980545]
[1616947255.0537791, 1616947257.7798553]
[1616947255.554148, 1616947258.210128]
[1616947255.298013, 1616947258.0412464]
[1616947255.786356, 1616947258.498319]
[1616947255.6387594, 1616947258.2900555]
[1616947255.4299202, 1616947258.1123059]
[1616947255.3984396, 1616947258.0859575]
[1616947255.4019382, 1616947258.13639]
[1616947255.008637, 1616947257.7038064]
[1616947255.6184785, 1616947258.2762196]
[1616947255.030735, 1616947257.8177438]
[1616947255.7483218, 1616947258.492519]
[1616947256.3138292, 1616947258.999698]
[1616947255.566754, 1616947258.2392662]
[1616947255.6202781, 1616947258.3186207]
[1616947256.2638743, 1616947258.9617546]
[1616947255.932793, 1616947258.6180549]
[1616947256.4257655, 1616947259.1214428]
[1616947256.5666933, 1616947259.1862032]
[1616947256.0276065, 1616947258.7344503]
[1616947256.354607, 1616947259.0079665]
[1616947256.514178, 1616947259.1607575]
[1616947256.3953018, 1616947259.0467072]
[1616947256.4936726, 1616947259.1615033]
[1616947256.6269264, 1616947259.36879]
[1616947256.8744457, 1616947259.6035035]
[1616947257.1495063, 1616947259.8593345]
[1616947257.1895428, 1616947259.8729649]
[1616947257.2845275, 1616947259.9598615]
[1616947256.965282, 1616947259.6610322]
[1616947257.3377194, 1616947260.0357301]
[1616947257.8070729, 1616947260.5253072]
[1616947257.4233057, 1616947260.086589]
[1616947257.6532784, 1616947260.4010575]
[1616947257.6251104, 1616947260.3269656]
[1616947257.419225, 1616947260.0335596]
[1616947257.9466677, 1616947260.7037346]
[1616947257.8041432, 1616947260.4744325]
[1616947257.926492, 1616947260.6748314]
[1616947258.3511884, 1616947261.024247]
[1616947258.1913006, 1616947260.9217403]
[1616947258.222355, 1616947260.866233]
[1616947258.4605095, 1616947261.2237127]
[1616947258.5946805, 1616947261.246254]
[1616947258.5126145, 1616947261.2178404]
[1616947258.7930875, 1616947261.4936688]
[1616947258.5238864, 1616947261.2562323]
[1616947258.971734, 1616947261.656643]
[1616947258.9275184, 1616947261.609479]
[1616947259.094825, 1616947261.7444658]
[1616947258.6769729, 1616947261.3662958]
[1616947258.6862082, 1616947261.3622837]
[1616947259.2870119, 1616947261.952551]
[1616947259.2610204, 1616947261.946325]
[1616947259.1345918, 1616947261.8265562]
[1616947259.6975443, 1616947262.4434702]
[1616947259.2229621, 1616947261.8590243]
[1616947259.6221325, 1616947262.3670702]
[1616947259.3669384, 1616947262.0395207]
[1616947259.6696627, 1616947262.3888414]
[1616947259.7844877, 1616947262.4576502]
[1616947259.7787778, 1616947262.4837942]
[1616947259.9421663, 1616947262.6289506]
[1616947260.0558004, 1616947262.7372055]
[1616947259.939205, 1616947262.629445]
[1616947259.9983144, 1616947262.69336]
[1616947260.0073168, 1616947262.7027528]
[1616947260.2806556, 1616947262.9017787]
[1616947260.038832, 1616947262.7575135]
[1616947259.954445, 1616947262.6670697]
[1616947260.6181266, 1616947263.3506496]
[1616947260.2785666, 1616947262.9467123]
[1616947260.5493686, 1616947263.259061]
[1616947260.42502, 1616947263.133628]
[1616947260.5563483, 1616947263.2427917]
[1616947260.6954024, 1616947263.4407191]
[1616947260.8212929, 1616947263.5470479]
[1616947260.8982744, 1616947263.5593386]
[1616947260.8386314, 1616947263.5581534]
[1616947261.180879, 1616947263.8684745]
[1616947261.0249333, 1616947263.769255]
[1616947261.2206972, 1616947263.9130707]
[1616947261.2183418, 1616947263.8940866]
[1616947260.861255, 1616947263.5848231]
[1616947261.1583421, 1616947263.857697]
[1616947261.143581, 1616947263.832566]
[1616947261.23923, 1616947263.9337132]
[1616947261.5095823, 1616947264.2511933]
[1616947261.4015307, 1616947264.090812]
[1616947261.4328458, 1616947264.0908134]
[1616947261.470154, 1616947264.2139218]
[1616947261.9915106, 1616947264.6478958]
[1616947261.8951843, 1616947264.53594]
[1616947261.8975198, 1616947264.5820289]
[1616947261.987057, 1616947264.6472926]
[1616947262.0352015, 1616947264.7218099]
[1616947261.907917, 1616947264.5744615]
[1616947262.198595, 1616947264.8677864]
[1616947262.2311857, 1616947264.919899]
[1616947262.2797499, 1616947265.0628948]
[1616947262.291959, 1616947264.9868574]
[1616947262.278423, 1616947264.9572623]
[1616947262.518229, 1616947265.202993]
[1616947262.5969603, 1616947265.2673466]
[1616947262.5907106, 1616947265.3130627]
