[1616948188.3672202, 1616948201.3462849]
[1616948188.5571063, 1616948200.8987055]
[1616948188.6650622, 1616948201.245075]
[1616948188.3723836, 1616948200.9075508]
[1616948188.7564528, 1616948201.1754298]
[1616948188.6432774, 1616948201.2019026]
[1616948188.4476132, 1616948201.026423]
[1616948188.5773213, 1616948201.1791153]
[1616948188.348925, 1616948201.2645419]
[1616948188.5973573, 1616948201.1997077]
[1616948188.7791476, 1616948201.5358741]
[1616948188.7955291, 1616948201.8881066]
[1616948188.8559773, 1616948201.464008]
[1616948188.6558428, 1616948201.3223286]
[1616948188.935134, 1616948201.617589]
[1616948188.6613283, 1616948201.3591623]
[1616948188.4707654, 1616948200.9876726]
[1616948188.2002025, 1616948200.7850606]
[1616948188.8366566, 1616948201.414356]
[1616948188.6262898, 1616948201.2940955]
[1616948189.1579745, 1616948201.9249659]
[1616948189.115286, 1616948201.5408783]
[1616948189.4780037, 1616948202.041043]
[1616948189.1497498, 1616948201.9154036]
[1616948189.5097759, 1616948202.1968539]
[1616948189.660889, 1616948202.243396]
[1616948189.0961666, 1616948201.5860527]
[1616948189.5490384, 1616948202.0253215]
[1616948189.6361616, 1616948202.5370286]
[1616948189.878401, 1616948202.3917851]
[1616948189.4475846, 1616948202.0708115]
[1616948190.0497172, 1616948202.7839668]
[1616948190.0379975, 1616948202.6130023]
[1616948190.1006224, 1616948203.0209537]
[1616948189.9649577, 1616948202.7266273]
[1616948190.3227375, 1616948202.7858174]
[1616948190.184265, 1616948202.8525138]
[1616948190.38192, 1616948202.8820634]
[1616948190.437122, 1616948203.073657]
[1616948190.496554, 1616948203.057409]
[1616948190.473029, 1616948203.6693244]
[1616948190.696501, 1616948203.2071958]
[1616948190.7927322, 1616948203.3474972]
[1616948190.9283488, 1616948203.4614367]
[1616948191.131857, 1616948203.6372786]
[1616948190.9401877, 1616948203.4003925]
[1616948190.9904835, 1616948203.7261653]
[1616948191.185525, 1616948203.5819693]
[1616948191.3478413, 1616948203.9397354]
[1616948191.521055, 1616948203.9184976]
[1616948191.434143, 1616948203.945303]
[1616948191.4802456, 1616948204.009248]
[1616948191.752721, 1616948204.1591098]
[1616948191.3710344, 1616948203.9948242]
