[1616948819.0375862, 1616948822.4569244]
[1616948819.1703453, 1616948822.5588303]
[1616948819.0735402, 1616948822.426034]
[1616948818.8919816, 1616948822.2483895]
[1616948819.0246692, 1616948822.3999]
[1616948819.271008, 1616948822.6277893]
[1616948819.2204888, 1616948822.5931826]
[1616948819.2522871, 1616948822.6355968]
[1616948819.3549216, 1616948822.6828]
[1616948818.7881083, 1616948822.2197075]
[1616948819.1726007, 1616948822.7056227]
[1616948818.9774318, 1616948822.4076848]
[1616948819.1969597, 1616948822.5876842]
[1616948819.1337488, 1616948822.5342844]
[1616948818.971741, 1616948822.359463]
[1616948819.3337698, 1616948822.7274978]
[1616948819.1151743, 1616948822.496255]
[1616948819.1013103, 1616948822.5085506]
[1616948819.335058, 1616948822.7346241]
[1616948819.2791517, 1616948822.674519]
[1616948819.4343631, 1616948822.7637064]
[1616948819.4212763, 1616948822.8022857]
[1616948819.2287042, 1616948822.63083]
[1616948819.5306623, 1616948823.0049338]
[1616948819.2983825, 1616948822.716521]
[1616948819.4108348, 1616948822.8089464]
[1616948819.2858963, 1616948822.6641037]
[1616948819.4053645, 1616948822.761433]
[1616948819.5917258, 1616948822.887012]
[1616948819.4406075, 1616948822.8180974]
[1616948819.3527303, 1616948822.7645407]
[1616948819.4628742, 1616948822.7352784]
[1616948819.472215, 1616948822.8090336]
[1616948819.500268, 1616948822.9237149]
[1616948819.532816, 1616948822.893377]
[1616948819.5339456, 1616948822.9630508]
[1616948819.4303727, 1616948822.7467144]
[1616948819.5642624, 1616948822.8707106]
[1616948819.455106, 1616948822.8362153]
[1616948819.6654031, 1616948823.0772207]
[1616948819.6224415, 1616948822.9741325]
[1616948819.5456448, 1616948823.032142]
[1616948819.5821073, 1616948822.9757783]
[1616948819.7321887, 1616948823.2079601]
[1616948819.7163587, 1616948823.0828087]
[1616948819.7197146, 1616948823.070723]
[1616948819.6687436, 1616948823.0526366]
[1616948819.7738967, 1616948823.161972]
[1616948819.7197275, 1616948823.1298804]
[1616948819.733947, 1616948823.080363]
