[1616948825.9726477, 1616948828.7116034]
[1616948825.9645762, 1616948828.710679]
[1616948825.5475523, 1616948828.3383524]
[1616948825.763665, 1616948828.4766214]
[1616948826.14342, 1616948828.8077862]
[1616948825.9615133, 1616948828.8026416]
[1616948825.8735332, 1616948828.5668194]
[1616948825.8570971, 1616948828.6249785]
[1616948825.7527325, 1616948828.4870093]
[1616948826.017095, 1616948828.7694104]
[1616948825.7770858, 1616948828.500653]
[1616948826.0369587, 1616948828.7621589]
[1616948826.082072, 1616948828.7409236]
[1616948826.0385027, 1616948828.70552]
[1616948825.911629, 1616948828.638226]
[1616948825.9372826, 1616948828.8159873]
[1616948826.136302, 1616948828.907731]
[1616948825.7631946, 1616948828.6493804]
[1616948825.9699292, 1616948828.6603885]
[1616948826.0891817, 1616948828.7857041]
[1616948826.0863733, 1616948828.802463]
[1616948826.239043, 1616948828.941349]
[1616948826.2210743, 1616948828.9299033]
[1616948826.211148, 1616948828.9372783]
[1616948826.5145988, 1616948829.1702867]
[1616948826.8680246, 1616948829.5450745]
[1616948826.5418732, 1616948829.2142217]
[1616948826.942639, 1616948829.6532686]
[1616948827.2297869, 1616948829.9163432]
[1616948826.947261, 1616948829.6874022]
[1616948826.9370384, 1616948829.6669567]
[1616948827.256624, 1616948829.9771223]
[1616948827.0905466, 1616948829.8705392]
[1616948827.2711205, 1616948829.9995062]
[1616948827.2148938, 1616948829.9321477]
[1616948827.2101736, 1616948829.9041054]
[1616948827.3256571, 1616948830.0585897]
[1616948827.3732386, 1616948830.1275618]
[1616948827.4818413, 1616948830.187987]
[1616948827.4950702, 1616948830.2215092]
[1616948827.6909297, 1616948830.4139514]
[1616948828.1240854, 1616948830.8153293]
[1616948827.6668174, 1616948830.3986256]
[1616948828.0939302, 1616948830.8410945]
[1616948827.7506688, 1616948830.4553943]
[1616948828.324606, 1616948831.0903249]
[1616948828.5196338, 1616948831.2674959]
[1616948828.3885312, 1616948831.2293856]
[1616948828.534996, 1616948831.250681]
[1616948829.0179482, 1616948831.7809722]
[1616948828.5770953, 1616948831.2462518]
