[1617297382.3162942, 1617297385.1539965]
[1617297382.156281, 1617297384.954432]
[1617297382.7137077, 1617297385.4326382]
[1617297382.7426674, 1617297385.44579]
[1617297382.3644242, 1617297385.1871166]
[1617297382.8418045, 1617297385.5919826]
[1617297382.5567176, 1617297385.2829351]
[1617297382.340844, 1617297385.1414466]
[1617297382.415239, 1617297385.1646352]
[1617297382.676276, 1617297385.3519285]
[1617297382.6301677, 1617297385.3625195]
[1617297382.6749926, 1617297385.4564774]
[1617297382.4483232, 1617297385.1537323]
[1617297382.8305185, 1617297385.5904756]
[1617297382.7990859, 1617297385.496948]
[1617297382.31863, 1617297385.098053]
[1617297382.4063907, 1617297385.1772423]
[1617297382.5877945, 1617297385.2899618]
[1617297382.7329888, 1617297385.4106336]
[1617297382.8730617, 1617297385.5921]
[1617297383.0502005, 1617297385.8157573]
[1617297383.0259109, 1617297385.7954073]
[1617297382.9449897, 1617297385.6895463]
[1617297383.1832964, 1617297385.914447]
[1617297383.271692, 1617297385.987361]
[1617297383.1610396, 1617297385.9662015]
[1617297383.2290893, 1617297385.965763]
[1617297383.5595493, 1617297386.2763326]
[1617297383.887088, 1617297386.6354005]
[1617297383.6936722, 1617297386.4360168]
[1617297383.942675, 1617297386.6428235]
[1617297383.4567568, 1617297386.1969264]
[1617297383.8604393, 1617297386.6527662]
[1617297383.8947737, 1617297386.6856296]
[1617297383.9256744, 1617297386.6489964]
[1617297384.424822, 1617297387.163246]
[1617297384.2205691, 1617297386.963674]
[1617297384.69652, 1617297387.3984966]
[1617297384.8829796, 1617297387.584023]
[1617297384.4512298, 1617297387.1855636]
[1617297384.817666, 1617297387.5802383]
[1617297384.7793543, 1617297387.5230846]
[1617297384.4644785, 1617297387.1831956]
[1617297385.0527134, 1617297387.7989857]
[1617297385.234026, 1617297387.970735]
[1617297385.3178127, 1617297388.0061932]
[1617297385.0434701, 1617297387.783604]
[1617297385.2575376, 1617297388.0103376]
[1617297385.4310665, 1617297388.128067]
[1617297385.4631653, 1617297388.2226942]
[1617297385.6850033, 1617297388.4306111]
[1617297385.5971396, 1617297388.3278046]
[1617297385.862128, 1617297388.608954]
[1617297386.106941, 1617297388.8451333]
[1617297385.7310886, 1617297388.4789019]
[1617297386.0742042, 1617297388.7877305]
[1617297386.1472003, 1617297388.8923006]
[1617297385.946982, 1617297388.6664963]
[1617297386.343502, 1617297389.1096566]
[1617297386.442305, 1617297389.1925998]
[1617297386.176347, 1617297388.9571886]
[1617297386.493588, 1617297389.264502]
[1617297386.5669057, 1617297389.3985274]
[1617297386.71841, 1617297389.4615786]
[1617297386.6547327, 1617297389.3787198]
[1617297386.6834068, 1617297389.4087608]
[1617297387.0923636, 1617297389.787931]
[1617297386.690373, 1617297389.4426875]
[1617297387.1794999, 1617297389.8996081]
[1617297387.2089627, 1617297389.9317422]
[1617297386.9903793, 1617297389.7257087]
[1617297387.0224295, 1617297389.7579918]
[1617297387.3733695, 1617297390.105716]
[1617297387.479061, 1617297390.1813467]
[1617297387.678757, 1617297390.3866801]
[1617297387.631778, 1617297390.3689065]
[1617297387.5700195, 1617297390.2788243]
[1617297387.4070292, 1617297390.106523]
[1617297387.6027167, 1617297390.3016195]
[1617297388.0663946, 1617297390.7542207]
[1617297387.8915873, 1617297390.680674]
[1617297388.0669115, 1617297390.791766]
[1617297387.9197137, 1617297390.672528]
[1617297387.9868164, 1617297390.7095783]
[1617297388.176798, 1617297390.8396962]
[1617297388.1498842, 1617297390.8343549]
[1617297388.2555676, 1617297391.0557535]
[1617297388.0667243, 1617297390.781608]
[1617297388.38235, 1617297391.140539]
[1617297388.1974378, 1617297390.9060752]
[1617297388.6291413, 1617297391.3933015]
[1617297388.2705884, 1617297390.980674]
[1617297388.5817804, 1617297391.3239408]
[1617297388.509669, 1617297391.266813]
[1617297388.4124992, 1617297391.2001677]
[1617297388.7868214, 1617297391.6180458]
[1617297388.5159664, 1617297391.2724962]
[1617297388.67696, 1617297391.3912008]
[1617297388.468895, 1617297391.2139711]
[1617297388.7868102, 1617297391.5148404]
[1617297389.0104127, 1617297391.885328]
[1617297388.9084105, 1617297391.6783936]
[1617297389.3335662, 1617297392.0558815]
[1617297388.901477, 1617297391.6426437]
[1617297389.084408, 1617297391.8019662]
[1617297389.0459733, 1617297391.7887118]
[1617297389.2121065, 1617297391.9715714]
[1617297389.4665415, 1617297392.1777906]
[1617297389.422437, 1617297392.1472533]
[1617297389.5046332, 1617297392.2418046]
[1617297389.723813, 1617297392.4495413]
[1617297389.5426192, 1617297392.3332973]
[1617297389.6094525, 1617297392.326192]
[1617297389.8064282, 1617297392.517195]
[1617297389.88725, 1617297392.6007082]
[1617297389.8549786, 1617297392.5982509]
[1617297389.9038112, 1617297392.599309]
[1617297389.8101695, 1617297392.559748]
[1617297389.924869, 1617297392.6485875]
[1617297390.131205, 1617297392.832635]
[1617297390.1696272, 1617297392.8724816]
[1617297390.2010944, 1617297392.933735]
[1617297389.9735389, 1617297392.6924376]
[1617297390.2147193, 1617297392.9396434]
[1617297390.2046313, 1617297393.0000832]
[1617297390.3612626, 1617297393.062862]
[1617297390.2978444, 1617297393.0345893]
[1617297390.5926266, 1617297393.308243]
[1617297390.518066, 1617297393.225193]
[1617297390.7486796, 1617297393.4917138]
[1617297390.525521, 1617297393.2862408]
[1617297390.8807058, 1617297393.5378616]
[1617297390.6766393, 1617297393.3774443]
[1617297390.8883414, 1617297393.5665417]
[1617297390.9925706, 1617297393.705466]
[1617297390.9206092, 1617297393.6241372]
[1617297391.327224, 1617297394.079505]
[1617297390.982421, 1617297393.7305484]
[1617297391.3141348, 1617297394.1359544]
[1617297391.2211094, 1617297393.97853]
[1617297391.4960604, 1617297394.2983081]
[1617297391.5067585, 1617297394.2328732]
[1617297391.3635154, 1617297394.1781309]
[1617297391.8411865, 1617297394.557778]
[1617297391.3856368, 1617297394.1262565]
[1617297391.836572, 1617297394.5634346]
[1617297391.5619066, 1617297394.308507]
[1617297391.7754622, 1617297394.561787]
[1617297391.9302638, 1617297394.8424337]
[1617297391.8702385, 1617297394.5898442]
[1617297391.9532504, 1617297394.6780608]
[1617297392.0070236, 1617297394.7330558]
[1617297392.0873408, 1617297394.8147087]
[1617297391.9469237, 1617297394.7208567]
[1617297392.0504756, 1617297394.8283827]
[1617297392.1498559, 1617297394.866343]
[1617297392.213282, 1617297394.9739277]
[1617297392.447042, 1617297395.2443278]
[1617297392.505845, 1617297395.2230036]
[1617297392.273407, 1617297395.0031507]
[1617297392.5706089, 1617297395.2956922]
[1617297392.5849235, 1617297395.3203008]
[1617297392.7490396, 1617297395.4703808]
[1617297392.4758518, 1617297395.209674]
[1617297392.5634813, 1617297395.258934]
[1617297392.5822666, 1617297395.3747463]
[1617297392.694419, 1617297395.4179327]
[1617297393.1025484, 1617297395.818715]
