[1617295881.9258099, 1617295887.623654]
[1617295882.6773968, 1617295888.230655]
[1617295882.303966, 1617295888.0093918]
[1617295882.2058184, 1617295887.9513056]
[1617295882.364845, 1617295888.1369214]
[1617295882.6650336, 1617295888.377432]
[1617295882.638013, 1617295888.3879554]
[1617295882.3154097, 1617295888.057551]
[1617295882.5739088, 1617295888.221059]
[1617295882.506241, 1617295888.1801136]
[1617295882.570997, 1617295887.900137]
[1617295882.698259, 1617295887.982903]
[1617295882.4972806, 1617295888.2039888]
[1617295882.6992197, 1617295888.0841203]
[1617295882.651526, 1617295887.9362063]
[1617295882.652153, 1617295888.3502188]
[1617295882.6813598, 1617295887.9835622]
[1617295882.4102273, 1617295888.103889]
[1617295882.6930099, 1617295888.0735161]
[1617295882.6765518, 1617295888.0737207]
[1617295882.2200553, 1617295887.9423387]
[1617295882.38152, 1617295888.0911703]
[1617295882.987575, 1617295888.3640609]
[1617295882.603027, 1617295888.3585856]
[1617295883.002998, 1617295888.306572]
[1617295883.419344, 1617295888.776696]
[1617295883.1781602, 1617295888.872285]
[1617295883.405244, 1617295888.7461212]
[1617295883.524409, 1617295888.8215303]
[1617295883.6050239, 1617295889.3278818]
[1617295883.8579712, 1617295889.1712663]
[1617295883.8509443, 1617295889.6181521]
[1617295883.9675257, 1617295889.2994866]
[1617295883.8631365, 1617295889.1703546]
[1617295883.5653057, 1617295889.2421324]
[1617295883.7262242, 1617295889.3894966]
[1617295883.9479573, 1617295889.2551718]
[1617295883.9512, 1617295889.2568884]
[1617295883.8873575, 1617295889.1515524]
[1617295883.7357092, 1617295889.0705209]
[1617295884.1496806, 1617295889.9021084]
[1617295884.1119006, 1617295889.8687162]
[1617295884.1438842, 1617295889.897344]
[1617295883.8918366, 1617295889.1780748]
[1617295884.2039053, 1617295889.570746]
[1617295884.3207185, 1617295890.055609]
[1617295884.2175283, 1617295889.393286]
[1617295884.280115, 1617295889.9574962]
[1617295884.5036967, 1617295890.2134974]
[1617295884.3484566, 1617295889.7526774]
[1617295884.5965517, 1617295889.9038792]
[1617295884.3294265, 1617295889.6295702]
[1617295884.6453884, 1617295889.9025066]
[1617295884.6172998, 1617295889.9083958]
[1617295884.6475666, 1617295890.0466878]
[1617295884.7134814, 1617295890.0218177]
[1617295884.7164352, 1617295890.0054226]
[1617295884.757918, 1617295890.046283]
[1617295884.891178, 1617295890.266639]
[1617295884.8824253, 1617295890.7276564]
[1617295884.9567657, 1617295890.7287028]
[1617295884.9849825, 1617295890.1748302]
[1617295884.8188736, 1617295890.2220109]
[1617295884.8638449, 1617295890.3110292]
[1617295884.9317675, 1617295890.6573374]
[1617295884.9419115, 1617295890.719314]
[1617295885.1099856, 1617295890.4657657]
[1617295885.1093173, 1617295890.4325573]
[1617295885.082569, 1617295890.4945872]
[1617295885.1843536, 1617295890.462085]
[1617295885.157136, 1617295890.5221748]
[1617295885.0611937, 1617295890.481571]
[1617295885.0668635, 1617295890.359501]
[1617295885.2162514, 1617295891.051454]
[1617295885.2320337, 1617295890.5436847]
[1617295885.197751, 1617295890.9947236]
[1617295885.25804, 1617295891.0925963]
[1617295885.0886517, 1617295890.5362833]
[1617295885.209615, 1617295891.0432012]
[1617295885.2710881, 1617295890.6870577]
[1617295885.2674127, 1617295891.0191102]
[1617295885.282078, 1617295891.1006556]
[1617295885.3627641, 1617295891.1509666]
[1617295885.1463475, 1617295891.0493457]
[1617295885.2852397, 1617295890.6686301]
[1617295885.2917204, 1617295891.0286002]
[1617295885.4031737, 1617295891.31617]
[1617295885.3055885, 1617295891.0416458]
[1617295885.3779635, 1617295891.201078]
[1617295885.391058, 1617295891.1714492]
[1617295885.422016, 1617295891.1836798]
[1617295885.4843295, 1617295891.2460346]
[1617295885.3821855, 1617295891.109334]
[1617295885.4273436, 1617295890.718466]
[1617295885.4715822, 1617295890.8884904]
[1617295885.4499264, 1617295890.8034453]
[1617295885.3972955, 1617295891.2589502]
[1617295885.488628, 1617295890.8589356]
[1617295885.4726412, 1617295891.1826015]
[1617295885.4234867, 1617295891.190087]
[1617295885.431044, 1617295891.1983628]
[1617295885.4050004, 1617295890.7863815]
[1617295885.4343877, 1617295890.7504997]
[1617295885.5677187, 1617295891.3203123]
[1617295885.4605, 1617295891.2796106]
[1617295885.4850838, 1617295890.8043277]
[1617295885.551038, 1617295891.317583]
[1617295885.5768592, 1617295891.3352997]
[1617295885.5279415, 1617295891.2908275]
[1617295885.5495265, 1617295890.975967]
[1617295885.6016686, 1617295890.9505188]
[1617295885.5342212, 1617295891.2729461]
[1617295885.4712377, 1617295891.2695882]
[1617295885.5213342, 1617295891.2453067]
[1617295885.577771, 1617295890.9458048]
[1617295885.5538538, 1617295890.885673]
[1617295885.5934563, 1617295891.3755274]
[1617295885.607696, 1617295891.339269]
[1617295885.555242, 1617295890.8905437]
[1617295885.6378365, 1617295891.019527]
[1617295885.611728, 1617295891.00635]
[1617295885.6254058, 1617295891.4398546]
[1617295885.6542978, 1617295891.407725]
[1617295885.6202679, 1617295891.291316]
[1617295885.633941, 1617295891.389669]
