[1617297908.9955082, 1617297917.6466959]
[1617297908.46098, 1617297917.1696844]
[1617297908.8313246, 1617297917.5880358]
[1617297909.0369954, 1617297917.650049]
[1617297908.6832922, 1617297917.3266094]
[1617297909.07665, 1617297917.6723094]
[1617297908.8814096, 1617297917.544537]
[1617297908.9799006, 1617297917.7283397]
[1617297909.1979632, 1617297917.87436]
[1617297909.0541162, 1617297917.7176251]
[1617297909.0620608, 1617297917.673083]
[1617297909.487962, 1617297918.0721486]
[1617297908.7953498, 1617297917.573227]
[1617297908.7967901, 1617297917.4730723]
[1617297909.169053, 1617297917.9401119]
[1617297908.8010273, 1617297917.4817152]
[1617297909.0651817, 1617297917.7042298]
[1617297909.5484626, 1617297918.2193954]
[1617297908.699408, 1617297917.3925574]
[1617297909.059744, 1617297917.660511]
[1617297909.6220512, 1617297918.555801]
[1617297909.7335098, 1617297918.4366992]
[1617297909.321279, 1617297917.940745]
[1617297909.69269, 1617297918.2862108]
[1617297909.6520333, 1617297918.3471932]
[1617297910.1974986, 1617297918.8234742]
[1617297909.803959, 1617297918.581543]
[1617297909.9249353, 1617297918.574888]
[1617297910.146789, 1617297918.6924417]
[1617297909.7787495, 1617297918.5269315]
[1617297910.2778997, 1617297918.923519]
[1617297910.2568653, 1617297918.8236017]
[1617297910.260709, 1617297918.8504007]
[1617297910.6042173, 1617297919.1961703]
[1617297910.4091692, 1617297919.0352845]
[1617297910.2006233, 1617297918.7872446]
[1617297910.8730197, 1617297919.4396558]
[1617297910.5866315, 1617297919.4819002]
[1617297910.7145338, 1617297919.267857]
[1617297910.469197, 1617297919.0032444]
[1617297910.6122353, 1617297919.2195418]
[1617297910.9965541, 1617297919.5779452]
[1617297911.1052155, 1617297919.7814772]
[1617297910.9754434, 1617297919.5664485]
[1617297911.128218, 1617297919.9657536]
[1617297911.4377022, 1617297920.1053243]
[1617297911.2809856, 1617297919.9249835]
[1617297911.4128823, 1617297920.0390944]
[1617297911.429417, 1617297920.1085997]
[1617297911.6315844, 1617297920.3433526]
[1617297911.5685556, 1617297920.2333922]
[1617297911.4267843, 1617297920.001131]
[1617297911.6398377, 1617297920.4325585]
[1617297911.7960389, 1617297920.8205795]
[1617297911.7804675, 1617297920.3642375]
[1617297911.653293, 1617297920.1950994]
[1617297911.8323581, 1617297920.559247]
[1617297911.7615473, 1617297920.3374782]
[1617297912.072328, 1617297920.8960588]
[1617297911.8766367, 1617297920.5102296]
[1617297912.03736, 1617297920.6727517]
[1617297912.0316136, 1617297920.7473445]
[1617297912.062433, 1617297920.618128]
[1617297912.1858265, 1617297921.0791893]
[1617297912.0721898, 1617297920.8382378]
[1617297912.2138717, 1617297921.013757]
[1617297912.1807785, 1617297920.779627]
[1617297912.1151485, 1617297920.9807932]
[1617297912.2512007, 1617297921.0168803]
[1617297912.4105315, 1617297920.9889746]
[1617297912.2408347, 1617297921.2764401]
[1617297912.4296687, 1617297921.3902023]
[1617297912.3182316, 1617297921.1819966]
[1617297912.415808, 1617297921.0975988]
[1617297912.441393, 1617297921.163946]
[1617297912.341199, 1617297921.0979686]
[1617297912.5014958, 1617297921.2739003]
[1617297912.3135328, 1617297920.9036858]
[1617297912.5036933, 1617297921.046253]
[1617297912.5101197, 1617297921.1005101]
[1617297912.5147972, 1617297921.9249938]
[1617297912.543369, 1617297921.241785]
[1617297912.6195223, 1617297921.2369442]
[1617297912.5839438, 1617297921.1501935]
[1617297912.6043344, 1617297921.2858865]
[1617297912.6654484, 1617297921.3435059]
[1617297912.7422576, 1617297921.363129]
[1617297912.660258, 1617297921.3284307]
[1617297912.6377547, 1617297921.3606403]
[1617297912.6764505, 1617297921.3375647]
[1617297912.6735487, 1617297921.2741027]
[1617297912.7124777, 1617297921.311495]
[1617297912.7350504, 1617297921.335884]
[1617297912.799168, 1617297921.3681867]
[1617297912.8904204, 1617297921.49541]
[1617297912.783005, 1617297921.5304377]
[1617297912.8645463, 1617297921.411393]
[1617297912.8472872, 1617297921.4755373]
[1617297912.803669, 1617297921.3960257]
[1617297912.8643005, 1617297921.7432013]
[1617297912.9807882, 1617297921.7291589]
[1617297912.9080484, 1617297921.5112839]
[1617297912.8805814, 1617297921.9374657]
[1617297912.864334, 1617297921.534336]
[1617297913.0090716, 1617297921.6202314]
[1617297912.981212, 1617297921.5778577]
[1617297912.9904695, 1617297921.5893388]
[1617297912.937803, 1617297921.5125942]
[1617297913.0475721, 1617297921.6979873]
[1617297913.05074, 1617297921.6230524]
[1617297913.1432114, 1617297921.7121358]
[1617297913.121194, 1617297921.8725345]
[1617297913.1274464, 1617297921.95516]
[1617297913.1085804, 1617297921.738722]
[1617297912.974938, 1617297921.645054]
[1617297913.044971, 1617297921.653744]
[1617297913.1828604, 1617297921.7607608]
[1617297913.0666823, 1617297921.6678114]
[1617297913.1789207, 1617297921.8149238]
[1617297913.1079993, 1617297921.7615223]
[1617297913.2074254, 1617297922.1709294]
[1617297913.0470881, 1617297921.8417141]
[1617297913.2279024, 1617297921.9720283]
[1617297913.2164361, 1617297922.1136248]
[1617297913.1218321, 1617297921.6799526]
[1617297913.2413647, 1617297921.8264935]
[1617297913.2000988, 1617297921.8237166]
[1617297913.2641242, 1617297921.913262]
[1617297913.2157736, 1617297921.9596019]
[1617297913.2029195, 1617297922.3929527]
[1617297913.252484, 1617297921.8517253]
[1617297913.265074, 1617297921.9714978]
[1617297913.1791778, 1617297921.8002622]
[1617297913.1993423, 1617297921.8655019]
[1617297913.2413979, 1617297921.920951]
[1617297913.1374936, 1617297921.7176719]
[1617297913.1464958, 1617297921.763214]
[1617297913.2438502, 1617297921.8165286]
[1617297913.2628775, 1617297921.8673038]
[1617297913.3010242, 1617297921.8670993]
[1617297913.287316, 1617297922.3792894]
[1617297913.2903898, 1617297922.1126177]
[1617297913.2433817, 1617297921.960096]
[1617297913.2412963, 1617297921.9245117]
[1617297913.2643173, 1617297921.9151347]
[1617297913.2967994, 1617297921.8897572]
[1617297913.2912834, 1617297922.0574892]
[1617297913.2930152, 1617297921.9972112]
[1617297913.3212154, 1617297922.1864762]
[1617297913.314939, 1617297922.0235524]
