[1617298891.7065923, 1617298894.4292638]
[1617298891.4371862, 1617298894.1866488]
[1617298891.4988081, 1617298894.255906]
[1617298891.2844584, 1617298894.0219467]
[1617298891.3564837, 1617298894.1624072]
[1617298891.751804, 1617298894.4104397]
[1617298891.5550914, 1617298894.32632]
[1617298891.374837, 1617298894.1158009]
[1617298891.2895827, 1617298894.0447135]
[1617298891.5866976, 1617298894.339718]
[1617298891.0354586, 1617298893.797017]
[1617298891.956063, 1617298894.6744602]
[1617298892.1003587, 1617298894.8201165]
[1617298891.7080712, 1617298894.4374886]
[1617298891.6960397, 1617298894.4269927]
[1617298891.638411, 1617298894.40528]
[1617298891.6845007, 1617298894.384398]
[1617298891.6367242, 1617298894.3582904]
[1617298891.8542118, 1617298894.59445]
[1617298891.8070688, 1617298894.5135593]
[1617298891.903952, 1617298894.7130587]
[1617298892.4915822, 1617298895.2152803]
[1617298891.6484845, 1617298894.3952112]
[1617298891.7932787, 1617298894.4961214]
[1617298892.4535055, 1617298895.2064807]
[1617298892.4224327, 1617298895.1649106]
[1617298892.6588671, 1617298895.386238]
[1617298892.154252, 1617298894.9664147]
[1617298892.733492, 1617298895.4918447]
[1617298892.300558, 1617298895.0736358]
[1617298892.7313726, 1617298895.4461243]
[1617298892.7195976, 1617298895.4412925]
[1617298892.919891, 1617298895.6527774]
[1617298892.9308038, 1617298895.7725623]
[1617298893.2009454, 1617298895.9265125]
[1617298892.9422781, 1617298895.6824281]
[1617298893.137965, 1617298895.8657267]
[1617298893.150816, 1617298895.896001]
[1617298893.1666563, 1617298895.8478336]
[1617298893.445414, 1617298896.1902685]
[1617298893.6577122, 1617298896.3725545]
[1617298893.9196188, 1617298896.6624641]
[1617298893.7156107, 1617298896.432562]
[1617298893.7360876, 1617298896.4351933]
[1617298893.9797986, 1617298896.6798635]
[1617298894.0523753, 1617298896.781611]
[1617298893.773159, 1617298896.4941962]
[1617298894.0666583, 1617298896.784737]
[1617298894.1893125, 1617298896.9128504]
[1617298894.345634, 1617298897.0605843]
[1617298894.6836267, 1617298897.4374335]
[1617298894.555883, 1617298897.264538]
[1617298894.458288, 1617298897.1663592]
[1617298894.409878, 1617298897.133946]
[1617298894.6245437, 1617298897.343556]
[1617298895.0433216, 1617298897.8092396]
[1617298894.7492049, 1617298897.520409]
[1617298895.0626168, 1617298897.7974172]
[1617298895.17412, 1617298897.9098523]
[1617298895.355214, 1617298898.1801775]
[1617298895.3739364, 1617298898.1338112]
[1617298895.2446008, 1617298897.9641857]
[1617298895.205173, 1617298897.9463885]
[1617298895.591816, 1617298898.293061]
[1617298895.579582, 1617298898.312756]
[1617298895.4559348, 1617298898.1824043]
[1617298895.6575816, 1617298898.3773732]
[1617298896.1139886, 1617298898.8702505]
[1617298896.0022557, 1617298898.7191575]
[1617298895.712106, 1617298898.4359205]
[1617298896.07715, 1617298898.8005998]
[1617298896.1442518, 1617298898.8920188]
[1617298896.071954, 1617298898.7706306]
[1617298896.1461012, 1617298898.8511086]
[1617298896.2834702, 1617298899.017161]
[1617298896.046821, 1617298898.7881732]
[1617298896.411372, 1617298899.128233]
[1617298896.622424, 1617298899.3261757]
[1617298896.4561477, 1617298899.1561909]
[1617298896.512939, 1617298899.2715476]
[1617298896.520416, 1617298899.2469532]
[1617298896.7129571, 1617298899.418999]
[1617298896.663259, 1617298899.283631]
[1617298896.9877095, 1617298899.7061648]
[1617298897.019628, 1617298899.8109167]
[1617298897.0003765, 1617298899.7388783]
[1617298897.1019812, 1617298899.8483033]
[1617298897.0672033, 1617298899.8120847]
[1617298896.8429809, 1617298899.5559864]
[1617298897.1341774, 1617298899.8317544]
[1617298897.3169425, 1617298900.0347486]
[1617298897.2654052, 1617298899.974663]
[1617298897.4047744, 1617298900.1624174]
[1617298897.4260483, 1617298900.125976]
[1617298897.4036252, 1617298900.1344118]
[1617298897.855556, 1617298900.6559815]
[1617298897.4764628, 1617298900.198739]
[1617298897.7857099, 1617298900.5617173]
[1617298897.431281, 1617298900.1501439]
[1617298897.9920268, 1617298900.7319896]
[1617298898.1812327, 1617298900.9369552]
[1617298897.9010844, 1617298900.6139205]
[1617298898.1075714, 1617298900.851912]
[1617298898.3051322, 1617298901.0240011]
[1617298898.3857455, 1617298901.1288722]
[1617298898.1897619, 1617298900.9326863]
[1617298898.2560546, 1617298900.9867053]
[1617298898.4890192, 1617298901.2174277]
[1617298898.431358, 1617298901.159745]
[1617298898.566841, 1617298901.327887]
[1617298898.7851338, 1617298901.490554]
[1617298898.7798984, 1617298901.4846203]
[1617298898.8267713, 1617298901.5913465]
[1617298898.824617, 1617298901.5187159]
[1617298898.854215, 1617298901.5732248]
[1617298898.9688365, 1617298901.7056313]
[1617298898.9823232, 1617298901.6988444]
[1617298898.6687212, 1617298901.433727]
[1617298899.1988478, 1617298901.9007697]
[1617298898.961244, 1617298901.672031]
[1617298899.1051364, 1617298901.8141005]
[1617298899.3590217, 1617298902.0762181]
[1617298899.425307, 1617298902.1229873]
[1617298899.6656156, 1617298902.4181762]
[1617298899.2958288, 1617298902.0211637]
[1617298899.294914, 1617298901.9082549]
[1617298899.443955, 1617298902.1592176]
[1617298899.9232502, 1617298902.6474614]
[1617298899.8209627, 1617298902.537961]
[1617298899.7202368, 1617298902.435155]
[1617298899.9360192, 1617298902.6963937]
[1617298900.002061, 1617298902.711045]
[1617298899.9258986, 1617298902.6468399]
[1617298900.3061552, 1617298903.03059]
[1617298900.097819, 1617298902.8248718]
[1617298900.3615537, 1617298903.0785897]
[1617298900.2362018, 1617298902.9584672]
[1617298900.506072, 1617298903.2462769]
[1617298900.7092724, 1617298903.4031074]
[1617298900.63462, 1617298903.3549778]
[1617298900.7394557, 1617298903.435219]
[1617298900.6388257, 1617298903.4163206]
[1617298900.6775408, 1617298903.474353]
[1617298900.858043, 1617298903.5776196]
[1617298900.754493, 1617298903.4866402]
[1617298900.9944987, 1617298903.7150106]
[1617298901.051318, 1617298903.7731633]
[1617298900.955308, 1617298903.7229521]
[1617298901.3334308, 1617298904.0726254]
[1617298901.0899196, 1617298903.8192635]
[1617298901.198728, 1617298903.9401708]
