[1616943673.6998956, 1616943676.4301574]
[1616943673.2448902, 1616943675.984294]
[1616943673.3081748, 1616943676.03074]
[1616943672.9498742, 1616943675.719299]
[1616943673.6231081, 1616943676.3632295]
[1616943673.2575533, 1616943676.0074046]
[1616943674.0069597, 1616943676.6881232]
[1616943673.2785811, 1616943675.9576285]
[1616943673.6964853, 1616943676.3934045]
[1616943673.2465532, 1616943675.9954174]
[1616943673.6618447, 1616943676.362328]
[1616943673.2496924, 1616943675.9664423]
[1616943673.9741712, 1616943676.6844409]
[1616943673.4191046, 1616943676.1691637]
[1616943673.5093164, 1616943676.2553656]
[1616943673.5682654, 1616943676.3026938]
[1616943673.550698, 1616943676.2744627]
[1616943673.3999662, 1616943676.131735]
[1616943674.1781127, 1616943676.897668]
[1616943673.8314354, 1616943676.5479064]
[1616943673.8358731, 1616943676.5381503]
[1616943674.1086955, 1616943676.8367105]
[1616943673.7458382, 1616943676.446964]
[1616943674.3720539, 1616943677.0942616]
[1616943673.827615, 1616943676.5461113]
[1616943674.7089846, 1616943677.399923]
[1616943674.588532, 1616943677.3140786]
[1616943674.3622334, 1616943677.068655]
[1616943674.4942477, 1616943677.1965718]
[1616943674.8265371, 1616943677.54058]
[1616943674.628716, 1616943677.2793038]
[1616943675.068535, 1616943677.8667252]
[1616943675.065753, 1616943677.7459896]
[1616943674.9825416, 1616943677.6529272]
[1616943675.1773849, 1616943677.8180578]
[1616943675.1167178, 1616943677.804904]
[1616943674.823974, 1616943677.471044]
[1616943675.0782552, 1616943677.796807]
[1616943675.1220002, 1616943677.8348496]
[1616943675.2697182, 1616943677.9922159]
[1616943675.3549116, 1616943678.136801]
[1616943675.589547, 1616943678.3355699]
[1616943675.675594, 1616943678.391362]
[1616943675.9244716, 1616943678.660511]
[1616943675.5649903, 1616943678.2230372]
[1616943675.5357032, 1616943678.1735377]
[1616943676.2355487, 1616943678.9679325]
[1616943676.091282, 1616943678.8173516]
[1616943676.1726823, 1616943678.9181852]
[1616943676.4736722, 1616943679.1721663]
[1616943676.309764, 1616943679.044695]
[1616943676.5558496, 1616943679.2758858]
[1616943677.0918674, 1616943679.796155]
[1616943677.1067026, 1616943679.8204522]
[1616943677.0140438, 1616943679.6956778]
[1616943677.0335839, 1616943679.7430294]
[1616943676.974604, 1616943679.695914]
[1616943676.9289196, 1616943679.650215]
[1616943677.1709998, 1616943679.88511]
[1616943677.254802, 1616943679.9580135]
[1616943677.4165282, 1616943680.1131127]
