[1616944135.1004758, 1616944145.0771096]
[1616944134.7103179, 1616944144.710374]
[1616944134.364472, 1616944144.3715746]
[1616944134.4909577, 1616944144.4438264]
[1616944134.836194, 1616944144.789624]
[1616944134.9302876, 1616944144.8072155]
[1616944134.9633834, 1616944144.800645]
[1616944135.255435, 1616944145.1346288]
[1616944135.4288743, 1616944145.3783894]
[1616944134.5137322, 1616944144.488891]
[1616944135.0053134, 1616944144.9543095]
[1616944135.420215, 1616944145.2724397]
[1616944135.0856133, 1616944144.876683]
[1616944134.7193077, 1616944144.5797918]
[1616944134.8538008, 1616944144.9004014]
[1616944134.664916, 1616944144.8096147]
[1616944135.049682, 1616944145.068008]
[1616944135.36709, 1616944145.22159]
[1616944135.348232, 1616944145.1912065]
[1616944134.8968296, 1616944144.6475384]
[1616944134.979346, 1616944144.8527277]
[1616944135.4699392, 1616944145.4045112]
[1616944135.2698162, 1616944145.207146]
[1616944135.0495677, 1616944144.9674616]
[1616944135.8223653, 1616944145.749961]
[1616944135.6712165, 1616944145.4253135]
[1616944135.9531405, 1616944145.871596]
[1616944135.6993506, 1616944145.6112602]
[1616944136.1889043, 1616944146.041264]
[1616944136.091173, 1616944145.903702]
[1616944135.9912074, 1616944145.8572354]
[1616944136.2031794, 1616944146.1273363]
[1616944136.2744958, 1616944146.1283128]
[1616944136.0155046, 1616944145.7834752]
[1616944136.1128774, 1616944145.9769797]
[1616944136.266362, 1616944146.213048]
[1616944136.6818445, 1616944146.4621663]
[1616944136.689306, 1616944146.5919833]
[1616944136.5399716, 1616944146.5873945]
[1616944136.7502365, 1616944146.5534413]
[1616944136.4570043, 1616944146.3607256]
[1616944136.7609856, 1616944146.6316347]
[1616944136.7784476, 1616944147.0018477]
[1616944136.9982915, 1616944146.870225]
[1616944137.3591986, 1616944147.3948903]
[1616944137.3407414, 1616944147.364331]
[1616944137.3380697, 1616944147.2804341]
[1616944137.2152622, 1616944147.5878675]
[1616944137.5362124, 1616944147.4828362]
[1616944137.458261, 1616944147.375425]
[1616944137.200507, 1616944147.0696778]
[1616944137.8057554, 1616944147.8891056]
[1616944137.9347808, 1616944147.8902721]
[1616944138.0668526, 1616944148.0834975]
[1616944137.8110845, 1616944147.7335174]
[1616944137.9695497, 1616944147.9754136]
[1616944138.0065625, 1616944147.9804413]
[1616944138.2495134, 1616944148.1309614]
[1616944138.3437788, 1616944148.1384583]
[1616944138.5994895, 1616944148.5488315]
[1616944138.404819, 1616944148.4773576]
[1616944138.6948817, 1616944148.6996396]
[1616944138.8195713, 1616944148.6928358]
[1616944138.913645, 1616944148.8252287]
[1616944138.829205, 1616944148.9010878]
[1616944138.943475, 1616944148.8863423]
[1616944138.9082217, 1616944148.7454562]
[1616944139.058847, 1616944148.9986055]
[1616944139.0551722, 1616944148.97053]
[1616944139.1684022, 1616944149.0929797]
[1616944139.177674, 1616944148.9475791]
[1616944139.0383735, 1616944148.9365563]
[1616944139.3688104, 1616944149.3628254]
[1616944139.3195093, 1616944149.6308227]
[1616944139.3854985, 1616944149.4241629]
[1616944139.4379659, 1616944149.4697542]
[1616944139.4141767, 1616944149.3372378]
[1616944139.5868022, 1616944149.5707307]
[1616944139.5594707, 1616944149.6275015]
[1616944139.777126, 1616944149.6707013]
[1616944139.8776352, 1616944149.7446728]
[1616944139.6563373, 1616944149.683124]
[1616944139.798688, 1616944149.6923072]
[1616944140.077163, 1616944150.1166232]
[1616944140.0560741, 1616944149.9625175]
[1616944140.2256038, 1616944150.221637]
[1616944140.3091595, 1616944150.2025542]
[1616944140.120456, 1616944150.1285532]
[1616944140.179767, 1616944150.0874848]
[1616944140.4364533, 1616944150.290333]
[1616944140.3152087, 1616944150.261947]
[1616944140.5875423, 1616944150.4601371]
[1616944140.2203372, 1616944150.1906788]
[1616944140.4512167, 1616944150.242473]
[1616944140.4161952, 1616944150.415767]
[1616944140.517419, 1616944150.495906]
[1616944140.5135396, 1616944150.4295003]
[1616944140.6642296, 1616944150.5253277]
[1616944140.5668197, 1616944150.4431982]
[1616944140.887528, 1616944150.8284404]
[1616944140.7350905, 1616944150.6126628]
[1616944140.8346431, 1616944150.748386]
[1616944140.910541, 1616944150.8235154]
[1616944141.0124373, 1616944151.2654688]
[1616944140.9821284, 1616944150.9789333]
[1616944141.0090957, 1616944151.051234]
[1616944141.1120775, 1616944151.0399938]
[1616944141.0727766, 1616944151.0846112]
[1616944141.1937163, 1616944151.1399417]
[1616944141.1987202, 1616944151.2418132]
[1616944141.2616296, 1616944151.1392775]
[1616944141.3272624, 1616944151.361409]
[1616944141.4861624, 1616944151.3430433]
[1616944141.3256645, 1616944151.2468572]
[1616944141.4321074, 1616944151.3003345]
[1616944141.505102, 1616944151.3236153]
[1616944141.464352, 1616944151.3296561]
[1616944141.369241, 1616944151.3268414]
[1616944141.516972, 1616944151.4659226]
[1616944141.6510959, 1616944151.5226147]
[1616944141.6986434, 1616944151.6837716]
[1616944141.6074734, 1616944151.4656034]
[1616944141.7643309, 1616944151.8235195]
[1616944141.6484344, 1616944151.5394506]
[1616944141.8567517, 1616944151.657976]
[1616944141.9290962, 1616944151.9363816]
[1616944141.941564, 1616944151.9232192]
[1616944141.8279, 1616944151.959889]
[1616944141.9603002, 1616944152.0360756]
[1616944141.934615, 1616944151.9719872]
[1616944141.9543357, 1616944152.0150535]
[1616944142.150453, 1616944152.0708237]
[1616944142.1219697, 1616944152.056845]
[1616944142.0222616, 1616944152.032582]
[1616944142.1848426, 1616944152.0464418]
[1616944142.1578236, 1616944152.285501]
[1616944142.190694, 1616944152.2071602]
[1616944142.2003202, 1616944152.1824052]
[1616944142.2646842, 1616944152.3396392]
[1616944142.2157967, 1616944152.4146922]
[1616944142.3097677, 1616944152.0112839]
[1616944142.3093715, 1616944152.4994872]
[1616944142.3288763, 1616944152.1521425]
[1616944142.403371, 1616944152.2926047]
[1616944142.4117846, 1616944152.2799664]
[1616944142.4338489, 1616944152.229966]
[1616944142.5354865, 1616944152.355412]
[1616944142.3963187, 1616944152.311533]
[1616944142.4331965, 1616944152.321215]
[1616944142.4191117, 1616944152.3832083]
[1616944142.6282742, 1616944152.576796]
[1616944142.5037327, 1616944152.4948528]
[1616944142.490587, 1616944152.3662558]
[1616944142.651675, 1616944152.6463108]
[1616944142.675631, 1616944152.450377]
[1616944142.6314397, 1616944152.6105275]
[1616944142.6142874, 1616944152.7687128]
[1616944142.737961, 1616944152.6355784]
[1616944142.6593893, 1616944152.657961]
[1616944142.6279733, 1616944152.674315]
[1616944142.7255168, 1616944152.724468]
