[1621533679.8001535, 1621533680.906314]
[1621533679.3658407, 1621533680.4923458]
[1621533679.4598815, 1621533680.6273768]
[1621533679.1129045, 1621533680.2261486]
[1621533680.0598676, 1621533681.2260668]
[1621533680.1315463, 1621533681.4895682]
[1621533680.1579123, 1621533681.2894602]
[1621533679.84186, 1621533680.9214392]
[1621533679.9322484, 1621533681.0423942]
[1621533679.4626915, 1621533680.5306525]
[1621533679.9182944, 1621533681.043723]
[1621533679.4258015, 1621533680.546079]
[1621533679.688052, 1621533680.8809936]
[1621533679.419572, 1621533680.5388296]
[1621533679.8651152, 1621533680.941937]
[1621533679.9906201, 1621533681.1192195]
[1621533679.9843783, 1621533681.1303363]
[1621533679.4519172, 1621533680.5353398]
[1621533680.145708, 1621533681.2582667]
[1621533679.651551, 1621533680.738257]
[1621533680.499698, 1621533682.1042511]
[1621533680.0870888, 1621533681.23905]
[1621533680.7031002, 1621533681.821908]
[1621533680.5492468, 1621533681.660341]
[1621533680.127747, 1621533681.2213776]
[1621533680.4173589, 1621533681.7184467]
[1621533680.23701, 1621533681.368524]
[1621533680.1694539, 1621533681.25045]
[1621533680.4849727, 1621533681.6169658]
[1621533680.4966445, 1621533681.643558]
[1621533680.0850856, 1621533681.214408]
[1621533680.4671335, 1621533681.5978453]
[1621533680.5833628, 1621533681.7594688]
[1621533680.4911451, 1621533681.633297]
[1621533680.158131, 1621533681.246987]
[1621533680.6647089, 1621533681.7916734]
[1621533680.6346424, 1621533681.7393773]
[1621533680.6118667, 1621533681.7553604]
[1621533680.2332416, 1621533681.331153]
[1621533680.5343084, 1621533681.5929976]
[1621533680.9423022, 1621533682.0356436]
[1621533681.0770757, 1621533682.2003639]
[1621533680.5389392, 1621533681.6161866]
[1621533680.7123322, 1621533681.8778148]
[1621533680.8763988, 1621533681.9580429]
[1621533680.8911595, 1621533682.0184765]
[1621533681.574921, 1621533682.6846597]
[1621533680.9894023, 1621533682.0635724]
[1621533681.5651796, 1621533682.6775181]
[1621533681.0462937, 1621533682.1597507]
[1621533681.2265246, 1621533682.3509057]
[1621533681.1261468, 1621533682.2709348]
[1621533680.893504, 1621533682.1088395]
[1621533681.4138904, 1621533682.510807]
[1621533681.5603817, 1621533682.6980288]
[1621533681.5147402, 1621533682.6357148]
[1621533681.2539651, 1621533682.3423374]
[1621533681.5854812, 1621533682.7282634]
[1621533681.2791579, 1621533682.3913856]
[1621533681.3149707, 1621533682.4389107]
[1621533681.303798, 1621533682.4464595]
[1621533681.3112473, 1621533682.6325622]
[1621533681.5265434, 1621533682.744597]
[1621533680.859743, 1621533681.9983556]
[1621533681.2219944, 1621533682.3689737]
[1621533681.6172712, 1621533682.727479]
[1621533681.7515037, 1621533682.8924863]
[1621533681.7830887, 1621533682.912023]
[1621533681.7350333, 1621533682.8180957]
[1621533681.665712, 1621533682.7866356]
[1621533681.2301161, 1621533682.3679233]
[1621533681.307013, 1621533682.3852913]
[1621533681.3738387, 1621533682.493709]
[1621533680.9381566, 1621533682.0856848]
[1621533681.7775779, 1621533682.915935]
[1621533681.496712, 1621533683.1820304]
[1621533681.6039193, 1621533682.8648214]
[1621533681.1349754, 1621533682.261582]
[1621533681.3347094, 1621533682.4483883]
[1621533681.8161185, 1621533682.9351404]
[1621533681.720487, 1621533682.843861]
[1621533681.6209242, 1621533682.756894]
[1621533681.8115616, 1621533682.927731]
[1621533681.7851548, 1621533682.9199865]
[1621533681.3217402, 1621533682.437383]
[1621533680.9257805, 1621533682.0025504]
[1621533681.6859734, 1621533682.7999988]
[1621533681.8318334, 1621533682.9553638]
[1621533681.7691936, 1621533682.941069]
[1621533681.7041252, 1621533682.8325503]
[1621533681.6385193, 1621533682.7575731]
[1621533681.5966337, 1621533682.658982]
[1621533681.6211538, 1621533682.7113228]
[1621533681.8584464, 1621533683.0200357]
[1621533681.6488047, 1621533682.7652595]
[1621533681.8024473, 1621533682.8622723]
[1621533682.2011955, 1621533683.5485747]
[1621533681.8004856, 1621533682.8611937]
[1621533681.7499442, 1621533682.9101245]
[1621533681.7600298, 1621533682.872607]
