[1616528417.2538562, 1616528417.9735851]
[1616528417.132062, 1616528417.8150928]
[1616528417.281967, 1616528418.9028]
[1616528417.7205622, 1616528418.4578843]
[1616528417.3650324, 1616528418.9245365]
[1616528417.3827765, 1616528418.0869205]
[1616528417.7409394, 1616528418.4422128]
[1616528417.3952253, 1616528418.0531952]
[1616528417.45348, 1616528418.0791495]
[1616528417.4838352, 1616528418.1753216]
[1616528417.443809, 1616528418.1108341]
[1616528417.9789245, 1616528418.7035697]
[1616528417.4081678, 1616528418.126925]
[1616528417.4131753, 1616528418.6883476]
[1616528417.1444478, 1616528417.8165417]
[1616528417.208033, 1616528418.6833906]
[1616528417.405722, 1616528418.7946088]
[1616528417.717778, 1616528418.4161305]
[1616528417.315146, 1616528418.0140836]
[1616528417.640341, 1616528418.3359363]
[1616528417.9372256, 1616528418.6074557]
[1616528417.9449458, 1616528419.480597]
[1616528418.0528882, 1616528418.72947]
[1616528418.1276739, 1616528418.821197]
[1616528417.9750473, 1616528418.628398]
[1616528418.0662858, 1616528419.081173]
[1616528418.297126, 1616528418.9508696]
[1616528418.240635, 1616528418.899348]
[1616528418.4217274, 1616528419.1592238]
[1616528418.6851428, 1616528419.3138034]
[1616528418.6174355, 1616528419.2737222]
[1616528418.939511, 1616528419.6366634]
[1616528418.9385004, 1616528419.5776641]
[1616528418.897154, 1616528419.5648675]
[1616528418.8729508, 1616528420.3808987]
[1616528418.9692328, 1616528419.66957]
[1616528419.4110236, 1616528420.084113]
[1616528419.3191488, 1616528420.0381966]
[1616528419.3420222, 1616528420.0013828]
[1616528419.4819953, 1616528420.1252477]
[1616528419.3844755, 1616528420.1222675]
[1616528419.6712792, 1616528420.3615215]
[1616528419.9696634, 1616528420.6643531]
[1616528419.9253945, 1616528427.3203702]
[1616528419.8008223, 1616528420.4492002]
[1616528419.7154658, 1616528420.4054487]
[1616528420.1294634, 1616528420.8585775]
[1616528420.2233043, 1616528420.903961]
[1616528420.109401, 1616528420.8027964]
[1616528420.225537, 1616528423.8519065]
[1616528420.759494, 1616528422.3217332]
[1616528420.688516, 1616528421.3703277]
[1616528420.5744772, 1616528421.210864]
[1616528420.9900374, 1616528421.6584463]
[1616528421.1373224, 1616528422.2879417]
[1616528420.8857822, 1616528421.5198052]
[1616528420.8343623, 1616528422.5913405]
[1616528421.125356, 1616528421.803269]
[1616528420.999181, 1616528421.6729615]
[1616528421.3804483, 1616528422.0119705]
[1616528421.3757691, 1616528422.0328956]
[1616528421.6100357, 1616528422.3239348]
[1616528421.7251487, 1616528422.4333072]
[1616528421.5293722, 1616528422.1859167]
[1616528421.5090525, 1616528422.2603056]
[1616528421.6918688, 1616528422.3459601]
[1616528421.78748, 1616528422.4712527]
[1616528421.9541748, 1616528423.2095642]
[1616528422.1292052, 1616528422.8315024]
[1616528422.0629513, 1616528424.2091455]
[1616528422.069298, 1616528422.7197404]
[1616528422.06915, 1616528422.7030299]
[1616528421.963801, 1616528424.5286222]
[1616528422.1734269, 1616528423.081908]
[1616528422.3189075, 1616528423.3157117]
[1616528422.1430845, 1616528422.8397386]
[1616528422.3845906, 1616528423.800666]
[1616528422.4647367, 1616528423.6545315]
[1616528422.4534888, 1616528425.7925022]
[1616528422.2661154, 1616528422.9361336]
[1616528422.6913195, 1616528426.527589]
[1616528422.4994013, 1616528423.136683]
[1616528422.9368877, 1616528426.2088113]
[1616528422.8418663, 1616528423.488151]
[1616528422.7524583, 1616528423.3894584]
[1616528423.0061905, 1616528423.6535058]
[1616528422.7247906, 1616528423.378498]
[1616528423.072174, 1616528423.7741709]
[1616528423.2726185, 1616528425.381498]
[1616528423.281427, 1616528424.032794]
[1616528423.3215408, 1616528423.9633822]
[1616528423.6455946, 1616528424.728721]
[1616528423.2280421, 1616528423.9126148]
[1616528423.4390275, 1616528424.0621936]
[1616528423.4894872, 1616528424.148024]
[1616528423.6765537, 1616528424.36588]
[1616528423.6690443, 1616528424.3787982]
[1616528423.8614686, 1616528424.4870512]
[1616528423.9765313, 1616528424.6591403]
[1616528423.505036, 1616528424.2000492]
[1616528424.0138302, 1616528424.7679415]
[1616528423.9306517, 1616528424.6383684]
[1616528423.9744992, 1616528424.6054075]
[1616528424.1698315, 1616528424.8570616]
[1616528424.1764865, 1616528425.1732523]
[1616528424.228064, 1616528424.9472406]
[1616528424.3680465, 1616528425.0571349]
[1616528424.6895456, 1616528425.4870288]
[1616528424.4130585, 1616528425.1608648]
[1616528424.548316, 1616528425.2482154]
[1616528424.822322, 1616528425.8201427]
[1616528424.9099617, 1616528425.5480514]
[1616528424.8195798, 1616528425.5054994]
[1616528424.7210324, 1616528425.423302]
[1616528424.9335198, 1616528425.5877337]
[1616528424.9885323, 1616528425.6579232]
[1616528424.8744578, 1616528425.5447636]
[1616528425.0883033, 1616528426.0469897]
[1616528425.085442, 1616528427.9545155]
[1616528425.2056525, 1616528425.8439174]
[1616528425.17113, 1616528425.9029624]
[1616528425.1035604, 1616528425.8162181]
[1616528425.34988, 1616528425.983917]
[1616528425.552986, 1616528426.253824]
[1616528425.454088, 1616528426.204215]
[1616528425.788304, 1616528426.4512646]
[1616528425.657755, 1616528426.3230429]
[1616528425.8197708, 1616528426.9924872]
[1616528425.900695, 1616528426.5810437]
[1616528425.7222173, 1616528426.6287568]
[1616528425.9516492, 1616528426.6797745]
[1616528426.0589328, 1616528426.7964885]
[1616528427.9476628, 1616528428.6581957]
[1616528426.052696, 1616528426.8570614]
[1616528425.9730725, 1616528428.2602675]
[1616528426.0438282, 1616528426.7133384]
[1616528426.2841113, 1616528429.4905043]
[1616528426.1665893, 1616528426.8698468]
[1616528426.2618628, 1616528426.910937]
[1616528426.3145714, 1616528427.7679808]
[1616528426.3781137, 1616528427.0191243]
[1616528426.4599807, 1616528428.2535067]
[1616528426.489295, 1616528430.1300638]
[1616528426.4170892, 1616528427.141329]
[1616528426.5344946, 1616528427.1685567]
[1616528426.628632, 1616528427.8874323]
[1616528426.384612, 1616528427.0603845]
[1616528426.6494815, 1616528427.3883605]
[1616528426.6248436, 1616528428.4817286]
[1616528426.6346712, 1616528427.3298054]
[1616528426.796184, 1616528427.4624474]
[1616528427.1147077, 1616528427.895478]
[1616528426.7804432, 1616528427.6158454]
[1616528426.6917863, 1616528427.3726323]
[1616528427.0527968, 1616528427.68796]
[1616528426.9153993, 1616528427.5599742]
[1616528427.1098864, 1616528427.795823]
[1616528427.1259277, 1616528428.5827305]
[1616528427.125709, 1616528428.6488156]
[1616528427.2119792, 1616528427.855267]
[1616528427.4253356, 1616528428.677731]
[1616528427.4318106, 1616528428.077028]
[1616528427.424975, 1616528428.6021886]
[1616528427.4612072, 1616528428.1175687]
[1616528427.5256615, 1616528428.850708]
[1616528427.4811103, 1616528429.0324554]
[1616528427.6411753, 1616528428.2675054]
[1616528427.7299495, 1616528428.3654113]
[1616528427.5218818, 1616528428.2166955]
[1616528427.4687674, 1616528428.1153402]
[1616528427.6231573, 1616528428.577354]
[1616528428.03622, 1616528428.7909045]
[1616528427.9861116, 1616528428.7025423]
[1616528427.8361523, 1616528429.5122957]
[1616528427.8629792, 1616528428.5027363]
[1616528427.9815352, 1616528428.687799]
[1616528428.2682834, 1616528429.4132252]
[1616528428.3405805, 1616528428.9857037]
[1616528428.0493221, 1616528428.7072194]
[1616528428.031779, 1616528428.6857533]
[1616528428.4076774, 1616528429.053154]
[1616528428.1912942, 1616528428.8713372]
[1616528428.7349415, 1616528429.4252524]
[1616528428.3046749, 1616528428.9662254]
[1616528428.6947746, 1616528429.408607]
[1616528428.584305, 1616528429.31219]
[1616528428.552325, 1616528429.2044315]
[1616528428.621612, 1616528429.3084033]
[1616528428.844345, 1616528434.1861885]
[1616528428.6693435, 1616528429.3728063]
[1616528428.8855925, 1616528429.5119104]
[1616528428.8639722, 1616528429.5533164]
[1616528428.7709517, 1616528429.5116067]
[1616528428.9584255, 1616528430.5374093]
[1616528428.9594648, 1616528429.626244]
[1616528428.9947896, 1616528429.68742]
[1616528429.26587, 1616528429.9486437]
[1616528428.9799633, 1616528429.6212387]
[1616528429.319161, 1616528429.9590418]
[1616528429.2517974, 1616528429.8908663]
[1616528429.41659, 1616528430.09903]
[1616528429.2324383, 1616528429.8864088]
[1616528429.467157, 1616528430.1317832]
[1616528429.3625288, 1616528430.0205941]
[1616528429.5915487, 1616528430.2637143]
[1616528429.4780245, 1616528430.157374]
[1616528429.7054348, 1616528430.3368387]
[1616528429.6697888, 1616528431.0118926]
[1616528429.6500463, 1616528430.2931786]
[1616528429.4922469, 1616528430.238954]
[1616528429.6693423, 1616528432.008272]
[1616528429.781482, 1616528430.463179]
[1616528430.078401, 1616528430.8932211]
[1616528430.05234, 1616528430.692053]
[1616528429.8163576, 1616528431.7446322]
[1616528429.8520112, 1616528430.8269274]
[1616528430.0929298, 1616528430.7329447]
[1616528430.2157643, 1616528431.8563528]
[1616528430.0727274, 1616528431.2155106]
[1616528430.1767137, 1616528430.8266056]
[1616528430.286888, 1616528431.0536592]
[1616528430.3852413, 1616528431.1077447]
[1616528430.2924566, 1616528431.0201592]
[1616528430.2454007, 1616528430.9250243]
[1616528430.6063473, 1616528431.3696868]
[1616528430.4525619, 1616528431.1162283]
[1616528430.6105947, 1616528431.281842]
[1616528430.6229572, 1616528431.3323252]
[1616528430.559558, 1616528431.2135391]
[1616528430.7129564, 1616528431.4544005]
[1616528430.5265238, 1616528431.2025623]
[1616528430.7753818, 1616528431.4377053]
[1616528430.8901649, 1616528431.599334]
[1616528430.931786, 1616528431.645014]
[1616528431.1443684, 1616528431.776895]
[1616528431.0520818, 1616528431.759188]
[1616528430.9840102, 1616528431.6648586]
[1616528431.054445, 1616528432.8762581]
[1616528431.0393007, 1616528431.759002]
[1616528431.232539, 1616528431.914755]
[1616528431.2857826, 1616528431.9915993]
[1616528431.387173, 1616528432.144134]
[1616528431.1362891, 1616528435.2343597]
[1616528431.4694073, 1616528432.1504338]
[1616528431.559456, 1616528432.2513194]
[1616528431.4396126, 1616528432.8382385]
[1616528431.5207458, 1616528432.1582694]
[1616528431.618307, 1616528432.2923133]
[1616528431.6157408, 1616528432.3421435]
[1616528431.7565246, 1616528432.5421793]
[1616528431.626421, 1616528432.263047]
[1616528431.7506812, 1616528432.3764174]
[1616528431.9685242, 1616528432.6740208]
[1616528431.9332433, 1616528432.605482]
[1616528431.9820473, 1616528432.655139]
[1616528432.0563319, 1616528432.7357905]
[1616528432.0312488, 1616528438.7995634]
[1616528432.2128365, 1616528432.905136]
[1616528432.2794507, 1616528432.9610624]
[1616528432.1868968, 1616528432.9033446]
[1616528432.2795572, 1616528432.9613135]
[1616528432.1096675, 1616528432.7955983]
[1616528432.486892, 1616528433.1466691]
[1616528432.4468143, 1616528433.119909]
[1616528432.39869, 1616528433.055025]
[1616528432.5097969, 1616528433.1819916]
[1616528432.7167466, 1616528433.424133]
[1616528432.6182818, 1616528433.2778869]
[1616528432.5773878, 1616528438.1093173]
[1616528432.564657, 1616528433.2590566]
[1616528432.6673236, 1616528433.3167493]
[1616528432.6365142, 1616528433.3089325]
[1616528432.6601055, 1616528433.317898]
[1616528432.9754496, 1616528433.6476424]
