[1616531137.866991, 1616531140.6379786]
[1616531138.3928692, 1616531141.2238882]
[1616531138.2669256, 1616531141.0197356]
[1616531138.263269, 1616531141.0364535]
[1616531138.218618, 1616531140.9801269]
[1616531138.1296146, 1616531140.8872423]
[1616531138.0754242, 1616531140.825233]
[1616531138.2025063, 1616531140.9652073]
[1616531137.6273499, 1616531140.3658345]
[1616531138.2761707, 1616531141.0093696]
[1616531138.1771986, 1616531140.938237]
[1616531138.6969278, 1616531141.466983]
[1616531138.4622939, 1616531141.198786]
[1616531138.5160246, 1616531141.239579]
[1616531138.2976618, 1616531141.0518668]
[1616531138.226517, 1616531140.997408]
[1616531138.5380592, 1616531141.2788024]
[1616531138.1631129, 1616531140.923527]
[1616531138.1881716, 1616531140.9307582]
[1616531138.311219, 1616531141.0684137]
[1616531138.7609694, 1616531141.5126317]
[1616531138.808712, 1616531141.568436]
[1616531138.855415, 1616531141.6242669]
[1616531138.5073478, 1616531141.2861087]
[1616531139.0639043, 1616531141.7803342]
[1616531138.8954322, 1616531141.6354048]
[1616531139.1960306, 1616531141.9560664]
[1616531139.4317353, 1616531142.1625147]
[1616531139.3769841, 1616531142.1925018]
[1616531139.6053715, 1616531142.3216019]
[1616531139.5609682, 1616531142.3119342]
[1616531139.3670442, 1616531142.108992]
[1616531139.5247777, 1616531142.264964]
[1616531139.6733136, 1616531142.3785133]
[1616531139.8239198, 1616531142.5588908]
[1616531139.7874238, 1616531142.534595]
[1616531140.2203777, 1616531142.9242742]
[1616531140.1025198, 1616531142.8598514]
[1616531140.2489927, 1616531142.9681575]
[1616531140.1797745, 1616531142.891977]
[1616531140.346219, 1616531143.0951605]
[1616531140.6696258, 1616531143.4351194]
[1616531140.3593328, 1616531143.105332]
[1616531140.4403617, 1616531143.188602]
[1616531140.5828462, 1616531143.3154724]
[1616531140.5467257, 1616531143.289564]
[1616531140.626477, 1616531143.3546112]
[1616531140.8709602, 1616531143.638355]
[1616531140.8760538, 1616531143.6289103]
[1616531141.1008434, 1616531143.8521934]
[1616531141.2420175, 1616531144.0561209]
[1616531140.962815, 1616531143.7206452]
[1616531141.334584, 1616531144.1295881]
[1616531141.4160786, 1616531144.1405714]
[1616531141.5329552, 1616531144.2879944]
[1616531141.7347624, 1616531144.5027332]
[1616531141.6535745, 1616531144.391955]
[1616531141.7684631, 1616531144.5208106]
[1616531141.6193168, 1616531144.3531084]
[1616531141.8143363, 1616531144.5280786]
[1616531141.9317713, 1616531144.6455927]
[1616531142.1660588, 1616531144.9193974]
[1616531142.1758666, 1616531144.906785]
[1616531141.956167, 1616531144.7179234]
[1616531142.0592704, 1616531144.789609]
[1616531142.4099183, 1616531145.1415024]
[1616531142.2127182, 1616531144.9935877]
[1616531142.181773, 1616531144.9373147]
[1616531142.2157116, 1616531145.0169876]
[1616531142.4391303, 1616531145.2001219]
[1616531142.4746602, 1616531145.2333953]
[1616531142.3995364, 1616531145.087702]
[1616531142.5616674, 1616531145.3272622]
[1616531142.6975868, 1616531145.4662263]
[1616531142.597412, 1616531145.3391428]
[1616531142.7447734, 1616531145.5222807]
[1616531142.8202224, 1616531145.5859537]
[1616531142.9271452, 1616531145.612097]
[1616531142.709465, 1616531145.4672587]
[1616531142.83402, 1616531145.598363]
[1616531143.0397031, 1616531145.7324376]
[1616531143.1155207, 1616531145.870667]
[1616531143.2096407, 1616531145.9594657]
[1616531143.0213194, 1616531145.7420783]
[1616531143.42071, 1616531146.156891]
[1616531143.3813944, 1616531146.1209102]
[1616531143.4344022, 1616531146.1831372]
[1616531143.6088095, 1616531146.3486874]
[1616531143.6224174, 1616531146.3748648]
[1616531143.81658, 1616531146.5935445]
[1616531143.7066514, 1616531146.463685]
[1616531143.575593, 1616531146.3401687]
[1616531144.007676, 1616531146.7591496]
[1616531143.8613105, 1616531146.6009166]
[1616531143.8528728, 1616531146.5998662]
[1616531144.2684762, 1616531147.0150397]
[1616531144.0818455, 1616531146.8638284]
[1616531144.189083, 1616531146.914753]
[1616531144.2448773, 1616531147.020492]
[1616531144.3846948, 1616531147.147451]
[1616531144.2290356, 1616531147.0013604]
[1616531144.3495307, 1616531147.106876]
[1616531144.501899, 1616531147.2399485]
[1616531144.4536488, 1616531147.197036]
[1616531144.645538, 1616531147.3677104]
[1616531144.7335272, 1616531147.4864514]
[1616531144.7625363, 1616531147.4831872]
[1616531144.8017793, 1616531147.5353796]
[1616531144.9316237, 1616531147.668436]
[1616531144.7937367, 1616531147.544923]
[1616531145.0146315, 1616531147.8639972]
[1616531145.0889878, 1616531147.8218064]
[1616531145.0257988, 1616531147.8026347]
[1616531145.06904, 1616531147.8378024]
[1616531145.2583447, 1616531148.0134795]
[1616531145.2350767, 1616531147.9997385]
[1616531145.5637724, 1616531148.4069417]
[1616531145.5978441, 1616531148.347762]
[1616531145.5926192, 1616531148.3505516]
[1616531145.837118, 1616531148.6220582]
[1616531145.853138, 1616531148.574247]
[1616531145.7310913, 1616531148.4183693]
[1616531145.8343186, 1616531148.5401878]
[1616531145.995137, 1616531148.7408237]
[1616531146.075166, 1616531148.8099816]
[1616531145.8783352, 1616531148.6291585]
[1616531146.0502627, 1616531148.7916362]
[1616531146.1712027, 1616531148.9141626]
[1616531146.0720286, 1616531148.8154273]
[1616531146.3744054, 1616531149.1128292]
[1616531146.4145665, 1616531149.1621144]
[1616531146.4224136, 1616531149.1935432]
[1616531146.49807, 1616531149.2464106]
[1616531146.5575805, 1616531149.30725]
[1616531146.6286907, 1616531149.3731298]
[1616531146.7761972, 1616531149.564095]
[1616531146.835528, 1616531149.610568]
[1616531147.049723, 1616531149.8808427]
[1616531146.8717563, 1616531149.641467]
[1616531146.8205433, 1616531149.5873854]
[1616531147.0859375, 1616531149.8169367]
[1616531147.1967027, 1616531149.9754152]
[1616531147.1592953, 1616531149.902125]
[1616531147.1424382, 1616531149.8899884]
[1616531147.2122939, 1616531149.9697301]
[1616531147.397703, 1616531150.117567]
[1616531147.4858897, 1616531150.20784]
[1616531147.556206, 1616531150.3060508]
[1616531147.4358463, 1616531150.1758816]
[1616531147.5210986, 1616531150.2545567]
[1616531147.6123946, 1616531150.3532436]
[1616531147.7668061, 1616531150.4900892]
[1616531147.7815027, 1616531150.497851]
[1616531147.565015, 1616531150.3004532]
[1616531147.6591167, 1616531150.4086347]
[1616531147.7908878, 1616531150.5061538]
[1616531148.1129296, 1616531150.8626256]
