[1616531883.4421926, 1616531886.1106315]
[1616531882.9405046, 1616531885.5487258]
[1616531882.8503754, 1616531885.5372522]
[1616531882.6144269, 1616531885.302802]
[1616531882.6993759, 1616531885.388685]
[1616531882.4764078, 1616531885.1551256]
[1616531882.3285065, 1616531885.0859346]
[1616531882.8321133, 1616531885.4962866]
[1616531882.7936063, 1616531885.478407]
[1616531883.0979455, 1616531885.7857707]
[1616531883.199004, 1616531885.9161882]
[1616531883.4033911, 1616531886.0687478]
[1616531883.0069633, 1616531885.6666818]
[1616531882.8457253, 1616531885.5224702]
[1616531882.746517, 1616531885.4320028]
[1616531883.1925347, 1616531885.8720772]
[1616531883.5641751, 1616531886.2327456]
[1616531883.1583319, 1616531885.8280456]
[1616531883.1286101, 1616531885.8185403]
[1616531883.3761482, 1616531886.0491693]
[1616531883.433336, 1616531886.1031556]
[1616531883.7834513, 1616531886.4474201]
[1616531883.9870892, 1616531886.6453536]
[1616531883.8580425, 1616531886.4413922]
[1616531883.5147276, 1616531886.1542156]
[1616531883.5770888, 1616531886.249367]
[1616531883.983413, 1616531886.6690876]
[1616531884.0271235, 1616531886.702138]
[1616531884.107441, 1616531886.7590706]
[1616531884.3790398, 1616531887.0488715]
[1616531884.4086275, 1616531887.1020403]
[1616531884.2761362, 1616531886.9251637]
[1616531884.5816908, 1616531887.2662153]
[1616531884.4201787, 1616531887.1074917]
[1616531884.8344781, 1616531887.5062215]
[1616531884.7446265, 1616531887.3950257]
[1616531884.6597428, 1616531887.3217669]
[1616531884.8803012, 1616531887.5698867]
[1616531885.155257, 1616531887.8735175]
[1616531885.0702162, 1616531887.7462232]
[1616531885.1741612, 1616531887.8986914]
[1616531885.439918, 1616531888.1247578]
[1616531885.5113065, 1616531888.167397]
[1616531885.7666662, 1616531888.4235895]
[1616531885.5722597, 1616531888.200709]
[1616531885.7867906, 1616531888.465618]
[1616531886.0178738, 1616531888.722566]
[1616531885.9714432, 1616531888.6519377]
[1616531886.0594554, 1616531888.723145]
[1616531885.6309345, 1616531888.303079]
[1616531886.1947584, 1616531888.8814862]
[1616531886.1795452, 1616531888.8231986]
[1616531886.3749402, 1616531889.0407867]
[1616531886.4706488, 1616531889.1305168]
[1616531886.2022436, 1616531888.8789709]
[1616531886.771265, 1616531889.4393475]
[1616531886.423272, 1616531889.0853992]
[1616531886.9365175, 1616531889.6073737]
[1616531886.5969372, 1616531889.190637]
[1616531886.8612561, 1616531889.539554]
[1616531887.010139, 1616531889.6505415]
[1616531886.8126922, 1616531889.4802566]
